3#apa#apa04#app0418/8  -0.392 0.814  -0.128 0.814  -0.092 0.980  -0.227 0.851  -0.392 0.752  -0.553 0.649  -0.651 0.483  -0.724 0.291  -0.724 0.027  -0.525 -0.114  -0.277 -0.181  -0.075 -0.029  0.160 0.040  0.379 0.151  0.643 0.151  0.769 0.290  0.934 0.388  0.934 0.653  0.862 0.887  0.636 0.980  0.538 1.146  0.291 1.219  0.049 1.312  -0.216 1.312  -0.314 1.146  -0.411 0.961  -0.437 0.698  -0.463 0.435  -0.490 0.172  -0.516 -0.091  -0.542 -0.354  -0.453 -0.512  -0.419 -0.705  -0.606 -0.891  -0.724 -1.107  -0.695 -1.342  -0.468 -1.432  -0.235 -1.507  0.003 -1.444  0.225 -1.342  0.489 -1.342  0.709 -1.235  0.934 -1.161  0.934 -0.897  0.902 -0.646  0.715 -0.459  0.528 -0.272  0.302 -0.181  0.038 -0.181  -0.227 -0.181
3#apa#apa04#app0418/:  0.125 1.209  0.125 1.127  0.125 1.046  0.125 1.073  0.125 1.154  0.153 1.209  0.234 1.209  0.316 1.209  0.398 1.209  0.479 1.209  0.506 1.154  0.506 1.073  0.496 0.993  0.465 0.918  0.433 0.843  0.402 0.767  0.370 0.692  0.339 0.617  0.308 0.541  0.276 0.466  0.245 0.390  0.213 0.315  0.182 0.240  0.151 0.164  0.119 0.089  0.088 0.014  0.056 -0.062  0.025 -0.137  -0.006 -0.212  -0.038 -0.288  -0.069 -0.363  -0.101 -0.438  -0.132 -0.514  -0.163 -0.589  -0.195 -0.665  -0.226 -0.740  -0.258 -0.815  -0.289 -0.891  -0.320 -0.966  -0.352 -1.041  -0.383 -1.117  -0.415 -1.192  -0.446 -1.267  -0.528 -1.267  -0.609 -1.267  -0.637 -1.322  -0.637 -1.403  -0.609 -1.458  -0.528 -1.458  -0.446 -1.458
3#apa#apa04#app0418/4  -0.151 1.389  -0.056 1.389  -0.228 1.389  -0.366 1.308  -0.487 1.187  -0.551 1.042  -0.670 0.989  -0.701 0.839  -0.818 0.715  -0.838 0.549  -0.915 0.395  -1.015 0.258  -1.085 0.116  -1.085 -0.056  -1.085 -0.227  -1.031 -0.345  -0.860 -0.345  -0.688 -0.345  -0.516 -0.345  -0.345 -0.345  -0.173 -0.345  -0.002 -0.345  0.170 -0.345  0.342 -0.345  0.513 -0.345  0.685 -0.345  0.793 -0.272  0.817 -0.102  0.841 0.068  0.866 0.238  0.890 0.408  0.914 0.577  0.889 0.722  0.736 0.676  0.615 0.555  0.516 0.424  0.516 0.253  0.516 0.081  0.413 -0.048  0.382 -0.207  0.382 -0.379  0.382 -0.550  0.305 -0.690  0.249 -0.838  0.249 -1.010  0.224 -1.171  0.116 -1.298  0.116 -1.469  0.116 -1.641  0.116 -1.812
3#apa#apa04#app0418/&  0.922 0.599  0.922 0.412  0.922 0.226  0.922 0.039  0.922 -0.148  0.922 -0.335  0.789 -0.389  0.724 -0.511  0.835 -0.587  0.922 -0.487  0.922 -0.300  0.922 -0.113  0.874 0.054  0.742 0.186  0.724 0.365  0.574 0.401  0.428 0.500  0.296 0.632  0.164 0.764  -0.010 0.797  -0.197 0.797  -0.384 0.797  -0.559 0.748  -0.726 0.665  -0.897 0.599  -1.055 0.570  -1.073 0.401  -1.253 0.394  -1.253 0.207  -1.253 0.020  -1.425 0.006  -1.450 -0.156  -1.450 -0.342  -1.450 -0.529  -1.321 -0.587  -1.135 -0.587  -0.948 -0.587  -0.761 -0.587  -0.599 -0.526  -0.467 -0.394  -0.282 -0.389  -0.095 -0.389  0.091 -0.389  0.278 -0.389  0.465 -0.389  0.615 -0.301  0.757 -0.192  0.944 -0.192  1.130 -0.192  1.317 -0.192
3#apa#apa04#app0418/4  -0.280 1.190  -0.130 1.130  -0.130 0.920  -0.311 0.891  -0.429 0.800  -0.578 0.740  -0.640 0.593  -0.727 0.471  -0.900 0.420  -1.057 0.294  -1.175 0.203  -1.282 0.038  -1.325 -0.153  -1.325 -0.363  -1.205 -0.452  -0.996 -0.452  -0.786 -0.452  -0.577 -0.452  -0.368 -0.452  -0.158 -0.452  0.019 -0.420  0.111 -0.303  0.320 -0.303  0.529 -0.303  0.616 -0.180  0.582 -0.005  0.467 0.089  0.462 0.294  0.363 0.340  0.467 0.506  0.589 0.593  0.745 0.722  0.765 0.923  0.857 1.040  0.912 0.891  0.765 0.829  0.765 0.619  0.750 0.414  0.657 0.226  0.616 0.027  0.536 -0.164  0.467 -0.357  0.431 -0.560  0.365 -0.759  0.317 -0.960  0.232 -1.134  0.168 -1.317  0.168 -1.526  0.168 -1.736  0.168 -1.945
3#apa#apa04#app0418/:  0.088 1.111  0.164 1.111  0.241 1.111  0.317 1.111  0.347 1.157  0.347 1.233  0.347 1.310  0.347 1.353  0.347 1.277  0.347 1.201  0.347 1.125  0.329 1.051  0.307 0.978  0.285 0.905  0.263 0.832  0.241 0.759  0.219 0.686  0.197 0.613  0.175 0.540  0.154 0.467  0.132 0.394  0.110 0.321  0.088 0.248  0.066 0.176  0.044 0.103  0.022 0.030  0.000 -0.043  -0.022 -0.116  -0.043 -0.189  -0.065 -0.262  -0.087 -0.335  -0.109 -0.408  -0.131 -0.481  -0.153 -0.554  -0.175 -0.627  -0.197 -0.700  -0.219 -0.773  -0.240 -0.846  -0.262 -0.919  -0.284 -0.992  -0.306 -1.065  -0.328 -1.138  -0.350 -1.211  -0.372 -1.284  -0.394 -1.357  -0.416 -1.430  -0.429 -1.504  -0.429 -1.580  -0.429 -1.656  -0.429 -1.733
3#apa#apa04#app0418/2  -0.927 0.973  -0.809 0.973  -0.719 1.041  -0.631 1.113  -0.513 1.113  -0.395 1.113  -0.277 1.113  -0.159 1.113  -0.041 1.113  0.077 1.113  0.195 1.113  0.313 1.113  0.402 1.044  0.491 0.973  0.609 0.973  0.613 0.859  0.613 0.741  0.563 0.644  0.479 0.560  0.396 0.477  0.312 0.393  0.229 0.310  0.193 0.207  0.193 0.089  0.170 -0.006  0.052 -0.007  -0.031 -0.090  -0.115 -0.174  -0.198 -0.257  -0.282 -0.341  -0.365 -0.424  -0.367 -0.541  -0.460 -0.566  -0.507 -0.637  -0.507 -0.755  -0.507 -0.873  -0.507 -0.991  -0.507 -1.109  -0.405 -1.126  -0.287 -1.126  -0.169 -1.126  -0.051 -1.126  0.067 -1.126  0.185 -1.126  0.302 -1.126  0.420 -1.126  0.538 -1.126  0.656 -1.126  0.774 -1.126  0.892 -1.126
3#apa#apa04#app0418/&  0.959 1.156  0.959 0.974  0.951 0.793  0.869 0.630  0.788 0.466  0.786 0.284  0.776 0.105  0.647 -0.024  0.612 -0.192  0.612 -0.374  0.612 -0.557  0.452 -0.580  0.438 -0.410  0.438 -0.228  0.438 -0.045  0.422 0.131  0.293 0.260  0.164 0.389  0.035 0.518  -0.099 0.635  -0.282 0.635  -0.464 0.635  -0.647 0.635  -0.829 0.635  -0.994 0.592  -1.123 0.463  -1.303 0.456  -1.432 0.327  -1.471 0.161  -1.471 -0.022  -1.471 -0.205  -1.471 -0.387  -1.355 -0.522  -1.196 -0.580  -1.014 -0.580  -0.831 -0.580  -0.649 -0.580  -0.466 -0.580  -0.326 -0.476  -0.173 -0.406  0.010 -0.406  0.193 -0.406  0.375 -0.406  0.558 -0.406  0.740 -0.406  0.923 -0.406  1.106 -0.406  1.133 -0.250  1.297 -0.232  1.480 -0.232
3#apa#apa04#app0418/2  -0.717 1.023  -0.834 1.023  -0.749 1.023  -0.631 1.023  -0.513 1.023  -0.395 1.023  -0.277 1.023  -0.159 1.023  -0.041 1.023  0.076 1.023  0.194 1.023  0.312 1.023  0.408 0.969  0.492 0.889  0.610 0.889  0.728 0.889  0.756 0.799  0.756 0.681  0.715 0.580  0.631 0.497  0.622 0.383  0.559 0.291  0.471 0.220  0.354 0.219  0.354 0.101  0.251 0.086  0.159 0.024  0.087 -0.064  0.087 -0.181  -0.031 -0.182  -0.119 -0.254  -0.202 -0.337  -0.286 -0.420  -0.369 -0.504  -0.452 -0.587  -0.536 -0.670  -0.583 -0.769  -0.583 -0.886  -0.583 -1.004  -0.580 -1.119  -0.462 -1.119  -0.375 -1.193  -0.281 -1.253  -0.164 -1.253  -0.046 -1.253  0.072 -1.253  0.160 -1.326  0.252 -1.387  0.370 -1.387  0.488 -1.387
3#apa#apa04#app0418/:  0.165 1.230  0.242 1.230  0.319 1.230  0.364 1.230  0.286 1.230  0.209 1.230  0.132 1.230  0.055 1.230  -0.022 1.230  -0.050 1.180  -0.050 1.103  -0.050 1.026  -0.004 0.968  0.051 0.913  0.105 0.859  0.160 0.804  0.153 0.730  0.141 0.654  0.128 0.577  0.115 0.501  0.103 0.425  0.090 0.349  0.077 0.273  0.064 0.197  0.052 0.120  0.039 0.044  0.026 -0.032  0.014 -0.108  0.001 -0.184  -0.012 -0.260  -0.024 -0.337  -0.037 -0.413  -0.050 -0.489  -0.063 -0.565  -0.075 -0.641  -0.088 -0.717  -0.101 -0.794  -0.113 -0.870  -0.126 -0.946  -0.139 -1.022  -0.151 -1.098  -0.164 -1.174  -0.177 -1.251  -0.189 -1.327  -0.202 -1.403  -0.215 -1.479  -0.228 -1.555  -0.240 -1.631  -0.253 -1.708  -0.266 -1.784
3#apa#apa04#app0418/1  0.207 1.574  0.280 1.574  0.326 1.547  0.326 1.474  0.326 1.400  0.320 1.330  0.268 1.278  0.216 1.226  0.207 1.157  0.205 1.084  0.196 1.011  0.187 0.938  0.178 0.865  0.169 0.793  0.160 0.720  0.150 0.647  0.141 0.575  0.132 0.502  0.123 0.429  0.114 0.356  0.105 0.284  0.096 0.211  0.088 0.138  0.088 0.065  0.088 -0.008  0.088 -0.082  0.088 -0.155  0.077 -0.224  0.025 -0.275  -0.027 -0.327  -0.032 -0.399  -0.032 -0.472  -0.032 -0.545  -0.065 -0.604  -0.117 -0.656  -0.151 -0.716  -0.151 -0.789  -0.188 -0.846  -0.240 -0.898  -0.270 -0.959  -0.270 -1.033  -0.311 -1.089  -0.363 -1.140  -0.389 -1.203  -0.389 -1.276  -0.389 -1.350  -0.389 -1.423  -0.389 -1.496  -0.389 -1.569  -0.389 -1.643
