2#app#app32#app3242/O  0.105 0.486  0.226 0.513  0.226 0.660  0.147 0.729  0.105 0.835  -0.027 0.850  -0.175 0.850  -0.304 0.805  -0.381 0.689  -0.427 0.561  -0.544 0.486  -0.654 0.425  -0.720 0.293  -0.774 0.155  -0.821 0.015  -0.869 -0.124  -0.974 -0.228  -0.987 -0.371  -0.987 -0.518  -0.987 -0.666  -0.987 -0.814  -0.987 -0.962  -0.889 -1.069  -0.751 -1.092  -0.603 -1.092  -0.455 -1.092  -0.307 -1.092  -0.160 -1.092  -0.025 -1.035  0.107 -0.969  0.211 -0.864  0.339 -0.792  0.471 -0.726  0.575 -0.621  0.680 -0.517  0.758 -0.393  0.824 -0.261  0.923 -0.152  0.954 -0.018  0.954 0.130  0.954 0.278  0.954 0.426  0.954 0.573  0.954 0.721  0.855 0.828  0.751 0.932  0.646 1.037  0.522 1.093  0.374 1.093  0.226 1.093
2#app#app32#app3242/N  -0.432 0.472  -0.329 0.577  -0.329 0.773  -0.336 0.568  -0.432 0.401  -0.465 0.201  -0.534 0.010  -0.605 -0.180  -0.679 -0.373  -0.738 -0.571  -0.738 -0.778  -0.829 -0.948  -0.840 -1.150  -0.840 -1.358  -0.720 -1.273  -0.682 -1.070  -0.643 -0.866  -0.604 -0.663  -0.565 -0.459  -0.526 -0.255  -0.488 -0.052  -0.449 0.152  -0.410 0.355  -0.371 0.559  -0.333 0.762  -0.329 0.588  -0.227 0.423  -0.227 0.215  -0.157 0.025  -0.125 -0.175  -0.027 -0.342  0.120 -0.488  0.266 -0.635  0.443 -0.709  0.631 -0.754  0.796 -0.856  0.897 -0.749  0.897 -0.542  0.897 -0.335  0.897 -0.128  0.897 0.080  0.897 0.287  0.897 0.494  0.897 0.701  0.897 0.908  0.897 1.116  0.897 1.323  0.897 1.530  0.997 1.696  0.999 1.494
2#app#app32#app3242/T  0.324 1.228  0.324 1.070  0.324 0.912  0.324 0.754  0.324 0.596  0.324 0.438  0.324 0.280  0.324 0.122  0.324 -0.036  0.324 -0.194  0.324 -0.352  0.324 -0.510  0.324 -0.668  0.324 -0.826  0.324 -0.984  0.324 -1.142  0.324 -1.300  0.324 -1.458  0.324 -1.616  0.267 -1.581  0.181 -1.448  0.095 -1.315  0.009 -1.183  -0.077 -1.050  -0.162 -0.917  -0.248 -0.785  -0.334 -0.652  -0.420 -0.519  -0.506 -0.387  -0.592 -0.254  -0.678 -0.121  -0.763 0.011  -0.849 0.144  -0.935 0.277  -0.982 0.405  -0.865 0.504  -0.763 0.560  -0.670 0.625  -0.512 0.625  -0.400 0.672  -0.316 0.746  -0.171 0.800  -0.031 0.873  0.080 0.985  0.237 0.987  0.375 1.038  0.504 1.108  0.662 1.108  0.781 1.202  0.928 1.228
2#app#app32#app3242/H  -0.159 1.530  -0.036 1.449  -0.036 1.245  -0.036 1.041  -0.070 0.845  -0.159 0.662  -0.159 0.458  -0.234 0.271  -0.325 0.089  -0.417 -0.094  -0.508 -0.276  -0.529 -0.476  -0.529 -0.680  -0.529 -0.884  -0.638 -1.043  -0.652 -1.241  -0.652 -1.445  -0.652 -1.649  -0.533 -1.615  -0.549 -1.411  -0.564 -1.208  -0.580 -1.004  -0.596 -0.801  -0.611 -0.597  -0.627 -0.394  -0.643 -0.190  -0.567 -0.071  -0.363 -0.071  -0.195 0.016  -0.006 0.052  0.198 0.052  0.382 0.138  0.506 0.286  0.589 0.472  0.672 0.659  0.755 0.845  0.838 1.032  0.920 1.218  0.826 1.275  0.786 1.080  0.703 0.896  0.703 0.692  0.580 0.539  0.580 0.334  0.560 0.135  0.469 -0.047  0.457 -0.249  0.466 -0.449  0.580 -0.606  0.580 -0.810
2#app#app32#app3242/E  -0.123 1.266  0.002 1.179  -0.032 0.981  -0.123 0.807  -0.143 0.600  -0.238 0.411  -0.332 0.221  -0.374 0.019  -0.374 -0.193  -0.492 -0.355  -0.499 -0.564  -0.499 -0.776  -0.499 -0.988  -0.437 -1.174  -0.251 -1.238  -0.040 -1.238  0.172 -1.238  0.383 -1.235  0.573 -1.140  0.778 -1.112  0.957 -1.033  1.107 -0.884  0.956 -0.805  0.756 -0.738  0.555 -0.671  0.354 -0.604  0.153 -0.537  -0.048 -0.470  -0.249 -0.403  -0.450 -0.336  -0.651 -0.269  -0.749 -0.345  -0.624 -0.292  -0.467 -0.236  -0.290 -0.153  -0.112 -0.043  0.087 0.014  0.248 0.135  0.133 0.307  0.009 0.479  -0.114 0.651  -0.237 0.824  -0.360 0.996  -0.240 1.148  -0.077 1.266  0.096 1.359  0.169 1.516  0.343 1.607  0.541 1.641  0.753 1.641
2#app#app32#app3242/V  -0.527 1.231  -0.619 1.323  -0.691 1.367  -0.691 1.237  -0.691 1.108  -0.691 0.978  -0.691 0.848  -0.691 0.718  -0.691 0.588  -0.638 0.471  -0.580 0.355  -0.527 0.237  -0.527 0.108  -0.527 -0.022  -0.527 -0.152  -0.499 -0.270  -0.407 -0.362  -0.363 -0.474  -0.340 -0.594  -0.248 -0.685  -0.200 -0.795  -0.200 -0.925  -0.200 -1.055  -0.200 -1.185  -0.110 -1.225  -0.036 -1.281  -0.036 -1.367  -0.036 -1.237  -0.036 -1.107  0.023 -1.002  0.115 -0.910  0.128 -0.786  0.183 -0.679  0.275 -0.587  0.339 -0.475  0.397 -0.359  0.455 -0.243  0.547 -0.151  0.619 -0.051  0.619 0.078  0.619 0.208  0.659 0.329  0.717 0.445  0.775 0.561  0.833 0.677  0.891 0.793  0.947 0.910  0.947 1.040  1.019 1.140  1.111 1.231
2#app#app32#app3242/E  0.190 1.653  0.190 1.447  0.119 1.270  0.035 1.099  -0.062 0.934  -0.176 0.765  -0.268 0.581  -0.299 0.386  -0.440 0.237  -0.532 0.053  -0.587 -0.140  -0.587 -0.346  -0.587 -0.551  -0.587 -0.757  -0.587 -0.963  -0.461 -1.117  -0.315 -1.262  -0.125 -1.301  0.022 -1.444  0.222 -1.457  0.428 -1.457  0.634 -1.457  0.786 -1.327  0.701 -1.174  0.565 -1.019  0.430 -0.864  0.294 -0.709  0.159 -0.554  0.023 -0.399  -0.112 -0.245  -0.248 -0.090  -0.268 -0.213  -0.079 -0.172  0.079 -0.058  0.285 -0.058  0.448 0.045  0.632 0.098  0.790 0.112  0.619 0.227  0.448 0.341  0.277 0.455  0.105 0.569  -0.066 0.683  -0.237 0.798  -0.409 0.912  -0.580 1.026  -0.447 1.170  -0.302 1.316  -0.156 1.461  0.035 1.497
2#app#app32#app3242/L  -0.194 1.932  -0.194 1.837  -0.194 1.741  -0.194 1.646  -0.194 1.551  -0.194 1.455  -0.194 1.360  -0.194 1.265  -0.194 1.169  -0.194 1.074  -0.194 0.979  -0.194 0.883  -0.194 0.788  -0.194 0.693  -0.194 0.597  -0.194 0.502  -0.194 0.406  -0.194 0.311  -0.194 0.216  -0.194 0.120  -0.194 0.025  -0.194 -0.070  -0.194 -0.166  -0.194 -0.261  -0.194 -0.356  -0.194 -0.452  -0.194 -0.547  -0.194 -0.642  -0.194 -0.738  -0.194 -0.833  -0.194 -0.928  -0.194 -1.024  -0.194 -1.119  -0.194 -1.139  -0.194 -1.043  -0.106 -1.035  -0.023 -1.006  0.044 -0.939  0.118 -0.880  0.203 -0.837  0.288 -0.794  0.374 -0.753  0.469 -0.753  0.549 -0.716  0.617 -0.649  0.697 -0.611  0.792 -0.611  0.887 -0.611  0.937 -0.565  0.937 -0.470
2#app#app32#app3242/V  -0.730 1.242  -0.730 1.119  -0.730 0.996  -0.730 0.872  -0.730 0.749  -0.730 0.626  -0.730 0.503  -0.730 0.380  -0.705 0.267  -0.618 0.180  -0.572 0.075  -0.572 -0.048  -0.572 -0.171  -0.572 -0.294  -0.572 -0.417  -0.542 -0.528  -0.455 -0.615  -0.414 -0.722  -0.414 -0.845  -0.414 -0.968  -0.331 -1.057  -0.256 -1.149  -0.256 -1.272  -0.150 -1.290  -0.097 -1.219  -0.097 -1.096  -0.097 -0.973  -0.010 -0.886  0.061 -0.792  0.061 -0.669  0.140 -0.578  0.227 -0.491  0.314 -0.404  0.377 -0.307  0.377 -0.184  0.377 -0.060  0.439 0.037  0.526 0.125  0.584 0.232  0.640 0.342  0.695 0.452  0.763 0.555  0.832 0.657  0.900 0.760  0.968 0.863  1.010 0.973  1.010 1.096  1.010 1.219  1.081 1.313  1.169 1.400
2#app#app32#app3242/E  -0.110 1.196  -0.110 1.015  -0.110 0.833  -0.110 0.652  -0.139 0.478  -0.220 0.316  -0.241 0.140  -0.241 -0.042  -0.241 -0.223  -0.241 -0.404  -0.241 -0.585  -0.241 -0.766  -0.241 -0.948  -0.180 -1.104  -0.029 -1.174  0.114 -1.267  0.279 -1.306  0.461 -1.306  0.615 -1.240  0.768 -1.174  0.939 -1.171  0.783 -1.078  0.628 -0.985  0.473 -0.892  0.317 -0.798  0.162 -0.705  0.006 -0.612  -0.149 -0.519  -0.304 -0.425  -0.272 -0.384  -0.096 -0.371  0.036 -0.253  0.217 -0.253  0.365 -0.173  0.350 -0.037  0.236 0.105  0.123 0.246  0.010 0.388  -0.103 0.529  -0.216 0.671  -0.330 0.812  -0.443 0.954  -0.556 1.095  -0.584 1.196  -0.505 1.298  -0.397 1.435  -0.269 1.563  -0.141 1.691  0.026 1.726  0.154 1.854
2#app#app32#app3242/T  0.977 0.686  0.977 0.548  0.977 0.409  0.943 0.284  0.854 0.181  0.854 0.042  0.854 -0.097  0.810 -0.217  0.732 -0.324  0.700 -0.450  0.604 -0.550  0.542 -0.674  0.486 -0.800  0.465 -0.930  0.367 -1.028  0.364 -1.166  0.364 -1.305  0.319 -1.399  0.210 -1.347  0.141 -1.227  0.071 -1.106  0.002 -0.986  -0.068 -0.866  -0.138 -0.746  -0.207 -0.625  -0.277 -0.505  -0.347 -0.385  -0.416 -0.265  -0.486 -0.144  -0.555 -0.024  -0.625 0.096  -0.695 0.217  -0.764 0.337  -0.834 0.457  -0.904 0.577  -0.973 0.698  -1.043 0.818  -1.102 0.929  -0.978 0.867  -0.853 0.809  -0.722 0.828  -0.623 0.927  -0.487 0.932  -0.348 0.932  -0.209 0.932  -0.070 0.932  0.069 0.932  0.208 0.932  0.347 0.932  0.486 0.932
