2#app#app35#app3526/t  -0.057 2.150  -0.057 1.986  -0.013 1.839  0.077 1.712  0.077 1.547  0.121 1.393  0.195 1.246  0.210 1.085  0.210 0.921  0.237 0.762  0.310 0.615  0.344 0.459  0.344 0.294  0.344 0.129  0.344 -0.035  0.344 -0.200  0.344 -0.364  0.344 -0.529  0.344 -0.693  0.344 -0.858  0.344 -1.022  0.344 -1.187  0.320 -1.299  0.199 -1.189  0.077 -1.078  -0.045 -0.967  -0.167 -0.857  -0.288 -0.746  -0.410 -0.635  -0.532 -0.525  -0.654 -0.414  -0.775 -0.303  -0.897 -0.193  -1.019 -0.082  -1.125 -0.007  -1.088 -0.156  -0.963 -0.252  -0.799 -0.252  -0.634 -0.252  -0.470 -0.252  -0.305 -0.252  -0.140 -0.252  0.024 -0.252  0.189 -0.252  0.338 -0.188  0.486 -0.119  0.651 -0.119  0.815 -0.119  0.980 -0.119  1.144 -0.119
2#app#app35#app3526/h  -0.835 1.865  -0.835 1.721  -0.835 1.577  -0.753 1.468  -0.730 1.333  -0.730 1.189  -0.730 1.045  -0.722 0.903  -0.658 0.775  -0.625 0.639  -0.624 0.495  -0.589 0.355  -0.554 0.216  -0.518 0.077  -0.417 -0.025  -0.415 -0.168  -0.362 -0.290  -0.310 -0.413  -0.310 -0.556  -0.310 -0.700  -0.228 -0.763  -0.205 -0.883  -0.205 -1.027  -0.205 -0.985  -0.112 -0.880  -0.100 -0.741  -0.100 -0.597  -0.068 -0.458  -0.023 -0.322  0.005 -0.182  0.005 -0.038  0.025 0.098  0.111 0.206  0.172 0.289  0.216 0.389  0.354 0.394  0.477 0.342  0.579 0.241  0.681 0.139  0.741 0.020  0.810 -0.095  0.846 -0.224  0.939 -0.330  0.951 -0.468  0.951 -0.612  1.021 -0.727  1.056 -0.856  1.056 -1.000  1.056 -1.144  1.056 -1.288
2#app#app35#app3526/e  -0.808 -0.577  -0.778 -0.418  -0.657 -0.297  -0.535 -0.176  -0.419 -0.052  -0.370 0.070  -0.199 0.070  -0.158 0.202  -0.037 0.323  0.115 0.402  0.260 0.490  0.358 0.621  0.433 0.718  0.488 0.835  0.488 1.006  0.417 1.107  0.358 1.219  0.203 1.236  0.032 1.236  -0.107 1.159  -0.229 1.038  -0.350 0.917  -0.493 0.848  -0.549 0.732  -0.678 0.690  -0.728 0.539  -0.808 0.401  -0.808 0.229  -0.808 0.058  -0.808 -0.114  -0.808 -0.285  -0.801 -0.454  -0.680 -0.575  -0.650 -0.734  -0.521 -0.836  -0.350 -0.836  -0.190 -0.886  -0.037 -0.963  0.134 -0.966  0.305 -0.966  0.477 -0.966  0.639 -0.944  0.766 -0.836  0.937 -0.836  1.006 -0.733  1.146 -0.696  1.269 -0.577  1.394 -0.531  1.482 -0.448  1.653 -0.448
2#app#app35#app3526/i  -0.057 0.538  -0.057 0.418  -0.057 0.298  -0.057 0.177  -0.008 0.078  0.077 -0.008  0.080 -0.127  0.080 -0.247  0.139 -0.343  0.218 -0.431  0.218 -0.551  0.218 -0.671  0.218 -0.791  0.218 -0.912  0.218 -1.032  0.218 -1.152  0.237 -1.265  0.322 -1.350  0.355 -1.456  0.342 -1.465  0.314 -1.348  0.286 -1.231  0.257 -1.114  0.229 -0.997  0.201 -0.880  0.173 -0.763  0.145 -0.646  0.117 -0.529  0.089 -0.412  0.061 -0.295  0.033 -0.178  0.005 -0.061  -0.023 0.056  -0.051 0.173  -0.079 0.290  -0.107 0.406  -0.136 0.523  -0.164 0.640  -0.192 0.757  -0.220 0.874  -0.248 0.991  -0.276 1.108  -0.304 1.225  -0.332 1.342  -0.360 1.459  -0.388 1.576  -0.416 1.693  -0.444 1.810  -0.485 1.911  -0.606 1.911
2#app#app35#app3526/c  0.708 1.445  0.641 1.378  0.574 1.310  0.487 1.289  0.392 1.289  0.297 1.289  0.213 1.262  0.146 1.195  0.079 1.127  0.012 1.060  -0.056 0.993  -0.071 0.904  -0.084 0.821  -0.179 0.821  -0.227 0.775  -0.227 0.679  -0.284 0.608  -0.352 0.541  -0.383 0.459  -0.383 0.364  -0.443 0.293  -0.510 0.226  -0.539 0.143  -0.539 0.048  -0.539 -0.047  -0.539 -0.143  -0.539 -0.238  -0.539 -0.333  -0.537 -0.427  -0.470 -0.495  -0.403 -0.562  -0.383 -0.649  -0.377 -0.737  -0.281 -0.737  -0.227 -0.778  -0.227 -0.873  -0.152 -0.893  -0.061 -0.904  0.006 -0.971  0.073 -1.038  0.164 -1.049  0.259 -1.049  0.354 -1.049  0.449 -1.049  0.544 -1.049  0.640 -1.049  0.735 -1.049  0.830 -1.049  0.925 -1.049  1.020 -1.049
2#app#app35#app3526/o  0.091 1.252  -0.032 1.252  -0.154 1.252  -0.262 1.218  -0.349 1.131  -0.435 1.045  -0.522 0.958  -0.547 0.846  -0.582 0.738  -0.669 0.652  -0.706 0.545  -0.729 0.432  -0.816 0.345  -0.865 0.243  -0.865 0.121  -0.865 -0.002  -0.865 -0.124  -0.865 -0.246  -0.865 -0.369  -0.865 -0.491  -0.752 -0.501  -0.706 -0.577  -0.706 -0.699  -0.704 -0.819  -0.581 -0.819  -0.459 -0.819  -0.336 -0.819  -0.214 -0.819  -0.092 -0.819  0.031 -0.819  0.150 -0.799  0.266 -0.761  0.382 -0.722  0.498 -0.683  0.617 -0.660  0.736 -0.652  0.823 -0.565  0.887 -0.470  0.887 -0.347  1.004 -0.341  1.047 -0.262  1.047 -0.139  1.047 -0.017  1.047 0.106  1.047 0.228  1.047 0.350  1.034 0.468  0.948 0.554  0.887 0.652  0.887 0.774
2#app#app35#app3526/n  -1.008 1.168  -1.008 1.009  -1.008 0.849  -1.008 0.690  -0.940 0.546  -0.869 0.404  -0.846 0.250  -0.846 0.090  -0.772 -0.038  -0.685 -0.162  -0.685 -0.321  -0.685 -0.480  -0.664 -0.631  -0.552 -0.744  -0.523 -0.892  -0.523 -1.051  -0.523 -0.982  -0.523 -0.823  -0.445 -0.695  -0.361 -0.571  -0.361 -0.411  -0.336 -0.262  -0.223 -0.150  -0.160 -0.007  -0.109 0.145  -0.059 0.296  -0.038 0.452  -0.038 0.611  0.024 0.745  0.124 0.863  0.140 1.006  0.300 1.006  0.459 1.006  0.609 0.997  0.614 0.840  0.727 0.727  0.771 0.586  0.838 0.454  0.933 0.334  0.933 0.174  0.933 0.015  0.933 -0.144  0.933 -0.304  0.933 -0.463  0.933 -0.623  0.933 -0.782  0.933 -0.942  0.933 -1.101  0.933 -1.260  0.933 -1.420
2#app#app35#app3526/o  0.172 1.199  0.044 1.199  -0.084 1.199  -0.182 1.124  -0.283 1.059  -0.386 1.035  -0.396 0.910  -0.486 0.820  -0.577 0.729  -0.667 0.638  -0.758 0.548  -0.805 0.439  -0.805 0.311  -0.805 0.183  -0.805 0.055  -0.805 -0.073  -0.805 -0.201  -0.805 -0.330  -0.805 -0.458  -0.805 -0.586  -0.805 -0.714  -0.744 -0.817  -0.649 -0.896  -0.522 -0.899  -0.432 -0.990  -0.322 -1.035  -0.194 -1.035  -0.066 -1.035  0.062 -1.035  0.185 -1.022  0.276 -0.932  0.389 -0.896  0.498 -0.849  0.588 -0.759  0.679 -0.668  0.769 -0.578  0.860 -0.487  0.870 -0.363  0.870 -0.235  0.870 -0.107  0.870 0.021  0.870 0.150  0.870 0.278  0.870 0.406  0.847 0.524  0.756 0.615  0.731 0.732  0.673 0.837  0.591 0.931  0.591 1.059
2#app#app35#app3526/g  0.129 1.087  0.009 1.170  -0.145 1.170  -0.295 1.162  -0.418 1.087  -0.537 1.003  -0.646 0.894  -0.755 0.785  -0.798 0.647  -0.867 0.509  -0.868 0.355  -0.829 0.218  -0.720 0.109  -0.608 0.007  -0.455 0.007  -0.301 0.007  -0.147 0.007  -0.076 0.090  0.044 0.172  0.178 0.222  0.228 0.356  0.295 0.482  0.353 0.622  0.378 0.770  0.378 0.924  0.378 1.078  0.378 0.943  0.378 0.789  0.378 0.635  0.426 0.492  0.461 0.346  0.461 0.192  0.461 0.038  0.461 -0.115  0.473 -0.267  0.542 -0.404  0.544 -0.558  0.544 -0.712  0.461 -0.831  0.461 -0.985  0.394 -1.123  0.353 -1.263  0.295 -1.393  0.212 -1.464  0.096 -1.521  -0.038 -1.571  -0.192 -1.571  -0.346 -1.571  -0.486 -1.538  -0.619 -1.488
2#app#app35#app3526/r  -0.193 -1.490  -0.193 -1.568  -0.193 -1.636  -0.193 -1.559  -0.193 -1.481  -0.193 -1.403  -0.193 -1.326  -0.193 -1.248  -0.193 -1.170  -0.193 -1.093  -0.193 -1.015  -0.193 -0.937  -0.193 -0.859  -0.193 -0.782  -0.193 -0.704  -0.193 -0.626  -0.193 -0.549  -0.193 -0.471  -0.193 -0.393  -0.193 -0.316  -0.193 -0.238  -0.193 -0.160  -0.193 -0.082  -0.193 -0.005  -0.193 0.073  -0.193 0.151  -0.193 0.228  -0.193 0.306  -0.193 0.384  -0.193 0.462  -0.145 0.519  -0.090 0.574  -0.035 0.629  0.020 0.684  0.075 0.739  0.108 0.803  0.108 0.880  0.108 0.958  0.108 1.036  0.148 1.074  0.226 1.074  0.303 1.074  0.381 1.074  0.445 1.108  0.499 1.163  0.554 1.218  0.629 1.225  0.707 1.225  0.785 1.225  0.863 1.225
2#app#app35#app3526/a  0.574 0.239  0.574 0.423  0.462 0.496  0.445 0.663  0.445 0.847  0.339 0.988  0.209 1.118  0.033 1.138  -0.151 1.138  -0.332 1.131  -0.466 1.010  -0.630 0.961  -0.760 0.831  -0.871 0.687  -0.954 0.522  -1.076 0.387  -1.095 0.211  -1.095 0.026  -1.194 -0.117  -1.224 -0.289  -1.224 -0.473  -1.135 -0.620  -1.095 -0.788  -0.927 -0.827  -0.780 -0.916  -0.596 -0.916  -0.412 -0.916  -0.228 -0.916  -0.051 -0.899  0.087 -0.788  0.226 -0.714  0.308 -0.549  0.433 -0.415  0.445 -0.236  0.512 -0.079  0.574 0.079  0.574 0.263  0.574 0.447  0.574 0.618  0.574 0.434  0.574 0.249  0.606 0.079  0.702 -0.066  0.702 -0.250  0.724 -0.425  0.830 -0.565  0.920 -0.659  0.976 -0.788  1.087 -0.860  1.216 -0.916
