1c#app#app31#app3103/a  0.491 0.828  0.673 0.846  0.764 0.954  0.710 1.100  0.601 1.191  0.401 1.191  0.202 1.191  0.016 1.134  -0.167 1.077  -0.334 1.001  -0.500 0.918  -0.643 0.783  -0.780 0.693  -0.878 0.532  -0.941 0.343  -1.052 0.184  -1.104 -0.003  -1.143 -0.194  -1.143 -0.393  -1.143 -0.593  -1.025 -0.743  -0.883 -0.885  -0.699 -0.938  -0.511 -0.988  -0.312 -0.988  -0.148 -0.901  0.020 -0.824  0.161 -0.683  0.302 -0.542  0.394 -0.366  0.402 -0.168  0.465 0.021  0.491 0.217  0.491 0.416  0.491 0.616  0.491 0.815  0.423 0.668  0.401 0.478  0.399 0.279  0.310 0.100  0.310 -0.099  0.310 -0.299  0.310 -0.498  0.310 -0.698  0.338 -0.893  0.401 -1.082  0.416 -1.276  0.582 -1.350  0.660 -1.183  0.673 -0.988
1c#app#app31#app3103/q  0.047 0.902  0.111 0.990  0.062 1.093  -0.062 1.156  -0.193 1.106  -0.300 0.999  -0.407 0.892  -0.513 0.785  -0.575 0.660  -0.587 0.514  -0.587 0.363  -0.547 0.228  -0.485 0.103  -0.344 0.078  -0.193 0.078  -0.042 0.078  0.083 0.141  0.153 0.247  0.215 0.372  0.263 0.508  0.302 0.650  0.349 0.793  0.365 0.942  0.365 1.093  0.340 1.093  0.301 0.980  0.225 0.852  0.174 0.716  0.137 0.574  0.069 0.439  0.002 0.304  -0.051 0.163  -0.079 0.016  -0.107 -0.131  -0.143 -0.276  -0.143 -0.427  -0.143 -0.578  -0.143 -0.729  -0.143 -0.880  -0.143 -1.031  -0.143 -1.182  -0.143 -1.334  -0.079 -1.458  -0.008 -1.580  0.099 -1.687  0.245 -1.698  0.386 -1.741  0.533 -1.762  0.665 -1.715  0.809 -1.698
1c#app#app31#app3103/u  -0.381 1.159  -0.418 1.322  -0.506 1.357  -0.581 1.210  -0.632 1.052  -0.656 0.884  -0.757 0.748  -0.796 0.579  -0.876 0.420  -0.956 0.261  -1.008 0.095  -1.008 -0.083  -1.008 -0.261  -1.008 -0.440  -1.008 -0.618  -0.957 -0.774  -0.809 -0.848  -0.631 -0.848  -0.453 -0.848  -0.275 -0.848  -0.143 -0.736  -0.017 -0.610  0.109 -0.484  0.235 -0.358  0.319 -0.202  0.414 -0.054  0.497 0.090  0.548 0.256  0.630 0.413  0.748 0.542  0.748 0.721  0.748 0.899  0.868 1.027  0.748 0.990  0.748 0.812  0.732 0.641  0.623 0.507  0.588 0.337  0.509 0.178  0.497 0.003  0.441 -0.152  0.372 -0.302  0.372 -0.480  0.372 -0.658  0.372 -0.836  0.372 -1.014  0.465 -1.099  0.497 -1.245  0.570 -1.350  0.748 -1.350
1c#app#app31#app3103/i  0.007 -0.414  -0.090 -0.414  -0.187 -0.414  -0.219 -0.480  -0.219 -0.577  -0.219 -0.674  -0.219 -0.771  -0.219 -0.868  -0.219 -0.965  -0.219 -1.062  -0.219 -1.159  -0.219 -1.256  -0.219 -1.353  -0.215 -1.411  -0.197 -1.315  -0.179 -1.220  -0.160 -1.125  -0.142 -1.029  -0.124 -0.934  -0.105 -0.839  -0.087 -0.744  -0.069 -0.648  -0.050 -0.553  -0.032 -0.458  -0.014 -0.362  0.005 -0.267  0.023 -0.172  0.041 -0.077  0.060 0.019  0.078 0.114  0.096 0.209  0.114 0.305  0.133 0.400  0.151 0.495  0.169 0.590  0.188 0.686  0.206 0.781  0.224 0.876  0.243 0.972  0.261 1.067  0.279 1.162  0.298 1.257  0.316 1.353  0.334 1.448  0.310 1.522  0.223 1.565  0.136 1.609  0.064 1.673  -0.009 1.730  -0.106 1.730
1c#app#app31#app3103/c  0.974 1.130  0.974 1.039  0.922 1.000  0.831 1.000  0.740 1.000  0.650 1.000  0.559 1.000  0.468 1.000  0.377 1.000  0.286 1.000  0.195 1.000  0.130 0.937  0.066 0.873  -0.014 0.831  -0.095 0.790  -0.177 0.750  -0.265 0.739  -0.348 0.720  -0.412 0.655  -0.470 0.586  -0.510 0.505  -0.551 0.424  -0.588 0.342  -0.588 0.251  -0.588 0.160  -0.588 0.069  -0.588 -0.022  -0.588 -0.113  -0.588 -0.203  -0.588 -0.294  -0.530 -0.361  -0.465 -0.425  -0.458 -0.513  -0.429 -0.592  -0.365 -0.656  -0.300 -0.720  -0.236 -0.784  -0.172 -0.849  -0.108 -0.913  -0.043 -0.977  0.021 -1.041  0.085 -1.105  0.149 -1.170  0.222 -1.213  0.313 -1.213  0.380 -1.270  0.444 -1.335  0.532 -1.343  0.622 -1.343  0.713 -1.343
1c#app#app31#app3103/k  0.144 1.442  0.144 1.574  0.144 1.707  0.144 1.839  0.085 1.885  0.085 1.752  0.085 1.620  0.043 1.494  0.026 1.365  0.026 1.233  0.026 1.100  -0.003 0.971  -0.033 0.843  -0.033 0.710  -0.033 0.578  -0.059 0.449  -0.092 0.321  -0.118 0.191  -0.144 0.061  -0.152 -0.070  -0.152 -0.203  -0.189 -0.329  -0.211 -0.458  -0.211 -0.590  -0.211 -0.722  -0.258 -0.844  -0.270 -0.973  -0.271 -1.105  -0.389 -1.163  -0.382 -1.032  -0.329 -0.912  -0.309 -0.788  -0.262 -0.674  -0.198 -0.559  -0.145 -0.450  -0.033 -0.387  0.024 -0.278  0.134 -0.226  0.263 -0.216  0.226 -0.343  0.190 -0.471  0.154 -0.598  0.105 -0.690  0.085 -0.802  0.144 -0.875  0.201 -0.984  0.319 -1.044  0.444 -1.076  0.566 -1.112  0.677 -1.164
1c#app#app31#app3103/b  -0.002 1.886  -0.003 2.070  -0.063 1.945  -0.063 1.760  -0.063 1.575  -0.084 1.393  -0.124 1.215  -0.124 1.030  -0.124 0.844  -0.154 0.663  -0.193 0.482  -0.220 0.299  -0.246 0.116  -0.303 -0.060  -0.308 -0.245  -0.356 -0.419  -0.370 -0.601  -0.431 -0.771  -0.431 -0.956  -0.431 -1.142  -0.372 -1.184  -0.370 -1.000  -0.308 -0.840  -0.285 -0.658  -0.247 -0.477  -0.186 -0.307  -0.124 -0.136  -0.068 0.036  -0.026 0.205  0.060 0.365  0.166 0.497  0.313 0.606  0.476 0.659  0.647 0.624  0.754 0.479  0.796 0.300  0.796 0.115  0.796 -0.070  0.735 -0.241  0.666 -0.399  0.583 -0.564  0.471 -0.709  0.346 -0.845  0.243 -0.998  0.077 -1.081  -0.073 -1.182  -0.258 -1.182  -0.431 -1.170  -0.526 -1.054  -0.554 -0.875
1c#app#app31#app3103/r  -0.055 0.969  -0.055 0.827  -0.055 0.686  -0.055 0.545  -0.055 0.404  -0.055 0.263  -0.055 0.121  -0.055 -0.020  -0.055 -0.161  -0.055 -0.302  -0.055 -0.444  -0.055 -0.585  -0.118 -0.711  -0.181 -0.837  -0.187 -0.977  -0.287 -1.077  -0.314 -1.207  -0.429 -1.233  -0.444 -1.360  -0.582 -1.362  -0.703 -1.341  -0.703 -1.200  -0.703 -1.059  -0.703 -0.918  -0.703 -0.777  -0.703 -0.635  -0.638 -0.521  -0.573 -0.407  -0.573 -0.265  -0.522 -0.145  -0.422 -0.046  -0.322 0.054  -0.256 0.178  -0.193 0.305  -0.185 0.444  -0.089 0.546  0.011 0.646  0.110 0.746  0.210 0.845  0.310 0.945  0.442 0.969  0.583 0.969  0.724 0.969  0.865 0.969  1.007 0.969  1.148 0.969  1.275 0.934  1.376 0.836  1.502 0.773  1.628 0.710
1c#app#app31#app3103/o  0.346 0.975  0.213 0.975  0.101 0.927  -0.010 0.877  -0.143 0.877  -0.266 0.855  -0.364 0.768  -0.483 0.708  -0.571 0.619  -0.630 0.501  -0.718 0.403  -0.784 0.290  -0.835 0.170  -0.848 0.039  -0.880 -0.090  -0.912 -0.218  -0.934 -0.348  -0.934 -0.480  -0.925 -0.609  -0.835 -0.704  -0.808 -0.825  -0.708 -0.910  -0.590 -0.969  -0.486 -1.048  -0.372 -1.092  -0.239 -1.092  -0.107 -1.092  0.025 -1.092  0.156 -1.087  0.266 -1.014  0.376 -0.940  0.480 -0.859  0.574 -0.766  0.641 -0.661  0.673 -0.536  0.732 -0.418  0.739 -0.288  0.739 -0.155  0.739 -0.023  0.739 0.109  0.739 0.242  0.739 0.374  0.739 0.506  0.739 0.639  0.739 0.771  0.683 0.890  0.641 1.012  0.641 1.145  0.636 1.275  0.543 1.369
1c#app#app31#app3103/w  -0.777 1.049  -0.739 1.180  -0.684 1.304  -0.591 1.296  -0.591 1.149  -0.684 1.040  -0.684 0.893  -0.695 0.748  -0.761 0.617  -0.777 0.474  -0.777 0.327  -0.792 0.183  -0.858 0.052  -0.870 -0.093  -0.870 -0.240  -0.870 -0.387  -0.870 -0.534  -0.870 -0.681  -0.757 -0.715  -0.684 -0.640  -0.566 -0.597  -0.462 -0.493  -0.358 -0.389  -0.313 -0.260  -0.189 -0.219  -0.085 -0.115  -0.034 0.011  0.096 0.028  0.151 -0.064  0.151 -0.211  0.151 -0.358  0.151 -0.505  0.173 -0.643  0.244 -0.761  0.344 -0.808  0.491 -0.808  0.615 -0.785  0.693 -0.715  0.801 -0.622  0.839 -0.491  0.943 -0.387  1.047 -0.283  1.083 -0.150  1.149 -0.018  1.240 0.095  1.292 0.229  1.328 0.371  1.358 0.515  1.412 0.639  1.451 0.770
1c#app#app31#app3103/n  -0.542 0.965  -0.456 1.077  -0.456 1.223  -0.484 1.082  -0.548 0.949  -0.595 0.809  -0.647 0.671  -0.713 0.539  -0.779 0.407  -0.801 0.264  -0.801 0.116  -0.893 0.006  -0.959 -0.126  -0.973 -0.271  -1.038 -0.391  -1.059 -0.530  -1.053 -0.672  -0.925 -0.624  -0.821 -0.520  -0.717 -0.415  -0.612 -0.311  -0.508 -0.206  -0.389 -0.121  -0.271 -0.042  -0.205 0.090  -0.104 0.197  0.004 0.298  0.122 0.386  0.240 0.475  0.353 0.569  0.472 0.654  0.607 0.707  0.755 0.707  0.836 0.641  0.836 0.493  0.836 0.345  0.836 0.198  0.836 0.050  0.808 -0.094  0.772 -0.237  0.750 -0.382  0.750 -0.530  0.750 -0.678  0.750 -0.825  0.808 -0.959  0.836 -1.100  0.964 -1.144  1.008 -1.274  1.155 -1.275  1.267 -1.189
