2#apb#apb29#app2945/k  -1.329 0.994  -1.265 1.198  -1.210 1.401  -1.124 1.275  -1.047 1.078  -0.983 0.875  -0.900 0.678  -0.817 0.481  -0.732 0.286  -0.644 0.091  -0.557 -0.103  -0.466 -0.297  -0.375 -0.489  -0.287 -0.684  -0.210 -0.883  -0.133 -1.082  -0.079 -1.288  0.003 -1.485  -0.009 -1.285  0.049 -1.080  0.107 -0.875  0.166 -0.669  0.224 -0.464  0.282 -0.259  0.340 -0.053  0.398 0.152  0.456 0.357  0.514 0.563  0.572 0.768  0.630 0.974  0.683 1.176  0.605 0.979  0.525 0.781  0.397 0.612  0.251 0.457  0.101 0.305  -0.038 0.143  -0.188 -0.008  -0.367 -0.120  -0.417 -0.215  -0.209 -0.235  0.004 -0.239  0.215 -0.271  0.427 -0.295  0.639 -0.312  0.848 -0.357  1.051 -0.418  1.229 -0.529  1.312 -0.717  1.364 -0.914
2#apb#apb29#app2945/e  -1.386 -0.235  -1.285 -0.252  -1.118 -0.287  -0.953 -0.334  -0.784 -0.365  -0.615 -0.393  -0.445 -0.417  -0.275 -0.436  -0.104 -0.434  0.066 -0.417  0.235 -0.389  0.403 -0.352  0.540 -0.259  0.661 -0.138  0.770 -0.006  0.873 0.131  0.959 0.278  0.997 0.433  0.928 0.590  0.842 0.734  0.711 0.846  0.577 0.952  0.437 1.051  0.296 1.149  0.128 1.141  -0.043 1.124  -0.213 1.137  -0.384 1.154  -0.540 1.092  -0.655 0.966  -0.767 0.836  -0.816 0.678  -0.820 0.508  -0.803 0.337  -0.756 0.175  -0.678 0.022  -0.596 -0.128  -0.514 -0.279  -0.391 -0.389  -0.241 -0.471  -0.090 -0.552  0.066 -0.624  0.222 -0.696  0.374 -0.773  0.510 -0.878  0.645 -0.984  0.792 -1.072  0.938 -1.161  1.077 -1.261  1.225 -1.349
2#apb#apb29#app2945/e  -1.203 -0.073  -1.093 -0.073  -0.941 -0.121  -0.787 -0.168  -0.643 -0.236  -0.503 -0.316  -0.366 -0.242  -0.230 -0.157  -0.090 -0.077  0.051 0.001  0.184 0.091  0.311 0.190  0.439 0.287  0.578 0.364  0.661 0.502  0.677 0.659  0.642 0.800  0.504 0.882  0.413 1.015  0.297 1.108  0.138 1.135  -0.018 1.174  -0.164 1.179  -0.316 1.128  -0.462 1.068  -0.585 0.965  -0.675 0.833  -0.710 0.676  -0.747 0.520  -0.810 0.374  -0.779 0.217  -0.747 0.059  -0.673 -0.083  -0.590 -0.221  -0.501 -0.354  -0.395 -0.475  -0.289 -0.596  -0.170 -0.704  -0.049 -0.811  0.081 -0.898  0.239 -0.929  0.397 -0.961  0.555 -0.993  0.715 -0.996  0.876 -0.996  1.037 -0.996  1.197 -0.984  1.355 -0.953  1.513 -0.921  1.671 -0.889
2#apb#apb29#app2945/p  -0.542 0.211  -0.521 0.031  -0.453 -0.141  -0.387 -0.313  -0.318 -0.484  -0.245 -0.654  -0.201 -0.832  -0.175 -1.014  -0.095 -1.180  0.001 -1.338  0.079 -1.504  0.033 -1.496  -0.035 -1.325  -0.129 -1.166  -0.222 -1.007  -0.280 -0.832  -0.339 -0.657  -0.411 -0.487  -0.485 -0.318  -0.542 -0.143  -0.602 0.031  -0.680 0.199  -0.745 0.370  -0.778 0.552  -0.796 0.735  -0.781 0.918  -0.665 1.060  -0.521 1.175  -0.355 1.228  -0.170 1.228  0.014 1.228  0.199 1.224  0.383 1.213  0.551 1.161  0.693 1.043  0.840 0.931  0.984 0.819  1.073 0.658  1.156 0.493  1.178 0.317  1.116 0.151  1.006 0.004  0.888 -0.130  0.729 -0.223  0.551 -0.272  0.368 -0.286  0.184 -0.289  -0.000 -0.302  -0.185 -0.301  -0.369 -0.286
2#apb#apb29#app2945/v  -0.879 0.335  -0.957 0.417  -0.905 0.521  -0.846 0.620  -0.797 0.579  -0.774 0.467  -0.774 0.352  -0.786 0.237  -0.805 0.122  -0.824 0.008  -0.827 -0.107  -0.827 -0.223  -0.815 -0.337  -0.781 -0.448  -0.747 -0.559  -0.701 -0.662  -0.620 -0.744  -0.538 -0.826  -0.432 -0.873  -0.325 -0.918  -0.219 -0.964  -0.112 -1.008  -0.004 -1.051  0.103 -1.090  0.209 -1.043  0.315 -0.996  0.408 -0.929  0.478 -0.843  0.508 -0.732  0.538 -0.620  0.568 -0.508  0.584 -0.393  0.597 -0.278  0.610 -0.163  0.623 -0.048  0.637 0.067  0.653 0.182  0.669 0.296  0.684 0.411  0.700 0.526  0.706 0.641  0.706 0.757  0.706 0.873  0.706 0.989  0.702 1.104  0.692 1.220  0.682 1.335  0.611 1.417  0.505 1.445  0.389 1.445
2#apb#apb29#app2945/e  -1.072 0.149  -1.126 0.024  -0.969 -0.043  -0.821 -0.133  -0.681 -0.233  -0.527 -0.303  -0.357 -0.334  -0.191 -0.380  -0.032 -0.447  0.139 -0.468  0.305 -0.443  0.466 -0.380  0.569 -0.242  0.677 -0.107  0.799 0.015  0.793 0.184  0.777 0.356  0.730 0.522  0.679 0.687  0.595 0.838  0.510 0.989  0.419 1.135  0.298 1.250  0.139 1.308  -0.034 1.308  -0.198 1.255  -0.367 1.217  -0.503 1.114  -0.608 0.982  -0.686 0.827  -0.745 0.666  -0.782 0.497  -0.809 0.327  -0.790 0.161  -0.727 -0.001  -0.665 -0.162  -0.567 -0.304  -0.468 -0.445  -0.351 -0.572  -0.229 -0.694  -0.099 -0.805  0.060 -0.873  0.219 -0.941  0.382 -0.999  0.549 -1.043  0.716 -1.088  0.886 -1.104  1.059 -1.104  1.231 -1.094  1.403 -1.073
2#apb#apb29#app2945/x  -1.606 0.596  -1.464 0.513  -1.352 0.376  -1.258 0.226  -1.167 0.074  -1.022 -0.023  -0.869 -0.112  -0.710 -0.189  -0.546 -0.254  -0.382 -0.320  -0.220 -0.393  -0.060 -0.468  0.100 -0.543  0.261 -0.617  0.422 -0.691  0.583 -0.763  0.740 -0.843  0.885 -0.934  0.893 -0.788  0.867 -0.613  0.842 -0.438  0.817 -0.263  0.791 -0.088  0.766 0.087  0.741 0.263  0.715 0.438  0.690 0.613  0.665 0.788  0.639 0.963  0.614 1.138  0.589 1.313  0.597 1.416  0.535 1.291  0.443 1.141  0.342 0.996  0.283 0.832  0.240 0.660  0.197 0.488  0.106 0.337  0.011 0.188  -0.076 0.034  -0.160 -0.122  -0.242 -0.279  -0.316 -0.439  -0.390 -0.600  -0.499 -0.738  -0.618 -0.869  -0.720 -1.012  -0.807 -1.166  -0.886 -1.204
2#apb#apb29#app2945/i  -0.042 -0.082  -0.042 -0.098  -0.042 -0.199  -0.056 -0.300  -0.076 -0.399  -0.096 -0.499  -0.117 -0.599  -0.139 -0.698  -0.160 -0.797  -0.186 -0.896  -0.215 -0.993  -0.244 -1.090  -0.244 -1.192  -0.244 -1.294  -0.244 -1.395  -0.163 -1.394  -0.133 -1.309  -0.121 -1.208  -0.108 -1.107  -0.096 -1.006  -0.084 -0.905  -0.071 -0.805  -0.059 -0.704  -0.046 -0.603  -0.034 -0.502  -0.022 -0.401  -0.009 -0.300  0.003 -0.199  0.016 -0.098  0.028 0.003  0.041 0.104  0.053 0.205  0.065 0.305  0.078 0.406  0.090 0.507  0.103 0.608  0.115 0.709  0.127 0.810  0.140 0.911  0.152 1.012  0.165 1.113  0.177 1.214  0.189 1.315  0.202 1.415  0.214 1.516  0.227 1.617  0.244 1.717  0.238 1.811  0.192 1.846  0.234 1.929
2#apb#apb29#app2945/n  -0.465 0.362  -0.562 0.289  -0.591 0.149  -0.626 0.010  -0.683 -0.121  -0.742 -0.252  -0.777 -0.390  -0.805 -0.530  -0.820 -0.672  -0.830 -0.812  -0.916 -0.927  -0.902 -1.056  -0.838 -0.939  -0.784 -0.806  -0.735 -0.672  -0.689 -0.536  -0.644 -0.400  -0.618 -0.260  -0.605 -0.118  -0.592 0.025  -0.571 0.167  -0.562 0.309  -0.562 0.453  -0.480 0.568  -0.399 0.687  -0.310 0.796  -0.186 0.867  -0.067 0.946  0.043 1.038  0.174 1.071  0.315 1.066  0.430 0.980  0.566 0.936  0.703 0.895  0.797 0.802  0.861 0.674  0.922 0.545  0.980 0.414  1.032 0.281  1.073 0.143  1.114 0.006  1.114 -0.137  1.114 -0.280  1.064 -0.415  1.013 -0.548  0.943 -0.673  0.873 -0.799  0.814 -0.929  0.754 -1.056  0.663 -1.152
2#apb#apb29#app2945/g  0.448 0.656  0.502 0.767  0.538 0.887  0.496 0.995  0.383 1.031  0.261 1.046  0.140 1.079  0.019 1.110  -0.103 1.116  -0.223 1.083  -0.337 1.032  -0.449 0.976  -0.484 0.862  -0.449 0.747  -0.358 0.663  -0.252 0.596  -0.147 0.529  -0.040 0.464  0.066 0.398  0.190 0.394  0.313 0.401  0.425 0.457  0.540 0.485  0.553 0.536  0.486 0.513  0.486 0.389  0.486 0.264  0.492 0.139  0.500 0.014  0.501 -0.110  0.492 -0.235  0.475 -0.358  0.441 -0.478  0.404 -0.597  0.351 -0.711  0.299 -0.824  0.207 -0.908  0.115 -0.992  0.004 -1.047  -0.112 -1.092  -0.229 -1.137  -0.346 -1.179  -0.464 -1.221  -0.582 -1.262  -0.705 -1.275  -0.830 -1.275  -0.955 -1.275  -1.079 -1.275  -1.191 -1.232  -1.276 -1.144
2#apb#apb29#app2945/m  -0.856 0.215  -0.756 0.373  -0.624 0.496  -0.628 0.371  -0.656 0.186  -0.683 0.000  -0.713 -0.184  -0.755 -0.367  -0.790 -0.551  -0.801 -0.734  -0.783 -0.916  -0.827 -1.077  -0.964 -0.966  -1.029 -0.793  -1.054 -0.608  -1.054 -0.421  -1.054 -0.234  -1.044 -0.049  -0.960 0.118  -0.887 0.290  -0.809 0.456  -0.668 0.580  -0.522 0.678  -0.343 0.714  -0.163 0.744  -0.002 0.658  0.131 0.538  0.195 0.362  0.237 0.180  0.255 -0.006  0.273 -0.192  0.309 -0.376  0.297 -0.560  0.340 -0.479  0.417 -0.310  0.517 -0.152  0.627 -0.001  0.729 0.157  0.821 0.319  0.899 0.489  1.017 0.633  1.167 0.656  1.320 0.592  1.408 0.427  1.457 0.248  1.476 0.063  1.455 -0.121  1.402 -0.301  1.356 -0.482  1.322 -0.665
