3#app#app41#app4100/{  0.312 1.267  0.425 1.267  0.446 1.360  0.518 1.401  0.543 1.365  0.463 1.284  0.383 1.204  0.312 1.120  0.312 1.006  0.205 0.998  0.117 0.938  0.034 0.864  -0.080 0.864  -0.091 0.762  -0.173 0.730  -0.226 0.668  -0.185 0.596  -0.071 0.596  0.043 0.596  0.156 0.596  0.177 0.503  0.177 0.389  0.177 0.276  0.155 0.171  0.075 0.090  -0.025 0.058  -0.091 0.011  -0.118 -0.076  -0.226 -0.082  -0.226 -0.196  -0.126 -0.210  -0.091 -0.289  -0.091 -0.403  -0.091 -0.517  -0.091 -0.630  -0.091 -0.744  -0.202 -0.747  -0.226 -0.837  -0.295 -0.882  -0.360 -0.930  -0.360 -1.044  -0.360 -1.158  -0.360 -1.271  -0.360 -1.385  -0.303 -1.475  -0.222 -1.553  -0.108 -1.553  -0.023 -1.621  0.064 -1.687  0.177 -1.687
3#app#app41#app4100/B  -0.093 1.144  -0.093 0.896  -0.093 0.648  -0.222 0.454  -0.280 0.230  -0.308 -0.007  -0.467 -0.189  -0.467 -0.437  -0.467 -0.685  -0.321 -0.872  -0.277 -1.101  -0.113 -1.040  -0.191 -0.805  -0.270 -0.570  -0.348 -0.334  -0.427 -0.099  -0.505 0.136  -0.584 0.372  -0.662 0.607  -0.741 0.842  -0.819 1.078  -0.664 1.144  -0.467 1.196  -0.355 1.331  -0.107 1.331  0.141 1.331  0.389 1.331  0.638 1.331  0.655 1.101  0.582 0.884  0.407 0.708  0.231 0.533  0.056 0.358  -0.093 0.171  0.006 0.022  0.254 0.022  0.437 -0.134  0.655 -0.182  0.655 -0.430  0.794 -0.539  0.843 -0.739  0.843 -0.987  0.708 -1.101  0.647 -1.288  0.399 -1.288  0.281 -1.418  0.090 -1.475  -0.093 -1.410  -0.093 -1.162  -0.093 -0.914
3#app#app41#app4100/r  -0.546 -0.322  -0.546 -0.432  -0.546 -0.542  -0.546 -0.652  -0.546 -0.762  -0.546 -0.872  -0.546 -0.982  -0.546 -1.092  -0.546 -1.202  -0.542 -1.307  -0.432 -1.307  -0.322 -1.307  -0.218 -1.301  -0.218 -1.191  -0.218 -1.081  -0.218 -0.971  -0.218 -0.861  -0.218 -0.751  -0.218 -0.641  -0.218 -0.531  -0.218 -0.421  -0.218 -0.311  -0.218 -0.201  -0.218 -0.091  -0.218 0.019  -0.218 0.129  -0.218 0.239  -0.218 0.349  -0.218 0.459  -0.218 0.569  -0.218 0.679  -0.218 0.789  -0.218 0.899  -0.200 0.991  -0.090 0.991  0.020 0.991  0.130 0.991  0.240 0.991  0.350 0.991  0.460 0.991  0.570 0.991  0.680 0.991  0.783 0.975  0.861 0.897  0.939 0.819  1.016 0.742  1.094 0.664  1.204 0.663  1.314 0.663  1.424 0.663
3#app#app41#app4100/a  0.757 1.523  0.609 1.523  0.460 1.523  0.312 1.523  0.164 1.523  0.015 1.523  -0.058 1.449  -0.058 1.300  -0.058 1.152  -0.137 1.036  -0.242 0.932  -0.347 0.827  -0.452 0.722  -0.466 0.579  -0.466 0.431  -0.466 0.283  -0.466 0.134  -0.466 -0.014  -0.521 -0.107  -0.669 -0.107  -0.817 -0.107  -0.873 -0.199  -0.873 -0.348  -0.873 -0.496  -0.782 -0.606  -0.677 -0.711  -0.572 -0.816  -0.467 -0.921  -0.319 -0.922  -0.171 -0.922  -0.058 -0.887  -0.058 -0.739  -0.058 -0.590  0.014 -0.515  0.163 -0.515  0.311 -0.515  0.349 -0.405  0.349 -0.256  0.349 -0.108  0.349 -0.254  0.349 -0.403  0.386 -0.515  0.534 -0.515  0.682 -0.515  0.757 -0.588  0.757 -0.737  0.757 -0.885  0.868 -0.922  1.016 -0.922  1.165 -0.922
3#app#app41#app4100/c  0.791 1.340  0.694 1.340  0.596 1.340  0.499 1.340  0.401 1.340  0.373 1.271  0.373 1.174  0.373 1.076  0.373 0.979  0.332 0.922  0.235 0.922  0.138 0.922  0.040 0.922  -0.054 0.914  -0.123 0.845  -0.192 0.776  -0.261 0.707  -0.330 0.638  -0.398 0.569  -0.464 0.499  -0.464 0.401  -0.464 0.304  -0.464 0.206  -0.464 0.109  -0.464 0.011  -0.464 -0.086  -0.464 -0.183  -0.464 -0.281  -0.464 -0.378  -0.464 -0.476  -0.464 -0.573  -0.464 -0.671  -0.447 -0.752  -0.350 -0.752  -0.252 -0.752  -0.155 -0.752  -0.057 -0.752  -0.046 -0.837  -0.046 -0.935  -0.046 -1.032  -0.046 -1.130  0.012 -1.170  0.109 -1.170  0.206 -1.170  0.304 -1.170  0.401 -1.170  0.499 -1.170  0.596 -1.170  0.694 -1.170  0.791 -1.170
3#app#app41#app4100/e  -0.758 -0.080  -0.601 -0.080  -0.445 -0.080  -0.289 -0.080  -0.132 -0.080  0.024 -0.080  0.181 -0.080  0.337 -0.080  0.494 -0.080  0.650 -0.080  0.807 -0.080  0.891 -0.008  0.891 0.148  0.891 0.304  0.891 0.461  0.891 0.617  0.891 0.774  0.891 0.930  0.891 1.087  0.887 1.239  0.731 1.239  0.574 1.239  0.460 1.137  0.349 1.027  0.239 0.916  0.085 0.909  -0.071 0.909  -0.190 0.818  -0.300 0.707  -0.411 0.596  -0.428 0.447  -0.428 0.290  -0.510 0.168  -0.620 0.057  -0.731 -0.053  -0.758 -0.199  -0.758 -0.355  -0.758 -0.512  -0.758 -0.668  -0.758 -0.825  -0.758 -0.981  -0.690 -1.070  -0.534 -1.070  -0.428 -1.121  -0.428 -1.277  -0.394 -1.400  -0.238 -1.400  -0.081 -1.400  0.075 -1.400  0.232 -1.400
3#app#app41#app4100/Y  -0.908 0.727  -0.749 0.727  -0.677 0.640  -0.667 0.486  -0.554 0.373  -0.446 0.259  -0.446 0.100  -0.353 0.034  -0.215 0.013  -0.215 -0.146  -0.139 -0.273  -0.027 -0.385  0.028 -0.329  0.048 -0.171  0.067 -0.014  0.087 0.144  0.107 0.302  0.126 0.459  0.146 0.617  0.166 0.775  0.185 0.932  0.205 1.090  0.225 1.247  0.245 1.405  0.391 1.420  0.477 1.347  0.477 1.189  0.365 1.076  0.252 0.964  0.246 0.807  0.246 0.649  0.246 0.490  0.246 0.331  0.246 0.172  0.231 0.019  0.119 -0.093  0.016 -0.209  0.016 -0.368  0.016 -0.527  0.016 -0.686  0.016 -0.845  0.016 -1.003  0.016 -1.162  0.016 -1.321  0.016 -1.480  0.016 -1.639  0.016 -1.798  0.016 -1.957  0.016 -2.116  0.016 -2.274
3#app#app41#app4100/o  -0.099 0.987  -0.099 0.839  -0.099 0.692  -0.151 0.567  -0.255 0.463  -0.359 0.359  -0.463 0.255  -0.465 0.108  -0.465 -0.039  -0.537 -0.114  -0.685 -0.114  -0.832 -0.114  -0.832 -0.261  -0.832 -0.408  -0.832 -0.555  -0.832 -0.702  -0.831 -0.849  -0.727 -0.953  -0.623 -1.057  -0.519 -1.161  -0.394 -1.215  -0.247 -1.215  -0.100 -1.215  0.048 -1.215  0.195 -1.215  0.320 -1.162  0.424 -1.058  0.529 -0.954  0.633 -0.850  0.635 -0.704  0.635 -0.557  0.635 -0.410  0.635 -0.263  0.635 -0.116  0.635 0.032  0.635 0.179  0.635 0.326  0.635 0.473  0.635 0.620  0.635 0.767  0.635 0.915  0.582 1.040  0.478 1.144  0.374 1.248  0.270 1.352  0.123 1.353  -0.024 1.353  -0.099 1.281  -0.099 1.134  -0.099 0.987
3#app#app41#app4100/u  -0.881 1.662  -0.881 1.465  -0.881 1.267  -0.881 1.070  -0.881 0.873  -0.881 0.676  -0.881 0.479  -0.881 0.281  -0.881 0.084  -0.881 -0.113  -0.881 -0.310  -0.851 -0.495  -0.712 -0.635  -0.573 -0.774  -0.526 -0.952  -0.526 -1.149  -0.355 -1.176  -0.171 -1.163  -0.171 -0.965  -0.118 -0.821  0.079 -0.821  0.184 -0.728  0.184 -0.531  0.277 -0.373  0.417 -0.233  0.538 -0.087  0.538 0.111  0.538 0.308  0.538 0.505  0.538 0.702  0.538 0.899  0.538 1.097  0.538 1.294  0.538 1.123  0.520 0.934  0.380 0.794  0.241 0.655  0.184 0.481  0.184 0.284  0.184 0.087  0.184 -0.110  0.380 -0.112  0.538 -0.150  0.538 -0.347  0.538 -0.545  0.538 -0.742  0.656 -0.821  0.853 -0.821  0.893 -0.979  0.893 -1.176
3#app#app41#app4100/r  -0.598 0.044  -0.598 -0.056  -0.598 -0.156  -0.598 -0.257  -0.598 -0.357  -0.598 -0.457  -0.598 -0.557  -0.598 -0.658  -0.598 -0.758  -0.598 -0.858  -0.598 -0.958  -0.598 -1.059  -0.598 -1.159  -0.598 -1.259  -0.533 -1.201  -0.462 -1.130  -0.391 -1.059  -0.320 -0.988  -0.249 -0.918  -0.178 -0.847  -0.161 -0.753  -0.161 -0.653  -0.161 -0.553  -0.161 -0.453  -0.133 -0.364  -0.062 -0.293  0.009 -0.223  0.080 -0.152  0.151 -0.081  0.222 -0.010  0.276 0.068  0.276 0.168  0.276 0.269  0.276 0.369  0.276 0.469  0.338 0.543  0.409 0.614  0.480 0.685  0.551 0.756  0.622 0.827  0.693 0.898  0.713 0.990  0.713 1.090  0.713 1.190  0.713 1.291  0.713 1.391  0.713 1.491  0.713 1.591  0.713 1.692  0.713 1.792
3#app#app41#app4100/s  0.231 1.421  0.157 1.348  0.084 1.275  0.010 1.201  -0.063 1.128  -0.165 1.123  -0.269 1.123  -0.373 1.123  -0.477 1.123  -0.581 1.123  -0.664 1.102  -0.664 0.999  -0.664 0.895  -0.664 0.791  -0.664 0.687  -0.664 0.583  -0.664 0.479  -0.664 0.375  -0.664 0.271  -0.621 0.185  -0.547 0.112  -0.474 0.039  -0.400 -0.035  -0.311 -0.070  -0.207 -0.070  -0.103 -0.070  0.001 -0.070  0.105 -0.070  0.209 -0.070  0.288 -0.127  0.362 -0.201  0.435 -0.274  0.509 -0.348  0.529 -0.443  0.529 -0.547  0.529 -0.651  0.592 -0.729  0.665 -0.802  0.739 -0.876  0.812 -0.949  0.768 -1.023  0.695 -1.096  0.621 -1.170  0.548 -1.243  0.452 -1.262  0.348 -1.262  0.244 -1.262  0.140 -1.262  0.036 -1.262  -0.068 -1.262
