2#app#app14#app1445/2  -0.913 0.740  -0.829 0.824  -0.734 0.885  -0.624 0.893  -0.624 1.012  -0.522 1.029  -0.403 1.029  -0.299 1.065  -0.215 1.149  -0.105 1.174  0.014 1.174  0.133 1.174  0.252 1.174  0.371 1.174  0.387 1.071  0.333 0.975  0.249 0.891  0.243 0.774  0.243 0.655  0.201 0.553  0.117 0.469  0.099 0.358  0.099 0.239  0.068 0.132  -0.016 0.048  -0.080 -0.051  -0.133 -0.157  -0.187 -0.264  -0.190 -0.382  -0.251 -0.476  -0.335 -0.560  -0.335 -0.679  -0.401 -0.771  -0.479 -0.857  -0.479 -0.976  -0.407 -1.066  -0.318 -1.138  -0.199 -1.138  -0.080 -1.138  0.039 -1.138  0.158 -1.138  0.267 -1.114  0.351 -1.030  0.455 -0.993  0.574 -0.993  0.693 -0.993  0.813 -0.993  0.899 -0.915  0.991 -0.849  1.110 -0.849
2#app#app14#app1445/^  -1.657 -0.743  -1.531 -0.743  -1.406 -0.743  -1.406 -0.618  -1.406 -0.493  -1.281 -0.492  -1.155 -0.492  -1.155 -0.368  -1.155 -0.242  -1.030 -0.242  -0.905 -0.242  -0.816 -0.154  -0.728 -0.065  -0.633 0.009  -0.508 0.009  -0.403 0.029  -0.403 0.155  -0.382 0.260  -0.257 0.260  -0.138 0.274  -0.049 0.363  0.040 0.451  0.128 0.540  0.217 0.628  0.305 0.717  0.394 0.806  0.483 0.894  0.571 0.983  0.541 0.953  0.452 0.864  0.364 0.776  0.424 0.687  0.513 0.598  0.600 0.509  0.600 0.384  0.600 0.259  0.600 0.133  0.601 0.009  0.727 0.009  0.851 0.008  0.851 -0.117  0.851 -0.242  0.851 -0.368  0.851 -0.493  0.851 -0.618  0.851 -0.743  0.977 -0.743  1.102 -0.743  1.102 -0.869  1.102 -0.994
2#app#app14#app1445/0  -0.679 0.234  -0.629 0.106  -0.551 0.206  -0.535 0.379  -0.422 0.511  -0.352 0.621  -0.293 0.741  -0.172 0.870  -0.036 0.917  0.054 1.007  0.104 1.136  0.284 1.136  0.430 1.056  0.589 1.007  0.630 0.856  0.737 0.721  0.792 0.565  0.865 0.416  0.865 0.237  0.865 0.058  0.865 -0.121  0.865 -0.300  0.843 -0.476  0.787 -0.646  0.727 -0.815  0.647 -0.975  0.608 -1.145  0.507 -1.282  0.381 -1.409  0.214 -1.439  0.035 -1.439  -0.144 -1.439  -0.277 -1.327  -0.404 -1.200  -0.530 -1.073  -0.560 -0.905  -0.640 -0.745  -0.679 -0.575  -0.679 -0.396  -0.679 -0.216  -0.679 -0.037  -0.679 0.142  -0.679 0.321  -0.679 0.500  -0.621 0.621  -0.551 0.730  -0.391 0.749  -0.212 0.749  -0.034 0.747  0.093 0.621
2#app#app14#app1445/=  -1.091 -1.312  -0.997 -1.219  -0.904 -1.125  -0.811 -1.032  -0.683 -1.022  -0.551 -1.022  -0.419 -1.022  -0.287 -1.022  -0.174 -0.975  -0.081 -0.882  0.012 -0.789  0.121 -0.732  0.253 -0.732  0.385 -0.732  0.517 -0.732  0.649 -0.732  0.781 -0.732  0.913 -0.732  0.862 -0.657  0.769 -0.563  0.676 -0.470  0.582 -0.377  0.489 -0.284  0.396 -0.190  0.303 -0.097  0.209 -0.004  0.116 0.090  0.023 0.183  -0.071 0.276  -0.164 0.370  -0.257 0.463  -0.351 0.556  -0.444 0.650  -0.537 0.743  -0.631 0.836  -0.724 0.930  -0.778 1.007  -0.646 1.007  -0.514 1.007  -0.382 1.007  -0.250 1.007  -0.118 1.007  0.014 1.007  0.146 1.007  0.278 1.007  0.410 1.007  0.542 1.007  0.674 1.007  0.806 1.007  0.938 1.007
2#app#app14#app1445/1  -0.298 1.647  -0.298 1.575  -0.298 1.504  -0.279 1.440  -0.228 1.389  -0.178 1.339  -0.127 1.288  -0.110 1.224  -0.110 1.152  -0.110 1.081  -0.110 1.009  -0.110 0.938  -0.110 0.866  -0.110 0.795  -0.110 0.723  -0.085 0.657  -0.053 0.593  -0.021 0.529  0.011 0.465  0.043 0.402  0.075 0.338  0.078 0.267  0.078 0.195  0.078 0.124  0.078 0.052  0.078 -0.019  0.078 -0.091  0.078 -0.162  0.078 -0.234  0.078 -0.305  0.078 -0.377  0.078 -0.448  0.078 -0.520  0.078 -0.592  0.078 -0.663  0.078 -0.735  0.078 -0.806  0.078 -0.878  0.078 -0.949  0.078 -1.021  0.078 -1.092  0.078 -1.164  0.078 -1.235  0.078 -1.307  0.078 -1.378  0.078 -1.450  0.078 -1.521  0.123 -1.548  0.194 -1.548  0.266 -1.548
2#app#app14#app1445/0  -0.655 0.444  -0.549 0.549  -0.519 0.686  -0.399 0.716  -0.383 0.849  -0.279 0.956  -0.173 1.062  -0.110 1.185  -0.036 1.261  0.113 1.261  0.263 1.261  0.379 1.181  0.505 1.125  0.571 1.041  0.571 0.892  0.649 0.774  0.708 0.649  0.708 0.499  0.708 0.350  0.708 0.200  0.708 0.051  0.708 -0.099  0.708 -0.249  0.708 -0.398  0.691 -0.544  0.624 -0.678  0.549 -0.805  0.443 -0.911  0.433 -1.057  0.328 -1.163  0.222 -1.268  0.097 -1.328  -0.053 -1.328  -0.202 -1.328  -0.352 -1.328  -0.383 -1.209  -0.476 -1.098  -0.582 -0.992  -0.655 -0.873  -0.655 -0.723  -0.655 -0.574  -0.655 -0.424  -0.655 -0.274  -0.655 -0.125  -0.655 0.025  -0.653 0.173  -0.547 0.279  -0.519 0.417  -0.396 0.444  -0.246 0.444
2#app#app14#app1445/^  -1.347 -0.926  -1.347 -0.789  -1.347 -0.653  -1.252 -0.611  -1.116 -0.611  -1.032 -0.558  -1.032 -0.422  -1.021 -0.296  -0.885 -0.296  -0.748 -0.296  -0.643 -0.222  -0.546 -0.125  -0.450 -0.029  -0.403 0.088  -0.403 0.224  -0.375 0.333  -0.238 0.333  -0.102 0.333  -0.088 0.455  -0.088 0.592  -0.088 0.728  -0.088 0.865  -0.049 0.962  0.087 0.962  0.224 0.962  0.227 1.096  0.227 1.232  0.227 1.185  0.227 1.049  0.227 0.912  0.227 0.776  0.232 0.642  0.329 0.545  0.425 0.449  0.522 0.353  0.541 0.224  0.541 0.088  0.541 -0.048  0.541 -0.185  0.559 -0.314  0.655 -0.410  0.752 -0.507  0.848 -0.603  0.856 -0.737  0.856 -0.873  0.856 -1.009  0.856 -1.146  0.898 -1.240  1.034 -1.240  1.171 -1.240
2#app#app14#app1445/0  -0.490 0.269  -0.345 0.286  -0.345 0.448  -0.345 0.610  -0.345 0.772  -0.285 0.909  -0.201 1.036  -0.201 1.198  -0.124 1.283  -0.056 1.377  0.055 1.428  0.089 1.300  0.234 1.283  0.247 1.126  0.361 1.011  0.476 0.897  0.524 0.755  0.524 0.593  0.524 0.431  0.589 0.284  0.661 0.139  0.669 -0.021  0.669 -0.183  0.669 -0.345  0.669 -0.507  0.638 -0.662  0.566 -0.807  0.524 -0.959  0.524 -1.121  0.421 -1.180  0.379 -1.300  0.282 -1.422  0.140 -1.470  -0.022 -1.470  -0.146 -1.379  -0.261 -1.265  -0.345 -1.138  -0.388 -0.993  -0.490 -0.874  -0.514 -0.721  -0.629 -0.607  -0.635 -0.448  -0.635 -0.286  -0.635 -0.124  -0.635 0.038  -0.635 0.200  -0.635 0.363  -0.525 0.414  -0.363 0.414  -0.201 0.414
2#app#app14#app1445/=  -1.333 0.282  -1.221 0.394  -1.110 0.506  -0.973 0.559  -0.815 0.559  -0.657 0.559  -0.505 0.564  -0.505 0.722  -0.459 0.835  -0.301 0.835  -0.143 0.835  0.015 0.835  0.174 0.835  0.324 0.842  0.324 1.001  0.372 1.111  0.530 1.111  0.600 1.024  0.600 0.866  0.728 0.835  0.871 0.828  0.768 0.708  0.665 0.588  0.562 0.468  0.459 0.348  0.356 0.227  0.253 0.107  0.150 -0.013  0.047 -0.133  -0.056 -0.253  -0.158 -0.373  -0.261 -0.493  -0.364 -0.613  -0.467 -0.733  -0.570 -0.853  -0.673 -0.973  -0.776 -1.093  -0.630 -1.099  -0.472 -1.099  -0.314 -1.099  -0.156 -1.099  0.002 -1.099  0.160 -1.099  0.319 -1.099  0.432 -0.991  0.544 -0.879  0.679 -0.823  0.837 -0.823  0.995 -0.823  1.153 -0.823
2#app#app14#app1445/x  -1.488 0.461  -1.286 0.461  -1.098 0.428  -0.955 0.285  -0.760 0.268  -0.617 0.125  -0.424 0.104  -0.280 -0.034  -0.240 -0.220  -0.071 -0.253  -0.051 -0.441  0.092 -0.584  0.234 -0.727  0.296 -0.903  0.394 -1.064  0.474 -1.233  0.481 -1.211  0.494 -1.010  0.506 -0.808  0.519 -0.606  0.531 -0.405  0.544 -0.203  0.557 -0.002  0.569 0.200  0.582 0.401  0.594 0.603  0.607 0.805  0.620 1.006  0.632 1.208  0.645 1.409  0.732 1.531  0.758 1.458  0.652 1.300  0.598 1.120  0.456 0.978  0.313 0.835  0.296 0.640  0.206 0.459  0.114 0.279  -0.029 0.137  -0.172 -0.006  -0.287 -0.169  -0.377 -0.350  -0.496 -0.509  -0.596 -0.670  -0.680 -0.788  -0.775 -0.896  -0.906 -0.966  -0.953 -1.121  -0.953 -1.323
2#app#app14#app1445/^  -1.529 -0.489  -1.529 -0.628  -1.529 -0.767  -1.529 -0.690  -1.529 -0.550  -1.452 -0.489  -1.313 -0.489  -1.179 -0.468  -1.054 -0.406  -0.930 -0.344  -0.805 -0.281  -0.681 -0.219  -0.566 -0.143  -0.468 -0.045  -0.369 0.053  -0.262 0.129  -0.122 0.129  0.015 0.130  0.015 0.270  0.015 0.409  0.125 0.438  0.264 0.438  0.324 0.517  0.324 0.656  0.358 0.781  0.457 0.879  0.555 0.978  0.633 1.027  0.633 0.888  0.633 0.749  0.496 0.747  0.357 0.747  0.431 0.747  0.570 0.747  0.633 0.671  0.633 0.532  0.633 0.393  0.633 0.254  0.633 0.114  0.633 -0.025  0.633 -0.164  0.633 -0.303  0.633 -0.442  0.633 -0.581  0.633 -0.720  0.633 -0.859  0.633 -0.998  0.664 -1.107  0.803 -1.107  0.942 -1.107
