3#apa#apa13#app1303/j  0.520 0.420  0.550 0.306  0.604 0.203  0.604 0.077  0.604 -0.049  0.604 -0.175  0.604 -0.301  0.604 -0.427  0.604 -0.553  0.520 -0.594  0.520 -0.720  0.434 -0.761  0.345 -0.850  0.253 -0.935  0.141 -0.992  0.020 -1.012  -0.071 -1.097  -0.197 -1.097  -0.323 -1.097  -0.449 -1.097  -0.575 -1.097  -0.701 -1.097  -0.802 -1.038  -0.792 -0.930  -0.741 -0.815  -0.691 -0.699  -0.640 -0.584  -0.590 -0.468  -0.539 -0.353  -0.489 -0.238  -0.438 -0.122  -0.388 -0.007  -0.338 0.108  -0.287 0.224  -0.237 0.339  -0.186 0.454  -0.136 0.570  -0.085 0.685  -0.035 0.800  0.016 0.916  0.066 1.031  0.117 1.147  0.167 1.262  0.218 1.377  0.268 1.493  0.319 1.608  0.352 1.640  0.267 1.598  0.225 1.515  0.183 1.431
3#apa#apa13#app1303/o  -0.809 0.780  -0.907 0.751  -0.907 0.625  -0.907 0.498  -0.989 0.406  -1.004 0.286  -1.004 0.159  -1.004 0.033  -1.004 -0.094  -0.965 -0.214  -0.925 -0.334  -0.907 -0.458  -0.907 -0.584  -0.850 -0.697  -0.774 -0.779  -0.667 -0.824  -0.562 -0.876  -0.435 -0.876  -0.309 -0.876  -0.182 -0.876  -0.056 -0.876  0.070 -0.875  0.184 -0.819  0.297 -0.762  0.410 -0.705  0.523 -0.649  0.636 -0.592  0.729 -0.508  0.837 -0.443  0.945 -0.384  0.969 -0.267  1.059 -0.178  1.140 -0.085  1.140 0.041  1.140 0.168  1.139 0.294  1.049 0.383  0.960 0.473  0.870 0.562  0.763 0.627  0.650 0.684  0.537 0.740  0.420 0.780  0.293 0.780  0.177 0.823  0.064 0.880  -0.049 0.936  -0.166 0.975  -0.293 0.975  -0.419 0.975
3#apa#apa13#app1303/u  -1.312 0.953  -1.312 0.800  -1.312 0.648  -1.312 0.495  -1.312 0.343  -1.244 0.218  -1.178 0.093  -1.178 -0.060  -1.178 -0.212  -1.096 -0.330  -1.045 -0.462  -0.974 -0.585  -0.866 -0.693  -0.750 -0.781  -0.598 -0.781  -0.445 -0.781  -0.293 -0.781  -0.140 -0.781  -0.024 -0.694  0.084 -0.586  0.192 -0.478  0.300 -0.370  0.408 -0.262  0.516 -0.154  0.623 -0.047  0.689 0.079  0.724 0.223  0.793 0.359  0.822 0.505  0.822 0.657  0.822 0.810  0.822 0.962  0.794 1.086  0.641 1.086  0.556 1.019  0.495 0.892  0.422 0.769  0.422 0.617  0.422 0.464  0.422 0.312  0.422 0.159  0.422 0.007  0.422 -0.146  0.422 -0.298  0.472 -0.431  0.556 -0.548  0.593 -0.685  0.701 -0.793  0.809 -0.901  0.956 -0.915
3#apa#apa13#app1303/r  -0.810 0.654  -0.810 0.514  -0.747 0.401  -0.648 0.302  -0.550 0.204  -0.451 0.105  -0.430 -0.025  -0.388 -0.148  -0.290 -0.246  -0.240 -0.365  -0.240 -0.504  -0.240 -0.644  -0.164 -0.752  -0.065 -0.850  -0.050 -0.983  0.017 -1.056  0.140 -1.072  0.140 -1.212  0.140 -1.351  0.140 -1.381  0.140 -1.242  0.140 -1.102  0.047 -1.056  -0.050 -1.013  -0.050 -0.874  -0.050 -0.734  -0.131 -0.676  -0.240 -0.645  -0.240 -0.506  -0.240 -0.367  -0.240 -0.227  -0.240 -0.088  -0.240 0.052  -0.240 0.191  -0.240 0.331  -0.236 0.468  -0.137 0.567  -0.038 0.665  0.060 0.764  0.159 0.863  0.257 0.961  0.356 1.060  0.455 1.158  0.562 1.245  0.687 1.307  0.811 1.369  0.940 1.414  1.080 1.414  1.181 1.505  1.280 1.604
3#apa#apa13#app1303/n  -0.789 1.181  -0.789 1.017  -0.789 0.853  -0.789 0.689  -0.789 0.525  -0.789 0.361  -0.785 0.199  -0.670 0.083  -0.650 -0.072  -0.650 -0.236  -0.650 -0.400  -0.650 -0.564  -0.650 -0.728  -0.650 -0.892  -0.650 -1.056  -0.624 -1.194  -0.510 -1.244  -0.510 -1.259  -0.440 -1.124  -0.370 -0.989  -0.370 -0.825  -0.290 -0.694  -0.231 -0.555  -0.231 -0.391  -0.231 -0.227  -0.163 -0.080  -0.091 0.067  -0.078 0.228  -0.005 0.375  0.049 0.526  0.049 0.690  0.090 0.844  0.163 0.991  0.264 1.117  0.402 1.181  0.537 1.112  0.607 0.977  0.647 0.822  0.720 0.676  0.747 0.518  0.838 0.392  0.887 0.248  0.887 0.084  0.888 -0.079  0.962 -0.226  1.040 -0.369  1.156 -0.485  1.176 -0.635  1.330 -0.659  1.445 -0.775
3#apa#apa13#app1303/e  -0.561 -0.310  -0.441 -0.430  -0.272 -0.431  -0.102 -0.431  0.061 -0.415  0.181 -0.295  0.287 -0.170  0.355 -0.068  0.408 0.048  0.524 0.170  0.529 0.337  0.529 0.507  0.467 0.662  0.408 0.818  0.347 0.962  0.287 1.107  0.275 1.264  0.166 1.325  0.056 1.385  -0.109 1.369  -0.261 1.293  -0.319 1.159  -0.427 1.034  -0.508 0.886  -0.597 0.744  -0.717 0.624  -0.803 0.490  -0.803 0.321  -0.905 0.193  -0.924 0.031  -0.924 -0.138  -0.924 -0.308  -0.850 -0.460  -0.803 -0.618  -0.689 -0.674  -0.640 -0.795  -0.497 -0.859  -0.351 -0.916  -0.182 -0.916  -0.012 -0.916  0.157 -0.916  0.327 -0.916  0.471 -0.853  0.614 -0.774  0.778 -0.733  0.943 -0.691  1.110 -0.674  1.280 -0.674  1.449 -0.674  1.619 -0.674
3#apa#apa13#app1303/y  0.975 1.117  0.975 0.956  0.905 0.812  0.799 0.693  0.729 0.562  0.666 0.416  0.564 0.294  0.492 0.150  0.420 0.006  0.318 -0.116  0.267 -0.268  0.193 -0.406  0.079 -0.519  0.005 -0.661  -0.067 -0.805  -0.139 -0.948  -0.211 -1.092  -0.257 -1.242  -0.318 -1.388  -0.419 -1.511  -0.496 -1.595  -0.500 -1.606  -0.490 -1.446  -0.481 -1.286  -0.471 -1.125  -0.462 -0.965  -0.452 -0.805  -0.443 -0.644  -0.434 -0.484  -0.424 -0.323  -0.415 -0.163  -0.405 -0.003  -0.396 0.158  -0.386 0.318  -0.377 0.478  -0.368 0.639  -0.358 0.799  -0.349 0.960  -0.337 1.119  -0.224 1.233  -0.110 1.346  0.044 1.363  0.154 1.264  0.221 1.132  0.236 0.977  0.260 0.822  0.318 0.675  0.367 0.526  0.400 0.373  0.400 0.213
3#apa#apa13#app1303/s  0.308 1.320  0.211 1.224  0.080 1.209  -0.040 1.183  -0.101 1.060  -0.192 0.986  -0.306 0.930  -0.419 0.874  -0.532 0.816  -0.629 0.719  -0.737 0.651  -0.855 0.605  -0.964 0.539  -1.032 0.470  -1.126 0.427  -1.136 0.316  -0.999 0.316  -0.862 0.316  -0.726 0.316  -0.589 0.316  -0.452 0.316  -0.315 0.316  -0.178 0.316  -0.042 0.316  0.059 0.229  0.186 0.204  0.322 0.204  0.419 0.164  0.465 0.047  0.575 -0.019  0.643 -0.088  0.709 -0.197  0.827 -0.242  0.866 -0.340  0.921 -0.464  0.978 -0.588  0.978 -0.724  0.978 -0.861  0.917 -0.973  0.801 -1.024  0.691 -1.087  0.574 -1.136  0.437 -1.136  0.301 -1.136  0.164 -1.136  0.027 -1.136  -0.110 -1.136  -0.246 -1.136  -0.377 -1.121  -0.474 -1.024
3#apa#apa13#app1303/h  -0.612 1.826  -0.527 1.899  -0.527 1.766  -0.511 1.640  -0.442 1.537  -0.442 1.404  -0.442 1.272  -0.442 1.139  -0.442 1.007  -0.442 0.874  -0.442 0.742  -0.442 0.609  -0.442 0.477  -0.442 0.344  -0.442 0.212  -0.442 0.079  -0.438 -0.052  -0.379 -0.171  -0.357 -0.298  -0.357 -0.431  -0.357 -0.563  -0.357 -0.696  -0.357 -0.828  -0.357 -0.961  -0.357 -1.093  -0.280 -1.149  -0.184 -1.061  -0.102 -0.962  -0.057 -0.848  0.017 -0.740  0.081 -0.625  0.153 -0.522  0.153 -0.390  0.209 -0.271  0.238 -0.145  0.290 -0.025  0.364 0.083  0.458 0.176  0.576 0.211  0.578 0.080  0.620 -0.042  0.663 -0.165  0.663 -0.297  0.695 -0.416  0.748 -0.527  0.823 -0.628  0.886 -0.744  0.961 -0.851  1.075 -0.894  1.173 -0.979
3#apa#apa13#app1303/i  -0.051 0.314  -0.051 0.202  -0.051 0.090  -0.051 -0.022  -0.051 -0.135  -0.068 -0.243  -0.118 -0.343  -0.155 -0.446  -0.155 -0.559  -0.155 -0.671  -0.155 -0.783  -0.155 -0.895  -0.155 -1.007  -0.155 -1.120  -0.096 -1.207  -0.051 -1.301  -0.051 -1.413  0.013 -1.461  0.054 -1.389  0.054 -1.276  0.054 -1.164  0.054 -1.052  0.054 -0.940  0.054 -0.828  0.054 -0.716  0.054 -0.603  0.054 -0.491  0.054 -0.379  0.054 -0.267  0.054 -0.155  0.054 -0.042  0.054 0.070  0.054 0.182  0.054 0.294  0.054 0.406  0.054 0.519  0.054 0.631  0.054 0.743  0.054 0.855  0.054 0.967  0.054 1.079  0.054 1.192  0.054 1.304  0.054 1.416  0.054 1.528  0.054 1.640  0.054 1.753  0.054 1.865  0.054 1.977  0.054 1.880
3#apa#apa13#app1303/d  0.347 1.847  0.347 1.678  0.347 1.509  0.347 1.340  0.372 1.177  0.448 1.026  0.451 0.858  0.451 0.689  0.451 0.521  0.451 0.352  0.451 0.183  0.485 0.022  0.554 -0.130  0.554 -0.299  0.657 -0.425  0.657 -0.464  0.630 -0.322  0.554 -0.230  0.515 -0.077  0.396 0.042  0.277 0.162  0.157 0.281  0.038 0.400  -0.081 0.520  -0.169 0.652  -0.279 0.710  -0.448 0.710  -0.582 0.676  -0.653 0.536  -0.772 0.417  -0.892 0.298  -0.921 0.136  -0.995 -0.016  -0.995 -0.184  -0.995 -0.353  -0.995 -0.522  -0.995 -0.691  -0.975 -0.845  -0.815 -0.899  -0.663 -0.964  -0.528 -1.045  -0.359 -1.045  -0.190 -1.045  -0.021 -1.045  0.148 -1.045  0.316 -1.045  0.485 -1.045  0.654 -1.045  0.816 -1.017  0.967 -0.942
