1c#app#app25#app2594/u  0.273 1.320  0.074 1.320  -0.125 1.320  -0.287 1.283  -0.287 1.084  -0.441 1.040  -0.566 0.966  -0.566 0.768  -0.702 0.625  -0.842 0.485  -0.846 0.287  -0.926 0.122  -1.066 -0.019  -1.240 -0.078  -1.405 -0.112  -1.405 -0.311  -1.405 -0.509  -1.333 -0.637  -1.135 -0.637  -0.936 -0.637  -0.737 -0.637  -0.539 -0.637  -0.340 -0.637  -0.141 -0.637  -0.007 -0.572  -0.007 -0.374  0.175 -0.357  0.273 -0.256  0.293 -0.078  0.492 -0.078  0.690 -0.078  0.889 -0.078  1.088 -0.078  1.111 0.098  1.111 0.296  1.111 0.468  1.111 0.269  0.980 0.202  0.832 0.151  0.832 -0.048  0.663 -0.078  0.552 -0.165  0.545 -0.357  0.347 -0.357  0.273 -0.482  0.316 -0.637  0.515 -0.637  0.714 -0.637  0.912 -0.637  1.111 -0.637
1c#app#app25#app2594/g  1.198 1.082  1.054 1.174  0.869 1.225  0.633 1.225  0.422 1.166  0.221 1.082  0.051 1.016  -0.093 0.923  -0.093 0.687  -0.234 0.510  -0.236 0.275  -0.054 0.222  0.051 0.353  0.275 0.365  0.502 0.386  0.669 0.553  0.767 0.748  0.879 0.763  0.712 0.596  0.624 0.397  0.481 0.220  0.414 0.012  0.337 -0.192  0.194 -0.369  0.117 -0.572  -0.092 -0.638  -0.184 -0.782  -0.408 -0.811  -0.597 -0.925  -0.784 -1.043  -1.009 -1.068  -1.201 -1.174  -1.421 -1.212  -1.526 -1.081  -1.326 -1.012  -1.126 -0.925  -0.953 -0.778  -0.857 -0.638  -0.634 -0.607  -0.444 -0.495  -0.352 -0.352  -0.236 -0.232  -0.167 -0.065  0.051 -0.047  0.162 0.078  0.254 -0.065  0.490 -0.065  0.726 -0.065  0.818 0.078  1.054 0.078
1c#app#app25#app2594/g  1.458 0.756  1.315 0.878  1.121 0.878  0.970 0.921  0.855 1.000  0.661 1.000  0.481 0.986  0.395 0.878  0.323 0.756  0.129 0.756  0.057 0.634  -0.007 0.504  0.073 0.390  0.267 0.390  0.461 0.390  0.655 0.390  0.727 0.512  0.848 0.585  0.745 0.531  0.694 0.358  0.603 0.202  0.506 0.048  0.369 -0.089  0.232 -0.226  0.094 -0.364  -0.043 -0.501  -0.129 -0.659  -0.231 -0.811  -0.399 -0.905  -0.582 -0.954  -0.776 -0.954  -0.970 -0.954  -1.164 -0.954  -1.358 -0.954  -1.552 -0.954  -1.565 -0.831  -1.401 -0.760  -1.264 -0.623  -1.091 -0.572  -0.941 -0.465  -0.781 -0.384  -0.604 -0.343  -0.435 -0.282  -0.266 -0.221  -0.089 -0.180  -0.007 -0.020  0.143 0.023  0.337 0.023  0.531 0.023  0.603 0.145
1c#app#app25#app2594/l  1.264 1.520  1.187 1.443  1.110 1.366  1.051 1.281  1.051 1.172  1.028 1.072  0.951 0.995  0.874 0.917  0.779 0.882  0.670 0.882  0.580 0.836  0.503 0.759  0.425 0.682  0.413 0.578  0.413 0.469  0.344 0.388  0.267 0.311  0.190 0.233  0.113 0.156  0.035 0.079  -0.054 0.030  -0.163 0.030  -0.259 -0.002  -0.336 -0.080  -0.413 -0.157  -0.490 -0.234  -0.567 -0.311  -0.645 -0.388  -0.722 -0.466  -0.799 -0.543  -0.881 -0.608  -0.991 -0.608  -1.077 -0.631  -1.077 -0.740  -1.049 -0.821  -0.940 -0.821  -0.831 -0.821  -0.722 -0.821  -0.624 -0.793  -0.547 -0.716  -0.469 -0.639  -0.373 -0.608  -0.264 -0.608  -0.154 -0.608  -0.045 -0.608  0.064 -0.608  0.173 -0.608  0.258 -0.667  0.335 -0.744  0.413 -0.821
1c#app#app25#app2594/e  -0.371 0.101  -0.194 0.101  -0.149 -0.032  -0.061 -0.122  0.117 -0.122  0.295 -0.122  0.472 -0.122  0.612 -0.029  0.737 0.097  0.863 0.222  0.989 0.348  1.114 0.474  1.186 0.622  1.154 0.768  0.977 0.768  0.799 0.768  0.741 0.888  0.666 0.990  0.488 0.990  0.311 0.990  0.133 0.990  -0.010 0.907  -0.136 0.781  -0.308 0.768  -0.452 0.687  -0.578 0.561  -0.749 0.545  -0.895 0.467  -1.020 0.342  -1.146 0.216  -1.261 0.086  -1.261 -0.092  -1.261 -0.269  -1.189 -0.417  -1.063 -0.543  -0.937 -0.668  -0.810 -0.789  -0.632 -0.789  -0.594 -0.929  -0.499 -1.012  -0.321 -1.012  -0.144 -1.012  0.034 -1.012  0.171 -0.914  0.297 -0.789  0.475 -0.789  0.653 -0.789  0.831 -0.789  0.964 -0.745  0.964 -0.567
1c#app#app25#app2594/r  1.184 1.489  1.065 1.370  0.952 1.247  0.952 1.078  0.870 0.943  0.751 0.824  0.594 0.794  0.489 0.730  0.488 0.561  0.369 0.442  0.246 0.330  0.077 0.330  0.025 0.213  -0.030 0.099  -0.199 0.099  -0.207 -0.062  -0.276 -0.203  -0.395 -0.322  -0.547 -0.365  -0.702 -0.397  -0.822 -0.517  -0.941 -0.636  -1.061 -0.756  -1.180 -0.875  -1.300 -0.995  -1.289 -1.060  -1.134 -1.047  -1.134 -0.878  -1.014 -0.828  -0.902 -0.772  -0.902 -0.603  -0.739 -0.597  -0.599 -0.526  -0.480 -0.406  -0.328 -0.365  -0.207 -0.317  -0.207 -0.148  -0.098 -0.024  0.022 0.095  0.189 0.099  0.358 0.099  0.489 0.137  0.489 0.306  0.634 0.330  0.803 0.330  0.952 0.311  0.952 0.142  1.078 0.099  1.247 0.099  1.416 0.099
1c#app#app25#app2594/s  1.096 1.063  0.970 1.063  0.845 1.063  0.719 1.063  0.593 1.063  0.468 1.063  0.342 1.063  0.217 1.063  0.091 1.063  -0.034 1.063  -0.160 1.063  -0.286 1.063  -0.411 1.063  -0.454 0.980  -0.454 0.854  -0.454 0.729  -0.454 0.603  -0.385 0.546  -0.259 0.546  -0.195 0.485  -0.195 0.359  -0.195 0.233  -0.195 0.108  -0.148 0.030  -0.022 0.030  0.092 0.001  0.180 -0.088  0.269 -0.176  0.358 -0.265  0.447 -0.354  0.536 -0.443  0.579 -0.550  0.579 -0.676  0.579 -0.801  0.579 -0.927  0.530 -1.003  0.404 -1.003  0.279 -1.003  0.153 -1.003  0.027 -1.003  -0.098 -1.003  -0.224 -1.003  -0.349 -1.003  -0.475 -1.003  -0.600 -1.003  -0.726 -1.003  -0.852 -1.003  -0.977 -1.003  -1.103 -1.003  -1.228 -1.003
1c#app#app25#app2594/w  -0.810 0.534  -0.810 0.735  -0.810 0.937  -0.810 0.744  -0.810 0.542  -0.947 0.397  -1.014 0.224  -1.014 0.022  -1.014 -0.179  -1.114 -0.281  -1.217 -0.379  -1.217 -0.580  -1.217 -0.782  -1.126 -0.892  -1.014 -0.802  -0.927 -0.688  -0.725 -0.688  -0.607 -0.605  -0.526 -0.484  -0.403 -0.406  -0.349 -0.227  -0.206 -0.084  -0.008 -0.077  0.138 0.057  0.208 0.229  0.279 0.401  0.412 0.548  0.412 0.725  0.412 0.524  0.404 0.330  0.208 0.324  0.208 0.123  0.208 -0.079  0.208 -0.280  0.066 -0.423  0.119 -0.484  0.320 -0.484  0.522 -0.484  0.615 -0.377  0.721 -0.281  0.819 -0.177  0.920 -0.077  1.023 0.022  1.120 0.127  1.321 0.127  1.430 0.219  1.494 0.394  1.634 0.538  1.636 0.737  1.837 0.737
1c#app#app25#app2594/i  0.162 0.309  0.162 0.435  0.162 0.381  0.162 0.255  0.148 0.135  0.060 0.046  0.000 -0.055  0.000 -0.181  0.000 -0.307  -0.068 -0.404  -0.157 -0.493  -0.161 -0.617  -0.220 -0.718  -0.309 -0.807  -0.322 -0.927  -0.322 -1.052  -0.322 -1.178  -0.322 -1.304  -0.322 -1.429  -0.412 -1.465  -0.467 -1.413  -0.429 -1.294  -0.392 -1.174  -0.354 -1.054  -0.316 -0.934  -0.278 -0.814  -0.240 -0.695  -0.202 -0.575  -0.165 -0.455  -0.127 -0.335  -0.089 -0.215  -0.051 -0.096  -0.013 0.024  0.025 0.144  0.062 0.264  0.100 0.384  0.138 0.504  0.176 0.623  0.214 0.743  0.252 0.863  0.289 0.983  0.327 1.103  0.365 1.222  0.403 1.342  0.441 1.462  0.479 1.582  0.484 1.707  0.484 1.832  0.484 1.887  0.484 1.761
1c#app#app25#app2594/l  0.899 1.448  0.899 1.368  0.899 1.289  0.865 1.223  0.808 1.166  0.752 1.110  0.708 1.048  0.708 0.968  0.708 0.888  0.642 0.875  0.562 0.875  0.492 0.850  0.436 0.793  0.379 0.737  0.326 0.679  0.326 0.599  0.326 0.519  0.288 0.455  0.232 0.398  0.175 0.342  0.119 0.285  0.062 0.229  0.006 0.172  -0.051 0.116  -0.056 0.038  -0.056 -0.042  -0.085 -0.110  -0.142 -0.166  -0.198 -0.223  -0.248 -0.282  -0.248 -0.362  -0.248 -0.442  -0.306 -0.463  -0.386 -0.463  -0.439 -0.491  -0.439 -0.571  -0.439 -0.650  -0.439 -0.730  -0.439 -0.810  -0.470 -0.877  -0.527 -0.934  -0.583 -0.990  -0.630 -1.051  -0.630 -1.131  -0.630 -1.211  -0.693 -1.228  -0.772 -1.228  -0.821 -1.259  -0.821 -1.339  -0.821 -1.419
1c#app#app25#app2594/l  0.665 1.152  0.665 1.229  0.665 1.307  0.665 1.334  0.665 1.257  0.665 1.179  0.665 1.102  0.665 1.024  0.665 0.947  0.590 0.945  0.513 0.945  0.448 0.924  0.413 0.855  0.379 0.786  0.344 0.716  0.309 0.647  0.275 0.578  0.251 0.506  0.251 0.429  0.251 0.351  0.216 0.288  0.161 0.233  0.107 0.179  0.052 0.124  0.044 0.050  0.044 -0.028  0.034 -0.101  -0.021 -0.156  -0.075 -0.211  -0.130 -0.266  -0.185 -0.320  -0.240 -0.375  -0.294 -0.430  -0.349 -0.485  -0.371 -0.553  -0.371 -0.630  -0.371 -0.708  -0.422 -0.764  -0.476 -0.819  -0.531 -0.874  -0.578 -0.932  -0.578 -1.009  -0.578 -1.087  -0.604 -1.154  -0.658 -1.208  -0.713 -1.263  -0.768 -1.318  -0.786 -1.388  -0.786 -1.466  -0.786 -1.543
