1d#tos#f1#f1053060/!  0.355 1.960  0.355 1.859  0.341 1.765  0.310 1.678  0.310 1.578  0.300 1.479  0.269 1.384  0.265 1.285  0.265 1.185  0.237 1.091  0.219 0.995  0.219 0.895  0.219 0.795  0.174 0.740  0.164 0.650  0.129 0.585  0.129 0.485  0.101 0.396  0.084 0.304  0.084 0.203  0.034 0.153  -0.009 0.094  -0.028 -0.004  -0.046 -0.103  -0.065 -0.201  -0.084 -0.299  -0.103 -0.398  -0.121 -0.496  -0.140 -0.594  -0.159 -0.693  -0.178 -0.791  -0.199 -0.889  -0.223 -0.986  -0.289 -1.050  -0.287 -1.014  -0.232 -0.930  -0.176 -0.847  -0.121 -0.764  -0.065 -0.680  -0.127 -0.660  -0.187 -0.699  -0.187 -0.800  -0.142 -0.854  -0.142 -0.955  -0.142 -1.055  -0.185 -1.111  -0.232 -1.165  -0.277 -1.246  -0.232 -1.166  -0.187 -1.111
1d#tos#f1#f1053060/\"  -0.656 0.655  -0.706 0.564  -0.747 0.463  -0.747 0.322  -0.825 0.213  -0.838 0.078  -0.864 -0.059  -0.908 -0.193  -0.929 -0.331  -0.929 -0.472  -0.929 -0.613  -0.929 -0.754  -0.929 -0.895  -0.929 -1.036  -1.033 -1.073  -1.064 -1.030  -0.961 -0.935  -0.857 -0.839  -0.753 -0.744  -0.649 -0.648  -0.545 -0.553  -0.441 -0.457  -0.338 -0.362  -0.234 -0.266  -0.130 -0.171  -0.026 -0.075  0.078 0.020  0.182 0.116  0.285 0.211  0.389 0.307  0.493 0.402  0.597 0.498  0.701 0.593  0.804 0.689  0.908 0.784  1.012 0.880  1.116 0.975  1.085 1.018  1.072 0.890  1.072 0.749  0.981 0.699  0.981 0.558  0.981 0.417  0.981 0.276  0.981 0.135  0.981 -0.006  0.906 -0.073  0.834 -0.184  0.771 -0.310  0.708 -0.437
1d#tos#f1#f1053060/$  0.631 0.557  0.577 0.695  0.339 0.767  0.154 0.851  -0.114 0.851  -0.341 0.809  -0.501 0.642  -0.544 0.391  -0.460 0.182  -0.272 0.033  -0.063 -0.050  0.129 -0.199  0.337 -0.259  0.463 -0.401  0.505 -0.652  0.505 -0.921  0.421 -1.105  0.300 -1.267  0.042 -1.268  -0.174 -1.181  -0.403 -1.080  -0.602 -0.948  -0.712 -0.736  -0.603 -0.494  -0.478 -0.257  -0.353 -0.019  -0.228 0.219  -0.103 0.456  0.022 0.694  0.146 0.932  0.271 1.169  0.396 1.407  0.521 1.645  0.589 1.652  0.463 1.510  0.421 1.283  0.354 1.026  0.330 0.767  0.211 0.585  0.139 0.389  0.094 0.146  0.001 -0.035  -0.070 -0.284  -0.124 -0.536  -0.166 -0.763  -0.266 -0.978  -0.337 -1.214  -0.418 -1.467  -0.486 -1.668  -0.544 -1.878
1d#tos#f1#f1053060/&  1.041 -0.962  0.952 -1.073  0.730 -1.051  0.486 -1.051  0.298 -0.976  0.095 -0.916  -0.027 -0.731  -0.128 -0.562  -0.338 -0.528  -0.382 -0.294  -0.471 -0.104  -0.516 0.121  -0.516 0.366  -0.605 0.547  -0.546 0.771  -0.516 1.010  -0.435 1.201  -0.294 1.348  -0.141 1.440  -0.049 1.618  0.196 1.618  0.285 1.428  0.270 1.187  0.195 0.995  0.018 0.876  -0.139 0.771  -0.299 0.589  -0.446 0.417  -0.516 0.242  -0.649 0.071  -0.694 -0.163  -0.786 -0.343  -0.827 -0.570  -0.827 -0.814  -0.733 -0.967  -0.559 -1.095  -0.315 -1.095  -0.071 -1.095  0.122 -1.005  0.264 -0.826  0.338 -0.606  0.418 -0.441  0.418 -0.197  0.552 -0.086  0.596 0.140  0.474 0.239  0.708 0.194  0.908 0.150  1.152 0.150  1.308 0.061
1d#tos#f1#f1053060/(  0.353 1.564  0.315 1.487  0.247 1.457  0.193 1.426  0.129 1.404  0.066 1.365  0.026 1.290  -0.021 1.223  -0.074 1.190  -0.113 1.114  -0.128 1.031  -0.150 0.955  -0.223 0.923  -0.235 0.849  -0.235 0.763  -0.235 0.677  -0.235 0.591  -0.235 0.505  -0.288 0.473  -0.288 0.387  -0.288 0.301  -0.288 0.215  -0.288 0.129  -0.288 0.043  -0.288 -0.043  -0.288 -0.129  -0.288 -0.215  -0.288 -0.301  -0.288 -0.387  -0.230 -0.418  -0.181 -0.484  -0.181 -0.570  -0.181 -0.656  -0.173 -0.734  -0.087 -0.734  -0.061 -0.801  -0.021 -0.870  -0.012 -0.947  0.062 -0.977  0.123 -1.038  0.202 -1.054  0.246 -1.096  0.314 -1.122  0.384 -1.161  0.460 -1.171  0.498 -1.234  0.576 -1.268  0.620 -1.310  0.695 -1.321  0.674 -1.321
1d#tos#f1#f1053060/)  -0.328 1.469  -0.354 1.405  -0.426 1.369  -0.408 1.315  -0.380 1.263  -0.299 1.263  -0.277 1.205  -0.241 1.160  -0.225 1.095  -0.183 1.057  -0.111 1.040  -0.066 0.973  -0.022 0.906  0.057 0.902  0.085 0.849  0.085 0.769  0.085 0.688  0.110 0.618  0.136 0.548  0.136 0.468  0.136 0.387  0.188 0.358  0.188 0.277  0.188 0.197  0.188 0.116  0.188 0.036  0.188 -0.045  0.188 -0.126  0.188 -0.206  0.188 -0.287  0.188 -0.367  0.188 -0.448  0.188 -0.529  0.188 -0.609  0.188 -0.690  0.188 -0.770  0.188 -0.851  0.133 -0.909  0.088 -0.976  0.044 -1.043  0.033 -1.121  0.033 -1.201  -0.034 -1.215  -0.070 -1.259  -0.070 -1.340  -0.070 -1.421  -0.106 -1.493  -0.122 -1.570  -0.145 -1.627  -0.225 -1.627
1d#tos#f1#f1053060/*  0.318 1.633  0.105 1.476  0.105 1.106  0.105 0.736  0.105 0.366  0.105 -0.004  0.174 -0.358  0.176 -0.728  0.176 -1.098  0.247 -1.439  0.191 -1.350  0.063 -1.003  -0.065 -0.656  -0.193 -0.308  -0.321 0.039  -0.449 0.386  -0.577 0.734  -0.705 1.081  -0.964 1.181  -0.964 0.953  -0.893 0.654  -0.756 0.421  -0.600 0.207  -0.394 0.001  -0.326 -0.155  -0.537 -0.366  -0.679 -0.654  -0.866 -0.933  -0.964 -1.205  -0.847 -1.004  -0.602 -0.726  -0.357 -0.449  -0.112 -0.171  0.133 0.106  0.378 0.384  0.623 0.661  0.868 0.939  1.087 1.205  0.817 1.104  0.733 0.777  0.532 0.553  0.390 0.325  0.209 0.136  0.105 -0.130  0.171 -0.292  0.394 -0.442  0.604 -0.653  0.831 -0.804  1.114 -1.016  1.316 -1.218
1d#tos#f1#f1053060/.  -0.545 1.442  -0.545 1.329  -0.545 1.215  -0.545 1.102  -0.545 0.989  -0.545 0.875  -0.545 0.762  -0.545 0.649  -0.594 0.584  -0.707 0.584  -0.820 0.584  -0.831 0.481  -0.831 0.368  -0.831 0.341  -0.831 0.454  -0.831 0.568  -0.734 0.584  -0.621 0.584  -0.545 0.546  -0.545 0.433  -0.545 0.319  -0.454 0.298  -0.340 0.298  -0.236 0.275  -0.156 0.195  -0.076 0.115  0.004 0.034  0.108 0.012  0.221 0.012  0.313 -0.010  0.313 -0.123  0.313 -0.237  0.313 -0.350  0.313 -0.463  0.329 -0.560  0.443 -0.560  0.556 -0.560  0.599 -0.631  0.599 -0.744  0.610 -0.847  0.723 -0.847  0.837 -0.847  0.885 -0.911  0.885 -1.025  0.891 -1.133  1.004 -1.133  1.117 -1.133  1.171 -1.192  1.171 -1.305  1.171 -1.419
1d#tos#f1#f1053060/:  -0.333 1.447  -0.322 1.508  -0.272 1.487  -0.239 1.447  -0.167 1.447  -0.148 1.393  -0.148 1.321  -0.148 1.249  -0.148 1.177  -0.148 1.104  -0.148 1.032  -0.141 0.960  -0.130 0.889  -0.120 0.817  -0.110 0.746  -0.100 0.674  -0.089 0.603  -0.079 0.531  -0.069 0.460  -0.059 0.388  -0.049 0.317  -0.038 0.245  -0.028 0.174  -0.018 0.102  -0.008 0.031  0.002 -0.041  0.013 -0.112  0.023 -0.184  0.033 -0.255  0.043 -0.327  0.054 -0.398  0.064 -0.470  0.074 -0.541  0.084 -0.613  0.094 -0.684  0.147 -0.707  0.159 -0.767  0.159 -0.839  0.159 -0.912  0.159 -0.984  0.159 -1.056  0.159 -1.128  0.160 -1.200  0.192 -1.265  0.221 -1.330  0.221 -1.403  0.221 -1.475  0.221 -1.547  0.221 -1.619  0.221 -1.692
1d#tos#f1#f1053060/?  -0.473 0.357  -0.587 0.357  -0.645 0.413  -0.645 0.527  -0.645 0.641  -0.645 0.755  -0.534 0.758  -0.481 0.856  -0.416 0.911  -0.359 0.968  -0.274 1.029  -0.187 1.068  -0.106 1.101  0.007 1.101  0.121 1.101  0.229 1.086  0.326 1.044  0.386 0.990  0.423 0.892  0.500 0.844  0.500 0.730  0.500 0.616  0.500 0.502  0.417 0.471  0.386 0.388  0.329 0.298  0.328 0.185  0.271 0.128  0.220 0.045  0.157 -0.029  0.115 -0.101  0.099 -0.200  0.042 -0.257  -0.015 -0.313  -0.055 -0.387  -0.072 -0.484  -0.072 -0.598  -0.072 -0.712  -0.072 -0.826  -0.046 -0.929  -0.013 -1.030  0.001 -1.143  0.015 -1.256  0.029 -1.369  0.043 -1.482  0.057 -1.595  0.071 -1.708  0.085 -1.821  0.100 -1.934  0.157 -1.991
1d#tos#f1#f1053060/[  -0.094 1.021  -0.209 0.983  -0.287 0.902  -0.284 0.808  -0.164 0.816  -0.045 0.839  0.065 0.870  0.089 0.968  0.210 0.968  0.331 0.968  0.448 0.978  0.538 1.021  0.420 0.999  0.304 0.963  0.188 0.926  0.073 0.890  -0.043 0.854  -0.159 0.818  -0.274 0.782  -0.360 0.786  -0.307 0.854  -0.307 0.748  -0.307 0.626  -0.307 0.505  -0.307 0.384  -0.307 0.263  -0.307 0.142  -0.307 0.020  -0.307 -0.101  -0.307 -0.222  -0.254 -0.290  -0.232 -0.406  -0.201 -0.520  -0.201 -0.641  -0.201 -0.762  -0.201 -0.884  -0.201 -1.005  -0.201 -1.126  -0.201 -1.247  -0.201 -1.368  -0.086 -1.375  0.033 -1.364  0.144 -1.321  0.265 -1.321  0.386 -1.321  0.508 -1.321  0.620 -1.299  0.728 -1.268  0.849 -1.268  0.970 -1.268
