3#apb#apb09#app0900/H  -0.973 0.794  -0.908 0.679  -0.878 0.534  -0.849 0.389  -0.825 0.243  -0.801 0.097  -0.782 -0.050  -0.764 -0.197  -0.740 -0.342  -0.709 -0.487  -0.676 -0.631  -0.642 -0.775  -0.609 -0.920  -0.631 -0.951  -0.715 -0.830  -0.800 -0.708  -0.884 -0.587  -0.969 -0.465  -1.053 -0.343  -1.138 -0.222  -1.026 -0.168  -0.883 -0.130  -0.737 -0.104  -0.592 -0.079  -0.446 -0.055  -0.300 -0.031  -0.154 -0.005  -0.008 0.022  0.137 0.049  0.283 0.076  0.428 0.104  0.568 0.153  0.708 0.199  0.820 0.267  0.854 0.411  0.888 0.555  0.922 0.699  0.956 0.843  0.983 0.952  1.006 0.810  1.040 0.667  1.063 0.521  1.096 0.377  1.130 0.233  1.168 0.090  1.207 -0.053  1.250 -0.195  1.294 -0.336  1.338 -0.477  1.351 -0.625
3#apb#apb09#app0900/o  -0.087 1.136  -0.204 1.165  -0.298 1.103  -0.387 1.021  -0.475 0.938  -0.553 0.845  -0.631 0.752  -0.709 0.660  -0.768 0.556  -0.806 0.441  -0.845 0.326  -0.883 0.211  -0.905 0.094  -0.900 -0.027  -0.896 -0.148  -0.892 -0.269  -0.871 -0.387  -0.821 -0.497  -0.772 -0.608  -0.714 -0.713  -0.625 -0.795  -0.537 -0.878  -0.441 -0.947  -0.323 -0.977  -0.206 -1.006  -0.088 -1.035  0.029 -1.023  0.146 -0.991  0.263 -0.959  0.371 -0.910  0.467 -0.835  0.562 -0.761  0.654 -0.683  0.723 -0.583  0.791 -0.483  0.860 -0.383  0.890 -0.268  0.910 -0.148  0.931 -0.029  0.931 0.090  0.907 0.209  0.882 0.327  0.858 0.446  0.828 0.563  0.776 0.672  0.724 0.782  0.671 0.891  0.592 0.976  0.488 1.038  0.384 1.101
3#apb#apb09#app0900/n  -0.968 0.680  -0.968 0.540  -0.944 0.403  -0.920 0.266  -0.897 0.128  -0.874 -0.009  -0.851 -0.147  -0.828 -0.284  -0.804 -0.421  -0.779 -0.559  -0.754 -0.696  -0.729 -0.833  -0.697 -0.968  -0.640 -1.095  -0.607 -1.071  -0.577 -0.934  -0.548 -0.798  -0.520 -0.661  -0.491 -0.525  -0.463 -0.389  -0.433 -0.252  -0.400 -0.117  -0.367 0.019  -0.335 0.154  -0.300 0.289  -0.249 0.419  -0.199 0.549  -0.148 0.679  -0.065 0.784  0.048 0.866  0.160 0.948  0.292 0.990  0.427 1.021  0.566 1.008  0.689 0.958  0.792 0.865  0.869 0.753  0.922 0.624  0.976 0.495  0.999 0.358  1.018 0.220  1.036 0.082  1.051 -0.056  1.063 -0.195  1.075 -0.334  1.080 -0.473  1.072 -0.612  1.064 -0.752  1.072 -0.891  1.083 -1.030
3#apb#apb09#app0900/o  -0.558 1.219  -0.614 1.116  -0.669 1.013  -0.709 0.904  -0.737 0.791  -0.765 0.677  -0.788 0.563  -0.810 0.448  -0.832 0.333  -0.845 0.218  -0.845 0.101  -0.845 -0.016  -0.845 -0.133  -0.839 -0.249  -0.815 -0.363  -0.791 -0.477  -0.761 -0.589  -0.682 -0.675  -0.603 -0.761  -0.520 -0.843  -0.431 -0.918  -0.342 -0.994  -0.235 -1.027  -0.119 -1.036  -0.005 -1.022  0.106 -0.985  0.217 -0.948  0.319 -0.895  0.406 -0.818  0.494 -0.741  0.582 -0.664  0.657 -0.575  0.731 -0.484  0.805 -0.393  0.853 -0.290  0.879 -0.177  0.905 -0.063  0.931 0.051  0.923 0.167  0.908 0.283  0.894 0.399  0.879 0.515  0.826 0.618  0.768 0.719  0.709 0.820  0.640 0.910  0.541 0.973  0.443 1.036  0.344 1.099  0.246 1.161
3#apb#apb09#app0900/l  -0.126 1.690  -0.140 1.622  -0.140 1.554  -0.129 1.485  -0.117 1.416  -0.106 1.348  -0.095 1.279  -0.086 1.211  -0.086 1.141  -0.086 1.071  -0.086 1.002  -0.086 0.932  -0.086 0.863  -0.086 0.793  -0.085 0.724  -0.080 0.655  -0.075 0.585  -0.071 0.516  -0.066 0.447  -0.062 0.377  -0.057 0.308  -0.052 0.239  -0.048 0.169  -0.040 0.100  -0.030 0.031  -0.020 -0.037  -0.010 -0.106  -0.000 -0.175  0.010 -0.244  0.019 -0.313  0.029 -0.382  0.037 -0.451  0.042 -0.520  0.048 -0.589  0.054 -0.658  0.059 -0.728  0.065 -0.797  0.070 -0.866  0.076 -0.936  0.084 -1.005  0.092 -1.074  0.099 -1.143  0.107 -1.212  0.115 -1.281  0.135 -1.347  0.155 -1.414  0.175 -1.481  0.194 -1.547  0.213 -1.614  0.275 -1.640
3#apb#apb09#app0900/u  -1.144 1.034  -1.197 0.917  -1.238 0.793  -1.248 0.664  -1.248 0.533  -1.246 0.403  -1.219 0.275  -1.192 0.147  -1.165 0.019  -1.113 -0.101  -1.061 -0.221  -1.001 -0.336  -0.913 -0.433  -0.825 -0.530  -0.722 -0.611  -0.618 -0.689  -0.501 -0.737  -0.371 -0.750  -0.245 -0.719  -0.127 -0.669  -0.034 -0.577  0.058 -0.484  0.119 -0.371  0.170 -0.250  0.221 -0.130  0.273 -0.010  0.327 0.110  0.380 0.229  0.434 0.348  0.474 0.473  0.514 0.598  0.553 0.722  0.595 0.846  0.641 0.969  0.663 0.866  0.674 0.736  0.694 0.607  0.715 0.477  0.735 0.348  0.756 0.219  0.776 0.090  0.801 -0.039  0.831 -0.166  0.861 -0.293  0.901 -0.418  0.947 -0.540  0.993 -0.663  1.041 -0.784  1.098 -0.900  1.182 -1.001
3#apb#apb09#app0900/l  -0.229 1.676  -0.236 1.607  -0.243 1.538  -0.250 1.469  -0.243 1.401  -0.231 1.333  -0.218 1.264  -0.206 1.196  -0.193 1.128  -0.181 1.060  -0.169 0.991  -0.157 0.923  -0.147 0.854  -0.138 0.786  -0.128 0.717  -0.118 0.648  -0.108 0.580  -0.098 0.511  -0.089 0.442  -0.079 0.374  -0.069 0.305  -0.058 0.236  -0.048 0.168  -0.037 0.099  -0.027 0.031  -0.016 -0.038  -0.006 -0.106  0.005 -0.175  0.016 -0.244  0.028 -0.312  0.043 -0.380  0.057 -0.447  0.072 -0.515  0.087 -0.583  0.102 -0.651  0.116 -0.719  0.131 -0.786  0.147 -0.854  0.164 -0.921  0.181 -0.988  0.198 -1.056  0.215 -1.123  0.229 -1.191  0.240 -1.259  0.251 -1.328  0.261 -1.396  0.272 -1.465  0.287 -1.533  0.302 -1.600  0.317 -1.668
3#apb#apb09#app0900/u  -1.195 1.078  -1.226 0.966  -1.233 0.835  -1.233 0.704  -1.229 0.573  -1.209 0.443  -1.190 0.313  -1.167 0.184  -1.135 0.056  -1.103 -0.071  -1.059 -0.193  -0.986 -0.302  -0.913 -0.411  -0.833 -0.516  -0.750 -0.617  -0.648 -0.697  -0.535 -0.765  -0.405 -0.769  -0.275 -0.765  -0.171 -0.685  -0.067 -0.604  0.027 -0.513  0.116 -0.417  0.201 -0.318  0.256 -0.198  0.310 -0.078  0.364 0.041  0.413 0.163  0.457 0.287  0.502 0.410  0.546 0.534  0.593 0.657  0.641 0.779  0.688 0.902  0.689 0.895  0.676 0.764  0.675 0.633  0.682 0.502  0.689 0.371  0.713 0.242  0.738 0.113  0.764 -0.016  0.803 -0.141  0.842 -0.267  0.882 -0.392  0.934 -0.513  0.986 -0.633  1.050 -0.747  1.120 -0.859  1.204 -0.959
3#apb#apb09#app0900/L  -0.690 0.954  -0.698 1.042  -0.707 1.129  -0.683 1.212  -0.671 1.298  -0.662 1.259  -0.643 1.174  -0.620 1.090  -0.597 1.005  -0.587 0.918  -0.577 0.831  -0.566 0.744  -0.561 0.657  -0.561 0.569  -0.561 0.482  -0.561 0.394  -0.553 0.307  -0.540 0.220  -0.528 0.133  -0.513 0.047  -0.497 -0.039  -0.480 -0.125  -0.465 -0.211  -0.452 -0.298  -0.438 -0.384  -0.409 -0.465  -0.365 -0.541  -0.287 -0.573  -0.203 -0.596  -0.117 -0.615  -0.031 -0.630  0.055 -0.646  0.141 -0.661  0.229 -0.663  0.316 -0.663  0.404 -0.663  0.491 -0.656  0.577 -0.641  0.663 -0.626  0.750 -0.611  0.837 -0.599  0.923 -0.588  1.010 -0.577  1.096 -0.562  1.181 -0.540  1.266 -0.519  1.351 -0.498  1.431 -0.461  1.510 -0.424  1.590 -0.388
3#apb#apb09#app0900/i  -0.238 0.263  -0.143 0.204  -0.098 0.105  -0.081 -0.010  -0.067 -0.124  -0.067 -0.240  -0.067 -0.355  -0.068 -0.471  -0.077 -0.586  -0.087 -0.702  -0.088 -0.817  -0.088 -0.933  -0.059 -1.044  -0.023 -1.154  -0.007 -1.268  0.041 -1.372  0.112 -1.454  0.224 -1.486  0.220 -1.382  0.206 -1.267  0.193 -1.152  0.179 -1.038  0.166 -0.923  0.153 -0.808  0.139 -0.693  0.126 -0.578  0.112 -0.463  0.099 -0.348  0.085 -0.233  0.072 -0.119  0.059 -0.004  0.045 0.111  0.032 0.226  0.018 0.341  0.005 0.456  -0.009 0.571  -0.022 0.686  -0.035 0.800  -0.049 0.915  -0.062 1.030  -0.076 1.145  -0.089 1.260  -0.103 1.375  -0.116 1.490  -0.129 1.605  -0.143 1.719  -0.172 1.774  -0.115 1.677  -0.011 1.642  0.104 1.629
3#apb#apb09#app0900/t  -0.241 1.842  -0.099 1.829  -0.039 1.670  0.002 1.506  0.038 1.340  0.058 1.172  0.078 1.003  0.101 0.835  0.124 0.667  0.145 0.499  0.162 0.330  0.179 0.161  0.195 -0.008  0.210 -0.177  0.226 -0.345  0.244 -0.514  0.263 -0.683  0.275 -0.852  0.286 -1.021  0.288 -1.191  0.285 -1.360  0.268 -1.529  0.209 -1.527  0.107 -1.392  0.005 -1.256  -0.097 -1.121  -0.199 -0.985  -0.301 -0.850  -0.403 -0.714  -0.505 -0.579  -0.607 -0.443  -0.709 -0.308  -0.811 -0.172  -0.913 -0.037  -1.015 0.099  -1.035 0.193  -0.865 0.199  -0.696 0.209  -0.527 0.215  -0.357 0.215  -0.187 0.215  -0.018 0.220  0.151 0.233  0.320 0.246  0.489 0.263  0.656 0.293  0.823 0.323  0.986 0.366  1.144 0.428  1.302 0.489
