3#app#app11#app1192/I  -0.043 1.546  0.028 1.546  0.100 1.546  0.104 1.478  0.104 1.407  0.059 1.354  0.008 1.303  -0.042 1.252  -0.043 1.181  -0.043 1.110  -0.043 1.038  -0.043 0.966  -0.043 0.895  -0.043 0.823  -0.043 0.751  -0.043 0.680  -0.043 0.608  -0.043 0.537  -0.043 0.465  -0.043 0.393  -0.043 0.322  -0.043 0.250  -0.043 0.179  -0.043 0.107  -0.043 0.035  -0.043 -0.036  -0.043 -0.108  -0.043 -0.180  -0.043 -0.251  -0.043 -0.323  -0.043 -0.394  -0.043 -0.466  -0.043 -0.538  -0.043 -0.609  -0.043 -0.681  -0.043 -0.752  -0.043 -0.824  -0.043 -0.896  -0.036 -0.964  0.014 -1.015  0.065 -1.066  0.104 -1.121  0.104 -1.193  0.104 -1.264  0.104 -1.336  0.104 -1.408  0.104 -1.479  0.104 -1.551  0.104 -1.622  0.104 -1.694
3#app#app11#app1192/f  0.980 0.922  0.980 1.077  0.898 1.198  0.857 1.335  0.747 1.445  0.616 1.502  0.461 1.502  0.306 1.502  0.247 1.405  0.189 1.308  0.056 1.254  0.014 1.117  -0.095 1.007  -0.179 0.887  -0.179 0.732  -0.218 0.593  -0.276 0.462  -0.276 0.307  -0.276 0.152  -0.276 -0.003  -0.276 -0.158  -0.252 -0.309  -0.203 -0.456  -0.179 -0.608  -0.179 -0.763  -0.109 -0.888  -0.067 -1.026  0.014 -1.147  0.016 -1.301  0.111 -1.361  0.193 -1.382  0.089 -1.267  -0.016 -1.152  -0.120 -1.038  -0.224 -0.923  -0.328 -0.808  -0.433 -0.694  -0.537 -0.579  -0.641 -0.464  -0.746 -0.350  -0.664 -0.430  -0.566 -0.375  -0.451 -0.335  -0.296 -0.335  -0.141 -0.335  -0.014 -0.266  0.129 -0.238  0.284 -0.238  0.439 -0.238  0.594 -0.238
3#app#app11#app1192/M  -0.544 0.913  -0.598 0.712  -0.645 0.504  -0.645 0.250  -0.650 -0.004  -0.746 -0.236  -0.746 -0.490  -0.746 -0.745  -0.746 -0.999  -0.645 -1.212  -0.652 -1.134  -0.662 -0.879  -0.672 -0.625  -0.682 -0.371  -0.692 -0.116  -0.702 0.138  -0.713 0.392  -0.723 0.647  -0.733 0.901  -0.743 1.155  -0.645 1.120  -0.645 0.865  -0.544 0.652  -0.444 0.439  -0.356 0.221  -0.282 -0.014  -0.142 -0.217  -0.041 -0.430  0.059 -0.643  0.159 -0.797  0.260 -0.845  0.361 -0.691  0.462 -0.478  0.462 -0.224  0.562 -0.011  0.562 0.244  0.625 0.472  0.663 0.711  0.663 0.966  0.669 1.013  0.763 0.853  0.864 0.699  0.938 0.462  0.964 0.214  1.031 -0.025  1.120 -0.249  1.229 -0.458  1.338 -0.667  1.462 -0.887  1.568 -1.099
3#app#app11#app1192/y  -0.584 1.296  -0.584 1.168  -0.609 1.065  -0.699 1.027  -0.699 0.899  -0.699 0.771  -0.646 0.665  -0.584 0.563  -0.546 0.450  -0.456 0.360  -0.365 0.269  -0.274 0.179  -0.162 0.142  -0.122 0.231  -0.021 0.257  0.107 0.257  0.120 0.373  0.224 0.397  0.224 0.525  0.259 0.638  0.340 0.733  0.358 0.853  0.449 0.944  0.455 1.061  0.443 0.938  0.353 0.847  0.340 0.725  0.336 0.597  0.279 0.483  0.224 0.368  0.224 0.240  0.224 0.112  0.205 -0.012  0.148 -0.127  0.109 -0.245  0.109 -0.374  0.109 -0.502  0.109 -0.630  0.109 -0.758  0.109 -0.886  0.109 -1.014  0.109 -1.142  0.109 -1.270  0.109 -1.398  0.109 -1.526  0.109 -1.654  0.109 -1.782  0.109 -1.911  0.109 -2.039  0.109 -2.167
3#app#app11#app1192/N  -0.520 0.956  -0.520 0.739  -0.520 0.522  -0.541 0.314  -0.623 0.131  -0.623 -0.086  -0.623 -0.303  -0.614 -0.519  -0.545 -0.725  -0.520 -0.937  -0.520 -1.154  -0.534 -1.059  -0.554 -0.843  -0.573 -0.627  -0.593 -0.411  -0.612 -0.195  -0.632 0.021  -0.652 0.237  -0.671 0.454  -0.691 0.670  -0.711 0.886  -0.683 1.059  -0.623 0.902  -0.560 0.749  -0.520 0.572  -0.416 0.398  -0.313 0.223  -0.227 0.042  -0.146 -0.141  -0.049 -0.285  0.045 -0.436  0.162 -0.615  0.307 -0.719  0.441 -0.801  0.555 -0.905  0.669 -1.008  0.782 -1.111  0.824 -0.936  0.882 -0.743  0.927 -0.545  0.927 -0.328  0.927 -0.111  0.963 0.097  1.031 0.298  1.031 0.515  1.031 0.732  1.031 0.949  1.125 1.144  1.134 1.359  1.134 1.576
3#app#app11#app1192/a  -1.078 1.241  -0.894 1.241  -0.710 1.241  -0.526 1.241  -0.342 1.241  -0.158 1.241  0.010 1.200  0.140 1.070  0.308 1.031  0.388 0.927  0.388 0.743  0.441 0.612  0.597 0.584  0.599 0.401  0.730 0.270  0.807 0.118  0.856 -0.016  1.016 -0.040  1.016 -0.225  1.016 -0.043  0.859 -0.016  0.807 0.116  0.700 0.193  0.516 0.193  0.332 0.193  0.148 0.193  -0.036 0.193  -0.221 0.193  -0.241 0.029  -0.379 -0.016  -0.530 -0.097  -0.660 -0.227  -0.791 -0.357  -0.869 -0.509  -0.917 -0.645  -1.078 -0.668  -1.078 -0.852  -0.897 -0.854  -0.869 -1.010  -0.738 -1.064  -0.554 -1.064  -0.370 -1.064  -0.186 -1.064  -0.031 -1.034  -0.027 -0.854  0.157 -0.854  0.341 -0.854  0.525 -0.854  0.677 -0.775  0.807 -0.645
3#app#app11#app1192/m  -1.249 0.711  -1.211 0.537  -1.113 0.388  -1.113 0.198  -1.113 0.009  -1.113 -0.181  -1.113 -0.371  -0.984 -0.507  -0.977 -0.694  -0.977 -0.688  -0.977 -0.498  -0.977 -0.308  -0.890 -0.155  -0.841 0.015  -0.841 0.204  -0.750 0.303  -0.705 0.448  -0.643 0.575  -0.569 0.691  -0.449 0.831  -0.266 0.847  -0.161 0.763  -0.025 0.709  -0.025 0.519  -0.025 0.330  0.111 0.276  0.111 0.086  0.111 -0.103  0.111 -0.293  0.217 -0.377  0.248 -0.536  0.248 -0.726  0.378 -0.786  0.514 -0.656  0.520 -0.469  0.618 -0.377  0.656 -0.225  0.705 -0.056  0.792 0.098  0.792 0.288  0.928 0.341  1.020 0.439  1.167 0.336  1.301 0.202  1.336 0.027  1.336 -0.163  1.336 -0.353  1.472 -0.406  1.472 -0.596  1.608 -0.650
3#app#app11#app1192/e  -0.495 0.045  -0.336 0.045  -0.328 -0.105  -0.186 -0.122  -0.027 -0.122  0.131 -0.122  0.173 -0.005  0.281 0.045  0.411 0.116  0.523 0.228  0.635 0.340  0.747 0.453  0.840 0.572  0.840 0.731  0.840 0.890  0.840 1.048  0.840 1.207  0.689 1.214  0.530 1.214  0.371 1.214  0.213 1.214  0.173 1.095  0.063 1.047  -0.066 0.975  -0.178 0.863  -0.290 0.750  -0.328 0.607  -0.425 0.546  -0.495 0.457  -0.552 0.322  -0.662 0.209  -0.662 0.050  -0.662 -0.108  -0.764 -0.224  -0.829 -0.356  -0.829 -0.515  -0.829 -0.673  -0.799 -0.819  -0.686 -0.932  -0.574 -1.044  -0.462 -1.156  -0.350 -1.268  -0.201 -1.290  -0.042 -1.290  0.117 -1.290  0.275 -1.290  0.434 -1.290  0.567 -1.229  0.682 -1.123  0.840 -1.123
3#app#app11#app1192/=  -1.827 0.755  -1.705 0.633  -1.583 0.511  -1.453 0.409  -1.307 0.381  -1.280 0.235  -1.108 0.235  -0.935 0.235  -0.787 0.260  -0.763 0.409  -0.590 0.409  -0.418 0.409  -0.245 0.409  -0.072 0.409  0.101 0.409  0.267 0.424  0.389 0.546  0.547 0.582  0.720 0.582  0.892 0.582  1.065 0.582  1.238 0.582  1.376 0.498  1.425 0.387  1.273 0.305  1.121 0.223  0.968 0.141  0.816 0.059  0.664 -0.023  0.512 -0.104  0.360 -0.186  0.208 -0.268  0.056 -0.350  -0.096 -0.432  -0.248 -0.514  -0.400 -0.596  -0.552 -0.678  -0.704 -0.759  -0.732 -0.749  -0.608 -0.631  -0.436 -0.631  -0.263 -0.631  -0.090 -0.631  0.082 -0.631  0.255 -0.631  0.428 -0.631  0.601 -0.631  0.773 -0.631  0.946 -0.631  1.119 -0.631
3#app#app11#app1192/\"  -0.784 1.143  -0.784 1.007  -0.784 0.870  -0.784 0.734  -0.784 0.597  -0.876 0.499  -0.973 0.402  -1.059 0.302  -1.059 0.165  -1.059 0.029  -1.059 -0.108  -1.059 -0.244  -1.059 -0.381  -1.055 -0.509  -0.944 -0.429  -0.833 -0.350  -0.722 -0.270  -0.611 -0.191  -0.499 -0.112  -0.388 -0.032  -0.277 0.047  -0.166 0.126  -0.055 0.206  0.056 0.285  0.167 0.364  0.278 0.444  0.389 0.523  0.500 0.602  0.611 0.682  0.722 0.761  0.834 0.840  0.871 0.777  0.871 0.641  0.871 0.504  0.871 0.368  0.871 0.231  0.871 0.095  0.871 -0.042  0.871 -0.178  0.836 -0.307  0.775 -0.429  0.714 -0.551  0.653 -0.673  0.595 -0.796  0.595 -0.932  0.595 -1.069  0.595 -1.205  0.595 -1.342  0.595 -1.478  0.595 -1.615
3#app#app11#app1192/Y  -1.235 0.501  -1.121 0.460  -1.039 0.388  -0.997 0.275  -0.858 0.238  -0.735 0.161  -0.606 0.099  -0.555 -0.034  -0.442 -0.076  -0.405 -0.215  -0.282 -0.292  -0.153 -0.354  -0.071 -0.329  -0.011 -0.186  0.048 -0.043  0.108 0.099  0.167 0.242  0.227 0.385  0.286 0.527  0.346 0.670  0.405 0.813  0.464 0.956  0.494 1.098  0.577 1.218  0.577 1.373  0.690 1.400  0.656 1.259  0.577 1.138  0.539 0.992  0.470 0.854  0.452 0.703  0.383 0.565  0.351 0.418  0.346 0.265  0.276 0.126  0.237 -0.019  0.237 -0.174  0.170 -0.312  0.101 -0.451  0.032 -0.589  0.011 -0.739  0.011 -0.893  -0.023 -1.040  -0.093 -1.178  -0.102 -1.330  -0.102 -1.485  -0.102 -1.639  -0.102 -1.794  -0.102 -1.949  -0.102 -2.103
