1b#apa#apa01#app0134/A  -1.316 -1.303  -1.088 -1.303  -0.994 -1.169  -0.994 -0.940  -0.917 -0.743  -0.833 -0.550  -0.671 -0.482  -0.671 -0.254  -0.671 -0.025  -0.615 0.147  -0.510 0.271  -0.489 0.491  -0.349 0.661  -0.349 0.890  -0.349 1.118  -0.278 1.276  -0.188 1.414  -0.143 1.598  -0.027 1.486  -0.008 1.276  0.135 1.190  0.135 0.961  0.296 0.894  0.296 0.665  0.457 0.598  0.457 0.369  0.576 0.190  0.618 -0.021  0.618 -0.250  0.760 -0.336  0.779 -0.546  0.861 -0.740  0.941 -0.936  1.124 -0.981  1.263 -0.891  1.118 -0.759  0.907 -0.671  0.696 -0.583  0.485 -0.496  0.274 -0.408  0.063 -0.320  -0.148 -0.232  -0.359 -0.144  -0.570 -0.056  -0.552 -0.014  -0.331 -0.032  -0.162 -0.175  0.039 -0.109  0.228 -0.014  0.457 -0.014
1b#apa#apa01#app0134/Q  -0.026 0.960  -0.260 0.960  -0.493 0.960  -0.726 0.960  -0.875 0.876  -1.017 0.784  -1.017 0.551  -1.158 0.459  -1.158 0.226  -1.158 -0.008  -1.158 -0.241  -1.045 -0.427  -0.964 -0.596  -0.873 -0.738  -0.734 -0.832  -0.592 -0.924  -0.456 -1.021  -0.223 -1.021  0.010 -1.021  0.244 -1.021  0.454 -0.965  0.652 -0.879  0.681 -0.676  0.822 -0.584  0.822 -0.351  0.822 -0.117  0.819 0.114  0.681 0.290  0.681 0.524  0.601 0.677  0.539 0.849  0.417 0.960  0.257 1.032  0.092 1.101  -0.141 1.101  -0.309 1.036  -0.233 0.823  -0.120 0.619  -0.007 0.415  0.107 0.211  0.220 0.007  0.333 -0.196  0.398 -0.413  0.539 -0.405  0.539 -0.455  0.539 -0.405  0.669 -0.585  0.756 -0.738  0.940 -0.856  1.105 -1.021
1b#apa#apa01#app0134/U  -0.813 1.288  -0.813 1.159  -0.813 1.031  -0.813 0.903  -0.813 0.774  -0.813 0.646  -0.813 0.518  -0.893 0.469  -0.976 0.425  -0.976 0.297  -0.976 0.169  -0.976 0.040  -0.976 -0.088  -0.945 -0.185  -0.817 -0.185  -0.813 -0.309  -0.813 -0.437  -0.759 -0.512  -0.636 -0.525  -0.546 -0.616  -0.442 -0.676  -0.314 -0.676  -0.186 -0.676  -0.158 -0.777  -0.093 -0.839  0.036 -0.839  0.164 -0.839  0.292 -0.839  0.333 -0.752  0.385 -0.676  0.513 -0.676  0.642 -0.676  0.660 -0.566  0.734 -0.512  0.823 -0.473  0.823 -0.345  0.823 -0.216  0.823 -0.088  0.885 -0.021  0.987 0.005  0.987 0.133  0.987 0.261  0.987 0.390  0.987 0.518  0.974 0.633  0.846 0.633  0.823 0.739  0.823 0.867  0.823 0.996  0.823 1.124
1b#apa#apa01#app0134/I  -0.131 1.713  -0.131 1.641  -0.131 1.569  -0.131 1.496  -0.131 1.424  -0.131 1.352  -0.131 1.280  -0.131 1.208  -0.131 1.136  -0.131 1.064  -0.131 0.992  -0.131 0.919  -0.131 0.847  -0.131 0.775  -0.131 0.703  -0.131 0.631  -0.131 0.559  -0.131 0.487  -0.131 0.415  -0.131 0.342  -0.131 0.270  -0.131 0.198  -0.131 0.126  -0.131 0.054  -0.115 -0.012  -0.064 -0.063  -0.013 -0.114  0.038 -0.165  0.089 -0.216  0.140 -0.267  0.154 -0.333  0.154 -0.405  0.154 -0.477  0.154 -0.549  0.154 -0.622  0.154 -0.694  0.154 -0.766  0.154 -0.838  0.154 -0.910  0.154 -0.982  0.154 -1.054  0.154 -1.126  0.154 -1.199  0.154 -1.271  0.154 -1.343  0.154 -1.415  0.154 -1.487  0.154 -1.559  0.154 -1.631  0.154 -1.704
1b#apa#apa01#app0134/C  0.587 1.042  0.587 1.144  0.573 1.233  0.471 1.233  0.369 1.233  0.267 1.233  0.165 1.233  0.063 1.233  -0.024 1.194  -0.096 1.122  -0.168 1.050  -0.240 0.978  -0.312 0.906  -0.366 0.826  -0.366 0.724  -0.405 0.661  -0.507 0.661  -0.557 0.608  -0.557 0.506  -0.557 0.404  -0.557 0.302  -0.557 0.200  -0.557 0.098  -0.557 -0.004  -0.557 -0.106  -0.557 -0.208  -0.557 -0.310  -0.557 -0.412  -0.525 -0.483  -0.423 -0.483  -0.366 -0.528  -0.366 -0.630  -0.307 -0.673  -0.205 -0.673  -0.124 -0.724  -0.052 -0.797  0.022 -0.864  0.124 -0.864  0.226 -0.864  0.328 -0.864  0.396 -0.898  0.396 -1.000  0.444 -1.054  0.546 -1.054  0.648 -1.054  0.750 -1.054  0.852 -1.054  0.954 -1.054  1.056 -1.054  1.158 -1.054
1b#apa#apa01#app0134/K  -0.976 1.510  -0.782 1.452  -0.782 1.201  -0.782 0.950  -0.782 0.699  -0.782 0.448  -0.782 0.196  -0.770 -0.050  -0.593 -0.228  -0.588 -0.477  -0.511 -0.696  -0.395 -0.899  -0.395 -1.151  -0.386 -1.393  -0.184 -1.329  -0.120 -1.087  -0.055 -0.844  0.010 -0.601  0.075 -0.358  0.139 -0.116  0.204 0.127  0.269 0.370  0.334 0.612  0.398 0.855  0.463 1.098  0.528 1.341  0.573 1.434  0.573 1.183  0.382 1.123  0.379 0.874  0.266 0.736  0.186 0.565  0.024 0.381  -0.020 0.155  -0.251 0.106  -0.428 -0.072  -0.588 -0.257  -0.506 -0.425  -0.395 -0.285  -0.197 -0.232  0.054 -0.232  0.305 -0.232  0.379 -0.409  0.573 -0.467  0.672 -0.619  0.766 -0.776  0.960 -0.833  1.038 -1.006  1.154 -1.142  1.347 -1.200
1b#apa#apa01#app0134/B  -0.460 1.010  -0.323 0.860  -0.323 0.574  -0.323 0.287  -0.323 0.000  -0.323 -0.286  -0.241 -0.491  -0.187 -0.723  -0.187 -1.010  -0.051 -0.913  -0.211 -0.679  -0.380 -0.447  -0.548 -0.215  -0.717 0.016  -0.886 0.248  -1.054 0.480  -1.006 0.601  -0.992 0.874  -0.841 1.010  -0.691 1.147  -0.460 1.202  -0.255 1.283  -0.104 1.420  0.182 1.420  0.332 1.283  0.543 1.099  0.632 0.850  0.632 0.563  0.580 0.328  0.430 0.192  0.200 0.055  -0.036 -0.067  -0.279 -0.173  -0.547 -0.218  -0.460 -0.117  -0.209 -0.081  0.078 -0.081  0.228 -0.218  0.509 -0.231  0.744 -0.354  0.975 -0.491  1.125 -0.627  1.178 -0.861  1.067 -1.037  0.917 -1.173  0.767 -1.310  0.616 -1.446  0.378 -1.329  0.222 -1.187  0.086 -1.037
1b#apa#apa01#app0134/R  -0.162 -1.369  -0.162 -1.157  -0.174 -0.958  -0.299 -0.872  -0.299 -0.660  -0.299 -0.449  -0.422 -0.288  -0.436 -0.083  -0.436 0.128  -0.436 0.340  -0.436 0.551  -0.436 0.762  -0.299 0.837  -0.299 1.048  -0.437 1.002  -0.613 0.884  -0.789 0.767  -0.964 0.650  -1.095 0.546  -0.983 0.646  -0.846 0.720  -0.734 0.820  -0.578 0.952  -0.368 0.957  -0.199 1.057  -0.139 0.957  0.072 0.957  0.248 0.922  0.358 0.820  0.432 0.683  0.522 0.561  0.522 0.350  0.522 0.139  0.471 -0.052  0.385 -0.227  0.221 -0.274  0.112 -0.376  -0.065 -0.411  -0.048 -0.411  0.027 -0.548  0.238 -0.548  0.431 -0.593  0.604 -0.685  0.679 -0.822  0.862 -0.888  0.932 -1.071  1.069 -1.145  1.194 -1.232  1.206 -1.431  1.343 -1.505
1b#apa#apa01#app0134/O  -0.411 1.096  -0.428 0.965  -0.576 0.965  -0.673 0.914  -0.741 0.834  -0.805 0.749  -0.906 0.702  -0.936 0.584  -1.067 0.567  -1.067 0.419  -1.067 0.271  -1.028 0.138  -0.936 0.029  -0.936 -0.120  -0.885 -0.217  -0.805 -0.285  -0.744 -0.408  -0.640 -0.513  -0.535 -0.618  -0.430 -0.722  -0.290 -0.742  -0.273 -0.873  -0.132 -0.890  -0.027 -0.994  0.117 -1.004  0.265 -1.004  0.414 -1.004  0.508 -0.951  0.579 -0.873  0.727 -0.873  0.771 -0.769  0.892 -0.742  0.902 -0.604  0.926 -0.479  1.033 -0.439  1.033 -0.290  0.981 -0.164  0.902 -0.048  0.902 0.100  0.852 0.227  0.771 0.342  0.721 0.440  0.640 0.507  0.640 0.655  0.538 0.702  0.508 0.820  0.373 0.834  0.231 0.848  0.126 0.953  -0.017 0.965
1b#apa#apa01#app0134/W  -1.485 0.887  -1.458 0.755  -1.357 0.653  -1.274 0.544  -1.228 0.420  -1.169 0.302  -1.169 0.158  -1.064 0.120  -1.064 -0.023  -0.989 -0.135  -0.959 -0.266  -0.861 -0.368  -0.854 -0.508  -0.788 -0.585  -0.675 -0.511  -0.644 -0.381  -0.612 -0.270  -0.539 -0.200  -0.434 -0.162  -0.405 -0.030  -0.328 0.081  -0.255 0.151  -0.217 0.256  -0.074 0.256  -0.013 0.174  0.002 0.046  0.092 -0.008  0.092 -0.151  0.197 -0.189  0.259 -0.270  0.302 -0.370  0.407 -0.408  0.479 -0.480  0.622 -0.480  0.723 -0.522  0.803 -0.585  0.841 -0.480  0.984 -0.480  1.038 -0.391  1.143 -0.353  1.143 -0.209  1.213 -0.095  1.248 0.033  1.248 0.176  1.248 0.320  1.248 0.463  1.150 0.565  1.143 0.706  1.143 0.849  1.143 0.992
1b#apa#apa01#app0134/N  -0.822 -1.018  -0.822 -0.845  -0.822 -0.673  -0.822 -0.500  -0.822 -0.328  -0.822 -0.155  -0.822 0.018  -0.822 0.190  -0.822 0.363  -0.822 0.535  -0.822 0.708  -0.822 0.880  -0.822 1.053  -0.673 1.067  -0.653 0.902  -0.531 0.780  -0.524 0.611  -0.487 0.474  -0.374 0.415  -0.374 0.242  -0.374 0.070  -0.245 0.027  -0.223 -0.125  -0.101 -0.247  -0.076 -0.409  0.073 -0.432  0.073 -0.605  0.115 -0.760  0.223 -0.888  0.266 -1.018  0.372 -1.084  0.461 -1.167  0.634 -1.167  0.807 -1.167  0.819 -1.007  0.819 -0.835  0.819 -0.662  0.819 -0.490  0.819 -0.317  0.819 -0.145  0.819 0.028  0.819 0.201  0.819 0.373  0.819 0.546  0.753 0.690  0.670 0.829  0.670 1.001  0.670 1.174  0.670 1.346  0.670 1.519
