2#app#app06#app0694/A  0.367 1.243  0.273 1.016  0.199 0.774  0.085 0.534  -0.011 0.286  -0.103 0.037  -0.176 -0.219  -0.260 -0.470  -0.393 -0.699  -0.477 -0.952  -0.584 -1.195  -0.643 -1.447  -0.777 -1.658  -0.704 -1.710  -0.615 -1.473  -0.549 -1.215  -0.483 -0.957  -0.417 -0.699  -0.352 -0.441  -0.286 -0.183  -0.220 0.075  -0.154 0.333  -0.088 0.591  -0.023 0.849  0.043 1.107  0.109 1.365  0.175 1.624  0.198 1.849  0.095 1.644  0.030 1.405  0.104 1.169  0.216 0.940  0.299 0.705  0.418 0.467  0.562 0.247  0.636 0.010  0.703 -0.241  0.770 -0.491  0.823 -0.745  0.876 -0.895  0.635 -0.780  0.395 -0.666  0.154 -0.551  -0.086 -0.437  -0.327 -0.322  -0.508 -0.170  -0.329 -0.057  -0.101 0.036  0.133 0.134  0.367 0.235
2#app#app06#app0694/B  -0.242 0.604  -0.242 0.383  -0.242 0.161  -0.242 -0.060  -0.242 -0.281  -0.242 -0.502  -0.242 -0.723  -0.242 -0.944  -0.242 -1.165  -0.212 -1.356  -0.207 -1.189  -0.263 -0.975  -0.319 -0.761  -0.375 -0.547  -0.430 -0.333  -0.486 -0.119  -0.542 0.095  -0.598 0.309  -0.634 0.525  -0.634 0.746  -0.548 0.933  -0.420 1.102  -0.243 1.230  -0.045 1.329  0.135 1.451  0.329 1.556  0.535 1.623  0.699 1.566  0.699 1.345  0.596 1.155  0.487 0.963  0.388 0.765  0.210 0.646  0.112 0.448  -0.022 0.275  -0.163 0.113  -0.157 -0.102  0.031 -0.180  0.253 -0.180  0.474 -0.180  0.620 -0.255  0.777 -0.365  0.699 -0.554  0.613 -0.740  0.490 -0.924  0.342 -1.086  0.228 -1.261  0.084 -1.422  -0.085 -1.527  -0.242 -1.591
2#app#app06#app0694/C  0.874 1.039  0.976 1.039  0.987 1.130  0.906 1.151  0.804 1.151  0.702 1.151  0.600 1.151  0.498 1.151  0.405 1.132  0.333 1.059  0.260 0.987  0.188 0.915  0.116 0.843  0.044 0.771  -0.028 0.699  -0.100 0.627  -0.172 0.555  -0.244 0.483  -0.316 0.411  -0.388 0.339  -0.460 0.266  -0.532 0.194  -0.605 0.122  -0.677 0.050  -0.749 -0.022  -0.814 -0.097  -0.814 -0.199  -0.814 -0.301  -0.814 -0.403  -0.814 -0.505  -0.814 -0.607  -0.772 -0.691  -0.700 -0.763  -0.628 -0.835  -0.542 -0.875  -0.440 -0.875  -0.338 -0.875  -0.236 -0.875  -0.134 -0.875  -0.032 -0.875  0.069 -0.875  0.171 -0.875  0.273 -0.875  0.375 -0.875  0.477 -0.875  0.579 -0.875  0.681 -0.875  0.783 -0.875  0.885 -0.875  0.987 -0.875
2#app#app06#app0694/D  -0.133 0.829  -0.222 0.680  -0.222 0.494  -0.310 0.345  -0.310 0.160  -0.310 -0.026  -0.310 -0.212  -0.310 -0.398  -0.310 -0.583  -0.222 -0.732  -0.222 -0.918  -0.301 -0.805  -0.393 -0.644  -0.485 -0.482  -0.578 -0.321  -0.670 -0.160  -0.762 0.002  -0.854 0.163  -0.931 0.328  -0.931 0.514  -0.931 0.700  -0.828 0.843  -0.697 0.974  -0.561 1.095  -0.381 1.130  -0.204 1.184  -0.019 1.184  0.154 1.129  0.332 1.095  0.483 1.011  0.648 0.926  0.783 0.800  0.914 0.668  1.019 0.526  1.019 0.341  1.019 0.155  1.019 -0.031  1.019 -0.217  0.966 -0.394  0.931 -0.574  0.822 -0.718  0.730 -0.878  0.582 -0.985  0.431 -1.089  0.296 -1.217  0.130 -1.298  -0.056 -1.298  -0.210 -1.222  -0.310 -1.130  -0.310 -0.944
2#app#app06#app0694/E  0.899 1.525  0.811 1.621  0.627 1.621  0.461 1.546  0.322 1.429  0.158 1.347  0.023 1.225  -0.107 1.095  -0.237 0.965  -0.325 0.805  -0.407 0.641  -0.515 0.495  -0.607 0.337  -0.689 0.173  -0.733 -0.000  -0.733 -0.184  -0.733 -0.367  -0.733 -0.551  -0.628 -0.691  -0.498 -0.821  -0.340 -0.883  -0.192 -0.970  -0.008 -0.970  0.175 -0.970  0.359 -0.970  0.543 -0.970  0.726 -0.970  0.814 -1.066  0.969 -1.136  0.869 -1.085  0.713 -0.990  0.556 -0.894  0.399 -0.798  0.242 -0.702  0.086 -0.606  -0.071 -0.511  -0.228 -0.415  -0.384 -0.319  -0.541 -0.223  -0.698 -0.128  -0.733 0.037  -0.602 0.103  -0.437 0.182  -0.281 0.249  -0.149 0.373  0.024 0.416  0.196 0.469  0.379 0.469  0.549 0.503  0.707 0.565
2#app#app06#app0694/F  -0.131 1.230  -0.042 1.088  -0.042 0.856  -0.042 0.625  -0.131 0.414  -0.131 0.183  -0.220 -0.028  -0.220 -0.259  -0.226 -0.491  -0.271 -0.718  -0.310 -0.945  -0.349 -1.168  -0.399 -1.387  -0.399 -1.619  -0.399 -1.851  -0.319 -1.792  -0.341 -1.562  -0.363 -1.331  -0.385 -1.100  -0.407 -0.870  -0.429 -0.639  -0.451 -0.409  -0.473 -0.178  -0.488 0.053  -0.399 0.263  -0.296 0.455  -0.176 0.650  -0.012 0.814  0.113 1.005  0.306 1.092  0.490 1.227  0.679 1.352  0.901 1.409  1.109 1.397  0.967 1.214  0.826 1.031  0.684 0.847  0.543 0.664  0.401 0.481  0.259 0.298  0.118 0.114  -0.024 -0.069  -0.165 -0.252  -0.307 -0.435  -0.317 -0.554  -0.133 -0.421  0.050 -0.284  0.240 -0.183  0.440 -0.108  0.672 -0.108
2#app#app06#app0694/G  0.716 0.945  0.803 1.032  0.838 1.141  0.838 1.264  0.784 1.365  0.663 1.372  0.546 1.348  0.435 1.292  0.326 1.234  0.224 1.166  0.128 1.089  0.041 1.002  -0.047 0.915  -0.134 0.827  -0.218 0.737  -0.292 0.638  -0.366 0.540  -0.425 0.432  -0.481 0.322  -0.543 0.216  -0.612 0.113  -0.695 0.022  -0.764 -0.076  -0.803 -0.193  -0.871 -0.290  -0.871 -0.414  -0.859 -0.532  -0.810 -0.635  -0.719 -0.704  -0.596 -0.704  -0.472 -0.704  -0.349 -0.704  -0.236 -0.679  -0.135 -0.610  -0.025 -0.555  0.077 -0.488  0.184 -0.433  0.298 -0.389  0.400 -0.337  0.472 -0.389  0.472 -0.513  0.411 -0.611  0.411 -0.734  0.397 -0.854  0.350 -0.966  0.292 -1.066  0.289 -1.188  0.289 -1.311  0.289 -1.435  0.350 -1.497
2#app#app06#app0694/H  -0.211 0.666  -0.284 0.498  -0.306 0.309  -0.385 0.130  -0.452 -0.056  -0.538 -0.229  -0.645 -0.392  -0.763 -0.548  -0.873 -0.700  -0.873 -0.898  -0.873 -1.095  -0.873 -1.293  -0.852 -1.343  -0.795 -1.154  -0.738 -0.964  -0.681 -0.775  -0.624 -0.586  -0.590 -0.393  -0.675 -0.280  -0.496 -0.280  -0.337 -0.186  -0.179 -0.091  -0.080 0.022  0.092 0.117  0.232 0.257  0.331 0.426  0.457 0.577  0.596 0.716  0.683 0.889  0.759 1.068  0.831 1.237  0.919 1.414  0.924 1.610  0.827 1.510  0.764 1.322  0.677 1.147  0.567 0.982  0.475 0.808  0.386 0.631  0.315 0.447  0.262 0.258  0.202 0.074  0.167 -0.116  0.167 -0.313  0.167 -0.511  0.232 -0.694  0.354 -0.846  0.427 -1.014  0.576 -1.132  0.735 -1.226
2#app#app06#app0694/I  0.180 1.103  0.234 1.157  0.287 1.210  0.291 1.285  0.291 1.361  0.289 1.433  0.235 1.379  0.182 1.326  0.180 1.251  0.180 1.175  0.180 1.099  0.180 1.023  0.180 0.947  0.180 0.872  0.180 0.796  0.157 0.726  0.123 0.658  0.089 0.590  0.060 0.520  0.036 0.449  0.012 0.377  -0.012 0.305  -0.036 0.233  -0.041 0.158  -0.041 0.082  -0.041 0.006  -0.089 -0.049  -0.143 -0.103  -0.151 -0.175  -0.151 -0.251  -0.151 -0.327  -0.151 -0.403  -0.151 -0.479  -0.151 -0.554  -0.151 -0.630  -0.151 -0.706  -0.151 -0.782  -0.151 -0.858  -0.151 -0.933  -0.151 -1.009  -0.151 -1.085  -0.151 -1.161  -0.151 -1.236  -0.151 -1.312  -0.151 -1.388  -0.151 -1.464  -0.151 -1.540  -0.151 -1.615  -0.151 -1.691  -0.151 -1.767
2#app#app06#app0694/J  0.564 0.519  0.564 0.372  0.564 0.225  0.517 0.088  0.497 -0.054  0.497 -0.202  0.497 -0.349  0.498 -0.496  0.564 -0.616  0.564 -0.763  0.564 -0.911  0.564 -1.058  0.491 -1.175  0.386 -1.279  0.249 -1.304  0.102 -1.304  -0.025 -1.255  -0.149 -1.199  -0.246 -1.092  -0.310 -0.970  -0.414 -0.866  -0.449 -0.733  -0.527 -0.618  -0.584 -0.494  -0.584 -0.347  -0.493 -0.291  -0.345 -0.291  -0.396 -0.209  -0.500 -0.105  -0.604 -0.000  -0.709 0.104  -0.813 0.208  -0.917 0.312  -0.989 0.430  -0.874 0.484  -0.751 0.566  -0.640 0.661  -0.508 0.726  -0.376 0.792  -0.244 0.858  -0.104 0.905  0.031 0.962  0.163 1.028  0.280 1.114  0.391 1.210  0.526 1.262  0.673 1.262  0.814 1.301  0.957 1.330  1.037 1.262
2#app#app06#app0694/K  -0.385 1.469  -0.385 1.273  -0.394 1.079  -0.481 0.903  -0.543 0.716  -0.619 0.536  -0.664 0.350  -0.670 0.156  -0.758 -0.020  -0.846 -0.196  -0.895 -0.385  -0.943 -0.575  -1.036 -0.733  -1.036 -0.930  -1.036 -1.126  -0.940 -1.223  -0.801 -1.084  -0.663 -0.945  -0.575 -0.769  -0.453 -0.618  -0.354 -0.451  -0.215 -0.312  -0.087 -0.166  0.008 0.004  0.147 0.143  0.261 0.302  0.378 0.457  0.551 0.547  0.690 0.686  0.829 0.825  0.968 0.963  1.108 1.097  1.272 1.019  1.225 0.858  1.076 0.730  0.927 0.603  0.778 0.475  0.629 0.347  0.480 0.219  0.331 0.092  0.182 -0.036  0.033 -0.164  0.079 -0.300  0.094 -0.482  0.172 -0.600  0.263 -0.759  0.420 -0.854  0.523 -0.947  0.626 -1.040  0.730 -1.133
