1c#apa#apa19#app1967/b  -0.542 1.952  -0.507 1.813  -0.402 1.742  -0.402 1.568  -0.402 1.393  -0.402 1.218  -0.402 1.043  -0.402 0.868  -0.402 0.693  -0.402 0.519  -0.402 0.344  -0.402 0.169  -0.402 -0.006  -0.402 -0.181  -0.402 -0.355  -0.402 -0.530  -0.402 -0.705  -0.402 -0.880  -0.402 -0.908  -0.402 -0.734  -0.402 -0.559  -0.402 -0.384  -0.402 -0.209  -0.325 -0.066  -0.263 0.083  -0.263 0.257  -0.246 0.416  -0.123 0.467  -0.036 0.555  0.139 0.555  0.314 0.555  0.473 0.518  0.597 0.394  0.715 0.269  0.757 0.136  0.855 0.059  0.934 -0.083  0.995 -0.233  0.995 -0.408  0.980 -0.577  0.857 -0.700  0.823 -0.842  0.667 -0.890  0.544 -1.013  0.414 -1.121  0.256 -1.162  0.122 -1.261  -0.053 -1.261  -0.228 -1.261  -0.402 -1.261
1c#apa#apa19#app1967/i  -0.118 1.051  -0.118 0.920  -0.118 0.789  -0.118 0.659  -0.118 0.528  -0.118 0.397  -0.118 0.266  -0.118 0.136  -0.118 0.005  -0.118 -0.126  -0.118 -0.256  -0.118 -0.387  -0.118 -0.518  -0.118 -0.648  -0.118 -0.779  -0.118 -0.910  -0.118 -1.040  -0.118 -1.171  -0.081 -1.286  0.011 -1.379  0.073 -1.484  0.073 -1.614  0.073 -1.520  0.073 -1.389  0.073 -1.258  0.073 -1.128  0.073 -0.997  0.073 -0.866  0.073 -0.736  0.073 -0.605  0.073 -0.474  0.073 -0.344  0.073 -0.213  0.073 -0.082  0.073 0.049  0.073 0.179  0.073 0.310  0.073 0.441  0.073 0.571  0.073 0.702  0.073 0.833  0.073 0.963  0.073 1.094  0.073 1.225  0.073 1.355  0.073 1.486  0.073 1.617  0.073 1.747  0.073 1.878  0.073 2.009
1c#apa#apa19#app1967/g  -0.027 1.064  -0.123 1.127  -0.248 1.161  -0.407 1.161  -0.565 1.161  -0.690 1.079  -0.801 0.966  -0.847 0.826  -0.898 0.688  -0.898 0.529  -0.887 0.375  -0.775 0.262  -0.662 0.150  -0.526 0.096  -0.407 -0.001  -0.248 -0.001  -0.089 -0.001  0.070 -0.001  0.183 0.111  0.264 0.236  0.339 0.364  0.361 0.514  0.361 0.673  0.320 0.815  0.264 0.951  0.122 0.968  0.070 0.860  0.070 0.701  0.091 0.549  0.180 0.416  0.264 0.283  0.264 0.124  0.323 -0.021  0.394 -0.163  0.465 -0.306  0.536 -0.448  0.564 -0.600  0.635 -0.742  0.706 -0.884  0.748 -1.033  0.748 -1.192  0.684 -1.325  0.551 -1.408  0.403 -1.454  0.244 -1.454  0.085 -1.454  -0.074 -1.454  -0.233 -1.454  -0.392 -1.454  -0.511 -1.357
1c#apa#apa19#app1967/i  -0.167 0.515  -0.045 0.515  0.009 0.447  0.009 0.324  0.009 0.202  0.009 0.079  0.009 -0.043  0.009 -0.166  0.009 -0.288  0.009 -0.411  0.009 -0.533  0.009 -0.655  0.009 -0.778  0.009 -0.900  0.009 -1.023  0.009 -1.145  0.009 -1.268  0.009 -1.390  0.009 -1.513  0.009 -1.570  0.009 -1.448  0.009 -1.325  0.009 -1.203  0.009 -1.080  0.009 -0.958  0.009 -0.835  0.009 -0.713  0.009 -0.591  0.009 -0.468  0.009 -0.346  0.009 -0.223  0.009 -0.101  0.009 0.022  0.009 0.144  0.009 0.266  0.009 0.389  0.009 0.511  0.009 0.634  0.009 0.756  0.009 0.879  0.009 1.001  0.009 1.124  0.009 1.246  0.009 1.368  0.009 1.491  0.009 1.613  0.009 1.736  0.009 1.858  -0.045 1.927  -0.167 1.927
1c#apa#apa19#app1967/n  -0.915 0.901  -0.915 0.731  -0.915 0.561  -0.795 0.440  -0.745 0.291  -0.745 0.121  -0.745 -0.049  -0.674 -0.190  -0.576 -0.319  -0.576 -0.489  -0.576 -0.659  -0.553 -0.820  -0.433 -0.940  -0.406 -1.099  -0.406 -1.269  -0.406 -1.175  -0.406 -1.005  -0.406 -0.835  -0.406 -0.665  -0.406 -0.495  -0.406 -0.324  -0.406 -0.154  -0.406 0.016  -0.406 0.186  -0.406 0.356  -0.406 0.526  -0.310 0.656  -0.236 0.796  -0.236 0.966  -0.170 1.070  -0.000 1.070  0.170 1.070  0.340 1.070  0.490 1.024  0.611 0.903  0.780 0.901  0.783 0.734  0.783 0.564  0.950 0.561  0.953 0.394  0.953 0.224  0.953 0.053  0.953 -0.117  0.953 -0.287  0.953 -0.457  0.953 -0.627  0.953 -0.797  0.953 -0.967  0.953 -1.137  0.953 -1.307
1c#apa#apa19#app1967/k  -0.382 2.004  -0.441 2.117  -0.495 1.998  -0.495 1.825  -0.495 1.652  -0.495 1.480  -0.495 1.307  -0.495 1.135  -0.433 0.976  -0.382 0.816  -0.382 0.643  -0.382 0.471  -0.382 0.298  -0.382 0.125  -0.382 -0.047  -0.382 -0.220  -0.382 -0.392  -0.382 -0.565  -0.353 -0.709  -0.269 -0.797  -0.159 -0.723  -0.031 -0.608  0.098 -0.492  0.226 -0.377  0.354 -0.261  0.483 -0.146  0.611 -0.030  0.739 0.085  0.856 0.190  0.734 0.067  0.602 -0.031  0.457 -0.097  0.304 -0.144  0.146 -0.181  0.005 -0.257  -0.168 -0.257  -0.319 -0.307  -0.466 -0.370  -0.464 -0.483  -0.318 -0.547  -0.166 -0.596  -0.040 -0.709  0.133 -0.709  0.270 -0.795  0.392 -0.917  0.557 -0.935  0.702 -1.002  0.855 -1.048  0.915 -1.161  0.975 -1.274
1c#apa#apa19#app1967/y  -0.926 1.079  -0.786 1.079  -0.687 0.981  -0.588 0.882  -0.489 0.783  -0.390 0.684  -0.360 0.556  -0.360 0.416  -0.293 0.303  -0.184 0.229  -0.076 0.196  -0.054 0.065  0.045 -0.034  0.110 0.047  0.167 0.175  0.224 0.303  0.281 0.431  0.338 0.559  0.395 0.687  0.452 0.815  0.509 0.943  0.566 1.071  0.622 1.199  0.632 1.104  0.632 0.964  0.632 0.824  0.632 0.684  0.597 0.549  0.553 0.416  0.509 0.284  0.490 0.147  0.454 0.015  0.392 -0.110  0.349 -0.240  0.330 -0.376  0.267 -0.501  0.203 -0.625  0.104 -0.724  0.005 -0.823  -0.076 -0.930  -0.076 -1.070  -0.096 -1.198  -0.221 -1.261  -0.346 -1.323  -0.448 -1.418  -0.566 -1.471  -0.688 -1.516  -0.788 -1.613  -0.928 -1.613  -1.068 -1.613
1c#apa#apa19#app1967/d  0.394 2.097  0.394 1.936  0.394 1.776  0.373 1.620  0.302 1.476  0.285 1.320  0.285 1.159  0.285 0.998  0.285 0.838  0.285 0.677  0.285 0.517  0.285 0.356  0.322 0.200  0.361 0.044  0.394 -0.112  0.449 -0.250  0.503 -0.388  0.503 -0.549  0.558 -0.687  0.612 -0.825  0.516 -0.753  0.479 -0.608  0.366 -0.494  0.285 -0.367  0.216 -0.235  0.129 -0.102  0.052 0.038  -0.062 0.151  -0.181 0.256  -0.325 0.328  -0.480 0.351  -0.641 0.351  -0.801 0.351  -0.916 0.241  -1.025 0.126  -1.025 -0.035  -1.024 -0.196  -0.935 -0.329  -0.846 -0.463  -0.743 -0.585  -0.655 -0.717  -0.576 -0.849  -0.422 -0.878  -0.279 -0.950  -0.135 -1.022  -0.002 -1.108  0.130 -1.177  0.291 -1.177  0.451 -1.177  0.612 -1.177
1c#apa#apa19#app1967/e  -0.646 0.252  -0.646 0.082  -0.519 0.038  -0.373 -0.021  -0.252 -0.141  -0.131 -0.262  -0.011 -0.382  0.156 -0.391  0.326 -0.391  0.497 -0.391  0.668 -0.391  0.838 -0.391  1.009 -0.391  1.179 -0.391  1.284 -0.326  1.284 -0.155  1.284 0.015  1.284 0.186  1.211 0.326  1.090 0.446  0.928 0.467  0.855 0.565  0.802 0.681  0.634 0.688  0.513 0.809  0.379 0.896  0.208 0.896  0.038 0.896  -0.133 0.896  -0.303 0.896  -0.474 0.896  -0.644 0.896  -0.765 0.776  -0.886 0.655  -1.006 0.535  -1.074 0.393  -1.074 0.222  -1.074 0.051  -1.074 -0.119  -1.074 -0.290  -1.026 -0.440  -0.905 -0.560  -0.784 -0.681  -0.664 -0.802  -0.516 -0.885  -0.364 -0.961  -0.212 -1.039  -0.092 -1.159  0.042 -1.249  0.212 -1.249
1c#apa#apa19#app1967/v  -0.655 1.189  -0.655 1.063  -0.655 0.937  -0.655 0.811  -0.655 0.685  -0.655 0.558  -0.655 0.432  -0.655 0.306  -0.655 0.180  -0.655 0.054  -0.655 -0.072  -0.655 -0.198  -0.629 -0.313  -0.540 -0.402  -0.451 -0.491  -0.445 -0.615  -0.445 -0.741  -0.445 -0.867  -0.392 -0.971  -0.303 -1.060  -0.214 -1.149  -0.125 -1.238  -0.036 -1.328  0.085 -1.340  0.188 -1.317  0.188 -1.190  0.188 -1.064  0.188 -0.938  0.188 -0.812  0.197 -0.689  0.254 -0.576  0.310 -0.463  0.366 -0.350  0.398 -0.232  0.398 -0.106  0.398 0.020  0.398 0.146  0.398 0.272  0.435 0.383  0.525 0.472  0.609 0.563  0.609 0.689  0.609 0.815  0.609 0.941  0.609 1.067  0.612 1.192  0.701 1.281  0.790 1.370  0.820 1.484  0.820 1.610
1c#apa#apa19#app1967/i  0.117 0.006  0.117 -0.102  0.117 -0.211  0.117 -0.320  0.117 -0.428  0.117 -0.537  0.089 -0.633  0.012 -0.710  -0.065 -0.787  -0.086 -0.887  -0.086 -0.995  -0.178 -1.012  -0.287 -1.012  -0.290 -1.118  -0.290 -1.226  -0.290 -1.335  -0.285 -1.396  -0.264 -1.290  -0.243 -1.183  -0.221 -1.077  -0.200 -0.970  -0.179 -0.864  -0.157 -0.757  -0.136 -0.651  -0.115 -0.544  -0.094 -0.438  -0.072 -0.331  -0.051 -0.225  -0.030 -0.118  -0.008 -0.012  0.013 0.095  0.034 0.201  0.056 0.308  0.077 0.414  0.098 0.521  0.119 0.627  0.141 0.734  0.162 0.840  0.183 0.947  0.205 1.053  0.226 1.160  0.247 1.266  0.269 1.373  0.290 1.479  0.311 1.586  0.264 1.636  0.155 1.636  0.067 1.686  -0.009 1.763  -0.086 1.840
