1c#kai#kai1#jhjung5/g  0.216 1.333  0.024 1.391  -0.178 1.391  -0.375 1.368  -0.566 1.304  -0.713 1.182  -0.800 1.002  -0.824 0.805  -0.824 0.604  -0.822 0.403  -0.758 0.212  -0.672 0.038  -0.498 -0.053  -0.297 -0.053  -0.100 -0.023  0.078 0.067  0.191 0.220  0.284 0.397  0.331 0.584  0.377 0.778  0.441 0.969  0.444 1.151  0.389 0.959  0.389 0.758  0.389 0.556  0.389 0.355  0.389 0.154  0.389 -0.048  0.389 -0.249  0.389 -0.451  0.342 -0.646  0.331 -0.846  0.331 -1.048  0.318 -1.247  0.274 -1.441  0.246 -1.638  0.115 -1.762  -0.061 -1.717  -0.196 -1.573  -0.281 -1.392  -0.304 -1.194  -0.266 -0.998  -0.208 -0.805  -0.144 -0.614  -0.060 -0.431  0.041 -0.258  0.167 -0.102  0.302 0.047  0.420 0.209  0.562 0.351
1c#kai#kai1#jhjung5/o  -0.809 0.139  -0.864 -0.027  -0.902 -0.196  -0.902 -0.372  -0.902 -0.547  -0.902 -0.722  -0.902 -0.898  -0.872 -1.068  -0.817 -1.234  -0.684 -1.342  -0.538 -1.439  -0.373 -1.394  -0.212 -1.328  -0.066 -1.231  0.063 -1.117  0.160 -0.971  0.258 -0.825  0.355 -0.679  0.452 -0.533  0.549 -0.388  0.622 -0.230  0.678 -0.063  0.683 0.111  0.683 0.286  0.683 0.462  0.683 0.637  0.677 0.811  0.621 0.978  0.526 1.114  0.380 1.211  0.219 1.258  0.044 1.258  -0.123 1.207  -0.273 1.129  -0.370 0.984  -0.454 0.831  -0.509 0.665  -0.529 0.493  -0.523 0.320  -0.399 0.196  -0.275 0.072  -0.110 0.046  0.063 0.057  0.230 0.112  0.396 0.168  0.562 0.223  0.712 0.314  0.857 0.411  1.003 0.508  1.149 0.605
1c#kai#kai1#jhjung5/a  0.345 1.210  0.183 1.156  0.029 1.089  -0.113 0.995  -0.254 0.900  -0.396 0.806  -0.526 0.698  -0.646 0.578  -0.759 0.451  -0.854 0.310  -0.932 0.161  -0.986 -0.001  -1.001 -0.168  -1.008 -0.337  -1.062 -0.499  -1.065 -0.660  -1.012 -0.821  -0.958 -0.983  -0.892 -1.135  -0.751 -1.229  -0.603 -1.302  -0.432 -1.302  -0.312 -1.210  -0.217 -1.068  -0.104 -0.943  0.017 -0.822  0.124 -0.691  0.218 -0.550  0.312 -0.408  0.407 -0.267  0.473 -0.111  0.527 0.050  0.603 0.202  0.679 0.354  0.704 0.518  0.709 0.688  0.763 0.849  0.826 1.006  0.864 1.082  0.790 0.930  0.736 0.768  0.682 0.607  0.628 0.446  0.614 0.278  0.606 0.109  0.552 -0.052  0.524 -0.218  0.524 -0.388  0.652 -0.490  0.793 -0.584
1c#kai#kai1#jhjung5/c  0.744 1.560  0.669 1.511  0.595 1.461  0.521 1.412  0.447 1.362  0.372 1.313  0.298 1.263  0.224 1.214  0.150 1.164  0.084 1.106  0.035 1.032  -0.015 0.958  -0.064 0.883  -0.113 0.809  -0.141 0.724  -0.169 0.639  -0.198 0.555  -0.226 0.470  -0.254 0.386  -0.282 0.301  -0.311 0.216  -0.339 0.132  -0.367 0.047  -0.395 -0.038  -0.423 -0.122  -0.452 -0.207  -0.480 -0.292  -0.508 -0.376  -0.536 -0.461  -0.540 -0.549  -0.540 -0.639  -0.540 -0.728  -0.520 -0.807  -0.446 -0.856  -0.372 -0.905  -0.297 -0.955  -0.223 -1.004  -0.139 -1.034  -0.054 -1.062  0.030 -1.090  0.114 -1.108  0.194 -1.068  0.274 -1.028  0.353 -0.988  0.433 -0.948  0.513 -0.909  0.597 -0.878  0.681 -0.850  0.766 -0.821  0.851 -0.793
1c#kai#kai1#jhjung5/k  -0.601 -0.245  -0.466 -0.064  -0.330 0.117  -0.192 0.296  -0.032 0.456  0.028 0.669  0.094 0.883  0.193 1.087  0.265 1.301  0.332 1.517  0.388 1.736  0.422 1.914  0.238 1.812  0.150 1.605  0.038 1.411  -0.028 1.195  -0.085 0.976  -0.141 0.759  -0.166 0.537  -0.237 0.322  -0.300 0.105  -0.360 -0.113  -0.404 -0.332  -0.441 -0.552  -0.470 -0.774  -0.510 -0.995  -0.573 -1.212  -0.558 -1.166  -0.486 -0.951  -0.415 -0.737  -0.297 -0.545  -0.191 -0.345  -0.105 -0.137  0.035 0.026  0.237 0.122  0.459 0.149  0.685 0.149  0.712 -0.049  0.636 -0.261  0.511 -0.450  0.385 -0.638  0.197 -0.764  -0.024 -0.761  -0.205 -0.645  -0.128 -0.856  0.001 -1.041  0.189 -1.167  0.314 -1.355  0.524 -1.433  0.713 -1.559
1c#kai#kai1#jhjung5/o  -0.452 0.881  -0.515 0.694  -0.577 0.507  -0.640 0.320  -0.702 0.133  -0.764 -0.054  -0.789 -0.247  -0.789 -0.444  -0.789 -0.641  -0.789 -0.838  -0.789 -1.036  -0.709 -1.190  -0.545 -1.299  -0.371 -1.334  -0.184 -1.271  -0.011 -1.179  0.153 -1.069  0.285 -0.928  0.394 -0.764  0.478 -0.587  0.540 -0.400  0.622 -0.221  0.710 -0.045  0.781 0.136  0.781 0.333  0.781 0.530  0.781 0.727  0.757 0.917  0.648 1.081  0.538 1.245  0.429 1.409  0.310 1.547  0.123 1.484  -0.039 1.390  -0.148 1.226  -0.245 1.055  -0.307 0.868  -0.340 0.677  -0.340 0.479  -0.340 0.282  -0.340 0.085  -0.340 -0.112  -0.283 -0.278  -0.118 -0.388  0.053 -0.483  0.240 -0.545  0.427 -0.608  0.614 -0.670  0.808 -0.688  1.005 -0.688
1c#kai#kai1#jhjung5/t  -1.107 -1.104  -0.970 -1.059  -0.833 -1.013  -0.712 -0.937  -0.592 -0.857  -0.488 -0.759  -0.402 -0.644  -0.315 -0.529  -0.235 -0.410  -0.190 -0.273  -0.144 -0.136  -0.098 0.000  -0.053 0.137  0.025 0.258  0.105 0.378  0.142 0.511  0.142 0.655  0.177 0.791  0.241 0.920  0.306 1.049  0.334 1.187  0.334 1.331  0.334 1.475  0.334 1.619  0.334 1.599  0.334 1.455  0.308 1.315  0.262 1.178  0.217 1.042  0.171 0.905  0.125 0.768  0.080 0.631  0.037 0.494  0.002 0.354  -0.033 0.214  -0.050 0.072  -0.050 -0.072  -0.050 -0.216  -0.050 -0.361  -0.050 -0.505  -0.050 -0.649  -0.050 -0.793  -0.050 -0.937  -0.010 -1.069  0.070 -1.189  0.156 -1.301  0.293 -1.347  0.430 -1.392  0.574 -1.392  0.718 -1.392
1c#kai#kai1#jhjung5/h  -0.666 -0.892  -0.543 -0.707  -0.422 -0.521  -0.323 -0.323  -0.224 -0.125  -0.108 0.064  0.041 0.228  0.143 0.418  0.213 0.629  0.268 0.844  0.279 1.064  0.332 1.279  0.334 1.501  0.334 1.723  0.334 1.945  0.237 1.845  0.158 1.639  0.088 1.429  0.023 1.217  -0.035 1.003  -0.099 0.791  -0.137 0.573  -0.163 0.355  -0.224 0.142  -0.294 -0.069  -0.313 -0.287  -0.372 -0.500  -0.388 -0.719  -0.445 -0.934  -0.534 -1.135  -0.607 -1.334  -0.607 -1.286  -0.550 -1.073  -0.526 -0.859  -0.403 -0.674  -0.280 -0.489  -0.157 -0.305  -0.022 -0.130  0.141 0.019  0.332 0.128  0.548 0.167  0.628 0.026  0.545 -0.176  0.464 -0.382  0.394 -0.593  0.334 -0.805  0.334 -1.027  0.435 -1.194  0.642 -1.245  0.863 -1.245
1c#kai#kai1#jhjung5/o  -1.066 0.101  -1.123 -0.068  -1.143 -0.244  -1.163 -0.420  -1.219 -0.590  -1.162 -0.760  -1.045 -0.884  -0.893 -0.978  -0.724 -1.035  -0.547 -1.049  -0.372 -1.022  -0.204 -0.960  -0.055 -0.860  0.094 -0.761  0.239 -0.659  0.296 -0.489  0.400 -0.349  0.527 -0.222  0.593 -0.058  0.621 0.117  0.621 0.296  0.621 0.475  0.527 0.626  0.408 0.755  0.259 0.854  0.092 0.917  -0.083 0.945  -0.262 0.945  -0.441 0.945  -0.592 0.852  -0.722 0.733  -0.821 0.584  -0.836 0.409  -0.780 0.247  -0.679 0.100  -0.509 0.044  -0.339 -0.013  -0.166 -0.052  0.013 -0.052  0.192 -0.052  0.364 -0.010  0.538 0.025  0.716 0.031  0.886 0.088  1.059 0.134  1.233 0.178  1.403 0.234  1.573 0.291  1.745 0.332  1.924 0.332
1c#kai#kai1#jhjung5/n  -1.022 0.718  -0.839 0.779  -0.671 0.869  -0.508 0.965  -0.316 0.965  -0.282 0.807  -0.282 0.614  -0.297 0.425  -0.358 0.242  -0.364 0.051  -0.401 -0.135  -0.474 -0.312  -0.581 -0.471  -0.654 -0.648  -0.715 -0.830  -0.776 -1.012  -0.837 -1.195  -0.817 -1.134  -0.742 -0.959  -0.635 -0.799  -0.564 -0.622  -0.498 -0.441  -0.427 -0.263  -0.352 -0.086  -0.245 0.074  -0.165 0.246  -0.104 0.429  -0.043 0.611  0.058 0.774  0.164 0.934  0.271 1.094  0.437 1.177  0.623 1.211  0.796 1.185  0.857 1.002  0.870 0.812  0.839 0.625  0.778 0.443  0.717 0.260  0.656 0.078  0.623 -0.109  0.613 -0.299  0.552 -0.482  0.541 -0.672  0.541 -0.865  0.556 -1.054  0.617 -1.237  0.786 -1.310  0.957 -1.280  1.117 -1.174
1c#kai#kai1#jhjung5/d  -0.002 0.279  -0.187 0.279  -0.372 0.279  -0.545 0.236  -0.699 0.133  -0.836 0.013  -0.925 -0.148  -0.961 -0.327  -0.961 -0.512  -0.961 -0.698  -0.961 -0.883  -0.905 -1.059  -0.834 -1.226  -0.678 -1.314  -0.502 -1.255  -0.347 -1.171  -0.244 -1.017  -0.139 -0.864  -0.028 -0.715  0.043 -0.546  0.090 -0.367  0.144 -0.190  0.210 -0.017  0.286 0.151  0.371 0.311  0.389 0.493  0.448 0.669  0.507 0.845  0.531 1.026  0.573 1.205  0.632 1.381  0.690 1.556  0.683 1.693  0.624 1.517  0.552 1.348  0.478 1.185  0.462 1.002  0.426 0.820  0.369 0.644  0.310 0.468  0.265 0.290  0.265 0.105  0.235 -0.076  0.211 -0.257  0.211 -0.442  0.177 -0.622  0.158 -0.804  0.158 -0.990  0.217 -1.163  0.371 -1.266
