1c#app#app35#app3513/o  0.138 1.300  0.138 1.159  0.001 1.156  -0.140 1.156  -0.150 1.025  -0.241 0.921  -0.340 0.821  -0.440 0.722  -0.540 0.622  -0.619 0.508  -0.682 0.381  -0.728 0.251  -0.728 0.110  -0.742 -0.027  -0.805 -0.154  -0.868 -0.280  -0.873 -0.420  -0.873 -0.561  -0.873 -0.702  -0.873 -0.843  -0.755 -0.866  -0.728 -0.980  -0.617 -1.011  -0.476 -1.011  -0.335 -1.011  -0.194 -1.011  -0.053 -1.011  0.088 -1.011  0.229 -1.011  0.370 -1.011  0.427 -0.927  0.499 -0.831  0.625 -0.767  0.744 -0.694  0.843 -0.595  0.860 -0.461  0.860 -0.320  0.860 -0.179  0.860 -0.038  0.860 0.103  0.790 0.215  0.716 0.326  0.701 0.463  0.638 0.589  0.575 0.715  0.572 0.856  0.480 0.959  0.380 1.058  0.279 1.156  0.138 1.156
1c#app#app35#app3513/f  0.561 1.875  0.423 1.875  0.305 1.829  0.192 1.771  0.081 1.709  0.004 1.598  -0.058 1.475  -0.119 1.352  -0.171 1.227  -0.171 1.090  -0.171 0.953  -0.171 0.816  -0.171 0.678  -0.171 0.541  -0.171 0.404  -0.171 0.267  -0.171 0.129  -0.171 -0.008  -0.148 -0.135  -0.067 -0.239  -0.067 -0.376  -0.027 -0.504  0.034 -0.627  0.038 -0.763  0.078 -0.884  0.142 -0.994  0.198 -1.109  0.247 -1.226  0.247 -1.363  0.147 -1.279  0.043 -1.189  -0.060 -1.098  -0.163 -1.008  -0.266 -0.918  -0.370 -0.827  -0.473 -0.737  -0.576 -0.647  -0.575 -0.530  -0.485 -0.483  -0.405 -0.426  -0.301 -0.346  -0.174 -0.321  -0.037 -0.321  0.094 -0.293  0.217 -0.232  0.350 -0.216  0.473 -0.156  0.600 -0.112  0.737 -0.112  0.874 -0.112
1c#app#app35#app3513/s  0.435 1.136  0.287 1.136  0.159 1.090  0.040 1.022  -0.108 1.022  -0.243 0.969  -0.376 0.907  -0.511 0.878  -0.616 0.774  -0.722 0.673  -0.854 0.607  -0.977 0.528  -1.091 0.448  -1.219 0.400  -1.285 0.280  -1.285 0.133  -1.166 0.104  -1.019 0.104  -0.871 0.104  -0.724 0.104  -0.576 0.104  -0.429 0.104  -0.281 0.104  -0.134 0.104  0.014 0.104  0.161 0.104  0.309 0.104  0.456 0.104  0.604 0.104  0.726 0.043  0.851 -0.010  0.968 -0.085  1.099 -0.125  1.210 -0.212  1.237 -0.349  1.237 -0.496  1.195 -0.626  1.078 -0.698  0.953 -0.754  0.830 -0.813  0.711 -0.881  0.583 -0.928  0.435 -0.928  0.288 -0.928  0.140 -0.928  -0.007 -0.928  -0.155 -0.928  -0.302 -0.928  -0.450 -0.928  -0.597 -0.928
1c#app#app35#app3513/a  0.466 0.878  0.440 1.006  0.338 1.057  0.261 1.134  0.108 1.134  -0.045 1.134  -0.199 1.134  -0.352 1.134  -0.505 1.134  -0.556 1.031  -0.647 0.915  -0.755 0.807  -0.812 0.677  -0.812 0.524  -0.881 0.392  -0.966 0.264  -1.051 0.136  -1.067 -0.012  -1.067 -0.165  -1.067 -0.318  -1.035 -0.464  -0.966 -0.601  -0.873 -0.721  -0.746 -0.782  -0.592 -0.782  -0.439 -0.782  -0.286 -0.782  -0.137 -0.764  0.000 -0.696  0.126 -0.611  0.234 -0.503  0.345 -0.399  0.466 -0.367  0.507 -0.230  0.593 -0.113  0.633 0.024  0.721 0.141  0.721 0.294  0.721 0.287  0.721 0.134  0.721 -0.019  0.721 -0.173  0.721 -0.326  0.721 -0.479  0.721 -0.633  0.724 -0.785  0.832 -0.893  0.978 -0.911  1.086 -1.020  1.232 -1.038
1c#app#app35#app3513/r  -0.182 1.399  -0.182 1.260  -0.182 1.122  -0.182 0.984  -0.182 0.846  -0.182 0.707  -0.182 0.569  -0.182 0.431  -0.182 0.292  -0.182 0.154  -0.182 0.016  -0.182 -0.123  -0.182 -0.261  -0.182 -0.399  -0.182 -0.537  -0.182 -0.676  -0.182 -0.814  -0.123 -0.928  -0.025 -1.025  0.024 -1.143  0.024 -1.282  0.024 -1.420  0.024 -1.558  0.024 -1.687  0.024 -1.549  0.024 -1.411  0.024 -1.273  0.024 -1.134  0.024 -0.996  0.024 -0.858  0.024 -0.719  0.024 -0.581  0.024 -0.443  0.024 -0.305  0.024 -0.166  0.024 -0.028  0.024 0.110  0.024 0.249  0.032 0.385  0.094 0.509  0.156 0.632  0.218 0.756  0.230 0.891  0.230 1.030  0.230 1.168  0.230 1.306  0.250 1.440  0.312 1.563  0.374 1.687  0.436 1.811
1c#app#app35#app3513/e  -0.472 0.278  -0.472 0.187  -0.412 0.278  -0.351 0.368  -0.231 0.399  -0.089 0.419  0.020 0.520  0.171 0.520  0.302 0.568  0.423 0.641  0.573 0.641  0.724 0.641  0.737 0.779  0.689 0.882  0.561 0.937  0.495 1.060  0.408 1.124  0.257 1.124  0.106 1.124  -0.044 1.124  -0.109 1.038  -0.225 1.003  -0.255 0.882  -0.351 0.828  -0.411 0.702  -0.472 0.576  -0.472 0.425  -0.560 0.311  -0.593 0.174  -0.593 0.023  -0.593 -0.128  -0.593 -0.279  -0.593 -0.429  -0.593 -0.580  -0.593 -0.731  -0.542 -0.861  -0.472 -0.983  -0.390 -1.051  -0.251 -1.101  -0.116 -1.169  -0.087 -1.293  0.064 -1.293  0.215 -1.293  0.365 -1.293  0.516 -1.293  0.667 -1.293  0.737 -1.212  0.848 -1.172  0.957 -1.073  1.099 -1.051
1c#app#app35#app3513/u  -0.638 1.412  -0.720 1.330  -0.784 1.240  -0.784 1.124  -0.784 1.008  -0.784 0.892  -0.784 0.776  -0.784 0.660  -0.784 0.544  -0.784 0.428  -0.784 0.312  -0.784 0.196  -0.784 0.080  -0.784 -0.036  -0.784 -0.152  -0.727 -0.245  -0.645 -0.327  -0.638 -0.440  -0.584 -0.534  -0.502 -0.616  -0.493 -0.728  -0.419 -0.771  -0.316 -0.802  -0.234 -0.884  -0.132 -0.916  -0.016 -0.916  0.100 -0.916  0.216 -0.916  0.332 -0.916  0.448 -0.916  0.526 -0.878  0.535 -0.771  0.651 -0.771  0.671 -0.675  0.671 -0.559  0.697 -0.454  0.779 -0.372  0.817 -0.272  0.817 -0.156  0.817 -0.040  0.817 0.076  0.817 0.192  0.817 0.308  0.817 0.424  0.817 0.540  0.817 0.656  0.817 0.772  0.817 0.889  0.817 1.005  0.817 1.121
1c#app#app35#app3513/n  -0.817 0.640  -0.817 0.495  -0.833 0.354  -0.897 0.225  -0.945 0.091  -0.945 -0.054  -0.945 -0.198  -0.945 -0.343  -0.945 -0.488  -0.945 -0.633  -0.935 -0.773  -0.832 -0.876  -0.817 -1.014  -0.718 -0.918  -0.690 -0.785  -0.603 -0.676  -0.562 -0.548  -0.489 -0.434  -0.435 -0.312  -0.435 -0.167  -0.362 -0.052  -0.277 0.063  -0.212 0.192  -0.180 0.329  -0.140 0.465  -0.075 0.594  -0.010 0.724  0.054 0.853  0.145 0.964  0.247 1.067  0.357 1.150  0.502 1.150  0.629 1.107  0.713 0.998  0.713 0.853  0.740 0.714  0.805 0.585  0.841 0.449  0.841 0.304  0.841 0.159  0.841 0.014  0.873 -0.127  0.908 -0.267  0.943 -0.408  0.968 -0.549  0.968 -0.694  0.968 -0.839  0.968 -0.984  0.968 -1.128  0.968 -1.273
1c#app#app35#app3513/d  0.456 0.087  0.388 0.266  0.199 0.308  -0.008 0.308  -0.195 0.243  -0.367 0.128  -0.554 0.072  -0.701 -0.075  -0.847 -0.221  -0.981 -0.372  -0.981 -0.579  -0.981 -0.785  -0.981 -0.992  -0.853 -1.146  -0.685 -1.239  -0.496 -1.282  -0.317 -1.350  -0.111 -1.350  0.072 -1.292  0.235 -1.217  0.235 -1.011  0.235 -0.804  0.235 -0.597  0.235 -0.390  0.235 -0.184  0.235 0.023  0.235 0.230  0.235 0.437  0.235 0.643  0.235 0.850  0.235 1.057  0.235 1.264  0.235 1.470  0.235 1.677  0.235 1.829  0.148 1.658  0.125 1.461  0.125 1.254  0.125 1.047  0.125 0.841  0.177 0.646  0.235 0.453  0.235 0.247  0.306 0.057  0.346 -0.141  0.346 -0.348  0.409 -0.528  0.456 -0.715  0.456 -0.922  0.567 -1.018
1c#app#app35#app3513/e  -0.263 -0.494  -0.395 -0.463  -0.334 -0.362  -0.263 -0.271  -0.263 -0.108  -0.113 -0.089  0.032 -0.017  0.182 0.033  0.321 0.090  0.452 0.165  0.589 0.226  0.703 0.341  0.830 0.428  0.922 0.498  1.022 0.560  1.054 0.690  1.054 0.852  1.012 0.997  0.887 1.087  0.725 1.087  0.563 1.087  0.401 1.087  0.239 1.087  0.093 1.048  -0.022 0.933  -0.139 0.824  -0.297 0.807  -0.442 0.734  -0.526 0.624  -0.596 0.491  -0.732 0.428  -0.790 0.324  -0.850 0.176  -0.922 0.031  -0.922 -0.131  -0.922 -0.293  -0.922 -0.456  -0.866 -0.605  -0.794 -0.750  -0.681 -0.866  -0.566 -0.981  -0.421 -1.021  -0.273 -1.081  -0.128 -1.152  0.025 -1.176  0.142 -1.284  0.304 -1.284  0.466 -1.284  0.629 -1.284  0.791 -1.284
1c#app#app35#app3513/f  -1.067 -0.036  -1.067 -0.179  -1.067 -0.322  -1.067 -0.466  -1.002 -0.582  -1.002 -0.725  -1.002 -0.869  -1.002 -1.012  -1.002 -0.892  -1.002 -0.749  -1.002 -0.606  -0.970 -0.467  -0.936 -0.329  -0.902 -0.200  -0.870 -0.070  -0.793 0.042  -0.738 0.162  -0.598 0.170  -0.478 0.228  -0.346 0.282  -0.214 0.338  -0.082 0.394  0.050 0.450  0.182 0.506  0.314 0.562  0.446 0.618  0.578 0.673  0.710 0.729  0.842 0.785  0.975 0.841  1.107 0.897  1.238 0.953  1.095 0.953  0.978 0.890  0.876 0.788  0.775 0.687  0.687 0.575  0.623 0.447  0.580 0.314  0.580 0.171  0.549 0.034  0.514 -0.101  0.514 -0.244  0.514 -0.387  0.514 -0.531  0.514 -0.674  0.569 -0.805  0.596 -0.943  0.642 -1.079  0.646 -1.222
