1c#app#app08#app0841/y  -0.404 1.183  -0.404 1.327  -0.404 1.307  -0.404 1.162  -0.448 1.036  -0.508 0.916  -0.508 0.772  -0.508 0.627  -0.508 0.483  -0.508 0.338  -0.508 0.193  -0.407 0.150  -0.304 0.049  -0.161 0.046  -0.016 0.046  0.124 0.058  0.215 0.164  0.255 0.293  0.319 0.411  0.386 0.527  0.422 0.657  0.422 0.802  0.474 0.925  0.525 1.048  0.422 1.070  0.386 0.940  0.319 0.824  0.255 0.706  0.215 0.577  0.215 0.433  0.215 0.288  0.215 0.144  0.215 -0.001  0.215 -0.145  0.215 -0.290  0.215 -0.435  0.215 -0.579  0.215 -0.724  0.215 -0.868  0.215 -1.013  0.215 -1.157  0.212 -1.300  0.112 -1.404  0.112 -1.548  0.026 -1.607  -0.081 -1.697  -0.220 -1.710  -0.365 -1.710  -0.509 -1.709  -0.611 -1.607
1c#app#app08#app0841/o  -0.158 0.599  -0.313 0.599  -0.467 0.599  -0.621 0.599  -0.708 0.531  -0.735 0.388  -0.845 0.279  -0.954 0.170  -1.063 0.061  -1.074 -0.089  -1.074 -0.244  -1.016 -0.374  -0.907 -0.483  -0.891 -0.631  -0.818 -0.755  -0.709 -0.864  -0.555 -0.865  -0.401 -0.865  -0.246 -0.865  -0.092 -0.865  0.062 -0.865  0.217 -0.865  0.371 -0.865  0.525 -0.865  0.680 -0.865  0.834 -0.865  0.940 -0.817  0.954 -0.668  1.063 -0.559  1.123 -0.430  1.123 -0.275  1.123 -0.121  1.123 0.033  1.123 0.188  1.046 0.310  0.940 0.420  0.940 0.575  0.810 0.599  0.685 0.671  0.576 0.780  0.423 0.782  0.268 0.782  0.114 0.782  -0.040 0.782  -0.195 0.782  -0.349 0.782  -0.503 0.782  -0.658 0.782  -0.781 0.708  -0.891 0.599
1c#app#app08#app0841/u  -1.414 0.677  -1.414 0.563  -1.414 0.449  -1.414 0.334  -1.414 0.220  -1.414 0.106  -1.414 -0.008  -1.356 -0.064  -1.256 -0.098  -1.176 -0.179  -1.065 -0.187  -0.951 -0.187  -0.837 -0.187  -0.723 -0.187  -0.612 -0.167  -0.503 -0.130  -0.395 -0.094  -0.286 -0.064  -0.174 -0.058  -0.094 0.023  -0.013 0.103  0.068 0.184  0.148 0.265  0.229 0.345  0.310 0.426  0.314 0.539  0.314 0.653  0.314 0.587  0.233 0.553  0.190 0.482  0.190 0.368  0.190 0.254  0.234 0.183  0.314 0.149  0.331 0.042  0.412 -0.039  0.493 -0.119  0.573 -0.200  0.654 -0.281  0.756 -0.311  0.870 -0.311  0.968 -0.348  1.049 -0.429  1.130 -0.510  1.224 -0.558  1.338 -0.558  1.452 -0.558  1.567 -0.558  1.681 -0.558  1.795 -0.558
1c#app#app08#app0841/k  -0.207 1.638  -0.275 1.690  -0.327 1.493  -0.328 1.274  -0.448 1.106  -0.465 0.895  -0.569 0.719  -0.569 0.501  -0.634 0.298  -0.690 0.093  -0.690 -0.126  -0.690 -0.344  -0.690 -0.562  -0.690 -0.781  -0.690 -0.999  -0.553 -0.886  -0.399 -0.732  -0.244 -0.578  -0.090 -0.423  0.064 -0.269  0.219 -0.114  0.373 0.040  0.528 0.195  0.682 0.349  0.837 0.503  0.991 0.658  1.103 0.812  0.925 0.912  0.726 0.833  0.553 0.704  0.354 0.648  0.159 0.550  -0.009 0.428  -0.186 0.328  -0.327 0.168  -0.443 0.065  -0.569 -0.098  -0.668 -0.276  -0.690 -0.485  -0.575 -0.655  -0.409 -0.782  -0.195 -0.793  -0.022 -0.903  0.188 -0.953  0.395 -1.023  0.613 -1.024  0.832 -1.024  1.050 -1.024  1.269 -1.024  1.487 -1.024
1c#app#app08#app0841/n  -1.089 0.622  -1.089 0.469  -1.089 0.316  -1.036 0.175  -0.968 0.039  -0.918 -0.103  -0.901 -0.248  -0.793 -0.356  -0.748 -0.491  -0.697 -0.622  -0.589 -0.730  -0.578 -0.879  -0.458 -0.912  -0.407 -1.014  -0.407 -1.167  -0.340 -1.253  -0.237 -1.203  -0.237 -1.050  -0.237 -0.897  -0.237 -0.744  -0.237 -0.591  -0.237 -0.439  -0.237 -0.286  -0.237 -0.133  -0.237 0.020  -0.193 0.155  -0.085 0.263  -0.067 0.408  -0.067 0.561  -0.067 0.714  -0.067 0.867  -0.009 0.962  0.104 1.002  0.126 1.133  0.279 1.133  0.432 1.133  0.544 1.034  0.615 0.911  0.639 0.768  0.747 0.660  0.785 0.522  0.843 0.394  0.951 0.285  0.956 0.134  1.047 0.019  1.155 -0.089  1.263 -0.197  1.371 -0.305  1.467 -0.418  1.467 -0.571
1c#app#app08#app0841/o  -0.838 0.648  -0.838 0.799  -0.838 0.695  -0.838 0.544  -0.838 0.393  -0.838 0.242  -0.838 0.092  -0.838 -0.059  -0.838 -0.210  -0.742 -0.321  -0.635 -0.427  -0.528 -0.534  -0.490 -0.669  -0.438 -0.798  -0.332 -0.905  -0.225 -1.012  -0.109 -1.096  0.042 -1.096  0.192 -1.096  0.343 -1.096  0.494 -1.096  0.619 -1.034  0.726 -0.927  0.731 -0.779  0.816 -0.663  0.922 -0.556  1.029 -0.449  1.080 -0.320  1.080 -0.169  1.080 -0.018  1.080 0.133  1.080 0.284  1.080 0.434  0.968 0.473  0.843 0.536  0.736 0.642  0.588 0.648  0.472 0.732  0.359 0.822  0.208 0.822  0.057 0.822  -0.094 0.822  -0.245 0.822  -0.387 0.786  -0.522 0.719  -0.657 0.651  -0.765 0.547  -0.885 0.473  -1.013 0.450  -1.013 0.299
1c#app#app08#app0841/w  -1.150 0.589  -1.264 0.589  -1.289 0.501  -1.352 0.449  -1.429 0.413  -1.421 0.302  -1.341 0.222  -1.260 0.141  -1.180 0.061  -1.079 0.031  -0.978 -0.001  -0.898 -0.082  -0.795 -0.108  -0.681 -0.108  -0.568 -0.108  -0.454 -0.108  -0.340 -0.108  -0.227 -0.108  -0.217 -0.151  -0.298 -0.232  -0.313 -0.339  -0.313 -0.453  -0.285 -0.555  -0.205 -0.635  -0.104 -0.666  0.010 -0.666  0.124 -0.666  0.237 -0.666  0.351 -0.666  0.465 -0.666  0.562 -0.627  0.643 -0.546  0.723 -0.466  0.804 -0.387  0.918 -0.387  0.941 -0.297  0.987 -0.202  1.067 -0.122  1.081 -0.014  1.081 0.100  1.081 0.214  1.081 0.327  1.081 0.441  1.034 0.544  0.983 0.645  0.941 0.749  0.941 0.863  0.864 0.945  0.776 1.007  0.663 1.007
1c#app#app08#app0841/w  -1.090 0.329  -1.232 0.329  -1.375 0.329  -1.517 0.329  -1.529 0.198  -1.475 0.109  -1.342 0.071  -1.214 0.007  -1.073 -0.000  -0.931 -0.000  -0.789 -0.000  -0.646 -0.000  -0.504 -0.000  -0.361 -0.000  -0.219 -0.000  -0.091 0.060  -0.015 0.086  -0.122 -0.000  -0.249 -0.038  -0.322 -0.150  -0.373 -0.271  -0.431 -0.389  -0.431 -0.532  -0.431 -0.674  -0.383 -0.769  -0.241 -0.769  -0.098 -0.769  0.044 -0.769  0.187 -0.769  0.329 -0.769  0.432 -0.673  0.569 -0.659  0.698 -0.627  0.790 -0.520  0.854 -0.393  0.936 -0.279  1.037 -0.178  1.105 -0.064  1.105 0.079  1.105 0.221  1.105 0.364  1.105 0.506  1.105 0.648  1.105 0.791  1.049 0.877  0.995 0.966  0.874 0.987  0.731 0.987  0.666 0.910  0.556 0.877
1c#app#app08#app0841/h  -0.171 1.403  -0.105 1.535  -0.046 1.668  -0.046 1.739  -0.046 1.591  -0.084 1.453  -0.150 1.321  -0.171 1.178  -0.226 1.044  -0.292 0.912  -0.340 0.772  -0.386 0.632  -0.438 0.495  -0.504 0.363  -0.546 0.225  -0.546 0.078  -0.616 -0.041  -0.670 -0.166  -0.670 -0.313  -0.670 -0.461  -0.670 -0.608  -0.670 -0.756  -0.670 -0.903  -0.670 -1.051  -0.597 -1.168  -0.493 -1.166  -0.388 -1.061  -0.279 -0.969  -0.171 -0.929  -0.143 -0.788  -0.077 -0.657  0.009 -0.539  0.113 -0.435  0.212 -0.327  0.278 -0.195  0.364 -0.095  0.453 -0.037  0.510 0.087  0.615 0.191  0.726 0.279  0.827 0.233  0.827 0.086  0.827 -0.061  0.827 -0.209  0.827 -0.356  0.827 -0.504  0.827 -0.651  0.827 -0.799  0.827 -0.946  0.827 -1.094
1c#app#app08#app0841/a  0.350 -0.191  0.497 -0.044  0.543 0.146  0.543 0.354  0.543 0.563  0.459 0.751  0.366 0.938  0.350 1.143  0.163 1.165  -0.045 1.165  -0.254 1.165  -0.451 1.139  -0.599 0.991  -0.746 0.844  -0.894 0.697  -1.006 0.535  -1.052 0.345  -1.199 0.197  -1.200 -0.011  -1.200 -0.219  -1.200 -0.428  -1.200 -0.636  -1.149 -0.823  -1.000 -0.966  -0.791 -0.966  -0.583 -0.966  -0.389 -0.930  -0.242 -0.782  -0.094 -0.635  0.077 -0.521  0.264 -0.428  0.400 -0.284  0.493 -0.097  0.543 0.099  0.622 0.275  0.737 0.436  0.737 0.645  0.684 0.724  0.539 0.575  0.445 0.388  0.352 0.202  0.350 -0.006  0.350 -0.215  0.350 -0.423  0.387 -0.616  0.535 -0.764  0.682 -0.911  0.830 -1.059  0.977 -1.206  1.124 -1.353
1c#app#app08#app0841/t  -0.120 1.645  -0.120 1.819  -0.120 1.896  -0.120 1.722  -0.120 1.548  -0.120 1.373  -0.120 1.199  -0.106 1.030  0.017 0.907  0.030 0.738  0.030 0.564  0.030 0.390  0.030 0.215  0.030 0.041  0.070 -0.127  0.126 -0.292  0.180 -0.458  0.180 -0.632  0.215 -0.792  0.330 -0.918  0.330 -1.093  0.330 -1.267  0.267 -1.300  0.138 -1.184  0.008 -1.067  -0.121 -0.950  -0.251 -0.834  -0.380 -0.717  -0.510 -0.601  -0.639 -0.484  -0.769 -0.367  -0.899 -0.251  -1.028 -0.134  -1.158 -0.018  -1.013 -0.006  -0.839 -0.006  -0.664 -0.006  -0.490 -0.006  -0.316 -0.006  -0.141 -0.006  0.033 -0.006  0.204 -0.018  0.360 -0.096  0.520 -0.156  0.695 -0.156  0.869 -0.156  1.043 -0.156  1.203 -0.218  1.359 -0.295  1.531 -0.306
