2#apb#apb32#app3221/4  -0.942 0.255  -0.834 0.453  -0.788 0.670  -0.692 0.874  -0.610 1.084  -0.460 1.183  -0.419 0.976  -0.476 0.758  -0.544 0.542  -0.629 0.333  -0.730 0.131  -0.840 -0.066  -0.951 -0.263  -1.052 -0.465  -1.132 -0.649  -0.919 -0.638  -0.698 -0.588  -0.479 -0.534  -0.257 -0.491  -0.034 -0.459  0.192 -0.459  0.418 -0.459  0.634 -0.516  0.828 -0.629  1.033 -0.720  1.041 -0.616  0.984 -0.397  0.927 -0.178  0.870 0.040  0.813 0.259  0.756 0.478  0.699 0.696  0.642 0.915  0.585 1.134  0.528 1.352  0.442 1.283  0.375 1.067  0.338 0.845  0.304 0.621  0.271 0.398  0.238 0.174  0.205 -0.049  0.157 -0.270  0.107 -0.490  0.064 -0.712  0.029 -0.935  -0.004 -1.159  -0.034 -1.383  -0.038 -1.608  0.081 -1.791
2#apb#apb32#app3221/8  -0.307 0.840  -0.307 1.025  -0.391 0.960  -0.490 0.805  -0.515 0.624  -0.513 0.440  -0.477 0.261  -0.338 0.139  -0.174 0.053  -0.009 0.130  0.150 0.225  0.273 0.361  0.337 0.531  0.355 0.712  0.326 0.895  0.252 1.065  0.107 1.177  -0.067 1.240  -0.223 1.173  -0.379 1.075  -0.549 1.002  -0.567 0.857  -0.514 0.680  -0.461 0.503  -0.408 0.325  -0.355 0.148  -0.302 -0.030  -0.295 -0.095  -0.421 -0.125  -0.570 -0.236  -0.646 -0.403  -0.707 -0.577  -0.735 -0.760  -0.669 -0.925  -0.554 -1.062  -0.388 -1.145  -0.222 -1.227  -0.039 -1.241  0.146 -1.248  0.331 -1.253  0.506 -1.194  0.682 -1.136  0.847 -1.054  1.007 -0.960  1.136 -0.833  1.241 -0.681  1.302 -0.507  1.301 -0.333  1.216 -0.171  1.077 -0.049
2#apb#apb32#app3221/1  0.004 1.609  -0.066 1.609  -0.097 1.570  -0.097 1.500  -0.097 1.430  -0.097 1.360  -0.097 1.290  -0.097 1.220  -0.095 1.150  -0.091 1.080  -0.087 1.010  -0.083 0.941  -0.079 0.871  -0.075 0.801  -0.071 0.731  -0.067 0.661  -0.062 0.591  -0.055 0.522  -0.048 0.452  -0.041 0.382  -0.034 0.313  -0.027 0.243  -0.020 0.174  -0.013 0.104  -0.006 0.034  0.001 -0.035  0.008 -0.105  0.015 -0.175  0.023 -0.244  0.030 -0.314  0.037 -0.383  0.045 -0.453  0.052 -0.523  0.059 -0.592  0.067 -0.662  0.071 -0.732  0.071 -0.801  0.071 -0.871  0.071 -0.941  0.071 -1.011  0.071 -1.081  0.071 -1.151  0.071 -1.221  0.071 -1.291  0.071 -1.361  0.071 -1.431  0.071 -1.501  0.071 -1.571  0.137 -1.590  0.205 -1.607
2#apb#apb32#app3221/0  0.066 1.409  0.087 1.515  0.051 1.447  -0.017 1.339  -0.082 1.229  -0.147 1.119  -0.212 1.008  -0.274 0.897  -0.336 0.784  -0.398 0.672  -0.459 0.560  -0.521 0.448  -0.578 0.333  -0.636 0.219  -0.693 0.105  -0.750 -0.010  -0.783 -0.130  -0.777 -0.257  -0.770 -0.385  -0.764 -0.513  -0.744 -0.637  -0.676 -0.745  -0.608 -0.854  -0.541 -0.962  -0.459 -1.056  -0.344 -1.113  -0.230 -1.170  -0.115 -1.224  0.013 -1.214  0.140 -1.203  0.254 -1.157  0.357 -1.080  0.459 -1.003  0.533 -0.907  0.567 -0.783  0.601 -0.660  0.635 -0.537  0.658 -0.411  0.672 -0.284  0.685 -0.157  0.699 -0.029  0.696 0.098  0.681 0.225  0.666 0.352  0.651 0.479  0.620 0.603  0.589 0.727  0.558 0.852  0.515 0.972  0.465 1.090
2#apb#apb32#app3221/P  -0.199 0.600  -0.217 0.642  -0.235 0.480  -0.275 0.321  -0.300 0.159  -0.323 -0.004  -0.347 -0.166  -0.367 -0.329  -0.384 -0.492  -0.394 -0.656  -0.394 -0.820  -0.401 -0.983  -0.420 -1.146  -0.445 -1.308  -0.464 -1.471  -0.518 -1.610  -0.596 -1.472  -0.637 -1.314  -0.660 -1.152  -0.670 -0.988  -0.671 -0.825  -0.649 -0.662  -0.627 -0.499  -0.594 -0.339  -0.559 -0.178  -0.525 -0.018  -0.464 0.134  -0.395 0.283  -0.326 0.432  -0.231 0.564  -0.125 0.689  -0.019 0.814  0.106 0.920  0.233 1.024  0.380 1.089  0.539 1.133  0.699 1.130  0.860 1.099  0.998 1.014  1.124 0.912  1.210 0.772  1.260 0.620  1.227 0.470  1.134 0.335  0.999 0.248  0.851 0.179  0.693 0.134  0.535 0.090  0.371 0.079  0.208 0.070
2#apb#apb32#app3221/a  0.337 0.729  0.350 0.921  0.394 1.089  0.416 1.246  0.256 1.181  0.102 1.061  -0.061 0.952  -0.224 0.843  -0.335 0.686  -0.428 0.514  -0.521 0.341  -0.611 0.167  -0.699 -0.008  -0.787 -0.184  -0.869 -0.361  -0.885 -0.556  -0.902 -0.752  -0.921 -0.947  -0.946 -1.141  -0.887 -1.318  -0.749 -1.422  -0.572 -1.364  -0.412 -1.250  -0.297 -1.098  -0.210 -0.923  -0.130 -0.744  -0.089 -0.553  -0.047 -0.361  -0.007 -0.169  0.005 0.027  0.017 0.222  0.030 0.418  0.051 0.613  0.081 0.807  0.110 1.001  0.176 1.183  0.227 1.121  0.257 0.927  0.287 0.733  0.344 0.546  0.410 0.362  0.476 0.177  0.557 -0.001  0.653 -0.172  0.749 -0.343  0.845 -0.514  0.948 -0.680  1.060 -0.841  1.172 -1.003  1.283 -1.164
2#apb#apb32#app3221/r  -0.962 0.756  -0.869 0.756  -0.806 0.661  -0.793 0.547  -0.781 0.434  -0.754 0.324  -0.715 0.217  -0.676 0.109  -0.647 0.000  -0.638 -0.114  -0.630 -0.227  -0.621 -0.341  -0.619 -0.455  -0.619 -0.569  -0.619 -0.683  -0.595 -0.794  -0.564 -0.904  -0.518 -1.008  -0.467 -1.110  -0.463 -1.223  -0.396 -1.177  -0.358 -1.075  -0.342 -0.962  -0.301 -0.857  -0.250 -0.755  -0.199 -0.653  -0.159 -0.546  -0.126 -0.437  -0.092 -0.328  -0.059 -0.219  0.001 -0.123  0.063 -0.027  0.125 0.069  0.186 0.165  0.254 0.257  0.330 0.341  0.407 0.426  0.484 0.510  0.567 0.587  0.665 0.645  0.763 0.704  0.862 0.759  0.973 0.787  1.083 0.814  1.197 0.818  1.311 0.818  1.424 0.807  1.537 0.791  1.647 0.761  1.755 0.725
2#apb#apb32#app3221/k  -0.726 1.434  -0.844 1.441  -0.880 1.264  -0.907 1.085  -0.934 0.907  -0.944 0.727  -0.953 0.546  -0.952 0.366  -0.938 0.186  -0.924 0.006  -0.902 -0.173  -0.866 -0.350  -0.831 -0.527  -0.831 -0.708  -0.788 -0.879  -0.768 -0.964  -0.684 -0.807  -0.594 -0.651  -0.505 -0.493  -0.404 -0.344  -0.285 -0.208  -0.166 -0.073  -0.043 0.059  0.082 0.190  0.206 0.321  0.348 0.432  0.492 0.541  0.653 0.613  0.829 0.654  1.009 0.674  1.137 0.583  0.985 0.486  0.834 0.388  0.682 0.290  0.530 0.192  0.378 0.094  0.227 -0.004  0.075 -0.102  -0.077 -0.200  -0.081 -0.290  0.085 -0.361  0.253 -0.428  0.420 -0.495  0.586 -0.566  0.751 -0.639  0.916 -0.712  1.082 -0.784  1.252 -0.846  1.422 -0.907  1.592 -0.968
2#apb#apb32#app3221/C  0.677 0.574  0.712 0.670  0.746 0.766  0.768 0.865  0.802 0.960  0.806 1.047  0.734 1.119  0.645 1.138  0.547 1.112  0.449 1.086  0.357 1.042  0.266 0.996  0.175 0.951  0.084 0.905  -0.007 0.859  -0.088 0.798  -0.170 0.736  -0.251 0.675  -0.333 0.614  -0.413 0.552  -0.475 0.471  -0.537 0.391  -0.600 0.310  -0.662 0.230  -0.710 0.142  -0.740 0.044  -0.769 -0.053  -0.799 -0.150  -0.802 -0.247  -0.770 -0.344  -0.738 -0.441  -0.706 -0.537  -0.644 -0.616  -0.572 -0.688  -0.500 -0.760  -0.428 -0.832  -0.346 -0.890  -0.255 -0.934  -0.163 -0.978  -0.071 -1.022  0.023 -1.057  0.125 -1.067  0.226 -1.076  0.327 -1.086  0.429 -1.080  0.530 -1.069  0.631 -1.058  0.731 -1.041  0.831 -1.023  0.932 -1.004
2#apb#apb32#app3221/t  0.113 1.295  0.061 1.159  0.047 0.983  0.032 0.807  0.032 0.630  0.032 0.453  0.032 0.276  0.043 0.100  0.059 -0.076  0.076 -0.252  0.092 -0.428  0.099 -0.605  0.105 -0.782  0.112 -0.959  0.113 -1.135  0.113 -1.312  0.152 -1.481  0.249 -1.485  0.158 -1.342  0.051 -1.201  -0.056 -1.060  -0.162 -0.919  -0.269 -0.778  -0.376 -0.637  -0.483 -0.496  -0.590 -0.355  -0.696 -0.214  -0.803 -0.073  -0.910 0.067  -1.017 0.208  -1.123 0.349  -1.230 0.490  -1.159 0.555  -0.983 0.575  -0.807 0.595  -0.632 0.615  -0.456 0.616  -0.279 0.601  -0.103 0.587  0.073 0.573  0.250 0.559  0.426 0.545  0.599 0.511  0.772 0.472  0.944 0.433  1.117 0.394  1.289 0.355  1.460 0.309  1.631 0.263  1.801 0.217
2#apb#apb32#app3221/.  0.000 1.698  0.000 1.629  0.000 1.559  0.000 1.490  0.000 1.420  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.144  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.727  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.451  0.000 0.381  0.000 0.312  0.000 0.242  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.242  0.000 -0.312  0.000 -0.381  0.000 -0.451  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.727  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.144  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.420  0.000 -1.490  0.000 -1.559  0.000 -1.629  0.000 -1.698
