2#kai#kai0#jhkim1/A  -1.107 -1.580  -1.050 -1.397  -1.050 -1.205  -0.999 -1.024  -0.928 -0.848  -0.897 -0.658  -0.851 -0.472  -0.790 -0.290  -0.714 -0.113  -0.622 0.055  -0.520 0.218  -0.434 0.390  -0.322 0.545  -0.230 0.711  -0.150 0.885  -0.051 1.050  0.090 1.176  0.224 1.309  0.310 1.481  0.371 1.646  0.425 1.463  0.425 1.270  0.441 1.080  0.488 0.894  0.534 0.707  0.539 0.515  0.585 0.337  0.652 0.165  0.675 -0.024  0.719 -0.211  0.757 -0.400  0.766 -0.591  0.819 -0.775  0.880 -0.957  0.880 -1.032  0.721 -0.924  0.562 -0.816  0.403 -0.708  0.244 -0.600  0.085 -0.492  -0.074 -0.384  -0.233 -0.276  -0.392 -0.168  -0.551 -0.060  -0.584 0.009  -0.391 0.009  -0.199 0.009  -0.007 0.009  0.185 0.009  0.368 0.066
2#kai#kai0#jhkim1/B  -0.769 1.045  -0.725 0.827  -0.708 0.607  -0.665 0.393  -0.584 0.187  -0.527 -0.026  -0.527 -0.248  -0.527 -0.470  -0.480 -0.681  -0.406 -0.885  -0.406 -1.107  -0.539 -1.225  -0.739 -1.192  -0.829 -1.018  -0.829 -0.796  -0.829 -0.574  -0.829 -0.352  -0.829 -0.131  -0.822 0.089  -0.708 0.277  -0.676 0.489  -0.537 0.659  -0.360 0.792  -0.201 0.947  -0.023 1.078  0.191 1.105  0.403 1.166  0.625 1.166  0.817 1.124  0.863 0.910  0.827 0.694  0.682 0.541  0.488 0.434  0.296 0.324  0.099 0.226  0.146 0.241  0.365 0.259  0.579 0.212  0.780 0.119  0.989 0.046  1.137 -0.079  1.208 -0.290  1.226 -0.509  1.082 -0.671  0.904 -0.802  0.703 -0.894  0.495 -0.972  0.280 -1.011  0.058 -1.011  -0.164 -1.011
2#kai#kai0#jhkim1/E  -0.706 0.966  -0.534 1.077  -0.329 1.077  -0.127 1.104  0.074 1.133  0.274 1.164  0.476 1.188  0.673 1.241  0.858 1.155  0.782 1.034  0.623 0.904  0.465 0.773  0.306 0.642  0.147 0.512  -0.012 0.381  -0.171 0.251  -0.330 0.120  -0.489 -0.010  -0.648 -0.141  -0.449 -0.143  -0.247 -0.167  -0.047 -0.199  0.159 -0.199  0.361 -0.168  0.564 -0.143  0.769 -0.143  0.641 -0.038  0.473 0.080  0.304 0.198  0.136 0.316  -0.033 0.434  -0.201 0.552  -0.346 0.577  -0.437 0.393  -0.518 0.204  -0.598 0.014  -0.651 -0.183  -0.651 -0.389  -0.651 -0.594  -0.651 -0.800  -0.651 -1.006  -0.592 -1.201  -0.446 -1.346  -0.257 -1.421  -0.061 -1.482  0.141 -1.522  0.346 -1.530  0.551 -1.530  0.755 -1.552  0.958 -1.586
2#kai#kai0#jhkim1/I  -0.634 1.032  -0.516 1.032  -0.398 1.032  -0.280 1.032  -0.162 1.032  -0.044 1.032  0.074 1.032  0.192 1.032  0.310 1.032  0.428 1.032  0.545 1.032  0.663 1.032  0.742 0.968  0.672 0.925  0.556 0.906  0.439 0.886  0.323 0.867  0.207 0.848  0.090 0.828  -0.026 0.809  -0.078 0.735  -0.078 0.617  -0.078 0.499  -0.078 0.381  -0.078 0.263  -0.078 0.145  -0.078 0.027  -0.078 -0.091  -0.078 -0.209  -0.078 -0.327  -0.078 -0.445  -0.078 -0.563  -0.064 -0.679  -0.028 -0.791  0.001 -0.905  0.015 -1.021  -0.067 -1.079  -0.180 -1.114  -0.292 -1.148  -0.405 -1.183  -0.518 -1.218  -0.544 -1.250  -0.430 -1.279  -0.313 -1.286  -0.195 -1.286  -0.077 -1.285  0.040 -1.266  0.156 -1.247  0.271 -1.221  0.386 -1.193
2#kai#kai0#jhkim1/K  -0.527 1.574  -0.623 1.383  -0.660 1.177  -0.676 0.964  -0.700 0.751  -0.724 0.537  -0.727 0.323  -0.727 0.109  -0.727 -0.106  -0.727 -0.320  -0.727 -0.534  -0.681 -0.743  -0.629 -0.951  -0.594 -1.161  -0.535 -1.351  -0.402 -1.334  -0.288 -1.153  -0.173 -0.971  -0.059 -0.790  0.056 -0.609  0.170 -0.427  0.285 -0.246  0.399 -0.065  0.514 0.116  0.628 0.298  0.743 0.479  0.857 0.660  0.971 0.841  1.086 1.023  1.032 1.072  0.825 1.018  0.614 0.976  0.422 0.882  0.238 0.773  0.048 0.677  -0.140 0.581  -0.312 0.452  -0.465 0.303  -0.594 0.142  -0.568 -0.065  -0.442 -0.237  -0.259 -0.347  -0.069 -0.445  0.134 -0.513  0.341 -0.559  0.550 -0.590  0.749 -0.669  0.914 -0.800  1.044 -0.967  1.140 -1.159
2#kai#kai0#jhkim1/M  -0.617 1.162  -0.656 0.970  -0.660 0.774  -0.684 0.581  -0.702 0.388  -0.732 0.195  -0.773 0.003  -0.787 -0.192  -0.855 -0.373  -0.871 -0.565  -0.908 -0.758  -0.956 -0.947  -0.871 -1.098  -0.803 -0.981  -0.769 -0.788  -0.735 -0.595  -0.700 -0.401  -0.666 -0.208  -0.632 -0.014  -0.597 0.179  -0.563 0.372  -0.528 0.566  -0.494 0.759  -0.401 0.633  -0.362 0.440  -0.278 0.269  -0.227 0.094  -0.071 -0.022  0.109 -0.097  0.297 -0.089  0.450 0.034  0.592 0.169  0.652 0.353  0.710 0.540  0.774 0.725  0.871 0.895  1.016 1.023  1.035 0.861  1.017 0.667  0.993 0.474  0.993 0.277  0.968 0.083  0.950 -0.112  0.936 -0.308  0.912 -0.502  0.908 -0.699  0.908 -0.895  0.908 -1.091  0.908 -1.288  0.993 -1.464
2#kai#kai0#jhkim1/N  -0.670 1.054  -0.670 0.862  -0.696 0.673  -0.732 0.485  -0.763 0.296  -0.770 0.105  -0.770 -0.087  -0.796 -0.276  -0.820 -0.466  -0.847 -0.654  -0.870 -0.843  -0.915 -1.027  -0.905 -1.070  -0.866 -0.882  -0.828 -0.694  -0.789 -0.507  -0.751 -0.319  -0.712 -0.131  -0.674 0.057  -0.635 0.245  -0.597 0.432  -0.558 0.620  -0.517 0.805  -0.331 0.852  -0.158 0.785  -0.064 0.620  -0.027 0.432  0.070 0.269  0.134 0.089  0.202 -0.090  0.289 -0.261  0.387 -0.425  0.490 -0.587  0.602 -0.743  0.733 -0.880  0.901 -0.968  1.083 -0.958  1.128 -0.799  1.082 -0.613  1.068 -0.424  0.982 -0.253  0.970 -0.063  0.922 0.123  0.878 0.307  0.878 0.499  0.878 0.691  0.878 0.882  0.895 1.043  1.056 0.940  1.227 0.854
2#kai#kai0#jhkim1/O  0.163 1.302  0.053 1.375  -0.058 1.407  -0.171 1.339  -0.284 1.271  -0.354 1.171  -0.387 1.043  -0.442 0.925  -0.516 0.815  -0.562 0.692  -0.606 0.568  -0.655 0.445  -0.704 0.322  -0.713 0.192  -0.713 0.060  -0.743 -0.069  -0.775 -0.197  -0.776 -0.329  -0.776 -0.461  -0.769 -0.592  -0.720 -0.715  -0.671 -0.837  -0.608 -0.953  -0.534 -1.063  -0.410 -1.076  -0.278 -1.076  -0.145 -1.076  -0.013 -1.076  0.116 -1.057  0.245 -1.025  0.366 -0.975  0.484 -0.916  0.596 -0.846  0.702 -0.766  0.803 -0.683  0.882 -0.577  0.961 -0.471  0.977 -0.344  0.977 -0.212  0.977 -0.080  0.887 0.015  0.793 0.108  0.733 0.225  0.674 0.344  0.586 0.441  0.492 0.535  0.379 0.600  0.260 0.659  0.174 0.754  0.101 0.864
2#kai#kai0#jhkim1/Q  -0.456 1.155  -0.624 1.054  -0.705 0.888  -0.752 0.698  -0.766 0.504  -0.799 0.311  -0.799 0.115  -0.799 -0.081  -0.799 -0.277  -0.799 -0.473  -0.799 -0.669  -0.799 -0.865  -0.701 -1.009  -0.599 -1.172  -0.422 -1.201  -0.227 -1.194  -0.056 -1.101  0.083 -0.963  0.237 -0.842  0.357 -0.689  0.461 -0.524  0.549 -0.349  0.637 -0.173  0.714 0.006  0.753 0.198  0.777 0.392  0.852 0.568  0.872 0.758  0.872 0.954  0.872 1.150  0.749 1.280  0.574 1.368  0.386 1.316  0.210 1.236  0.053 1.119  -0.070 0.984  -0.092 0.791  -0.130 0.598  -0.169 0.406  -0.207 0.214  -0.245 0.022  -0.284 -0.170  -0.187 -0.338  -0.096 -0.510  0.017 -0.669  0.132 -0.828  0.291 -0.902  0.461 -0.979  0.640 -1.030  0.829 -1.073
2#kai#kai0#jhkim1/R  -0.616 1.336  -0.657 1.130  -0.670 0.921  -0.670 0.711  -0.670 0.501  -0.670 0.291  -0.670 0.081  -0.670 -0.128  -0.670 -0.338  -0.659 -0.546  -0.592 -0.746  -0.526 -0.945  -0.507 -1.152  -0.462 -1.354  -0.341 -1.310  -0.332 -1.100  -0.323 -0.891  -0.314 -0.681  -0.305 -0.471  -0.296 -0.261  -0.287 -0.052  -0.278 0.158  -0.269 0.368  -0.260 0.578  -0.252 0.787  -0.243 0.997  -0.216 1.201  -0.078 1.336  0.132 1.336  0.327 1.287  0.498 1.166  0.647 1.026  0.732 0.836  0.798 0.646  0.831 0.440  0.764 0.269  0.627 0.111  0.488 -0.042  0.300 -0.134  0.094 -0.175  -0.115 -0.186  0.044 -0.288  0.210 -0.414  0.358 -0.562  0.513 -0.703  0.694 -0.808  0.889 -0.886  1.077 -0.978  1.255 -1.089  1.341 -1.273
2#kai#kai0#jhkim1/S  0.400 1.254  0.292 1.254  0.184 1.254  0.080 1.233  -0.023 1.203  -0.131 1.203  -0.239 1.203  -0.347 1.203  -0.454 1.203  -0.557 1.174  -0.635 1.115  -0.669 1.013  -0.645 0.911  -0.606 0.811  -0.558 0.714  -0.503 0.622  -0.427 0.546  -0.348 0.473  -0.262 0.408  -0.176 0.343  -0.081 0.293  0.015 0.244  0.097 0.176  0.173 0.099  0.250 0.023  0.326 -0.053  0.412 -0.118  0.501 -0.178  0.578 -0.254  0.654 -0.330  0.689 -0.432  0.707 -0.536  0.707 -0.644  0.707 -0.752  0.676 -0.853  0.628 -0.949  0.552 -1.014  0.450 -1.048  0.361 -1.108  0.265 -1.150  0.158 -1.150  0.050 -1.150  -0.058 -1.150  -0.165 -1.139  -0.270 -1.118  -0.375 -1.094  -0.465 -1.034  -0.553 -0.972  -0.639 -0.908  -0.725 -0.843
