1d#apb#apb09#app0908/.  0.036 -1.742  0.036 -1.669  0.036 -1.596  0.036 -1.524  0.036 -1.451  0.036 -1.379  0.036 -1.306  0.036 -1.234  0.036 -1.161  0.036 -1.089  0.036 -1.016  0.036 -0.944  0.036 -0.871  0.036 -0.798  0.036 -0.726  0.036 -0.653  0.036 -0.581  0.036 -0.508  0.036 -0.436  0.036 -0.363  0.036 -0.291  0.036 -0.218  0.036 -0.145  0.036 -0.073  0.036 -0.000  0.036 0.072  0.036 0.145  0.036 0.217  0.036 0.290  0.036 0.362  0.036 0.435  0.036 0.507  0.036 0.580  0.036 0.653  0.036 0.725  0.036 0.798  0.036 0.870  0.036 0.943  0.036 1.015  0.036 1.088  0.036 1.160  0.036 1.233  0.036 1.306  -0.003 1.339  -0.075 1.339  -0.148 1.339  -0.220 1.339  -0.293 1.339  -0.366 1.339  -0.438 1.339
1d#apb#apb09#app0908/,  -0.238 1.272  -0.214 1.342  -0.191 1.412  -0.168 1.482  -0.132 1.461  -0.091 1.400  -0.051 1.339  -0.010 1.277  0.006 1.206  0.019 1.133  0.031 1.061  0.044 0.988  0.057 0.916  0.070 0.843  0.085 0.771  0.101 0.699  0.117 0.627  0.133 0.555  0.149 0.483  0.165 0.411  0.176 0.339  0.180 0.265  0.184 0.191  0.188 0.118  0.192 0.044  0.196 -0.029  0.198 -0.103  0.187 -0.176  0.177 -0.249  0.166 -0.321  0.155 -0.394  0.144 -0.467  0.133 -0.540  0.121 -0.613  0.099 -0.683  0.077 -0.753  0.055 -0.824  0.033 -0.894  0.011 -0.964  -0.015 -1.033  -0.056 -1.094  -0.097 -1.155  -0.138 -1.217  -0.179 -1.278  -0.221 -1.338  -0.271 -1.393  -0.320 -1.447  -0.370 -1.502  -0.420 -1.556  -0.469 -1.611
1d#apb#apb09#app0908/;  -0.486 1.348  -0.531 1.318  -0.531 1.364  -0.493 1.429  -0.432 1.423  -0.398 1.355  -0.364 1.287  -0.330 1.218  -0.296 1.150  -0.262 1.082  -0.228 1.014  -0.194 0.946  -0.159 0.878  -0.125 0.810  -0.091 0.741  -0.057 0.673  -0.023 0.605  0.011 0.537  0.045 0.469  0.079 0.401  0.113 0.333  0.147 0.264  0.181 0.196  0.215 0.128  0.249 0.060  0.221 0.031  0.237 -0.041  0.255 -0.115  0.268 -0.190  0.277 -0.266  0.285 -0.341  0.282 -0.417  0.276 -0.493  0.270 -0.569  0.265 -0.645  0.264 -0.721  0.264 -0.798  0.264 -0.874  0.263 -0.950  0.235 -1.020  0.206 -1.091  0.178 -1.162  0.134 -1.224  0.087 -1.284  0.041 -1.344  -0.010 -1.400  -0.067 -1.452  -0.123 -1.503  -0.179 -1.554  -0.236 -1.605
1d#apb#apb09#app0908/:  -0.093 1.200  -0.171 1.208  -0.171 1.295  -0.211 1.342  -0.217 1.357  -0.142 1.386  -0.081 1.447  -0.020 1.441  0.042 1.379  0.063 1.302  0.062 1.215  0.061 1.128  0.060 1.042  0.058 0.955  0.057 0.868  0.056 0.782  0.055 0.695  0.053 0.608  0.052 0.521  0.051 0.435  0.050 0.348  0.048 0.261  0.047 0.175  0.046 0.088  0.045 0.001  0.043 -0.085  0.042 -0.172  0.041 -0.259  0.040 -0.346  0.038 -0.432  0.037 -0.519  0.036 -0.606  0.035 -0.692  0.034 -0.779  0.032 -0.866  0.031 -0.952  0.030 -1.039  0.029 -1.126  0.027 -1.213  0.026 -1.299  0.025 -1.386  -0.050 -1.352  -0.054 -1.276  -0.054 -1.362  -0.054 -1.329  -0.054 -1.243  -0.054 -1.156  -0.049 -1.071  -0.003 -1.001  0.025 -0.918
1d#apb#apb09#app0908/$  0.786 0.425  0.418 0.561  0.034 0.608  -0.357 0.618  -0.748 0.655  -1.131 0.585  -1.105 0.315  -0.755 0.147  -0.378 0.039  -0.000 -0.069  0.361 -0.216  0.668 -0.447  0.717 -0.801  0.448 -1.066  0.086 -1.217  -0.289 -1.322  -0.681 -1.322  -1.020 -1.190  -0.949 -0.821  -0.810 -0.454  -0.672 -0.087  -0.533 0.280  -0.395 0.647  -0.256 1.014  -0.118 1.381  -0.127 1.622  -0.127 1.229  -0.111 0.837  -0.067 0.449  0.008 0.064  0.044 -0.326  0.086 -0.716  0.108 -1.107  0.108 -1.500  0.158 -1.278  0.222 -0.891  0.285 -0.504  0.348 -0.117  0.412 0.270  0.475 0.657  0.539 1.044  0.602 1.431  0.568 1.431  0.506 1.043  0.441 0.656  0.398 0.267  0.395 -0.126  0.395 -0.518  0.435 -0.907  0.578 -1.270
1d#apb#apb09#app0908/#  -0.490 0.469  -0.464 0.458  -0.427 0.053  -0.369 -0.350  -0.284 -0.747  -0.110 -0.882  0.000 -0.490  0.110 -0.098  0.220 0.294  0.331 0.686  0.441 1.077  0.551 1.469  0.417 1.188  0.382 0.785  0.419 0.380  0.493 -0.019  0.599 -0.412  0.657 -0.720  0.254 -0.659  -0.148 -0.599  -0.551 -0.538  -0.953 -0.477  -1.356 -0.417  -1.758 -0.356  -1.698 -0.357  -1.305 -0.254  -0.915 -0.136  -0.537 0.013  -0.162 0.172  0.212 0.331  0.588 0.487  0.970 0.626  1.320 0.833  1.617 1.105  1.335 0.896  0.998 0.669  0.660 0.441  0.323 0.214  -0.015 -0.013  -0.352 -0.241  -0.690 -0.468  -1.027 -0.696  -1.269 -0.845  -0.889 -0.723  -0.484 -0.684  -0.091 -0.577  0.294 -0.445  0.675 -0.303  1.055 -0.158  1.423 0.017
1d#apb#apb09#app0908/&  0.354 -0.081  0.171 0.014  -0.048 0.000  -0.262 -0.023  -0.130 0.043  0.076 0.118  0.162 0.149  -0.038 0.064  -0.226 -0.049  -0.378 -0.204  -0.506 -0.382  -0.547 -0.591  -0.463 -0.786  -0.272 -0.886  -0.055 -0.917  0.162 -0.903  0.371 -0.839  0.548 -0.713  0.649 -0.539  0.584 -0.330  0.520 -0.120  0.455 0.089  0.391 0.299  0.326 0.508  0.262 0.718  0.197 0.927  0.133 1.137  0.068 1.346  0.004 1.556  -0.061 1.765  -0.129 1.923  -0.182 1.725  -0.138 1.512  -0.073 1.303  0.008 1.099  0.125 0.917  0.088 0.701  0.051 0.485  0.014 0.269  -0.022 0.053  -0.059 -0.163  -0.096 -0.379  -0.133 -0.595  -0.170 -0.811  -0.207 -1.027  -0.244 -1.244  -0.281 -1.460  -0.318 -1.676  -0.336 -1.892  -0.344 -2.110
1d#apb#apb09#app0908/!  -0.163 1.651  -0.112 1.638  -0.097 1.569  -0.084 1.500  -0.075 1.430  -0.066 1.360  -0.058 1.291  -0.051 1.221  -0.042 1.151  -0.031 1.081  -0.020 1.012  -0.009 0.942  0.003 0.873  0.003 0.803  0.003 0.732  0.003 0.662  0.003 0.592  0.011 0.522  0.022 0.452  0.029 0.383  0.029 0.312  0.029 0.242  0.029 0.172  0.029 0.101  0.029 0.031  0.029 -0.039  0.029 -0.110  0.029 -0.180  0.029 -0.250  0.029 -0.321  0.029 -0.391  0.029 -0.462  0.029 -0.532  0.029 -0.602  0.029 -0.673  0.029 -0.743  0.029 -0.813  0.029 -0.884  0.029 -0.954  0.029 -1.024  0.029 -1.095  0.029 -1.165  0.029 -1.235  0.029 -1.306  0.029 -1.376  0.029 -1.446  0.029 -1.517  0.013 -1.549  -0.015 -1.530  -0.048 -1.526
1d#apb#apb09#app0908/?  -0.533 0.908  -0.605 0.995  -0.693 1.067  -0.643 1.145  -0.539 1.192  -0.428 1.212  -0.315 1.224  -0.202 1.235  -0.088 1.229  0.025 1.222  0.134 1.198  0.238 1.150  0.341 1.104  0.425 1.041  0.446 0.931  0.402 0.826  0.350 0.727  0.267 0.649  0.184 0.572  0.103 0.492  0.029 0.406  -0.046 0.320  -0.119 0.233  -0.189 0.143  -0.259 0.054  -0.299 -0.052  -0.332 -0.160  -0.307 -0.269  -0.273 -0.378  -0.177 -0.433  -0.075 -0.484  0.035 -0.511  0.146 -0.537  0.258 -0.556  0.371 -0.568  0.484 -0.580  0.468 -0.650  0.401 -0.742  0.335 -0.834  0.268 -0.927  0.202 -1.019  0.135 -1.111  0.069 -1.204  0.002 -1.296  -0.064 -1.388  -0.091 -1.472  -0.091 -1.586  0.003 -1.585  0.077 -1.498  0.172 -1.435
1d#apb#apb09#app0908/  0.103 1.117  0.162 1.163  0.221 1.209  0.283 1.250  0.353 1.277  0.417 1.316  0.488 1.331  0.495 1.263  0.495 1.188  0.474 1.118  0.445 1.048  0.416 0.979  0.388 0.910  0.359 0.840  0.329 0.772  0.298 0.703  0.268 0.635  0.238 0.566  0.208 0.497  0.178 0.429  0.146 0.361  0.115 0.293  0.083 0.225  0.051 0.157  0.020 0.089  -0.012 0.021  -0.043 -0.047  -0.073 -0.116  -0.101 -0.186  -0.129 -0.255  -0.156 -0.325  -0.184 -0.395  -0.212 -0.464  -0.239 -0.534  -0.262 -0.606  -0.285 -0.677  -0.307 -0.748  -0.330 -0.820  -0.353 -0.891  -0.368 -0.964  -0.379 -1.039  -0.391 -1.113  -0.402 -1.187  -0.413 -1.261  -0.415 -1.336  -0.415 -1.411  -0.415 -1.486  -0.404 -1.559  -0.383 -1.631  -0.361 -1.703
1d#apb#apb09#app0908/'  -0.228 1.672  -0.228 1.603  -0.203 1.538  -0.178 1.473  -0.152 1.408  -0.126 1.344  -0.100 1.279  -0.079 1.213  -0.069 1.144  -0.059 1.075  -0.049 1.007  -0.039 0.938  -0.029 0.869  -0.020 0.800  -0.010 0.731  0.000 0.662  0.010 0.593  0.020 0.524  0.030 0.455  0.040 0.386  0.049 0.317  0.059 0.248  0.065 0.179  0.065 0.110  0.065 0.040  0.065 -0.030  0.065 -0.099  0.065 -0.169  0.065 -0.239  0.065 -0.308  0.065 -0.378  0.065 -0.447  0.065 -0.517  0.065 -0.587  0.065 -0.656  0.065 -0.726  0.065 -0.796  0.065 -0.865  0.061 -0.935  0.055 -1.004  0.049 -1.073  0.042 -1.143  0.036 -1.212  0.030 -1.281  0.023 -1.351  0.017 -1.420  0.011 -1.489  0.004 -1.559  -0.002 -1.628  -0.008 -1.697
