2#app#app25#app2546/q  1.050 1.005  0.946 1.212  0.753 1.276  0.521 1.276  0.289 1.276  0.101 1.232  -0.035 1.136  -0.136 1.005  -0.310 0.865  -0.442 0.688  -0.577 0.591  -0.650 0.389  -0.713 0.183  -0.608 0.056  -0.376 0.056  -0.152 0.074  0.032 0.191  0.236 0.219  0.360 0.327  0.457 0.462  0.643 0.508  0.744 0.699  0.779 0.822  0.635 0.734  0.508 0.629  0.442 0.462  0.258 0.348  0.091 0.191  -0.035 0.085  -0.178 -0.088  -0.343 -0.252  -0.442 -0.443  -0.577 -0.540  -0.683 -0.728  -0.713 -0.948  -0.728 -1.165  -0.848 -1.276  -0.848 -1.508  -0.680 -1.571  -0.448 -1.571  -0.306 -1.481  -0.170 -1.384  -0.066 -1.196  0.018 -1.029  0.206 -0.924  0.370 -0.760  0.439 -0.556  0.508 -0.352  0.440 -0.148  0.236 -0.080
2#app#app25#app2546/u  0.094 1.215  -0.115 1.215  -0.124 1.014  -0.316 0.997  -0.342 0.813  -0.517 0.779  -0.560 0.612  -0.718 0.561  -0.778 0.411  -0.919 0.342  -0.996 0.210  -1.084 0.037  -1.215 -0.119  -1.231 -0.312  -1.433 -0.320  -1.433 -0.529  -1.433 -0.739  -1.233 -0.748  -1.023 -0.748  -0.814 -0.748  -0.604 -0.748  -0.394 -0.748  -0.231 -0.637  -0.083 -0.489  0.065 -0.341  0.263 -0.312  0.313 -0.152  0.464 -0.094  0.674 -0.094  0.749 0.040  0.838 0.213  0.967 0.369  0.985 0.561  1.185 0.570  1.185 0.778  1.036 0.630  0.967 0.449  0.864 0.342  0.654 0.342  0.531 0.257  0.531 0.047  0.462 -0.094  0.313 -0.154  0.313 -0.364  0.313 -0.573  0.347 -0.748  0.557 -0.748  0.766 -0.748  0.976 -0.748  1.185 -0.748
2#app#app25#app2546/i  0.095 0.499  -0.033 0.499  -0.160 0.499  -0.249 0.460  -0.249 0.332  -0.249 0.204  -0.304 0.099  -0.395 0.009  -0.485 -0.082  -0.576 -0.172  -0.666 -0.262  -0.756 -0.353  -0.766 -0.476  -0.766 -0.604  -0.791 -0.707  -0.919 -0.707  -0.939 -0.815  -0.894 -0.925  -0.804 -1.015  -0.691 -1.052  -0.563 -1.052  -0.435 -1.052  -0.307 -1.052  -0.200 -1.003  -0.110 -0.912  0.005 -0.880  0.133 -0.880  0.260 -0.880  0.290 -0.761  0.313 -0.636  0.337 -0.510  0.360 -0.384  0.384 -0.259  0.408 -0.133  0.431 -0.007  0.455 0.118  0.478 0.244  0.502 0.370  0.525 0.495  0.549 0.621  0.573 0.747  0.596 0.872  0.620 0.998  0.643 1.124  0.667 1.249  0.690 1.375  0.714 1.501  0.737 1.626  0.761 1.752  0.785 1.878
2#app#app25#app2546/c  1.279 0.867  1.158 0.867  1.036 0.867  0.915 0.867  0.793 0.867  0.671 0.867  0.550 0.867  0.428 0.867  0.307 0.867  0.207 0.813  0.122 0.727  0.027 0.663  -0.095 0.663  -0.216 0.663  -0.338 0.663  -0.459 0.663  -0.581 0.663  -0.703 0.663  -0.757 0.596  -0.757 0.475  -0.832 0.384  -0.918 0.298  -0.961 0.194  -0.961 0.073  -0.961 -0.049  -0.961 -0.170  -0.961 -0.292  -0.961 -0.413  -0.961 -0.535  -0.863 -0.559  -0.746 -0.570  -0.660 -0.656  -0.575 -0.741  -0.462 -0.762  -0.340 -0.762  -0.219 -0.762  -0.097 -0.762  0.024 -0.762  0.146 -0.762  0.267 -0.762  0.389 -0.762  0.511 -0.762  0.632 -0.762  0.754 -0.762  0.872 -0.759  0.872 -0.638  0.915 -0.559  1.036 -0.559  1.158 -0.559  1.279 -0.559
2#app#app25#app2546/k  0.312 2.139  0.312 1.910  0.309 1.682  0.083 1.679  0.083 1.449  0.079 1.220  -0.084 1.058  -0.146 0.854  -0.247 0.666  -0.375 0.489  -0.375 0.259  -0.426 0.080  -0.603 0.028  -0.642 -0.186  -0.804 -0.349  -0.832 -0.567  -1.024 -0.606  -1.061 -0.798  -0.867 -0.835  -0.676 -0.718  -0.492 -0.580  -0.308 -0.442  -0.125 -0.304  0.059 -0.166  0.243 -0.028  0.427 0.110  0.611 0.248  0.795 0.386  0.979 0.524  0.792 0.538  0.562 0.538  0.540 0.330  0.331 0.309  0.312 0.099  0.100 0.080  -0.130 0.080  -0.360 0.080  -0.375 -0.135  -0.375 -0.365  -0.157 -0.377  0.073 -0.377  0.303 -0.377  0.312 -0.598  0.312 -0.828  0.312 -1.058  0.312 -1.288  0.312 -1.518  0.538 -1.521  0.540 -1.293  0.540 -1.521
2#app#app25#app2546/z  -1.206 1.002  -0.939 1.002  -0.672 1.002  -0.411 1.017  -0.219 1.197  0.048 1.197  0.315 1.197  0.549 1.164  0.654 1.002  0.921 1.002  0.884 0.807  0.744 0.680  0.740 0.417  0.495 0.364  0.306 0.175  0.100 0.027  -0.036 -0.103  -0.236 -0.173  -0.425 -0.362  -0.692 -0.363  -0.816 -0.506  -0.968 -0.710  -1.217 -0.753  -1.401 -0.836  -1.245 -0.947  -0.988 -0.924  -0.792 -0.753  -0.525 -0.753  -0.258 -0.753  0.009 -0.753  0.276 -0.753  0.543 -0.753  0.733 -0.937  0.996 -0.947  1.263 -0.947  1.164 -0.832  0.945 -0.679  0.726 -0.526  0.507 -0.373  0.289 -0.219  0.070 -0.066  -0.149 0.087  -0.368 0.240  -0.586 0.393  -0.396 0.417  -0.129 0.417  -0.036 0.243  0.210 0.222  0.477 0.222  0.744 0.222
2#app#app25#app2546/e  0.205 0.232  0.348 0.232  0.490 0.232  0.633 0.232  0.762 0.266  0.863 0.367  0.964 0.467  1.065 0.568  1.077 0.706  1.077 0.848  1.017 0.930  0.874 0.930  0.731 0.930  0.588 0.930  0.446 0.930  0.380 0.854  0.335 0.756  0.192 0.756  0.050 0.756  -0.093 0.756  -0.209 0.691  -0.310 0.590  -0.449 0.581  -0.493 0.482  -0.560 0.407  -0.667 0.371  -0.671 0.232  -0.813 0.232  -0.842 0.118  -0.842 -0.025  -0.878 -0.153  -0.978 -0.253  -1.016 -0.381  -1.016 -0.523  -1.016 -0.666  -1.016 -0.809  -0.880 -0.815  -0.768 -0.889  -0.666 -0.989  -0.524 -0.989  -0.381 -0.989  -0.238 -0.989  -0.096 -0.989  0.047 -0.989  0.190 -0.989  0.332 -0.989  0.475 -0.989  0.618 -0.989  0.760 -0.989  0.903 -0.989
2#app#app25#app2546/p  0.400 0.436  0.273 0.309  0.242 0.143  0.132 0.010  0.005 -0.117  -0.122 -0.243  -0.248 -0.370  -0.375 -0.497  -0.390 -0.669  -0.516 -0.796  -0.547 -0.962  -0.658 -1.095  -0.784 -1.222  -0.911 -1.348  -1.045 -1.458  -1.145 -1.425  -1.019 -1.298  -0.920 -1.149  -0.821 -1.000  -0.721 -0.851  -0.622 -0.702  -0.523 -0.554  -0.423 -0.405  -0.306 -0.270  -0.231 -0.122  -0.231 0.057  -0.231 0.236  -0.135 0.375  -0.073 0.528  0.040 0.594  0.084 0.729  0.084 0.908  0.242 0.929  0.283 1.067  0.400 1.129  0.483 1.225  0.558 1.120  0.684 1.067  0.863 1.067  1.020 1.067  0.873 1.035  0.873 0.856  0.873 0.677  0.873 0.498  0.873 0.319  0.873 0.140  0.714 0.119  0.588 -0.008  0.421 -0.038  0.242 -0.038
2#app#app25#app2546/h  0.744 1.729  0.535 1.729  0.518 1.537  0.518 1.328  0.360 1.277  0.292 1.136  0.204 0.963  0.066 0.811  0.066 0.602  -0.080 0.453  -0.160 0.278  -0.238 0.147  -0.386 0.086  -0.417 -0.110  -0.565 -0.258  -0.713 -0.406  -0.839 -0.563  -0.849 -0.768  -0.997 -0.916  -1.065 -1.096  -1.065 -1.114  -0.986 -0.984  -0.839 -0.922  -0.839 -0.713  -0.811 -0.531  -0.612 -0.521  -0.612 -0.312  -0.469 -0.162  -0.386 0.013  -0.311 0.147  -0.160 0.205  -0.119 0.373  0.090 0.373  0.292 0.380  0.292 0.589  0.491 0.599  0.700 0.599  0.744 0.433  0.744 0.224  0.875 0.147  0.970 0.032  0.970 -0.177  0.913 -0.362  0.765 -0.510  0.565 -0.531  0.518 -0.693  0.415 -0.860  0.292 -1.018  0.292 -1.227  0.292 -1.436
2#app#app25#app2546/y  -0.208 1.404  -0.330 1.282  -0.383 1.132  -0.478 1.055  -0.558 0.961  -0.648 0.880  -0.732 0.791  -0.732 0.619  -0.732 0.446  -0.732 0.274  -0.732 0.101  -0.655 0.006  -0.505 -0.047  -0.383 -0.169  -0.210 -0.169  -0.208 -0.339  -0.040 -0.344  0.133 -0.344  0.305 -0.344  0.431 -0.230  0.553 -0.108  0.675 0.014  0.797 0.136  0.951 0.181  1.092 0.256  1.191 0.388  1.191 0.560  1.191 0.733  1.174 0.861  1.059 0.732  0.945 0.603  0.830 0.474  0.715 0.345  0.601 0.216  0.486 0.087  0.371 -0.042  0.257 -0.171  0.142 -0.300  0.028 -0.429  -0.087 -0.558  -0.202 -0.687  -0.371 -0.694  -0.383 -0.855  -0.541 -0.868  -0.668 -0.979  -0.790 -1.101  -0.907 -1.225  -0.907 -1.398  -0.909 -1.568  -1.082 -1.568
2#app#app25#app2546/r  0.512 1.471  0.393 1.351  0.273 1.232  0.225 1.082  0.225 0.913  0.116 0.788  -0.003 0.668  -0.062 0.523  -0.062 0.354  -0.160 0.225  -0.279 0.105  -0.399 -0.015  -0.519 -0.135  -0.637 -0.255  -0.637 -0.425  -0.691 -0.540  -0.861 -0.540  -0.999 -0.615  -1.119 -0.735  -1.211 -0.866  -1.211 -1.035  -1.211 -1.024  -1.211 -0.854  -1.069 -0.827  -0.907 -0.810  -0.787 -0.690  -0.667 -0.570  -0.511 -0.540  -0.350 -0.531  -0.350 -0.362  -0.290 -0.252  -0.120 -0.252  -0.062 -0.141  -0.062 0.028  0.101 0.035  0.270 0.035  0.440 0.035  0.609 0.035  0.778 0.035  0.800 0.183  0.800 0.353  0.800 0.522  0.858 0.551  0.977 0.432  1.102 0.322  1.271 0.322  1.374 0.256  1.374 0.086  1.492 0.035  1.661 0.035
