1b#tos#t1#t1050062/C  0.911 0.702  0.870 0.787  0.771 0.792  0.686 0.809  0.686 0.911  0.600 0.927  0.551 0.979  0.486 1.017  0.384 1.017  0.282 1.017  0.180 1.017  0.078 1.017  -0.023 1.017  -0.125 1.017  -0.170 0.959  -0.170 0.857  -0.247 0.811  -0.344 0.779  -0.440 0.746  -0.485 0.655  -0.530 0.563  -0.530 0.462  -0.549 0.368  -0.620 0.295  -0.620 0.193  -0.620 0.091  -0.620 -0.011  -0.620 -0.113  -0.620 -0.214  -0.620 -0.316  -0.602 -0.414  -0.556 -0.505  -0.530 -0.601  -0.470 -0.683  -0.409 -0.764  -0.342 -0.841  -0.285 -0.925  -0.207 -0.981  -0.109 -1.009  -0.015 -1.028  0.057 -1.100  0.140 -1.144  0.242 -1.144  0.344 -1.144  0.446 -1.144  0.548 -1.144  0.650 -1.144  0.752 -1.144  0.854 -1.144  0.956 -1.144
1b#tos#t1#t1050062/G  0.102 1.183  -0.125 1.183  -0.353 1.183  -0.581 1.183  -0.804 1.174  -0.921 0.986  -1.099 0.855  -1.200 0.678  -1.249 0.456  -1.334 0.249  -1.334 0.022  -1.292 -0.199  -1.199 -0.389  -1.085 -0.580  -0.942 -0.735  -0.755 -0.849  -0.538 -0.882  -0.310 -0.882  -0.082 -0.882  0.145 -0.882  0.350 -0.814  0.513 -0.676  0.667 -0.516  0.686 -0.293  0.686 -0.065  0.523 0.058  0.339 0.192  0.156 0.327  -0.028 0.461  -0.235 0.375  -0.436 0.278  -0.246 0.240  -0.019 0.240  0.209 0.240  0.436 0.240  0.664 0.240  0.881 0.285  1.108 0.285  1.203 0.290  0.976 0.305  0.748 0.320  0.551 0.300  0.551 0.073  0.551 -0.155  0.551 -0.382  0.551 -0.610  0.596 -0.801  0.786 -0.880  0.820 -1.103  0.820 -1.331
1b#tos#t1#t1050062/H  -0.826 1.048  -0.986 1.048  -1.032 0.934  -1.025 0.774  -0.991 0.619  -0.991 0.459  -0.991 0.299  -0.991 0.139  -0.991 -0.021  -0.991 -0.181  -0.991 -0.340  -0.991 -0.500  -0.956 -0.656  -0.909 -0.805  -0.861 -0.905  -0.819 -0.751  -0.776 -0.597  -0.733 -0.443  -0.690 -0.289  -0.662 -0.133  -0.703 -0.014  -0.577 0.020  -0.434 0.061  -0.274 0.061  -0.114 0.061  0.032 0.120  0.186 0.143  0.346 0.143  0.506 0.143  0.666 0.143  0.826 0.143  0.986 0.143  1.146 0.143  1.124 0.240  1.035 0.373  0.946 0.506  0.857 0.639  0.713 0.678  0.695 0.536  0.726 0.381  0.812 0.248  0.860 0.104  0.871 -0.054  0.901 -0.209  0.911 -0.366  0.990 -0.503  1.024 -0.659  1.024 -0.819  1.054 -0.974  1.065 -1.132
1b#tos#t1#t1050062/J  -0.458 0.777  -0.578 0.777  -0.641 0.742  -0.520 0.742  -0.415 0.764  -0.354 0.846  -0.233 0.846  -0.112 0.846  0.000 0.881  0.117 0.910  0.236 0.915  0.357 0.915  0.475 0.940  0.595 0.950  0.715 0.950  0.680 0.946  0.559 0.939  0.439 0.932  0.318 0.926  0.197 0.919  0.098 0.894  0.098 0.773  0.116 0.654  0.133 0.535  0.133 0.414  0.133 0.294  0.198 0.193  0.202 0.073  0.216 -0.047  0.233 -0.166  0.237 -0.287  0.237 -0.408  0.237 -0.528  0.237 -0.649  0.222 -0.769  0.203 -0.888  0.167 -1.003  0.132 -1.112  0.060 -1.209  0.006 -1.317  -0.041 -1.421  -0.135 -1.465  -0.254 -1.481  -0.375 -1.481  -0.462 -1.403  -0.534 -1.310  -0.631 -1.238  -0.703 -1.141  -0.770 -1.046  -0.770 -0.925
1b#tos#t1#t1050062/K  -0.278 1.529  -0.479 1.451  -0.488 1.231  -0.488 1.006  -0.488 0.782  -0.475 0.558  -0.446 0.336  -0.446 0.111  -0.446 -0.114  -0.446 -0.338  -0.446 -0.563  -0.446 -0.787  -0.446 -1.012  -0.446 -1.236  -0.446 -1.461  -0.446 -1.686  -0.373 -1.513  -0.293 -1.303  -0.212 -1.093  -0.132 -0.884  -0.052 -0.674  0.028 -0.464  0.108 -0.254  0.188 -0.044  0.268 0.165  0.348 0.375  0.428 0.585  0.508 0.795  0.588 1.005  0.668 1.215  0.748 1.424  0.772 1.329  0.659 1.169  0.465 1.056  0.271 0.943  0.112 0.784  -0.025 0.606  -0.096 0.394  -0.215 0.205  -0.371 0.045  -0.502 -0.137  -0.456 -0.302  -0.248 -0.385  -0.039 -0.463  0.174 -0.533  0.371 -0.639  0.581 -0.697  0.801 -0.736  0.932 -0.870  1.150 -0.907
1b#tos#t1#t1050062/M  -1.123 -1.144  -1.159 -1.115  -1.150 -0.929  -1.099 -0.749  -1.042 -0.570  -0.991 -0.390  -0.936 -0.211  -0.902 -0.027  -0.875 0.158  -0.872 0.345  -0.821 0.519  -0.740 0.686  -0.661 0.856  -0.620 1.037  -0.521 1.152  -0.404 1.025  -0.369 0.844  -0.356 0.658  -0.311 0.477  -0.274 0.294  -0.261 0.107  -0.261 -0.080  -0.196 -0.240  -0.097 -0.397  0.007 -0.552  0.115 -0.642  0.133 -0.473  0.240 -0.321  0.241 -0.134  0.277 0.048  0.277 0.235  0.377 0.389  0.384 0.574  0.470 0.740  0.564 0.896  0.666 1.009  0.743 0.899  0.769 0.716  0.779 0.530  0.779 0.343  0.851 0.172  0.851 -0.015  0.851 -0.203  0.851 -0.390  0.918 -0.561  0.923 -0.748  0.952 -0.932  0.959 -1.119  0.998 -1.300  1.066 -1.467
1b#tos#t1#t1050062/O  0.591 0.970  0.487 1.012  0.342 1.012  0.211 1.027  0.177 1.139  0.031 1.139  -0.114 1.139  -0.203 1.055  -0.262 0.924  -0.372 0.836  -0.438 0.708  -0.478 0.568  -0.518 0.427  -0.558 0.287  -0.597 0.147  -0.632 0.006  -0.657 -0.138  -0.676 -0.282  -0.676 -0.428  -0.676 -0.573  -0.676 -0.719  -0.676 -0.865  -0.609 -0.990  -0.592 -1.130  -0.527 -1.259  -0.432 -1.353  -0.304 -1.395  -0.158 -1.395  -0.014 -1.386  0.118 -1.327  0.235 -1.240  0.321 -1.124  0.360 -0.986  0.397 -0.845  0.451 -0.710  0.491 -0.570  0.537 -0.432  0.591 -0.297  0.591 -0.151  0.591 -0.006  0.591 0.140  0.591 0.286  0.591 0.431  0.568 0.573  0.549 0.716  0.468 0.837  0.413 0.972  0.323 1.055  0.187 1.097  0.042 1.097
1b#tos#t1#t1050062/P  -0.044 1.455  -0.092 1.301  -0.092 1.100  -0.113 0.900  -0.140 0.701  -0.140 0.500  -0.140 0.298  -0.140 0.097  -0.140 -0.105  -0.140 -0.306  -0.140 -0.507  -0.140 -0.709  -0.140 -0.910  -0.140 -1.111  -0.140 -1.313  -0.140 -1.514  -0.140 -1.715  -0.140 -1.917  -0.156 -1.737  -0.173 -1.536  -0.191 -1.336  -0.208 -1.135  -0.225 -0.935  -0.243 -0.734  -0.260 -0.533  -0.277 -0.333  -0.294 -0.132  -0.312 0.069  -0.329 0.269  -0.346 0.470  -0.364 0.670  -0.378 0.871  -0.314 1.057  -0.211 1.217  -0.010 1.217  0.191 1.217  0.393 1.217  0.574 1.169  0.717 1.027  0.859 0.885  0.908 0.691  0.904 0.491  0.816 0.315  0.695 0.154  0.533 0.054  0.369 -0.064  0.184 -0.117  -0.000 -0.190  -0.177 -0.260  -0.378 -0.260
1b#tos#t1#t1050062/Q  0.014 1.217  -0.152 1.173  -0.330 1.094  -0.469 0.958  -0.517 0.756  -0.540 0.551  -0.606 0.356  -0.606 0.146  -0.631 -0.062  -0.650 -0.270  -0.650 -0.481  -0.650 -0.691  -0.598 -0.883  -0.473 -1.049  -0.434 -1.251  -0.309 -1.418  -0.109 -1.438  0.099 -1.412  0.287 -1.334  0.377 -1.144  0.492 -0.979  0.622 -0.824  0.697 -0.627  0.771 -0.430  0.810 -0.228  0.810 -0.017  0.810 0.193  0.810 0.403  0.762 0.589  0.633 0.735  0.534 0.896  0.352 1.000  0.166 1.077  0.007 1.173  -0.193 1.217  -0.365 1.314  -0.444 1.257  -0.382 1.056  -0.319 0.856  -0.257 0.655  -0.195 0.454  -0.132 0.253  -0.075 0.051  -0.075 -0.159  -0.048 -0.358  -0.030 -0.561  0.093 -0.720  0.223 -0.883  0.365 -1.036  0.501 -1.172
1b#tos#t1#t1050062/S  0.808 0.967  0.779 1.064  0.686 1.126  0.592 1.188  0.484 1.198  0.372 1.198  0.260 1.198  0.148 1.198  0.040 1.174  -0.066 1.138  -0.176 1.121  -0.232 1.066  -0.278 0.983  -0.386 0.967  -0.406 0.861  -0.463 0.766  -0.463 0.654  -0.420 0.555  -0.386 0.454  -0.325 0.367  -0.229 0.311  -0.155 0.245  -0.131 0.150  -0.027 0.111  0.063 0.043  0.136 -0.038  0.218 -0.105  0.318 -0.155  0.411 -0.215  0.490 -0.294  0.531 -0.397  0.538 -0.508  0.538 -0.620  0.519 -0.728  0.469 -0.828  0.431 -0.933  0.339 -0.975  0.229 -0.997  0.142 -1.065  0.046 -1.123  -0.059 -1.151  -0.171 -1.151  -0.283 -1.151  -0.394 -1.151  -0.506 -1.151  -0.618 -1.151  -0.730 -1.151  -0.810 -1.073  -0.906 -1.035  -0.964 -0.958
1b#tos#t1#t1050062/U  -0.637 1.115  -0.760 1.115  -0.794 1.046  -0.776 0.925  -0.776 0.802  -0.770 0.680  -0.725 0.566  -0.707 0.447  -0.701 0.324  -0.671 0.205  -0.654 0.083  -0.637 -0.039  -0.607 -0.158  -0.602 -0.280  -0.602 -0.403  -0.555 -0.515  -0.500 -0.625  -0.489 -0.747  -0.469 -0.868  -0.407 -0.951  -0.346 -1.051  -0.270 -1.133  -0.170 -1.204  -0.056 -1.226  0.067 -1.224  0.177 -1.169  0.274 -1.096  0.365 -1.016  0.447 -0.929  0.505 -0.830  0.538 -0.712  0.551 -0.591  0.551 -0.468  0.551 -0.345  0.551 -0.222  0.556 -0.100  0.619 0.005  0.656 0.118  0.656 0.241  0.656 0.364  0.663 0.486  0.687 0.607  0.691 0.729  0.691 0.852  0.691 0.975  0.642 1.084  0.621 1.200  0.538 1.282  0.430 1.325  0.307 1.325
