1c#tos#f2#f2061066/a  0.257 0.970  0.126 0.877  -0.024 0.941  -0.114 1.076  -0.204 1.155  -0.373 1.155  -0.538 1.119  -0.625 0.990  -0.670 0.829  -0.693 0.669  -0.812 0.550  -0.902 0.417  -0.918 0.253  -1.019 0.118  -1.041 -0.044  -1.041 -0.213  -1.041 -0.383  -1.041 -0.552  -1.041 -0.721  -1.018 -0.885  -0.880 -0.960  -0.713 -0.977  -0.544 -0.977  -0.375 -0.977  -0.205 -0.977  -0.054 -0.901  0.073 -0.791  0.186 -0.666  0.287 -0.531  0.403 -0.408  0.478 -0.257  0.554 -0.106  0.616 0.052  0.669 0.212  0.721 0.373  0.721 0.543  0.721 0.712  0.721 0.873  0.721 0.704  0.721 0.535  0.721 0.365  0.721 0.196  0.721 0.027  0.721 -0.143  0.751 -0.308  0.767 -0.476  0.788 -0.642  0.814 -0.808  0.912 -0.937  0.999 -1.070
1c#tos#f2#f2061066/c  0.599 1.286  0.599 1.177  0.547 1.121  0.438 1.121  0.329 1.121  0.220 1.121  0.111 1.121  0.002 1.121  -0.087 1.067  -0.185 1.019  -0.271 0.955  -0.348 0.877  -0.432 0.809  -0.525 0.753  -0.611 0.689  -0.660 0.592  -0.698 0.490  -0.724 0.384  -0.751 0.279  -0.768 0.172  -0.768 0.063  -0.768 -0.046  -0.768 -0.155  -0.768 -0.264  -0.743 -0.366  -0.685 -0.457  -0.685 -0.566  -0.635 -0.644  -0.537 -0.693  -0.480 -0.782  -0.419 -0.872  -0.330 -0.909  -0.221 -0.909  -0.112 -0.909  -0.003 -0.909  0.106 -0.909  0.215 -0.909  0.321 -0.900  0.406 -0.832  0.491 -0.764  0.593 -0.743  0.696 -0.729  0.773 -0.652  0.851 -0.576  0.936 -0.507  1.021 -0.439  1.094 -0.360  1.160 -0.273  1.213 -0.178  1.262 -0.081
1c#tos#f2#f2061066/d  0.645 1.946  0.469 1.937  0.299 1.896  0.295 1.723  0.295 1.546  0.295 1.370  0.295 1.193  0.295 1.016  0.295 0.840  0.295 0.663  0.295 0.486  0.295 0.310  0.295 0.133  0.295 -0.044  0.295 -0.220  0.295 -0.397  0.295 -0.574  0.295 -0.750  0.331 -0.919  0.395 -0.852  0.395 -0.676  0.395 -0.499  0.295 -0.364  0.295 -0.187  0.281 -0.013  0.215 0.151  0.171 0.300  0.100 0.422  -0.070 0.449  -0.247 0.449  -0.424 0.449  -0.453 0.302  -0.602 0.275  -0.652 0.148  -0.731 0.050  -0.801 -0.098  -0.842 -0.268  -0.902 -0.422  -0.902 -0.599  -0.902 -0.776  -0.847 -0.897  -0.679 -0.920  -0.555 -1.045  -0.399 -1.097  -0.223 -1.097  -0.046 -1.097  0.131 -1.097  0.307 -1.097  0.477 -1.053  0.645 -0.997
1c#tos#f2#f2061066/f  -1.364 0.099  -1.445 -0.024  -1.450 -0.067  -1.280 -0.098  -1.108 -0.108  -0.954 -0.167  -0.802 -0.232  -0.633 -0.255  -0.462 -0.273  -0.289 -0.273  -0.116 -0.273  0.058 -0.273  0.231 -0.273  0.405 -0.273  0.544 -0.356  0.717 -0.356  0.890 -0.356  1.064 -0.356  1.229 -0.320  1.233 -0.154  1.201 0.017  1.169 0.187  1.137 0.358  1.098 0.512  0.945 0.559  0.792 0.633  0.668 0.753  0.587 0.884  0.441 0.975  0.318 1.088  0.206 1.173  0.074 1.214  -0.052 1.147  -0.155 1.039  -0.165 0.867  -0.248 0.719  -0.312 0.558  -0.355 0.390  -0.372 0.219  -0.372 0.045  -0.372 -0.128  -0.372 -0.301  -0.372 -0.475  -0.372 -0.648  -0.372 -0.822  -0.331 -0.988  -0.321 -1.160  -0.244 -1.315  -0.188 -1.476  -0.124 -1.637
1c#tos#f2#f2061066/i  0.042 1.440  -0.034 1.440  -0.102 1.426  -0.136 1.358  -0.093 1.303  -0.049 1.271  -0.049 1.194  -0.004 1.163  -0.037 1.121  -0.114 1.121  -0.186 1.117  -0.186 1.040  -0.186 0.964  -0.173 0.889  -0.152 0.816  -0.131 0.742  -0.111 0.668  -0.090 0.595  -0.070 0.521  -0.049 0.448  -0.028 0.374  -0.008 0.300  0.013 0.227  0.033 0.153  0.054 0.079  0.075 0.006  0.095 -0.068  0.116 -0.141  0.133 -0.215  0.133 -0.292  0.082 -0.347  0.042 -0.407  0.042 -0.483  0.042 -0.560  0.042 -0.636  0.042 -0.713  0.042 -0.789  0.042 -0.866  0.042 -0.942  0.042 -1.018  0.042 -1.095  0.042 -1.171  0.054 -1.246  0.079 -1.318  0.088 -1.393  0.088 -1.470  0.088 -1.546  0.090 -1.622  0.133 -1.680  0.133 -1.757
1c#tos#f2#f2061066/j  -0.014 1.483  -0.061 1.445  -0.137 1.420  -0.139 1.352  -0.065 1.337  0.008 1.319  0.052 1.282  0.101 1.245  0.176 1.220  0.211 1.161  0.197 1.082  0.183 1.003  0.169 0.924  0.155 0.844  0.141 0.765  0.127 0.686  0.117 0.607  0.090 0.538  0.052 0.473  0.011 0.405  -0.039 0.343  -0.063 0.302  -0.016 0.239  0.019 0.173  0.019 0.092  0.019 0.012  0.019 -0.068  0.019 -0.149  0.059 -0.217  0.084 -0.290  0.084 -0.370  0.084 -0.450  0.084 -0.531  0.084 -0.611  0.084 -0.691  0.084 -0.772  0.084 -0.852  0.046 -0.916  -0.011 -0.973  -0.014 -1.052  -0.014 -1.133  -0.027 -1.211  -0.056 -1.285  -0.101 -1.352  -0.139 -1.422  -0.212 -1.435  -0.278 -1.469  -0.345 -1.500  -0.425 -1.500  -0.506 -1.500
1c#tos#f2#f2061066/k  -0.434 1.874  -0.652 1.874  -0.685 1.689  -0.621 1.481  -0.584 1.269  -0.584 1.051  -0.584 0.833  -0.584 0.616  -0.584 0.398  -0.584 0.180  -0.584 -0.038  -0.579 -0.255  -0.534 -0.468  -0.534 -0.686  -0.534 -0.904  -0.534 -1.122  -0.501 -1.247  -0.362 -1.079  -0.222 -0.912  -0.083 -0.744  0.056 -0.576  0.195 -0.408  0.334 -0.241  0.473 -0.073  0.612 0.095  0.751 0.263  0.890 0.430  1.029 0.598  1.169 0.766  1.222 0.569  1.034 0.469  0.824 0.420  0.628 0.369  0.413 0.337  0.210 0.264  0.002 0.218  -0.153 0.118  -0.367 0.101  -0.526 -0.016  -0.584 -0.182  -0.538 -0.381  -0.434 -0.497  -0.304 -0.585  -0.128 -0.685  0.078 -0.725  0.276 -0.804  0.489 -0.846  0.686 -0.936  0.904 -0.936  1.122 -0.936
1c#tos#f2#f2061066/l  -0.388 0.871  -0.470 0.871  -0.469 0.940  -0.431 1.013  -0.367 1.055  -0.296 1.067  -0.263 1.135  -0.187 1.147  -0.134 1.195  -0.080 1.239  0.002 1.239  0.072 1.227  0.072 1.145  0.072 1.064  0.091 0.990  0.118 0.919  0.118 0.837  0.118 0.755  0.118 0.673  0.118 0.592  0.118 0.510  0.118 0.428  0.118 0.346  0.118 0.264  0.118 0.183  0.118 0.101  0.118 0.019  0.118 -0.063  0.118 -0.145  0.118 -0.227  0.118 -0.308  0.111 -0.389  0.085 -0.467  0.060 -0.544  0.034 -0.622  0.026 -0.703  0.026 -0.784  0.026 -0.866  0.026 -0.948  0.026 -1.030  0.026 -1.112  0.026 -1.194  0.026 -1.275  0.026 -1.357  0.026 -1.439  0.037 -1.519  0.057 -1.599  0.072 -1.679  0.072 -1.761  0.118 -1.797
1c#tos#f2#f2061066/o  -0.023 1.013  -0.171 1.013  -0.314 1.004  -0.419 0.899  -0.540 0.835  -0.644 0.730  -0.722 0.619  -0.756 0.505  -0.803 0.365  -0.812 0.219  -0.812 0.071  -0.812 -0.077  -0.812 -0.224  -0.812 -0.372  -0.812 -0.519  -0.780 -0.662  -0.738 -0.803  -0.703 -0.946  -0.569 -0.992  -0.474 -1.065  -0.333 -1.072  -0.186 -1.072  -0.038 -1.072  0.109 -1.072  0.257 -1.072  0.392 -1.026  0.518 -0.950  0.651 -0.889  0.795 -0.854  0.876 -0.740  0.940 -0.608  0.986 -0.468  0.991 -0.321  0.991 -0.173  0.991 -0.026  0.991 0.122  0.991 0.270  0.943 0.401  0.855 0.519  0.744 0.614  0.615 0.675  0.482 0.719  0.364 0.807  0.229 0.844  0.081 0.844  -0.066 0.844  -0.214 0.844  -0.362 0.844  -0.482 0.779  -0.587 0.675
1c#tos#f2#f2061066/q  0.393 0.874  0.305 0.826  0.276 1.050  0.173 1.199  0.039 1.348  -0.213 1.358  -0.378 1.270  -0.552 1.119  -0.641 0.962  -0.753 0.828  -0.808 0.598  -0.885 0.366  -0.929 0.157  -0.885 -0.052  -0.632 -0.052  -0.379 -0.052  -0.181 0.036  -0.029 0.214  0.158 0.379  0.309 0.533  0.437 0.685  0.525 0.850  0.481 0.953  0.450 0.703  0.261 0.590  0.160 0.380  0.041 0.191  -0.050 -0.008  -0.092 -0.220  -0.256 -0.399  -0.353 -0.622  -0.469 -0.842  -0.488 -1.092  -0.574 -1.325  -0.577 -1.577  -0.478 -1.717  -0.356 -1.515  -0.169 -1.353  -0.076 -1.119  0.039 -0.913  0.163 -0.709  0.300 -0.499  0.349 -0.292  0.430 -0.063  0.488 -0.279  0.632 -0.485  0.844 -0.586  1.088 -0.625  1.322 -0.578  1.539 -0.493
1c#tos#f2#f2061066/r  -0.147 1.569  -0.275 1.536  -0.336 1.419  -0.336 1.278  -0.336 1.136  -0.336 0.995  -0.336 0.853  -0.336 0.712  -0.336 0.570  -0.336 0.429  -0.336 0.287  -0.336 0.146  -0.336 0.004  -0.336 -0.137  -0.336 -0.279  -0.336 -0.420  -0.336 -0.562  -0.336 -0.703  -0.336 -0.845  -0.331 -0.985  -0.252 -1.103  -0.242 -1.241  -0.242 -1.383  -0.242 -1.524  -0.166 -1.590  -0.147 -1.468  -0.147 -1.326  -0.147 -1.185  -0.147 -1.043  -0.147 -0.902  -0.142 -0.761  -0.114 -0.622  -0.100 -0.482  -0.100 -0.340  -0.077 -0.201  -0.041 -0.066  0.044 0.048  0.125 0.163  0.192 0.286  0.226 0.423  0.320 0.527  0.434 0.594  0.552 0.669  0.602 0.799  0.732 0.815  0.873 0.815  1.015 0.815  1.156 0.815  1.289 0.793  1.361 0.673
