1d#app#app31#app3138/!  -0.226 0.890  -0.226 0.986  -0.226 1.083  -0.226 1.179  -0.226 1.275  -0.302 1.296  -0.362 1.333  -0.362 1.429  -0.295 1.365  -0.227 1.297  -0.226 1.201  -0.187 1.121  -0.118 1.053  -0.091 0.968  -0.078 0.877  -0.010 0.809  0.044 0.735  0.044 0.639  0.044 0.542  0.044 0.446  0.044 0.350  -0.051 0.349  -0.091 0.292  -0.091 0.196  -0.091 0.100  -0.091 0.003  -0.055 -0.057  0.041 -0.057  0.044 -0.150  0.044 -0.247  0.048 -0.343  0.069 -0.437  0.089 -0.531  0.110 -0.625  0.131 -0.719  0.152 -0.813  0.173 -0.907  0.194 -1.001  0.215 -1.095  0.236 -1.189  0.257 -1.283  0.277 -1.377  0.298 -1.471  0.301 -1.533  0.233 -1.464  0.180 -1.390  0.180 -1.294  0.102 -1.276  0.083 -1.276  0.180 -1.276
1d#app#app31#app3138/@  0.054 -0.526  0.068 -0.526  -0.156 -0.450  -0.388 -0.391  -0.620 -0.415  -0.764 -0.526  -0.890 -0.657  -0.908 -0.661  -0.682 -0.588  -0.501 -0.407  -0.350 -0.214  -0.216 -0.093  -0.216 0.133  -0.216 -0.123  -0.094 -0.257  0.162 -0.257  0.283 -0.122  0.539 -0.122  0.795 -0.122  1.050 -0.122  1.160 0.040  1.267 0.252  1.267 0.507  1.267 0.763  1.133 0.963  1.005 1.092  0.884 1.226  0.763 1.361  0.508 1.361  0.252 1.361  0.131 1.226  -0.125 1.226  -0.237 1.070  -0.418 0.889  -0.599 0.709  -0.684 0.488  -0.865 0.307  -0.959 0.073  -1.024 -0.172  -1.024 -0.428  -0.913 -0.638  -0.802 -0.796  -0.681 -0.931  -0.425 -0.931  -0.169 -0.931  0.086 -0.931  0.337 -0.918  0.542 -0.796  0.643 -0.612  0.728 -0.391
1d#app#app31#app3138/#  0.166 1.053  0.129 0.646  -0.170 0.347  -0.338 -0.006  -0.506 -0.360  -0.761 -0.677  -0.946 -1.023  -0.855 -1.355  -0.600 -1.070  -0.393 -0.701  -0.185 -0.333  0.022 0.036  0.229 0.404  0.437 0.773  0.644 1.141  0.851 1.510  1.092 1.485  0.907 1.139  0.800 0.761  0.722 0.370  0.536 0.024  0.536 -0.399  0.390 -0.761  0.480 -1.114  0.578 -1.104  0.194 -0.927  -0.190 -0.750  -0.574 -0.572  -0.957 -0.395  -1.341 -0.218  -1.645 -0.058  -1.407 0.127  -1.061 0.312  -0.645 0.351  -0.244 0.484  0.174 0.505  0.523 0.683  0.946 0.683  1.368 0.683  1.173 0.527  0.801 0.326  0.429 0.126  0.057 -0.075  -0.316 -0.275  -0.688 -0.475  -0.816 -0.614  -0.470 -0.429  -0.093 -0.318  0.299 -0.244  0.722 -0.244
1d#app#app31#app3138/$  0.772 0.728  0.584 0.916  0.370 1.044  0.115 1.018  -0.097 0.886  -0.308 0.753  -0.492 0.563  -0.492 0.297  -0.446 0.049  -0.258 -0.139  -0.025 -0.221  0.176 -0.379  0.427 -0.443  0.671 -0.537  0.772 -0.702  0.657 -0.853  0.390 -0.853  0.124 -0.853  -0.142 -0.853  -0.387 -0.905  -0.610 -1.011  -0.808 -1.078  -0.741 -1.006  -0.640 -0.760  -0.538 -0.513  -0.437 -0.267  -0.336 -0.021  -0.234 0.225  -0.133 0.472  -0.031 0.718  0.070 0.964  0.171 1.210  0.273 1.457  0.340 1.676  0.607 1.676  0.614 1.417  0.578 1.165  0.390 0.977  0.298 0.749  0.270 0.487  0.186 0.234  0.055 0.011  -0.022 -0.224  -0.176 -0.426  -0.176 -0.693  -0.251 -0.928  -0.334 -1.160  -0.334 -1.426  -0.284 -1.643  -0.176 -1.801
1d#app#app31#app3138/%  -0.016 1.027  -0.280 0.885  -0.545 0.743  -0.809 0.602  -0.998 0.429  -1.120 0.156  -0.998 -0.044  -0.708 -0.078  -0.385 -0.078  -0.139 0.093  0.058 0.291  0.107 0.565  -0.000 0.781  -0.259 0.964  -0.567 1.027  -0.875 1.012  -0.712 0.790  -0.396 0.858  -0.080 0.925  0.236 0.993  0.552 1.061  0.868 1.128  1.088 1.049  1.008 0.745  0.805 0.498  0.577 0.270  0.348 0.041  0.120 -0.187  -0.160 -0.344  -0.388 -0.572  -0.617 -0.801  -0.845 -1.029  -0.998 -1.289  -0.826 -1.388  -0.572 -1.189  -0.318 -0.989  -0.064 -0.790  0.190 -0.590  0.444 -0.391  0.698 -0.191  0.826 -0.200  0.597 -0.294  0.440 -0.480  0.352 -0.767  0.352 -1.090  0.583 -1.182  0.843 -1.118  0.942 -0.837  0.920 -0.568  0.720 -0.446
1d#app#app31#app3138/^  -0.125 0.443  0.058 0.443  0.117 0.566  0.072 0.640  -0.057 0.511  -0.186 0.382  -0.315 0.253  -0.445 0.123  -0.574 -0.006  -0.609 -0.174  -0.682 -0.283  -0.861 -0.293  -0.990 -0.422  -1.093 -0.562  -1.093 -0.745  -1.253 -0.767  -1.264 -0.696  -1.135 -0.567  -1.006 -0.438  -0.877 -0.309  -0.851 -0.137  -0.790 0.020  -0.661 0.150  -0.531 0.279  -0.402 0.408  -0.273 0.537  -0.144 0.666  -0.015 0.795  0.114 0.925  0.117 1.106  0.237 1.170  0.359 1.110  0.359 0.927  0.359 0.744  0.359 0.562  0.405 0.398  0.534 0.269  0.602 0.114  0.602 -0.069  0.602 -0.252  0.753 -0.283  0.844 -0.375  0.876 -0.525  1.058 -0.525  1.086 -0.681  1.154 -0.835  1.283 -0.964  1.328 -1.128  1.387 -1.252  1.570 -1.252
1d#app#app31#app3138/&  0.665 -0.568  0.463 -0.568  0.393 -0.437  0.196 -0.431  0.120 -0.305  -0.017 -0.240  -0.017 -0.038  -0.148 0.110  -0.153 0.310  -0.153 0.512  -0.153 0.714  -0.153 0.916  -0.119 1.104  -0.017 1.263  0.106 1.342  0.172 1.479  0.374 1.479  0.576 1.479  0.778 1.479  0.802 1.301  0.802 1.099  0.665 1.033  0.593 0.861  0.418 0.797  0.268 0.672  0.125 0.529  -0.017 0.465  -0.104 0.300  -0.247 0.157  -0.390 0.014  -0.441 -0.158  -0.563 -0.239  -0.666 -0.398  -0.699 -0.586  -0.759 -0.764  -0.835 -0.934  -0.835 -1.136  -0.747 -1.250  -0.682 -1.386  -0.480 -1.386  -0.278 -1.386  -0.098 -1.332  0.070 -1.250  0.120 -1.098  0.201 -0.977  0.256 -0.830  0.256 -0.628  0.251 -0.431  0.120 -0.360  -0.017 -0.295
1d#app#app31#app3138/*  -0.839 0.757  -0.754 0.770  -0.548 0.466  -0.414 0.150  -0.151 -0.113  0.021 -0.337  0.210 -0.519  0.400 -0.701  0.589 -0.884  0.961 -0.884  0.953 -0.537  0.919 -0.166  0.886 0.204  0.852 0.574  0.818 0.944  0.802 0.929  0.660 0.616  0.397 0.353  0.255 0.040  0.073 -0.256  -0.133 -0.543  -0.396 -0.806  -0.660 -1.066  -0.850 -1.248  -1.028 -1.414  -1.175 -1.073  -1.321 -0.731  -1.468 -0.389  -1.452 -0.154  -1.080 -0.154  -0.747 -0.062  -0.412 0.028  -0.040 0.028  0.331 0.028  0.703 0.028  1.075 0.028  1.276 0.093  0.998 0.340  0.720 0.587  0.443 0.834  0.165 1.081  -0.113 1.328  -0.159 1.487  -0.110 1.165  -0.110 0.793  -0.110 0.421  -0.110 0.049  -0.110 -0.322  -0.110 -0.694  -0.110 -1.066
1d#app#app31#app3138/(  0.368 1.352  0.306 1.414  0.244 1.476  0.181 1.523  0.119 1.461  0.057 1.399  0.010 1.331  0.010 1.243  -0.003 1.160  -0.065 1.098  -0.127 1.036  -0.189 0.973  -0.252 0.911  -0.314 0.849  -0.348 0.775  -0.348 0.687  -0.348 0.599  -0.348 0.511  -0.348 0.423  -0.348 0.335  -0.348 0.248  -0.348 0.160  -0.348 0.072  -0.348 -0.016  -0.348 -0.104  -0.348 -0.192  -0.348 -0.280  -0.348 -0.368  -0.348 -0.456  -0.348 -0.544  -0.338 -0.628  -0.276 -0.690  -0.214 -0.752  -0.144 -0.797  -0.056 -0.797  0.010 -0.819  0.010 -0.907  0.029 -0.976  0.117 -0.976  0.205 -0.976  0.293 -0.976  0.381 -0.976  0.469 -0.976  0.547 -0.985  0.547 -1.073  0.553 -1.155  0.641 -1.155  0.729 -1.155  0.817 -1.155  0.905 -1.155
1d#app#app31#app3138/)  -0.296 1.705  -0.296 1.619  -0.296 1.533  -0.296 1.448  -0.270 1.373  -0.209 1.312  -0.148 1.252  -0.088 1.191  -0.027 1.131  0.024 1.063  0.063 0.987  0.101 0.910  0.139 0.833  0.161 0.753  0.161 0.667  0.201 0.597  0.262 0.537  0.314 0.473  0.314 0.387  0.336 0.310  0.396 0.250  0.457 0.189  0.466 0.107  0.466 0.021  0.466 -0.064  0.466 -0.150  0.466 -0.236  0.466 -0.322  0.466 -0.407  0.422 -0.475  0.361 -0.535  0.300 -0.596  0.240 -0.657  0.179 -0.717  0.119 -0.778  0.058 -0.839  -0.007 -0.888  -0.093 -0.888  -0.179 -0.888  -0.265 -0.888  -0.296 -0.942  -0.296 -1.028  -0.369 -1.041  -0.453 -1.045  -0.514 -1.106  -0.575 -1.166  -0.649 -1.193  -0.735 -1.193  -0.754 -1.260  -0.754 -1.346
1d#app#app31#app3138/`  -1.104 0.614  -1.009 0.614  -0.915 0.614  -0.820 0.614  -0.726 0.614  -0.632 0.615  -0.632 0.710  -0.632 0.804  -0.632 0.899  -0.632 0.993  -0.632 1.082  -0.632 0.988  -0.632 0.893  -0.632 0.799  -0.632 0.704  -0.628 0.614  -0.534 0.614  -0.439 0.614  -0.345 0.614  -0.250 0.614  -0.161 0.608  -0.161 0.514  -0.161 0.419  -0.161 0.325  -0.161 0.230  -0.156 0.138  -0.089 0.071  -0.023 0.004  0.044 -0.063  0.111 -0.130  0.178 -0.197  0.245 -0.264  0.312 -0.330  0.378 -0.397  0.445 -0.464  0.512 -0.531  0.579 -0.598  0.646 -0.665  0.713 -0.731  0.780 -0.798  0.781 -0.892  0.781 -0.987  0.781 -1.081  0.781 -1.176  0.781 -1.270  0.875 -1.271  0.969 -1.271  1.064 -1.271  1.158 -1.271  1.253 -1.271
