3#apb#apb35#app3578/S  -1.168 -1.186  -1.119 -1.056  -1.028 -0.942  -0.934 -0.830  -0.835 -0.723  -0.737 -0.615  -0.640 -0.506  -0.543 -0.397  -0.449 -0.285  -0.355 -0.174  -0.261 -0.062  -0.167 0.050  -0.074 0.163  0.017 0.277  0.103 0.394  0.190 0.512  0.278 0.629  0.368 0.743  0.458 0.858  0.549 0.972  0.640 1.086  0.714 1.212  0.781 1.342  0.841 1.475  0.769 1.372  0.736 1.230  0.730 1.085  0.706 0.943  0.677 0.800  0.655 0.656  0.624 0.513  0.599 0.369  0.582 0.224  0.559 0.080  0.532 -0.063  0.506 -0.207  0.460 -0.344  0.396 -0.475  0.312 -0.593  0.203 -0.690  0.074 -0.757  -0.065 -0.798  -0.209 -0.821  -0.355 -0.834  -0.500 -0.836  -0.646 -0.834  -0.792 -0.821  -0.930 -0.778  -1.063 -0.718  -1.188 -0.643
3#apb#apb35#app3578/w  -0.733 0.763  -0.771 0.687  -0.844 0.549  -0.893 0.401  -0.937 0.251  -0.995 0.106  -1.046 -0.042  -1.091 -0.191  -1.140 -0.340  -1.175 -0.491  -1.183 -0.647  -1.128 -0.770  -0.977 -0.790  -0.833 -0.730  -0.706 -0.642  -0.588 -0.538  -0.491 -0.415  -0.394 -0.293  -0.297 -0.171  -0.200 -0.048  -0.106 0.077  -0.015 0.205  0.070 0.336  0.128 0.436  0.082 0.286  0.026 0.141  -0.028 -0.006  -0.081 -0.153  -0.118 -0.305  -0.136 -0.459  -0.113 -0.611  -0.018 -0.729  0.127 -0.768  0.265 -0.696  0.397 -0.612  0.522 -0.518  0.629 -0.406  0.723 -0.281  0.816 -0.155  0.900 -0.023  0.984 0.109  1.062 0.243  1.127 0.386  1.191 0.529  1.255 0.671  1.288 0.824  1.320 0.977  1.350 1.130  1.376 1.285  1.401 1.439
3#apb#apb35#app3578/a  0.614 1.223  0.549 1.389  0.381 1.419  0.207 1.349  0.042 1.257  -0.105 1.142  -0.243 1.012  -0.377 0.880  -0.503 0.739  -0.629 0.599  -0.737 0.445  -0.842 0.287  -0.940 0.126  -1.027 -0.041  -1.115 -0.208  -1.162 -0.391  -1.189 -0.575  -1.162 -0.762  -1.042 -0.902  -0.860 -0.946  -0.682 -0.928  -0.511 -0.848  -0.356 -0.743  -0.208 -0.625  -0.066 -0.501  0.076 -0.376  0.202 -0.237  0.320 -0.089  0.436 0.060  0.542 0.216  0.648 0.372  0.734 0.539  0.810 0.712  0.704 0.804  0.585 0.669  0.466 0.522  0.342 0.380  0.240 0.223  0.156 0.054  0.128 -0.131  0.110 -0.319  0.098 -0.507  0.112 -0.688  0.229 -0.836  0.378 -0.936  0.560 -0.986  0.743 -1.010  0.929 -0.977  1.115 -0.944  1.301 -0.912
3#apb#apb35#app3578/r  -1.374 -1.250  -1.348 -1.151  -1.298 -1.036  -1.237 -0.927  -1.164 -0.826  -1.091 -0.724  -1.014 -0.626  -0.930 -0.532  -0.847 -0.439  -0.763 -0.346  -0.691 -0.244  -0.620 -0.140  -0.550 -0.037  -0.480 0.067  -0.410 0.171  -0.336 0.272  -0.259 0.371  -0.183 0.471  -0.107 0.570  -0.031 0.669  0.041 0.772  0.105 0.879  0.170 0.987  0.229 1.096  0.265 1.216  0.289 1.266  0.274 1.142  0.241 1.021  0.245 0.903  0.295 0.788  0.351 0.677  0.423 0.574  0.516 0.493  0.620 0.423  0.720 0.348  0.831 0.291  0.900 0.211  0.900 0.086  0.867 -0.032  0.806 -0.141  0.734 -0.243  0.664 -0.347  0.598 -0.454  0.533 -0.560  0.466 -0.666  0.449 -0.787  0.449 -0.912  0.501 -1.025  0.574 -1.123  0.674 -1.198
3#apb#apb35#app3578/z  -0.399 0.986  -0.473 0.983  -0.338 1.081  -0.191 1.161  -0.043 1.240  0.106 1.315  0.268 1.356  0.414 1.299  0.459 1.141  0.434 0.975  0.375 0.818  0.278 0.682  0.165 0.558  0.033 0.455  -0.003 0.458  0.146 0.535  0.312 0.532  0.475 0.505  0.606 0.411  0.704 0.275  0.774 0.127  0.787 -0.039  0.757 -0.204  0.711 -0.364  0.642 -0.517  0.567 -0.666  0.464 -0.799  0.361 -0.931  0.244 -1.051  0.128 -1.172  -0.003 -1.275  -0.140 -1.372  -0.294 -1.439  -0.452 -1.473  -0.617 -1.443  -0.738 -1.330  -0.811 -1.181  -0.838 -1.020  -0.828 -0.852  -0.796 -0.690  -0.729 -0.537  -0.661 -0.383  -0.593 -0.230  -0.495 -0.094  -0.397 0.042  -0.299 0.178  -0.196 0.310  -0.078 0.429  0.041 0.547  0.159 0.666
3#apb#apb35#app3578/e  -1.038 -1.352  -0.953 -1.221  -0.869 -1.090  -0.748 -0.996  -0.617 -0.911  -0.488 -0.823  -0.378 -0.713  -0.268 -0.603  -0.158 -0.493  -0.048 -0.383  0.062 -0.272  0.173 -0.162  0.282 -0.051  0.386 0.065  0.489 0.181  0.593 0.297  0.689 0.420  0.782 0.545  0.876 0.670  0.965 0.797  1.049 0.928  1.109 1.067  1.109 1.223  0.961 1.251  0.808 1.258  0.661 1.206  0.514 1.154  0.378 1.079  0.245 0.999  0.111 0.918  -0.013 0.824  -0.133 0.726  -0.254 0.627  -0.375 0.528  -0.462 0.399  -0.548 0.270  -0.635 0.140  -0.691 -0.003  -0.731 -0.153  -0.768 -0.304  -0.724 -0.454  -0.680 -0.603  -0.578 -0.710  -0.449 -0.798  -0.321 -0.886  -0.175 -0.918  -0.019 -0.918  0.137 -0.918  0.293 -0.918  0.448 -0.918
3#apb#apb35#app3578/T  0.112 0.992  0.112 0.952  0.072 0.824  0.038 0.695  -0.002 0.567  -0.051 0.442  -0.091 0.314  -0.144 0.193  -0.215 0.079  -0.288 0.077  -0.274 0.209  -0.233 0.337  -0.189 0.463  -0.128 0.583  -0.066 0.702  -0.006 0.821  0.054 0.941  0.122 1.056  0.197 1.167  0.302 1.245  0.430 1.218  0.521 1.122  0.549 0.996  0.559 0.863  0.575 0.730  0.579 0.596  0.575 0.462  0.568 0.328  0.555 0.195  0.541 0.062  0.512 -0.069  0.484 -0.200  0.442 -0.328  0.397 -0.454  0.345 -0.577  0.285 -0.697  0.220 -0.813  0.127 -0.910  0.034 -1.007  -0.072 -1.087  -0.182 -1.165  -0.302 -1.222  -0.426 -1.273  -0.554 -1.314  -0.684 -1.346  -0.815 -1.371  -0.949 -1.375  -1.083 -1.378  -1.212 -1.341  -1.340 -1.304
3#apb#apb35#app3578/h  -1.274 -1.427  -1.154 -1.249  -1.007 -1.091  -0.861 -0.933  -0.728 -0.764  -0.588 -0.600  -0.445 -0.438  -0.312 -0.269  -0.194 -0.089  -0.075 0.091  0.038 0.274  0.141 0.463  0.245 0.652  0.349 0.841  0.453 1.030  0.557 1.218  0.660 1.407  0.764 1.596  0.750 1.698  0.577 1.570  0.436 1.413  0.327 1.227  0.219 1.041  0.124 0.848  0.046 0.647  -0.027 0.444  -0.097 0.240  -0.163 0.035  -0.231 -0.169  -0.311 -0.369  -0.397 -0.567  -0.490 -0.761  -0.586 -0.954  -0.679 -1.145  -0.608 -0.957  -0.502 -0.769  -0.390 -0.585  -0.269 -0.407  -0.145 -0.231  0.003 -0.074  0.158 0.074  0.333 0.200  0.537 0.266  0.696 0.133  0.762 -0.071  0.759 -0.284  0.707 -0.493  0.643 -0.698  0.600 -0.909  0.648 -1.106
3#apb#apb35#app3578/o  0.161 0.971  0.069 0.833  -0.051 0.678  -0.171 0.524  -0.299 0.376  -0.430 0.231  -0.568 0.093  -0.699 -0.051  -0.806 -0.216  -0.902 -0.385  -0.977 -0.565  -1.053 -0.746  -1.122 -0.927  -1.122 -1.122  -1.122 -1.318  -0.954 -1.391  -0.759 -1.391  -0.574 -1.329  -0.395 -1.253  -0.232 -1.145  -0.076 -1.027  0.073 -0.901  0.183 -0.740  0.289 -0.576  0.389 -0.407  0.485 -0.238  0.558 -0.056  0.629 0.126  0.688 0.312  0.743 0.500  0.771 0.692  0.712 0.875  0.668 1.052  0.663 1.231  0.561 1.361  0.367 1.343  0.234 1.210  0.124 1.050  0.014 0.890  -0.054 0.707  -0.097 0.517  -0.111 0.323  -0.059 0.137  0.046 -0.028  0.228 -0.093  0.418 -0.114  0.611 -0.088  0.801 -0.046  0.983 0.025  1.165 0.097
3#apb#apb35#app3578/r  -1.503 -1.304  -1.410 -1.222  -1.321 -1.138  -1.263 -1.028  -1.206 -0.919  -1.149 -0.810  -1.083 -0.707  -0.996 -0.620  -0.908 -0.532  -0.821 -0.445  -0.734 -0.358  -0.647 -0.271  -0.559 -0.183  -0.472 -0.096  -0.385 -0.009  -0.298 0.079  -0.228 0.180  -0.158 0.282  -0.088 0.384  -0.019 0.486  0.051 0.587  0.121 0.689  0.201 0.783  0.284 0.875  0.366 0.967  0.448 1.058  0.549 1.127  0.607 1.217  0.586 1.126  0.527 1.018  0.469 0.911  0.469 0.788  0.493 0.667  0.515 0.546  0.534 0.426  0.628 0.347  0.743 0.308  0.831 0.238  0.879 0.128  0.849 0.009  0.782 -0.090  0.700 -0.182  0.632 -0.284  0.574 -0.393  0.515 -0.502  0.442 -0.600  0.369 -0.699  0.357 -0.822  0.356 -0.945  0.370 -1.067
3#apb#apb35#app3578/n  0.008 1.106  -0.082 1.071  -0.157 0.937  -0.234 0.803  -0.316 0.672  -0.398 0.541  -0.479 0.410  -0.545 0.271  -0.609 0.130  -0.674 -0.010  -0.738 -0.150  -0.801 -0.291  -0.865 -0.431  -0.929 -0.572  -0.992 -0.713  -1.044 -0.858  -1.093 -1.003  -1.140 -1.133  -1.012 -1.064  -0.908 -0.953  -0.828 -0.821  -0.747 -0.689  -0.660 -0.562  -0.573 -0.434  -0.486 -0.307  -0.382 -0.193  -0.278 -0.079  -0.174 0.035  -0.069 0.148  0.038 0.259  0.144 0.371  0.251 0.483  0.373 0.576  0.500 0.664  0.626 0.753  0.762 0.826  0.903 0.883  1.026 0.833  1.073 0.686  1.065 0.536  1.039 0.384  1.017 0.231  0.996 0.078  0.958 -0.072  0.929 -0.222  0.948 -0.375  0.986 -0.521  1.069 -0.651  1.188 -0.747  1.315 -0.835
