1d#ced#bngm-227_s_i5/:  0.440 -0.709  0.370 -0.659  0.296 -0.704  0.232 -0.768  0.191 -0.843  0.191 -0.935  0.191 -1.026  0.191 -1.118  0.228 -1.194  0.241 -1.280  0.252 -1.367  0.284 -1.371  0.266 -1.281  0.247 -1.192  0.229 -1.102  0.211 -1.012  0.192 -0.923  0.174 -0.833  0.156 -0.743  0.137 -0.654  0.119 -0.564  0.101 -0.474  0.083 -0.385  0.064 -0.295  0.046 -0.205  0.028 -0.116  0.009 -0.026  -0.009 0.064  -0.027 0.153  -0.046 0.243  -0.064 0.333  -0.082 0.422  -0.100 0.512  -0.119 0.602  -0.137 0.691  -0.155 0.781  -0.174 0.871  -0.192 0.960  -0.207 1.050  -0.211 1.141  -0.252 1.223  -0.293 1.305  -0.349 1.375  -0.356 1.464  -0.408 1.534  -0.456 1.558  -0.456 1.467  -0.415 1.392  -0.356 1.354  -0.307 1.283
1d#ced#bngm-227_s_i5/=  -0.491 -0.756  -0.563 -0.778  -0.681 -0.756  -0.792 -0.797  -0.662 -0.777  -0.540 -0.806  -0.395 -0.829  -0.250 -0.856  -0.099 -0.856  0.052 -0.856  0.204 -0.856  0.355 -0.856  0.506 -0.856  0.657 -0.856  0.808 -0.856  0.945 -0.822  1.090 -0.806  1.218 -0.762  1.194 -0.748  1.080 -0.650  0.965 -0.551  0.851 -0.452  0.736 -0.354  0.622 -0.255  0.507 -0.157  0.392 -0.058  0.278 0.041  0.163 0.139  0.049 0.238  -0.066 0.337  -0.180 0.435  -0.295 0.534  -0.409 0.632  -0.524 0.731  -0.632 0.837  -0.760 0.914  -0.877 0.996  -1.003 1.057  -1.042 1.092  -0.946 1.047  -0.802 1.000  -0.651 0.996  -0.510 0.956  -0.364 0.933  -0.222 0.896  -0.071 0.896  0.069 0.846  0.214 0.819  0.359 0.796  0.510 0.796
1d#ced#bngm-227_s_i5/(  0.034 1.108  0.098 1.141  0.114 1.205  0.163 1.235  0.196 1.216  0.228 1.217  0.228 1.232  0.228 1.246  0.173 1.270  0.114 1.221  0.081 1.156  0.055 1.086  0.020 1.015  -0.026 0.952  -0.063 0.888  -0.066 0.810  -0.091 0.735  -0.116 0.660  -0.138 0.584  -0.157 0.507  -0.161 0.429  -0.161 0.350  -0.161 0.270  -0.179 0.194  -0.193 0.116  -0.193 0.037  -0.193 -0.042  -0.193 -0.121  -0.193 -0.200  -0.188 -0.278  -0.172 -0.356  -0.161 -0.434  -0.161 -0.513  -0.151 -0.591  -0.136 -0.668  -0.118 -0.745  -0.099 -0.822  -0.067 -0.894  -0.031 -0.964  -0.016 -1.042  -0.000 -1.119  0.033 -1.191  0.069 -1.261  0.113 -1.327  0.157 -1.393  0.201 -1.458  0.245 -1.524  0.296 -1.584  0.346 -1.644  0.390 -1.710
1d#ced#bngm-227_s_i5/*  -0.339 1.016  -0.661 1.065  -0.937 0.935  -0.844 0.792  -0.581 0.578  -0.321 0.357  -0.110 0.090  0.128 -0.153  0.354 -0.405  0.597 -0.648  0.826 -0.901  1.042 -1.166  0.943 -1.275  0.601 -1.288  0.258 -1.302  -0.084 -1.315  -0.413 -1.254  -0.713 -1.136  -0.554 -0.997  -0.279 -0.800  -0.053 -0.548  0.132 -0.262  0.375 -0.019  0.568 0.263  0.743 0.549  0.861 0.855  0.724 1.169  0.586 1.483  0.368 1.577  0.089 1.434  -0.021 1.117  0.071 0.807  0.137 0.473  0.232 0.144  0.336 -0.182  0.443 -0.508  0.494 -0.843  0.327 -0.791  0.040 -0.604  -0.247 -0.416  -0.534 -0.229  -0.834 -0.091  -1.117 0.095  -1.328 0.287  -1.060 0.253  -0.727 0.304  -0.389 0.336  -0.053 0.385  0.290 0.385  0.633 0.385
1d#ced#bngm-227_s_i5/)  -0.640 1.257  -0.699 1.290  -0.765 1.306  -0.813 1.267  -0.786 1.207  -0.728 1.172  -0.677 1.121  -0.615 1.084  -0.564 1.033  -0.504 0.993  -0.460 0.937  -0.418 0.878  -0.374 0.820  -0.324 0.768  -0.277 0.714  -0.233 0.656  -0.198 0.593  -0.164 0.529  -0.127 0.467  -0.090 0.405  -0.053 0.343  -0.014 0.282  0.029 0.224  0.067 0.163  0.099 0.098  0.130 0.033  0.157 -0.034  0.188 -0.099  0.225 -0.161  0.256 -0.226  0.279 -0.295  0.302 -0.363  0.325 -0.432  0.348 -0.501  0.375 -0.568  0.398 -0.636  0.412 -0.707  0.425 -0.778  0.437 -0.849  0.452 -0.920  0.468 -0.990  0.468 -1.063  0.481 -1.134  0.492 -1.204  0.492 -1.277  0.492 -1.349  0.479 -1.419  0.456 -1.488  0.420 -1.549  0.369 -1.600
1d#ced#bngm-227_s_i5/  -0.576 0.023  -0.654 0.062  -0.727 0.067  -0.789 0.041  -0.857 0.088  -0.944 0.088  -1.032 0.088  -1.113 0.072  -1.180 0.023  -1.267 0.023  -1.355 0.023  -1.342 -0.056  -1.276 -0.107  -1.188 -0.107  -1.101 -0.107  -1.015 -0.099  -0.937 -0.060  -0.854 -0.042  -0.766 -0.042  -0.679 -0.042  -0.591 -0.042  -0.504 -0.039  -0.421 -0.012  -0.338 0.016  -0.252 0.023  -0.164 0.023  -0.077 0.023  0.011 0.023  0.098 0.023  0.186 0.023  0.273 0.023  0.361 0.023  0.445 0.008  0.528 -0.020  0.612 -0.037  0.697 -0.016  0.782 0.005  0.867 0.023  0.954 0.023  1.042 0.023  1.129 0.023  1.217 0.023  1.304 0.023  1.388 -0.003  1.470 -0.030  1.556 -0.042  1.644 -0.042  1.729 -0.032  1.812 -0.004  1.895 0.023
1d#ced#bngm-227_s_i5/'  0.126 0.267  0.091 0.367  0.061 0.338  0.115 0.397  0.088 0.462  0.061 0.549  0.065 0.661  0.126 0.750  0.134 0.844  0.191 0.820  0.249 0.910  0.321 0.956  0.386 1.004  0.379 1.112  0.360 1.073  0.331 1.101  0.345 1.023  0.441 0.982  0.488 1.010  0.389 1.047  0.354 0.950  0.319 0.851  0.256 0.763  0.256 0.650  0.216 0.552  0.136 0.472  0.126 0.362  0.126 0.249  0.125 0.135  0.074 0.033  0.023 -0.068  -0.021 -0.173  -0.057 -0.281  -0.103 -0.384  -0.148 -0.488  -0.184 -0.596  -0.220 -0.704  -0.256 -0.812  -0.264 -0.924  -0.267 -1.037  -0.317 -1.139  -0.368 -1.241  -0.419 -1.342  -0.459 -1.447  -0.511 -1.539  -0.567 -1.637  -0.589 -1.746  -0.669 -1.796  -0.688 -1.716  -0.654 -1.616
1d#ced#bngm-227_s_i5/\"  -0.689 0.343  -0.622 0.445  -0.620 0.479  -0.556 0.620  -0.556 0.789  -0.556 0.664  -0.556 0.495  -0.622 0.355  -0.686 0.213  -0.711 0.055  -0.756 -0.094  -0.818 -0.248  -0.889 -0.387  -0.956 -0.528  -0.984 -0.684  -1.089 -0.809  -1.089 -0.977  -1.089 -1.101  -1.032 -1.123  -0.903 -1.019  -0.776 -0.909  -0.650 -0.798  -0.523 -0.688  -0.396 -0.577  -0.269 -0.467  -0.142 -0.357  -0.015 -0.246  0.111 -0.136  0.238 -0.025  0.365 0.085  0.492 0.196  0.619 0.306  0.745 0.417  0.872 0.527  0.999 0.637  1.129 0.714  1.178 0.871  1.178 1.039  1.114 1.010  1.044 0.873  0.978 0.732  0.978 0.564  0.912 0.411  0.896 0.247  0.844 0.091  0.817 -0.073  0.778 -0.234  0.778 -0.403  0.778 -0.571  0.711 -0.723
1d#ced#bngm-227_s_i5/=  0.004 -0.779  -0.050 -0.876  -0.158 -0.950  -0.212 -1.046  -0.306 -0.995  -0.319 -0.934  -0.284 -0.906  -0.164 -0.941  -0.014 -0.941  0.137 -0.941  0.287 -0.941  0.421 -0.981  0.553 -0.941  0.703 -0.941  0.842 -0.911  0.982 -0.887  1.110 -0.833  1.083 -0.731  0.973 -0.629  0.862 -0.527  0.752 -0.425  0.641 -0.323  0.531 -0.221  0.420 -0.119  0.310 -0.017  0.199 0.085  0.089 0.187  -0.022 0.289  -0.132 0.391  -0.243 0.493  -0.373 0.568  -0.479 0.674  -0.617 0.704  -0.730 0.800  -0.852 0.885  -0.978 0.945  -1.128 0.946  -1.160 0.945  -1.010 0.945  -0.875 0.908  -0.745 0.942  -0.607 0.891  -0.456 0.891  -0.306 0.891  -0.155 0.891  -0.005 0.891  0.145 0.891  0.296 0.891  0.446 0.891  0.597 0.891
1d#ced#bngm-227_s_i5/\"  -0.511 1.081  -0.511 1.100  -0.511 1.043  -0.511 0.877  -0.512 0.712  -0.584 0.563  -0.584 0.397  -0.603 0.236  -0.657 0.083  -0.686 -0.076  -0.730 -0.231  -0.730 -0.397  -0.777 -0.551  -0.804 -0.711  -0.804 -0.876  -0.804 -1.042  -0.804 -1.208  -0.804 -1.373  -0.718 -1.465  -0.628 -1.326  -0.538 -1.187  -0.448 -1.048  -0.357 -0.909  -0.267 -0.769  -0.177 -0.630  -0.087 -0.491  0.003 -0.352  0.093 -0.213  0.183 -0.074  0.273 0.065  0.363 0.204  0.453 0.343  0.543 0.482  0.633 0.622  0.723 0.761  0.813 0.900  0.909 1.034  0.929 1.154  0.809 1.109  0.809 0.943  0.736 0.808  0.692 0.685  0.736 0.537  0.736 0.371  0.736 0.206  0.742 0.042  0.809 -0.108  0.809 -0.274  0.809 -0.440  0.809 -0.605
1d#ced#bngm-227_s_i5/;  -0.401 1.273  -0.401 1.364  -0.401 1.376  -0.348 1.444  -0.323 1.446  -0.272 1.430  -0.220 1.390  -0.180 1.325  -0.144 1.250  -0.128 1.166  -0.086 1.115  -0.081 1.025  -0.076 0.935  -0.071 0.844  -0.065 0.754  -0.060 0.664  -0.055 0.574  -0.050 0.483  -0.045 0.393  -0.040 0.303  -0.035 0.213  -0.029 0.122  -0.024 0.032  -0.019 -0.058  -0.014 -0.148  -0.028 -0.231  -0.077 -0.306  -0.128 -0.305  -0.128 -0.215  -0.042 -0.206  -0.004 -0.213  0.069 -0.253  0.107 -0.328  0.147 -0.409  0.185 -0.490  0.197 -0.576  0.224 -0.655  0.235 -0.743  0.264 -0.826  0.264 -0.917  0.264 -1.007  0.264 -1.098  0.264 -1.188  0.264 -1.278  0.264 -1.369  0.264 -1.459  0.243 -1.545  0.202 -1.625  0.148 -1.696  0.107 -1.777
