3#apb#apb38#app3854/.  0.132 0.319  0.265 0.452  0.398 0.586  0.302 0.719  0.169 0.852  0.132 1.025  0.132 1.135  0.132 0.947  0.132 0.758  0.132 0.570  0.132 0.382  0.006 0.319  -0.183 0.319  -0.371 0.319  -0.560 0.319  -0.748 0.319  -0.936 0.319  -1.009 0.203  -1.023 0.048  -1.156 0.181  -1.289 0.314  -1.294 0.138  -1.234 0.094  -1.101 0.227  -0.950 0.319  -0.762 0.319  -0.573 0.319  -0.385 0.319  -0.196 0.319  -0.008 0.319  0.180 0.319  0.369 0.319  0.557 0.319  0.746 0.319  0.934 0.319  0.954 0.188  0.908 0.005  0.863 -0.178  0.817 -0.361  0.771 -0.544  0.726 -0.727  0.652 -0.897  0.547 -1.054  0.443 -1.210  0.338 -1.367  0.233 -1.524  0.137 -1.677  0.325 -1.677  0.513 -1.677  0.702 -1.677
3#apb#apb38#app3854/,  -0.174 1.357  -0.161 1.329  -0.120 1.389  -0.080 1.450  -0.015 1.440  0.036 1.389  0.076 1.331  0.097 1.262  0.117 1.192  0.138 1.123  0.159 1.053  0.180 0.984  0.201 0.914  0.210 0.844  0.203 0.771  0.196 0.699  0.188 0.627  0.181 0.555  0.174 0.483  0.167 0.411  0.158 0.339  0.148 0.267  0.139 0.195  0.129 0.123  0.119 0.051  0.110 -0.021  0.100 -0.093  0.091 -0.165  0.081 -0.237  0.072 -0.308  0.055 -0.379  0.036 -0.449  0.016 -0.519  -0.004 -0.588  -0.024 -0.658  -0.044 -0.728  -0.064 -0.797  -0.084 -0.867  -0.104 -0.937  -0.124 -1.007  -0.148 -1.075  -0.172 -1.143  -0.197 -1.212  -0.221 -1.280  -0.245 -1.348  -0.270 -1.417  -0.294 -1.485  -0.319 -1.553  -0.343 -1.622  -0.367 -1.690
3#apb#apb38#app3854/;  -0.289 1.335  -0.274 1.412  -0.258 1.428  -0.262 1.441  -0.324 1.393  -0.369 1.328  -0.405 1.257  -0.441 1.185  -0.467 1.110  -0.485 1.032  -0.501 0.954  -0.451 0.904  -0.383 0.863  -0.331 0.807  -0.294 0.736  -0.256 0.665  -0.219 0.595  -0.182 0.524  -0.145 0.453  -0.107 0.383  -0.070 0.312  -0.033 0.242  0.004 0.171  0.042 0.100  0.079 0.030  0.116 -0.041  0.154 -0.111  0.191 -0.182  0.228 -0.253  0.299 -0.239  0.325 -0.284  0.340 -0.360  0.369 -0.435  0.399 -0.509  0.429 -0.583  0.438 -0.658  0.413 -0.733  0.387 -0.809  0.361 -0.884  0.334 -0.960  0.308 -1.035  0.281 -1.110  0.255 -1.186  0.228 -1.261  0.201 -1.336  0.158 -1.404  0.116 -1.471  0.073 -1.538  0.030 -1.606  -0.013 -1.673
3#apb#apb38#app3854/:  -0.057 1.174  -0.091 1.243  -0.126 1.311  -0.160 1.380  -0.216 1.387  -0.171 1.343  -0.219 1.387  -0.195 1.314  -0.171 1.242  -0.211 1.184  -0.208 1.113  -0.191 1.038  -0.175 0.964  -0.158 0.889  -0.142 0.814  -0.126 0.739  -0.109 0.664  -0.093 0.590  -0.076 0.515  -0.060 0.440  -0.043 0.365  -0.027 0.290  -0.011 0.216  0.006 0.141  0.022 0.066  0.039 -0.009  0.055 -0.084  0.072 -0.158  0.088 -0.233  0.104 -0.308  0.121 -0.383  0.137 -0.458  0.154 -0.532  0.170 -0.607  0.186 -0.682  0.203 -0.757  0.219 -0.832  0.236 -0.906  0.252 -0.981  0.269 -1.056  0.211 -1.095  0.161 -1.141  0.161 -1.218  0.156 -1.293  0.113 -1.357  0.071 -1.420  0.026 -1.483  -0.020 -1.544  -0.066 -1.605  -0.112 -1.666
3#apb#apb38#app3854/$  0.791 0.759  0.646 0.713  0.425 0.698  0.192 0.658  -0.042 0.615  -0.275 0.569  -0.497 0.491  -0.651 0.329  -0.598 0.148  -0.411 0.004  -0.228 -0.148  -0.050 -0.304  0.118 -0.472  0.286 -0.640  0.323 -0.862  0.269 -1.088  0.104 -1.255  -0.091 -1.391  -0.310 -1.480  -0.539 -1.518  -0.775 -1.498  -0.705 -1.292  -0.614 -1.073  -0.523 -0.854  -0.432 -0.635  -0.341 -0.416  -0.250 -0.197  -0.159 0.022  -0.068 0.241  0.024 0.460  0.115 0.679  0.206 0.898  0.297 1.117  0.388 1.337  0.479 1.556  0.570 1.775  0.488 1.645  0.381 1.433  0.342 1.199  0.296 0.966  0.241 0.735  0.192 0.503  0.151 0.270  0.110 0.036  0.074 -0.199  0.042 -0.434  0.009 -0.669  0.000 -0.905  0.000 -1.143  0.000 -1.380
3#apb#apb38#app3854/#  -0.377 0.890  -0.245 1.019  -0.360 0.701  -0.518 0.400  -0.666 0.094  -0.768 -0.228  -0.842 -0.559  -0.676 -0.520  -0.398 -0.324  -0.120 -0.128  0.158 0.068  0.436 0.264  0.714 0.460  0.992 0.656  1.270 0.852  1.548 1.048  1.687 1.088  1.519 0.792  1.397 0.475  1.231 0.180  1.070 -0.119  0.962 -0.440  0.692 -0.484  0.356 -0.429  0.021 -0.373  -0.315 -0.317  -0.650 -0.261  -0.986 -0.205  -1.322 -0.149  -1.608 -0.075  -1.363 0.126  -1.025 0.106  -0.688 0.154  -0.350 0.194  -0.012 0.231  0.327 0.251  0.667 0.257  1.007 0.239  0.945 0.151  0.631 0.020  0.317 -0.111  0.003 -0.242  -0.311 -0.372  -0.625 -0.503  -0.939 -0.634  -1.214 -0.770  -0.903 -0.855  -0.562 -0.857  -0.223 -0.873  0.117 -0.888
3#apb#apb38#app3854/&  0.379 -0.797  0.307 -0.617  0.217 -0.443  0.200 -0.250  0.156 -0.066  0.104 0.117  0.022 0.288  0.016 0.485  -0.033 0.672  -0.029 0.822  -0.083 0.995  -0.014 1.106  0.049 1.255  0.188 1.355  0.356 1.404  0.539 1.476  0.718 1.424  0.824 1.264  0.816 1.067  0.796 0.871  0.772 0.675  0.744 0.479  0.644 0.311  0.523 0.155  0.332 0.110  0.140 0.063  -0.053 0.025  -0.243 -0.032  -0.438 -0.046  -0.636 -0.051  -0.833 -0.068  -1.023 -0.114  -1.215 -0.137  -1.284 -0.310  -1.225 -0.490  -1.116 -0.654  -1.046 -0.838  -0.941 -1.004  -0.783 -1.122  -0.598 -1.159  -0.400 -1.159  -0.206 -1.140  -0.018 -1.078  0.141 -0.961  0.289 -0.831  0.390 -0.663  0.462 -0.482  0.520 -0.552  0.694 -0.644  0.880 -0.714
3#apb#apb38#app3854/!  0.063 1.487  0.066 1.559  0.126 1.590  0.131 1.523  0.131 1.450  0.121 1.378  0.104 1.307  0.086 1.236  0.068 1.165  0.051 1.095  0.033 1.024  0.016 0.953  -0.000 0.882  -0.017 0.810  -0.033 0.739  -0.050 0.668  -0.066 0.597  -0.078 0.525  -0.086 0.453  -0.095 0.380  -0.103 0.308  -0.112 0.235  -0.125 0.163  -0.138 0.092  -0.151 0.020  -0.164 -0.052  -0.177 -0.124  -0.177 -0.197  -0.177 -0.270  -0.177 -0.343  -0.177 -0.416  -0.177 -0.489  -0.177 -0.562  -0.177 -0.635  -0.155 -0.698  -0.103 -0.750  -0.052 -0.802  -0.017 -0.865  0.013 -0.931  0.044 -0.998  0.074 -1.064  0.104 -1.130  0.134 -1.197  0.164 -1.263  0.195 -1.330  0.225 -1.396  0.255 -1.463  0.285 -1.529  0.273 -1.568  0.200 -1.568
3#apb#apb38#app3854/?  -0.654 0.735  -0.637 0.816  -0.596 0.887  -0.542 0.952  -0.489 1.016  -0.416 1.055  -0.339 1.088  -0.263 1.122  -0.191 1.165  -0.119 1.200  -0.045 1.163  0.030 1.126  0.112 1.116  0.179 1.090  0.217 1.015  0.254 0.941  0.263 0.857  0.273 0.774  0.282 0.691  0.284 0.608  0.284 0.524  0.284 0.440  0.284 0.357  0.253 0.279  0.222 0.201  0.191 0.123  0.162 0.045  0.139 -0.035  0.116 -0.116  0.087 -0.194  0.056 -0.272  0.031 -0.352  0.008 -0.432  -0.005 -0.513  0.015 -0.594  0.035 -0.675  0.048 -0.757  0.043 -0.841  0.038 -0.924  0.033 -1.008  0.028 -1.091  0.024 -1.175  0.019 -1.258  0.014 -1.342  0.009 -1.426  0.005 -1.509  -0.000 -1.593  -0.005 -1.676  -0.010 -1.760  -0.010 -1.843
3#apb#apb38#app3854/  0.734 1.174  0.734 1.245  0.734 1.316  0.734 1.333  0.734 1.262  0.717 1.197  0.676 1.139  0.635 1.081  0.594 1.024  0.553 0.966  0.511 0.908  0.474 0.848  0.437 0.787  0.401 0.726  0.364 0.666  0.328 0.605  0.291 0.544  0.255 0.483  0.219 0.422  0.185 0.360  0.151 0.297  0.118 0.235  0.084 0.172  0.051 0.110  0.017 0.047  -0.017 -0.015  -0.050 -0.078  -0.084 -0.140  -0.119 -0.202  -0.156 -0.262  -0.193 -0.322  -0.231 -0.383  -0.268 -0.443  -0.305 -0.504  -0.342 -0.564  -0.379 -0.624  -0.416 -0.685  -0.454 -0.745  -0.487 -0.808  -0.515 -0.873  -0.544 -0.938  -0.572 -1.003  -0.601 -1.067  -0.629 -1.132  -0.657 -1.197  -0.686 -1.262  -0.714 -1.327  -0.743 -1.392  -0.771 -1.457  -0.800 -1.522
3#apb#apb38#app3854/'  0.698 0.604  0.698 0.684  0.698 0.763  0.698 0.843  0.698 0.922  0.673 0.994  0.629 1.060  0.585 1.127  0.541 1.193  0.478 1.223  0.432 1.188  0.421 1.112  0.385 1.040  0.350 0.969  0.318 0.897  0.287 0.824  0.255 0.750  0.224 0.677  0.193 0.604  0.161 0.531  0.130 0.458  0.099 0.385  0.067 0.312  0.035 0.239  0.002 0.167  -0.030 0.094  -0.062 0.022  -0.094 -0.051  -0.127 -0.124  -0.159 -0.196  -0.191 -0.269  -0.224 -0.342  -0.256 -0.414  -0.290 -0.486  -0.325 -0.557  -0.361 -0.629  -0.396 -0.700  -0.432 -0.771  -0.467 -0.842  -0.503 -0.913  -0.538 -0.984  -0.549 -1.063  -0.559 -1.142  -0.569 -1.220  -0.579 -1.299  -0.589 -1.378  -0.599 -1.457  -0.608 -1.536  -0.618 -1.615  -0.628 -1.694
