2#apa#apa00#app0022/O  0.212 0.518  0.317 0.563  0.409 0.623  0.423 0.761  0.423 0.912  0.423 1.064  0.360 1.152  0.208 1.152  0.062 1.130  -0.073 1.062  -0.187 0.964  -0.294 0.857  -0.401 0.750  -0.477 0.620  -0.545 0.484  -0.612 0.349  -0.707 0.233  -0.739 0.095  -0.760 -0.052  -0.828 -0.187  -0.845 -0.335  -0.845 -0.486  -0.845 -0.637  -0.833 -0.787  -0.785 -0.931  -0.739 -1.075  -0.702 -1.211  -0.578 -1.279  -0.427 -1.279  -0.276 -1.279  -0.124 -1.279  0.019 -1.260  0.135 -1.173  0.265 -1.120  0.352 -0.999  0.419 -0.863  0.524 -0.755  0.575 -0.612  0.623 -0.469  0.634 -0.319  0.634 -0.168  0.634 -0.016  0.634 0.135  0.634 0.287  0.634 0.438  0.634 0.590  0.634 0.741  0.634 0.893  0.634 1.044  0.529 1.152
2#apa#apa00#app0022/N  -0.177 1.054  -0.177 0.861  -0.261 0.689  -0.375 0.541  -0.375 0.348  -0.450 0.186  -0.474 0.004  -0.474 -0.189  -0.474 -0.382  -0.474 -0.574  -0.571 -0.727  -0.573 -0.919  -0.573 -1.111  -0.573 -1.304  -0.573 -1.497  -0.666 -1.453  -0.648 -1.261  -0.631 -1.069  -0.614 -0.877  -0.596 -0.686  -0.579 -0.494  -0.561 -0.302  -0.544 -0.110  -0.526 0.082  -0.509 0.274  -0.491 0.466  -0.474 0.657  -0.474 0.850  -0.386 0.955  -0.375 0.774  -0.276 0.622  -0.184 0.467  -0.118 0.302  0.018 0.166  0.154 0.030  0.290 -0.107  0.430 -0.234  0.592 -0.309  0.775 -0.333  0.967 -0.333  1.111 -0.284  1.210 -0.190  1.210 0.003  1.210 0.195  1.210 0.388  1.210 0.581  1.210 0.773  1.210 0.966  1.210 1.159  1.210 1.351
2#apa#apa00#app0022/T  0.204 0.949  0.310 0.842  0.313 0.693  0.313 0.542  0.313 0.391  0.313 0.240  0.313 0.090  0.313 -0.061  0.313 -0.212  0.313 -0.363  0.347 -0.499  0.442 -0.614  0.509 -0.749  0.530 -0.895  0.530 -1.046  0.530 -1.196  0.616 -1.311  0.639 -1.453  0.606 -1.511  0.512 -1.394  0.418 -1.276  0.324 -1.158  0.230 -1.041  0.136 -0.923  0.042 -0.805  -0.053 -0.688  -0.147 -0.570  -0.241 -0.452  -0.335 -0.334  -0.429 -0.217  -0.523 -0.099  -0.618 0.019  -0.712 0.136  -0.806 0.254  -0.900 0.372  -0.994 0.489  -1.088 0.607  -1.008 0.715  -0.878 0.789  -0.739 0.840  -0.611 0.895  -0.483 0.949  -0.335 0.954  -0.227 1.059  -0.081 1.095  0.066 1.132  0.212 1.166  0.363 1.166  0.504 1.208  0.639 1.275
2#apa#apa00#app0022/H  -0.936 1.260  -0.825 1.128  -0.825 0.885  -0.825 0.641  -0.764 0.423  -0.714 0.201  -0.677 -0.033  -0.604 -0.259  -0.604 -0.502  -0.604 -0.745  -0.604 -0.989  -0.604 -1.232  -0.574 -1.329  -0.478 -1.106  -0.382 -0.882  -0.287 -0.659  -0.191 -0.436  -0.095 -0.212  0.001 0.011  0.097 0.235  0.192 0.458  0.288 0.682  0.384 0.905  0.480 1.129  0.575 1.352  0.671 1.576  0.726 1.599  0.637 1.392  0.615 1.158  0.615 0.915  0.615 0.672  0.615 0.429  0.675 0.195  0.726 -0.039  0.726 -0.283  0.735 -0.522  0.837 -0.723  0.837 -0.966  0.810 -1.161  0.602 -1.033  0.395 -0.906  0.188 -0.779  -0.019 -0.651  -0.226 -0.524  -0.433 -0.396  -0.646 -0.291  -0.604 -0.227  -0.407 -0.180  -0.175 -0.111  0.061 -0.070
2#apa#apa00#app0022/E  -0.362 0.993  -0.235 0.912  -0.349 0.752  -0.362 0.550  -0.464 0.384  -0.489 0.187  -0.489 -0.020  -0.489 -0.228  -0.489 -0.435  -0.489 -0.643  -0.440 -0.830  -0.362 -1.005  -0.362 -1.213  -0.357 -1.415  -0.235 -1.330  -0.069 -1.289  0.138 -1.289  0.293 -1.162  0.501 -1.162  0.656 -1.035  0.863 -1.035  0.999 -1.016  0.820 -0.911  0.641 -0.806  0.461 -0.702  0.282 -0.597  0.103 -0.493  -0.076 -0.388  -0.256 -0.284  -0.435 -0.179  -0.386 -0.045  -0.207 0.057  -0.011 0.106  0.177 0.185  0.374 0.233  0.252 0.342  0.086 0.467  -0.080 0.591  -0.246 0.716  -0.412 0.840  -0.578 0.965  -0.489 1.026  -0.375 1.120  -0.174 1.150  0.011 1.243  0.216 1.264  0.417 1.315  0.618 1.365  0.825 1.373  1.032 1.373
2#apa#apa00#app0022/V  -0.685 1.517  -0.685 1.400  -0.685 1.282  -0.685 1.164  -0.685 1.046  -0.685 0.929  -0.685 0.811  -0.685 0.693  -0.685 0.575  -0.685 0.457  -0.685 0.340  -0.685 0.222  -0.663 0.109  -0.610 0.004  -0.561 -0.102  -0.561 -0.220  -0.561 -0.338  -0.480 -0.422  -0.437 -0.522  -0.437 -0.640  -0.405 -0.745  -0.322 -0.828  -0.314 -0.942  -0.243 -1.031  -0.160 -1.114  -0.077 -1.197  0.037 -1.208  0.154 -1.208  0.182 -1.118  0.242 -1.025  0.318 -0.937  0.371 -0.831  0.423 -0.726  0.430 -0.610  0.473 -0.502  0.526 -0.397  0.554 -0.285  0.576 -0.173  0.628 -0.068  0.679 0.039  0.702 0.154  0.725 0.270  0.748 0.385  0.772 0.501  0.795 0.616  0.839 0.724  0.891 0.830  0.944 0.935  0.997 1.040  1.049 1.146
2#apa#apa00#app0022/E  -0.580 1.580  -0.580 1.372  -0.580 1.163  -0.580 0.955  -0.580 0.747  -0.580 0.539  -0.580 0.330  -0.580 0.122  -0.580 -0.086  -0.462 -0.246  -0.448 -0.449  -0.446 -0.656  -0.317 -0.811  -0.317 -1.019  -0.365 -1.179  -0.323 -1.179  -0.115 -1.179  0.089 -1.168  0.248 -1.048  0.456 -1.048  0.664 -1.048  0.832 -0.950  1.026 -0.916  1.032 -0.871  0.843 -0.783  0.655 -0.695  0.466 -0.607  0.277 -0.519  0.088 -0.431  -0.100 -0.343  -0.289 -0.255  -0.478 -0.167  -0.667 -0.079  -0.828 0.003  -0.646 0.068  -0.466 0.135  -0.275 0.177  -0.103 0.266  0.105 0.266  0.313 0.266  0.521 0.266  0.730 0.266  0.670 0.460  0.604 0.657  0.538 0.855  0.472 1.052  0.406 1.250  0.341 1.448  0.275 1.645  0.209 1.843
2#apa#apa00#app0022/L  -0.156 1.756  -0.156 1.653  -0.254 1.648  -0.265 1.555  -0.265 1.452  -0.323 1.373  -0.373 1.290  -0.373 1.187  -0.373 1.084  -0.373 0.981  -0.373 0.878  -0.373 0.774  -0.373 0.671  -0.373 0.568  -0.373 0.465  -0.373 0.362  -0.373 0.259  -0.373 0.155  -0.373 0.052  -0.373 -0.051  -0.373 -0.154  -0.373 -0.257  -0.373 -0.360  -0.373 -0.464  -0.373 -0.567  -0.373 -0.670  -0.373 -0.773  -0.373 -0.876  -0.373 -0.927  -0.373 -0.823  -0.357 -0.736  -0.265 -0.726  -0.259 -0.628  -0.156 -0.628  -0.053 -0.628  0.050 -0.628  0.153 -0.628  0.257 -0.628  0.360 -0.628  0.463 -0.628  0.566 -0.628  0.669 -0.628  0.772 -0.628  0.876 -0.628  0.973 -0.605  1.066 -0.559  1.159 -0.520  1.263 -0.520  1.366 -0.520  1.469 -0.520
2#apa#apa00#app0022/V  -0.946 1.247  -0.817 1.246  -0.726 1.155  -0.688 1.041  -0.688 0.912  -0.634 0.805  -0.559 0.707  -0.559 0.577  -0.548 0.450  -0.490 0.335  -0.433 0.219  -0.430 0.090  -0.430 -0.039  -0.430 -0.168  -0.342 -0.261  -0.301 -0.374  -0.301 -0.503  -0.301 -0.632  -0.301 -0.762  -0.301 -0.891  -0.250 -0.999  -0.172 -1.096  -0.172 -1.226  -0.172 -1.355  -0.172 -1.445  -0.158 -1.321  -0.066 -1.230  -0.043 -1.110  0.026 -1.009  0.117 -0.918  0.208 -0.826  0.216 -0.700  0.269 -0.583  0.327 -0.467  0.385 -0.352  0.443 -0.236  0.474 -0.114  0.474 0.015  0.493 0.142  0.534 0.264  0.575 0.387  0.616 0.510  0.656 0.633  0.697 0.755  0.738 0.878  0.779 1.001  0.820 1.123  0.861 1.246  0.861 1.376  0.861 1.505
2#apa#apa00#app0022/E  -0.414 1.243  -0.490 1.052  -0.643 0.893  -0.643 0.671  -0.643 0.449  -0.643 0.227  -0.643 0.005  -0.643 -0.217  -0.643 -0.439  -0.643 -0.661  -0.643 -0.883  -0.603 -1.088  -0.528 -1.280  -0.451 -1.315  -0.260 -1.239  -0.070 -1.163  0.105 -1.048  0.327 -1.048  0.549 -1.048  0.759 -1.021  0.946 -0.934  1.168 -0.934  1.014 -0.840  0.818 -0.735  0.622 -0.631  0.426 -0.526  0.230 -0.422  0.034 -0.317  -0.162 -0.213  -0.358 -0.108  -0.500 -0.017  -0.278 -0.017  -0.069 0.040  0.139 0.097  0.361 0.097  0.583 0.097  0.710 0.227  0.531 0.358  0.351 0.488  0.171 0.619  -0.008 0.750  -0.188 0.880  -0.367 1.011  -0.506 1.128  -0.288 1.139  -0.109 1.243  0.065 1.357  0.288 1.357  0.510 1.357  0.732 1.357
2#apa#apa00#app0022/T  0.301 1.077  0.301 0.933  0.264 0.805  0.184 0.695  0.184 0.551  0.184 0.408  0.184 0.264  0.196 0.126  0.297 0.024  0.301 -0.118  0.301 -0.261  0.301 -0.405  0.301 -0.548  0.301 -0.692  0.316 -0.831  0.381 -0.960  0.418 -1.094  0.418 -1.238  0.418 -1.381  0.418 -1.525  0.372 -1.622  0.275 -1.553  0.225 -1.419  0.175 -1.285  0.124 -1.150  0.074 -1.016  0.023 -0.882  -0.027 -0.747  -0.077 -0.613  -0.128 -0.479  -0.178 -0.344  -0.228 -0.210  -0.279 -0.076  -0.329 0.059  -0.380 0.193  -0.430 0.328  -0.480 0.462  -0.531 0.596  -0.581 0.731  -0.632 0.865  -0.682 0.999  -0.732 1.134  -0.676 1.194  -0.532 1.194  -0.403 1.253  -0.273 1.311  -0.130 1.311  0.014 1.311  0.157 1.311  0.301 1.311
2#apa#apa00#app0022/Q  -0.181 0.966  -0.270 1.075  -0.448 1.027  -0.587 0.887  -0.727 0.748  -0.837 0.583  -0.947 0.419  -1.055 0.266  -1.055 0.068  -1.055 -0.130  -1.055 -0.327  -1.005 -0.504  -0.942 -0.676  -0.802 -0.816  -0.636 -0.891  -0.438 -0.891  -0.240 -0.891  -0.042 -0.891  0.153 -0.885  0.293 -0.745  0.432 -0.605  0.572 -0.465  0.693 -0.317  0.745 -0.132  0.802 0.052  0.802 0.250  0.802 0.448  0.802 0.646  0.802 0.843  0.720 1.022  0.664 1.184  0.501 1.267  0.455 1.356  0.379 1.173  0.302 0.991  0.226 0.808  0.150 0.626  0.074 0.443  -0.002 0.261  -0.057 0.092  0.037 -0.012  0.037 -0.209  0.147 -0.362  0.147 -0.560  0.147 -0.757  0.256 -0.910  0.256 -1.108  0.256 -1.305  0.365 -1.458  0.365 -1.655
2#apa#apa00#app0022/U  -0.964 1.103  -0.851 1.103  -0.829 1.012  -0.877 0.919  -0.957 0.840  -0.964 0.730  -0.964 0.617  -0.964 0.504  -0.947 0.396  -0.897 0.295  -0.847 0.194  -0.829 0.085  -0.829 -0.027  -0.829 -0.140  -0.824 -0.251  -0.744 -0.330  -0.665 -0.410  -0.585 -0.490  -0.505 -0.569  -0.426 -0.649  -0.325 -0.700  -0.224 -0.750  -0.130 -0.810  -0.050 -0.889  0.050 -0.920  0.162 -0.920  0.275 -0.920  0.388 -0.920  0.501 -0.920  0.519 -0.826  0.591 -0.785  0.654 -0.735  0.654 -0.623  0.658 -0.511  0.738 -0.432  0.789 -0.340  0.789 -0.228  0.789 -0.115  0.789 -0.002  0.789 0.110  0.789 0.223  0.789 0.336  0.789 0.449  0.789 0.561  0.789 0.674  0.789 0.787  0.789 0.899  0.789 1.012  0.789 1.125  0.789 1.237
2#apa#apa00#app0022/I  0.240 1.172  0.365 1.002  0.365 0.781  0.365 0.559  0.365 0.338  0.284 0.136  0.240 -0.075  0.240 -0.296  0.240 -0.518  0.240 -0.739  0.240 -0.960  0.313 -1.151  0.356 -1.307  0.270 -1.103  0.184 -0.899  0.098 -0.695  0.012 -0.491  -0.074 -0.287  -0.160 -0.083  -0.246 0.121  -0.331 0.325  -0.417 0.529  -0.503 0.733  -0.589 0.937  -0.534 1.047  -0.320 1.079  -0.120 1.172  0.101 1.172  0.322 1.172  0.544 1.172  0.765 1.172  0.986 1.172  0.850 1.004  0.708 0.834  0.567 0.664  0.425 0.494  0.283 0.324  0.142 0.154  -0.000 -0.016  -0.142 -0.186  -0.284 -0.356  -0.425 -0.526  -0.567 -0.696  -0.709 -0.866  -0.850 -1.036  -1.003 -1.196  -1.010 -1.414  -0.828 -1.453  -0.607 -1.453  -0.385 -1.453
