2#app#app14#app1438/[  0.574 1.042  0.673 1.032  0.694 0.943  0.772 0.975  0.730 1.042  0.620 1.042  0.510 1.042  0.400 1.042  0.290 1.042  0.180 1.042  0.070 1.042  -0.039 1.042  -0.141 1.022  -0.219 0.945  -0.320 0.935  -0.339 0.844  -0.449 0.844  -0.478 0.844  -0.419 0.793  -0.419 0.683  -0.419 0.573  -0.419 0.463  -0.419 0.353  -0.419 0.243  -0.419 0.134  -0.419 0.024  -0.393 -0.076  -0.320 -0.155  -0.320 -0.265  -0.320 -0.375  -0.320 -0.485  -0.320 -0.595  -0.320 -0.704  -0.320 -0.814  -0.320 -0.924  -0.320 -1.034  -0.317 -1.142  -0.220 -1.155  -0.197 -1.241  -0.121 -1.207  -0.076 -1.142  0.033 -1.142  0.143 -1.142  0.253 -1.142  0.338 -1.080  0.432 -1.042  0.542 -1.042  0.652 -1.042  0.762 -1.042  0.872 -1.042
2#app#app14#app1438/(  0.449 1.486  0.375 1.486  0.300 1.486  0.247 1.433  0.194 1.380  0.142 1.328  0.089 1.275  0.036 1.222  -0.017 1.169  -0.069 1.117  -0.122 1.064  -0.148 1.000  -0.148 0.925  -0.148 0.851  -0.148 0.776  -0.148 0.701  -0.148 0.627  -0.148 0.552  -0.148 0.478  -0.148 0.403  -0.148 0.328  -0.148 0.254  -0.148 0.179  -0.148 0.105  -0.148 0.030  -0.148 -0.045  -0.148 -0.119  -0.148 -0.194  -0.148 -0.269  -0.148 -0.343  -0.148 -0.418  -0.148 -0.492  -0.148 -0.567  -0.122 -0.631  -0.069 -0.684  -0.016 -0.736  0.001 -0.804  0.001 -0.878  0.001 -0.953  0.001 -1.028  0.001 -1.102  0.001 -1.177  0.036 -1.237  0.089 -1.290  0.142 -1.343  0.194 -1.395  0.247 -1.448  0.300 -1.501  0.375 -1.501  0.449 -1.501
2#app#app14#app1438/6  -0.139 2.025  -0.139 1.899  -0.139 1.772  -0.139 1.646  -0.196 1.543  -0.285 1.453  -0.352 1.355  -0.352 1.228  -0.352 1.102  -0.352 0.976  -0.352 0.849  -0.352 0.723  -0.352 0.596  -0.352 0.470  -0.352 0.343  -0.352 0.217  -0.352 0.090  -0.352 -0.036  -0.352 -0.162  -0.352 -0.289  -0.352 -0.415  -0.352 -0.542  -0.352 -0.668  -0.318 -0.780  -0.228 -0.870  -0.139 -0.959  -0.049 -1.048  0.040 -1.138  0.152 -1.171  0.279 -1.171  0.405 -1.171  0.532 -1.171  0.658 -1.171  0.713 -1.100  0.713 -0.973  0.713 -0.847  0.713 -0.721  0.713 -0.594  0.668 -0.487  0.578 -0.397  0.489 -0.308  0.399 -0.218  0.310 -0.129  0.193 -0.106  0.074 -0.099  0.074 0.028  0.027 0.107  -0.100 0.107  -0.226 0.107  -0.352 0.107
2#app#app14#app1438/)  -0.511 1.354  -0.511 1.278  -0.511 1.244  -0.511 1.320  -0.511 1.312  -0.511 1.235  -0.447 1.223  -0.379 1.214  -0.379 1.138  -0.358 1.070  -0.304 1.016  -0.250 0.962  -0.196 0.908  -0.142 0.854  -0.116 0.788  -0.116 0.712  -0.073 0.654  -0.019 0.600  0.024 0.539  0.048 0.467  0.072 0.394  0.096 0.322  0.120 0.249  0.145 0.177  0.146 0.101  0.146 0.024  0.146 -0.052  0.163 -0.124  0.197 -0.193  0.231 -0.261  0.265 -0.329  0.278 -0.403  0.278 -0.479  0.278 -0.555  0.278 -0.632  0.278 -0.708  0.278 -0.784  0.278 -0.861  0.278 -0.937  0.278 -1.013  0.278 -1.090  0.261 -1.159  0.207 -1.213  0.153 -1.267  0.146 -1.341  0.146 -1.417  0.146 -1.494  0.123 -1.560  0.069 -1.614  0.015 -1.668
2#app#app14#app1438/(  0.414 1.622  0.414 1.540  0.412 1.460  0.354 1.403  0.297 1.345  0.239 1.288  0.182 1.230  0.124 1.173  0.097 1.103  0.097 1.022  0.051 0.986  -0.030 0.986  -0.062 0.937  -0.062 0.856  -0.100 0.790  -0.157 0.732  -0.215 0.675  -0.221 0.596  -0.221 0.515  -0.221 0.434  -0.221 0.352  -0.221 0.271  -0.221 0.190  -0.221 0.109  -0.221 0.027  -0.221 -0.054  -0.221 -0.135  -0.221 -0.216  -0.221 -0.298  -0.221 -0.379  -0.221 -0.460  -0.221 -0.541  -0.221 -0.623  -0.221 -0.704  -0.221 -0.785  -0.221 -0.866  -0.193 -0.920  -0.112 -0.920  -0.062 -0.951  -0.062 -1.033  -0.037 -1.104  0.020 -1.161  0.078 -1.218  0.151 -1.237  0.233 -1.237  0.297 -1.279  0.354 -1.336  0.412 -1.393  0.492 -1.396  0.573 -1.396
2#app#app14#app1438/7  -1.238 0.492  -1.134 0.492  -1.043 0.506  -1.043 0.611  -1.015 0.687  -0.911 0.687  -0.806 0.687  -0.702 0.687  -0.597 0.687  -0.493 0.687  -0.388 0.687  -0.283 0.687  -0.179 0.687  -0.074 0.687  -0.067 0.785  -0.060 0.883  0.044 0.883  0.149 0.883  0.253 0.883  0.358 0.883  0.462 0.883  0.519 0.834  0.519 0.730  0.519 0.625  0.519 0.521  0.519 0.416  0.519 0.312  0.455 0.233  0.381 0.159  0.324 0.079  0.324 -0.026  0.324 -0.130  0.324 -0.235  0.324 -0.339  0.324 -0.444  0.278 -0.530  0.204 -0.604  0.130 -0.678  0.128 -0.781  0.128 -0.886  0.128 -0.991  0.128 -1.095  0.128 -1.200  0.128 -1.304  0.128 -1.409  0.166 -1.498  0.240 -1.572  0.314 -1.646  0.324 -1.746  0.324 -1.851
2#app#app14#app1438/)  -0.579 1.440  -0.498 1.440  -0.416 1.440  -0.341 1.423  -0.283 1.365  -0.226 1.307  -0.168 1.249  -0.110 1.191  -0.052 1.133  0.019 1.109  0.089 1.091  0.115 1.014  0.140 0.936  0.166 0.859  0.192 0.781  0.193 0.700  0.228 0.632  0.286 0.574  0.304 0.500  0.304 0.418  0.304 0.336  0.304 0.255  0.304 0.173  0.304 0.091  0.304 0.009  0.304 -0.072  0.282 -0.149  0.245 -0.222  0.209 -0.295  0.193 -0.373  0.193 -0.455  0.193 -0.537  0.143 -0.598  0.085 -0.655  0.083 -0.736  0.083 -0.818  0.061 -0.878  -0.021 -0.878  -0.027 -0.953  -0.027 -1.035  -0.045 -1.099  -0.127 -1.099  -0.138 -1.170  -0.168 -1.239  -0.226 -1.297  -0.298 -1.320  -0.374 -1.335  -0.431 -1.392  -0.498 -1.430  -0.579 -1.430
2#app#app14#app1438/(  0.453 1.466  0.534 1.466  0.588 1.439  0.588 1.357  0.533 1.331  0.453 1.330  0.453 1.248  0.432 1.175  0.375 1.117  0.317 1.059  0.259 1.002  0.202 0.944  0.144 0.886  0.086 0.829  0.035 0.766  -0.002 0.693  -0.038 0.620  -0.075 0.547  -0.123 0.483  -0.181 0.426  -0.226 0.362  -0.226 0.281  -0.226 0.199  -0.226 0.118  -0.249 0.040  -0.275 -0.038  -0.301 -0.115  -0.327 -0.192  -0.352 -0.270  -0.362 -0.350  -0.362 -0.432  -0.362 -0.513  -0.362 -0.595  -0.362 -0.676  -0.362 -0.758  -0.362 -0.840  -0.304 -0.897  -0.247 -0.955  -0.226 -1.028  -0.226 -1.110  -0.226 -1.191  -0.200 -1.247  -0.119 -1.247  -0.037 -1.247  0.045 -1.247  0.126 -1.247  0.208 -1.247  0.289 -1.247  0.371 -1.247  0.453 -1.247
2#app#app14#app1438/8  0.348 1.187  0.160 1.187  -0.029 1.187  -0.218 1.187  -0.381 1.125  -0.515 0.991  -0.692 0.964  -0.765 0.848  -0.847 0.741  -0.953 0.707  -0.820 0.573  -0.686 0.440  -0.553 0.306  -0.419 0.173  -0.271 0.073  -0.097 0.059  -0.097 -0.130  0.072 -0.149  0.126 -0.285  0.227 -0.372  0.348 -0.440  0.348 -0.629  0.348 -0.817  0.215 -0.951  0.126 -1.103  0.105 -1.283  -0.028 -1.417  -0.189 -1.485  -0.378 -1.485  -0.542 -1.461  -0.542 -1.272  -0.415 -1.136  -0.320 -0.987  -0.300 -0.817  -0.111 -0.817  0.026 -0.694  0.126 -0.546  0.136 -0.362  0.270 -0.228  0.403 -0.095  0.537 0.039  0.670 0.173  0.794 0.310  0.794 0.499  0.794 0.688  0.794 0.877  0.794 1.066  0.726 1.187  0.537 1.187  0.348 1.187
2#app#app14#app1438/)  -0.567 1.496  -0.491 1.496  -0.420 1.483  -0.366 1.429  -0.312 1.375  -0.300 1.304  -0.299 1.228  -0.245 1.174  -0.191 1.120  -0.137 1.066  -0.083 1.012  -0.032 0.957  -0.032 0.880  -0.016 0.811  0.038 0.757  0.092 0.703  0.130 0.637  0.164 0.569  0.198 0.501  0.232 0.433  0.235 0.357  0.235 0.281  0.235 0.204  0.235 0.128  0.235 0.052  0.235 -0.024  0.235 -0.101  0.235 -0.177  0.235 -0.253  0.235 -0.330  0.235 -0.406  0.235 -0.482  0.235 -0.558  0.235 -0.635  0.235 -0.711  0.228 -0.784  0.174 -0.838  0.120 -0.892  0.101 -0.961  0.101 -1.037  0.053 -1.093  -0.001 -1.147  -0.047 -1.207  -0.081 -1.275  -0.115 -1.344  -0.149 -1.412  -0.204 -1.446  -0.281 -1.446  -0.357 -1.446  -0.433 -1.446
2#app#app14#app1438/(  0.503 1.326  0.503 1.241  0.503 1.156  0.503 1.166  0.503 1.251  0.503 1.317  0.503 1.231  0.503 1.146  0.446 1.118  0.360 1.118  0.281 1.104  0.220 1.044  0.160 0.983  0.100 0.923  0.086 0.843  0.086 0.758  0.066 0.681  0.006 0.621  -0.055 0.560  -0.115 0.500  -0.122 0.418  -0.122 0.332  -0.139 0.251  -0.177 0.175  -0.215 0.098  -0.253 0.022  -0.292 -0.054  -0.330 -0.131  -0.330 -0.216  -0.330 -0.301  -0.330 -0.386  -0.330 -0.472  -0.330 -0.557  -0.330 -0.642  -0.330 -0.728  -0.330 -0.813  -0.330 -0.898  -0.312 -0.966  -0.227 -0.966  -0.142 -0.966  -0.122 -1.031  -0.122 -1.116  -0.122 -1.202  -0.122 -1.287  -0.122 -1.372  -0.047 -1.382  0.039 -1.382  0.086 -1.420  0.086 -1.505  0.086 -1.591
