3#apb#apb38#app3822/D  -0.283 0.962  -0.334 0.791  -0.360 0.603  -0.351 0.413  -0.345 0.223  -0.345 0.032  -0.345 -0.158  -0.338 -0.348  -0.332 -0.538  -0.339 -0.728  -0.354 -0.917  -0.344 -1.106  -0.320 -1.238  -0.326 -1.050  -0.323 -0.860  -0.314 -0.670  -0.331 -0.480  -0.352 -0.292  -0.384 -0.104  -0.399 0.084  -0.378 0.273  -0.358 0.462  -0.344 0.651  -0.329 0.841  -0.290 1.027  -0.235 1.208  -0.153 1.380  -0.037 1.529  0.133 1.576  0.290 1.475  0.413 1.333  0.511 1.170  0.577 0.992  0.649 0.816  0.727 0.642  0.790 0.463  0.844 0.281  0.866 0.092  0.848 -0.095  0.800 -0.279  0.735 -0.457  0.641 -0.622  0.534 -0.779  0.399 -0.913  0.262 -1.045  0.119 -1.169  -0.035 -1.281  -0.199 -1.372  -0.386 -1.407  -0.576 -1.411
3#apb#apb38#app3822/e  -0.162 0.039  -0.024 0.046  0.115 0.053  0.247 0.087  0.375 0.139  0.505 0.187  0.643 0.187  0.781 0.187  0.891 0.261  0.994 0.354  1.113 0.425  1.225 0.506  1.268 0.632  1.212 0.755  1.112 0.840  0.977 0.871  0.839 0.879  0.701 0.879  0.564 0.858  0.428 0.832  0.296 0.792  0.164 0.751  0.034 0.703  -0.094 0.650  -0.219 0.591  -0.338 0.520  -0.456 0.449  -0.570 0.370  -0.680 0.286  -0.790 0.202  -0.892 0.109  -0.992 0.013  -1.085 -0.090  -1.135 -0.214  -1.156 -0.351  -1.157 -0.487  -1.117 -0.620  -1.032 -0.729  -0.933 -0.824  -0.822 -0.906  -0.693 -0.955  -0.562 -1.000  -0.429 -1.038  -0.292 -1.048  -0.153 -1.048  -0.015 -1.048  0.124 -1.048  0.262 -1.048  0.397 -1.020  0.530 -0.982
3#apb#apb38#app3822/l  0.247 1.611  0.178 1.597  0.126 1.562  0.113 1.494  0.106 1.425  0.099 1.355  0.087 1.286  0.074 1.217  0.060 1.149  0.054 1.079  0.054 1.009  0.054 0.940  0.054 0.870  0.054 0.800  0.054 0.730  0.054 0.660  0.054 0.590  0.054 0.520  0.050 0.450  0.039 0.381  0.028 0.312  0.017 0.243  0.006 0.173  -0.005 0.104  -0.007 0.035  -0.001 -0.035  0.005 -0.104  0.012 -0.174  0.018 -0.244  0.024 -0.314  0.031 -0.383  0.025 -0.453  0.014 -0.522  0.004 -0.591  -0.006 -0.660  -0.017 -0.729  -0.027 -0.799  -0.041 -0.867  -0.058 -0.935  -0.075 -1.003  -0.092 -1.071  -0.109 -1.139  -0.126 -1.207  -0.142 -1.275  -0.156 -1.343  -0.170 -1.412  -0.183 -1.480  -0.197 -1.549  -0.211 -1.618  -0.224 -1.686
3#apb#apb38#app3822/a  -0.210 0.653  -0.311 0.571  -0.412 0.489  -0.513 0.408  -0.614 0.326  -0.715 0.244  -0.815 0.162  -0.915 0.079  -1.015 -0.005  -1.109 -0.093  -1.176 -0.204  -1.243 -0.315  -1.303 -0.431  -1.310 -0.541  -1.227 -0.641  -1.110 -0.675  -0.980 -0.687  -0.860 -0.661  -0.750 -0.592  -0.640 -0.522  -0.544 -0.435  -0.452 -0.343  -0.360 -0.252  -0.268 -0.160  -0.180 -0.064  -0.092 0.032  -0.005 0.128  0.070 0.233  0.136 0.345  0.201 0.457  0.258 0.574  0.311 0.693  0.376 0.805  0.361 0.759  0.425 0.646  0.471 0.525  0.512 0.401  0.607 0.317  0.711 0.239  0.809 0.154  0.906 0.068  1.006 -0.015  1.113 -0.089  1.220 -0.163  1.327 -0.237  1.437 -0.306  1.546 -0.376  1.658 -0.442  1.774 -0.500  1.891 -0.559
3#apb#apb38#app3822/w  -0.936 1.026  -0.952 0.883  -0.986 0.742  -1.021 0.601  -1.056 0.460  -1.089 0.319  -1.111 0.175  -1.127 0.031  -1.127 -0.114  -1.127 -0.259  -1.127 -0.404  -1.010 -0.359  -0.915 -0.251  -0.823 -0.139  -0.735 -0.023  -0.648 0.093  -0.554 0.204  -0.457 0.312  -0.347 0.405  -0.229 0.489  -0.103 0.558  0.005 0.482  0.039 0.342  0.062 0.199  0.053 0.054  0.043 -0.091  0.034 -0.236  0.024 -0.381  0.020 -0.526  0.020 -0.671  0.035 -0.815  0.101 -0.939  0.224 -1.007  0.354 -1.003  0.464 -0.908  0.572 -0.811  0.679 -0.714  0.776 -0.606  0.872 -0.497  0.933 -0.366  0.994 -0.234  1.062 -0.106  1.131 0.022  1.179 0.158  1.222 0.297  1.253 0.438  1.283 0.580  1.316 0.722  1.348 0.863  1.379 1.005
3#apb#apb38#app3822/a  0.206 1.069  0.102 1.047  0.010 0.955  -0.105 0.898  -0.228 0.854  -0.344 0.798  -0.444 0.714  -0.545 0.630  -0.645 0.547  -0.737 0.454  -0.830 0.362  -0.918 0.266  -1.000 0.164  -1.082 0.062  -1.152 -0.047  -1.217 -0.161  -1.219 -0.291  -1.213 -0.419  -1.132 -0.521  -1.037 -0.611  -0.938 -0.696  -0.814 -0.705  -0.684 -0.695  -0.555 -0.683  -0.436 -0.629  -0.317 -0.575  -0.207 -0.506  -0.105 -0.425  -0.003 -0.343  0.086 -0.247  0.172 -0.149  0.248 -0.043  0.317 0.067  0.355 0.190  0.371 0.319  0.393 0.438  0.455 0.381  0.553 0.294  0.652 0.209  0.754 0.128  0.857 0.048  0.960 -0.033  1.061 -0.116  1.162 -0.199  1.265 -0.278  1.372 -0.353  1.479 -0.428  1.585 -0.505  1.691 -0.582  1.797 -0.658
3#apb#apb38#app3822/r  -0.358 -0.459  -0.373 -0.547  -0.386 -0.636  -0.395 -0.725  -0.404 -0.814  -0.407 -0.904  -0.407 -0.993  -0.400 -1.082  -0.391 -1.171  -0.378 -1.260  -0.358 -1.347  -0.307 -1.320  -0.294 -1.232  -0.280 -1.143  -0.263 -1.055  -0.245 -0.968  -0.227 -0.880  -0.210 -0.792  -0.195 -0.704  -0.179 -0.616  -0.163 -0.527  -0.148 -0.439  -0.141 -0.350  -0.146 -0.261  -0.152 -0.172  -0.157 -0.082  -0.162 0.007  -0.144 0.095  -0.125 0.182  -0.106 0.270  -0.088 0.357  -0.073 0.446  -0.058 0.534  -0.044 0.622  0.004 0.696  0.060 0.766  0.116 0.836  0.177 0.900  0.252 0.949  0.326 0.999  0.398 1.052  0.465 1.112  0.532 1.171  0.599 1.230  0.674 1.280  0.748 1.329  0.824 1.376  0.911 1.400  0.997 1.423  1.083 1.447
3#apb#apb38#app3822/e  -0.440 0.253  -0.306 0.207  -0.172 0.141  -0.037 0.167  0.104 0.205  0.252 0.205  0.392 0.246  0.527 0.309  0.657 0.380  0.787 0.453  0.895 0.553  0.997 0.662  1.003 0.793  0.922 0.913  0.809 1.003  0.663 1.030  0.516 1.038  0.368 1.020  0.221 1.001  0.081 0.953  -0.056 0.896  -0.190 0.833  -0.307 0.742  -0.424 0.650  -0.535 0.551  -0.643 0.449  -0.749 0.345  -0.841 0.228  -0.928 0.108  -1.001 -0.022  -1.064 -0.155  -1.100 -0.299  -1.098 -0.442  -1.047 -0.581  -0.947 -0.691  -0.831 -0.779  -0.696 -0.842  -0.556 -0.890  -0.413 -0.931  -0.269 -0.964  -0.121 -0.979  0.027 -0.993  0.176 -1.002  0.324 -1.008  0.473 -0.999  0.621 -0.987  0.768 -0.967  0.916 -0.953  1.064 -0.938  1.210 -0.912
3#apb#apb38#app3822/G  0.353 1.711  0.238 1.659  0.138 1.582  0.048 1.495  -0.026 1.392  -0.100 1.289  -0.168 1.183  -0.237 1.077  -0.314 0.977  -0.392 0.877  -0.460 0.772  -0.513 0.657  -0.566 0.542  -0.615 0.426  -0.662 0.308  -0.708 0.190  -0.740 0.069  -0.763 -0.056  -0.785 -0.180  -0.783 -0.306  -0.772 -0.432  -0.754 -0.556  -0.720 -0.678  -0.683 -0.799  -0.608 -0.900  -0.528 -0.996  -0.411 -1.044  -0.291 -1.079  -0.165 -1.079  -0.044 -1.056  0.068 -0.997  0.174 -0.931  0.264 -0.842  0.353 -0.752  0.433 -0.654  0.512 -0.556  0.552 -0.436  0.588 -0.315  0.575 -0.198  0.473 -0.141  0.347 -0.125  0.355 -0.174  0.482 -0.174  0.608 -0.174  0.734 -0.166  0.858 -0.143  0.982 -0.117  1.105 -0.087  1.226 -0.051  1.346 -0.011
3#apb#apb38#app3822/e  -0.467 0.028  -0.329 0.005  -0.191 -0.014  -0.056 0.026  0.077 0.068  0.210 0.112  0.342 0.158  0.473 0.209  0.602 0.262  0.722 0.335  0.841 0.409  0.950 0.496  1.054 0.590  1.161 0.680  1.265 0.774  1.239 0.885  1.118 0.947  0.978 0.947  0.839 0.942  0.705 0.900  0.571 0.858  0.438 0.814  0.306 0.768  0.174 0.721  0.047 0.662  -0.075 0.594  -0.198 0.526  -0.317 0.453  -0.426 0.365  -0.536 0.278  -0.642 0.187  -0.737 0.084  -0.832 -0.019  -0.915 -0.130  -0.978 -0.255  -1.028 -0.385  -1.068 -0.520  -1.044 -0.656  -0.997 -0.787  -0.929 -0.909  -0.827 -1.001  -0.711 -1.079  -0.580 -1.129  -0.450 -1.180  -0.310 -1.192  -0.171 -1.203  -0.033 -1.182  0.105 -1.158  0.245 -1.148  0.385 -1.137
3#apb#apb38#app3822/o  1.127 0.911  1.012 0.939  0.885 0.939  0.758 0.937  0.634 0.908  0.511 0.879  0.387 0.850  0.265 0.817  0.146 0.771  0.028 0.725  -0.090 0.679  -0.209 0.633  -0.308 0.554  -0.407 0.474  -0.506 0.395  -0.605 0.316  -0.706 0.238  -0.806 0.160  -0.907 0.083  -1.001 -0.000  -1.067 -0.109  -1.132 -0.218  -1.182 -0.334  -1.222 -0.454  -1.204 -0.568  -1.137 -0.676  -1.043 -0.747  -0.920 -0.778  -0.797 -0.809  -0.671 -0.811  -0.544 -0.804  -0.417 -0.797  -0.291 -0.790  -0.166 -0.765  -0.043 -0.736  0.081 -0.707  0.205 -0.678  0.310 -0.607  0.414 -0.535  0.519 -0.463  0.624 -0.391  0.721 -0.310  0.815 -0.224  0.909 -0.139  0.998 -0.049  1.083 0.045  1.168 0.139  1.228 0.248  1.261 0.370  1.294 0.493
