1c#app#app19#app1930/r  -0.386 -0.319  -0.386 -0.208  -0.386 -0.235  -0.386 -0.346  -0.386 -0.457  -0.454 -0.540  -0.533 -0.618  -0.539 -0.726  -0.539 -0.837  -0.539 -0.948  -0.539 -1.059  -0.539 -1.170  -0.508 -1.268  -0.429 -1.346  -0.386 -1.339  -0.383 -1.229  -0.333 -1.130  -0.284 -1.031  -0.234 -0.932  -0.234 -0.821  -0.234 -0.710  -0.234 -0.599  -0.234 -0.488  -0.167 -0.405  -0.088 -0.327  -0.081 -0.219  -0.081 -0.108  -0.081 0.003  -0.081 0.114  -0.081 0.225  -0.050 0.323  0.028 0.401  0.072 0.494  0.072 0.605  0.072 0.716  0.106 0.819  0.156 0.918  0.205 1.017  0.292 1.057  0.378 1.081  0.378 1.192  0.471 1.210  0.582 1.210  0.693 1.210  0.804 1.210  0.915 1.210  1.015 1.184  1.094 1.106  1.184 1.057  1.295 1.057
1c#app#app19#app1930/e  -1.022 0.090  -0.837 0.090  -0.752 -0.009  -0.738 -0.180  -0.554 -0.180  -0.370 -0.180  -0.194 -0.199  -0.063 -0.329  0.071 -0.449  0.255 -0.449  0.439 -0.449  0.624 -0.449  0.808 -0.449  0.865 -0.323  0.907 -0.180  1.091 -0.180  1.275 -0.180  1.404 -0.125  1.404 0.059  1.404 0.244  1.356 0.408  1.226 0.538  1.096 0.668  0.965 0.798  0.823 0.899  0.639 0.899  0.454 0.899  0.270 0.899  0.086 0.899  -0.098 0.899  -0.262 0.849  -0.392 0.719  -0.539 0.629  -0.724 0.629  -0.752 0.473  -0.822 0.359  -1.007 0.359  -1.022 0.190  -1.022 0.006  -1.022 -0.178  -1.022 -0.362  -0.924 -0.449  -0.752 -0.461  -0.752 -0.646  -0.674 -0.797  -0.543 -0.927  -0.384 -0.988  -0.204 -0.997  -0.074 -1.128  0.057 -1.258
1c#app#app19#app1930/p  -0.122 0.448  -0.122 0.285  -0.122 0.122  -0.122 -0.041  -0.122 -0.203  -0.122 -0.366  -0.122 -0.529  -0.122 -0.692  -0.122 -0.855  -0.122 -1.018  -0.122 -1.181  -0.071 -1.322  0.021 -1.447  0.021 -1.610  -0.051 -1.700  -0.122 -1.608  -0.122 -1.445  -0.122 -1.282  -0.122 -1.120  -0.142 -0.965  -0.257 -0.850  -0.265 -0.690  -0.265 -0.527  -0.298 -0.378  -0.409 -0.261  -0.409 -0.098  -0.409 0.065  -0.409 0.228  -0.409 0.390  -0.409 0.553  -0.409 0.716  -0.409 0.879  -0.394 1.036  -0.278 1.151  -0.264 1.307  -0.101 1.307  0.061 1.307  0.224 1.307  0.364 1.251  0.491 1.164  0.621 1.111  0.693 0.965  0.802 0.878  0.880 0.793  0.880 0.630  0.793 0.504  0.653 0.448  0.490 0.448  0.327 0.448  0.164 0.448
1c#app#app19#app1930/l  0.208 1.289  0.208 1.372  0.155 1.402  0.094 1.424  0.094 1.507  0.041 1.462  -0.017 1.404  -0.019 1.321  -0.019 1.238  -0.019 1.155  -0.019 1.072  -0.019 0.989  -0.049 0.919  -0.108 0.860  -0.132 0.787  -0.132 0.704  -0.132 0.621  -0.132 0.538  -0.150 0.459  -0.187 0.385  -0.224 0.311  -0.245 0.233  -0.245 0.150  -0.245 0.067  -0.245 -0.016  -0.245 -0.099  -0.245 -0.182  -0.245 -0.265  -0.245 -0.348  -0.245 -0.431  -0.245 -0.514  -0.245 -0.597  -0.215 -0.668  -0.157 -0.726  -0.132 -0.799  -0.132 -0.882  -0.132 -0.965  -0.082 -1.027  -0.023 -1.086  0.058 -1.091  0.094 -1.137  0.110 -1.204  0.193 -1.204  0.276 -1.204  0.359 -1.204  0.442 -1.204  0.525 -1.204  0.608 -1.204  0.691 -1.204  0.774 -1.204
1c#app#app19#app1930/i  -0.169 1.090  -0.169 1.167  -0.169 1.244  -0.169 1.321  -0.169 1.398  -0.169 1.475  -0.169 1.410  -0.169 1.333  -0.169 1.256  -0.169 1.179  -0.169 1.102  -0.169 1.025  -0.169 0.948  -0.169 0.871  -0.169 0.794  -0.169 0.717  -0.169 0.640  -0.169 0.563  -0.169 0.486  -0.169 0.410  -0.169 0.333  -0.169 0.256  -0.169 0.179  -0.169 0.102  -0.169 0.025  -0.169 -0.052  -0.169 -0.129  -0.169 -0.206  -0.169 -0.283  -0.169 -0.360  -0.169 -0.437  -0.140 -0.502  -0.086 -0.556  -0.031 -0.611  0.023 -0.665  0.078 -0.720  0.132 -0.774  0.187 -0.829  0.234 -0.888  0.268 -0.957  0.303 -1.026  0.337 -1.095  0.372 -1.163  0.406 -1.232  0.440 -1.301  0.475 -1.370  0.509 -1.439  0.544 -1.508  0.578 -1.577  0.613 -1.645
1c#app#app19#app1930/e  -1.120 0.271  -1.120 0.099  -1.053 -0.044  -0.932 -0.165  -0.785 -0.225  -0.614 -0.225  -0.443 -0.225  -0.272 -0.225  -0.100 -0.225  0.071 -0.225  0.242 -0.225  0.413 -0.225  0.585 -0.225  0.756 -0.225  0.908 -0.178  1.029 -0.056  1.108 0.082  1.108 0.253  1.108 0.425  1.108 0.596  1.108 0.767  1.108 0.938  1.012 1.013  0.841 1.013  0.669 1.013  0.498 1.013  0.327 1.013  0.156 1.013  -0.016 1.013  -0.130 0.956  -0.130 0.785  -0.282 0.766  -0.377 0.690  -0.377 0.519  -0.454 0.365  -0.530 0.212  -0.607 0.059  -0.625 -0.108  -0.625 -0.279  -0.625 -0.450  -0.625 -0.622  -0.552 -0.720  -0.381 -0.720  -0.377 -0.888  -0.377 -1.059  -0.367 -1.226  -0.246 -1.347  -0.124 -1.468  -0.003 -1.589  0.118 -1.710
1c#app#app19#app1930/d  -0.147 -0.116  -0.333 -0.116  -0.519 -0.116  -0.704 -0.117  -0.835 -0.249  -0.879 -0.393  -0.979 -0.479  -0.979 -0.664  -0.899 -0.831  -0.802 -0.987  -0.657 -1.086  -0.472 -1.086  -0.286 -1.086  -0.114 -1.053  0.008 -0.915  0.091 -0.749  0.199 -0.601  0.269 -0.444  0.269 -0.259  0.269 -0.073  0.269 0.112  0.269 0.298  0.237 0.470  0.130 0.612  0.130 0.797  0.089 0.976  0.031 1.153  -0.009 1.332  -0.009 1.517  -0.009 1.703  -0.009 1.762  -0.009 1.576  0.004 1.396  0.130 1.263  0.130 1.077  0.202 0.921  0.269 0.763  0.269 0.577  0.269 0.392  0.269 0.206  0.332 0.036  0.407 -0.132  0.407 -0.318  0.407 -0.503  0.420 -0.684  0.546 -0.817  0.546 -1.003  0.546 -1.188  0.553 -1.371  0.685 -1.502
1c#app#app19#app1930/o  -0.256 0.950  -0.382 0.950  -0.496 0.920  -0.585 0.831  -0.674 0.742  -0.799 0.740  -0.887 0.701  -0.887 0.575  -0.967 0.529  -1.093 0.529  -1.097 0.407  -1.097 0.281  -1.097 0.155  -1.097 0.029  -1.097 -0.098  -1.012 -0.188  -0.922 -0.277  -0.833 -0.367  -0.744 -0.456  -0.655 -0.545  -0.566 -0.634  -0.476 -0.723  -0.354 -0.734  -0.228 -0.734  -0.102 -0.734  0.024 -0.734  0.150 -0.734  0.276 -0.734  0.403 -0.734  0.529 -0.734  0.655 -0.734  0.781 -0.734  0.875 -0.656  0.964 -0.566  1.053 -0.477  1.142 -0.388  1.218 -0.293  1.218 -0.167  1.218 -0.041  1.218 0.085  1.145 0.181  1.055 0.271  0.955 0.345  0.842 0.401  0.730 0.457  0.617 0.514  0.504 0.570  0.391 0.627  0.278 0.683  0.165 0.740
1c#app#app19#app1930/b  -0.479 1.852  -0.545 1.720  -0.611 1.588  -0.641 1.447  -0.641 1.299  -0.641 1.151  -0.641 1.003  -0.641 0.855  -0.641 0.707  -0.641 0.559  -0.742 0.453  -0.803 0.331  -0.803 0.183  -0.803 0.035  -0.803 -0.113  -0.803 -0.261  -0.803 -0.409  -0.803 -0.557  -0.681 -0.582  -0.533 -0.582  -0.479 -0.487  -0.399 -0.419  -0.287 -0.361  -0.221 -0.228  -0.155 -0.096  -0.008 -0.095  0.101 -0.001  0.221 0.067  0.358 0.093  0.462 0.198  0.597 0.230  0.745 0.230  0.819 0.156  0.879 0.067  0.981 0.022  1.003 -0.117  1.108 -0.221  1.144 -0.354  1.144 -0.502  1.095 -0.630  0.991 -0.735  0.847 -0.744  0.819 -0.864  0.713 -0.906  0.565 -0.906  0.419 -0.887  0.276 -0.851  0.133 -0.816  -0.011 -0.780  -0.154 -0.744
1c#app#app19#app1930/b  -0.588 1.678  -0.445 1.680  -0.445 1.815  -0.445 1.670  -0.445 1.524  -0.445 1.379  -0.445 1.233  -0.445 1.088  -0.445 0.942  -0.445 0.797  -0.445 0.651  -0.474 0.535  -0.588 0.503  -0.588 0.358  -0.588 0.212  -0.588 0.067  -0.588 -0.079  -0.588 -0.224  -0.588 -0.370  -0.588 -0.515  -0.588 -0.661  -0.533 -0.751  -0.404 -0.710  -0.301 -0.607  -0.198 -0.504  -0.159 -0.375  -0.094 -0.257  0.009 -0.154  0.112 -0.051  0.252 -0.037  0.360 0.054  0.483 0.106  0.629 0.106  0.752 0.052  0.861 -0.037  0.984 -0.059  0.984 -0.205  0.984 -0.350  0.984 -0.496  0.984 -0.641  0.948 -0.751  0.814 -0.778  0.711 -0.881  0.571 -0.894  0.425 -0.894  0.412 -1.026  0.277 -1.037  0.132 -1.037  -0.014 -1.037  -0.159 -1.037
1c#app#app19#app1930/e  -0.989 -0.055  -0.808 -0.055  -0.627 -0.055  -0.445 -0.055  -0.307 -0.098  -0.307 -0.279  -0.129 -0.282  0.052 -0.282  0.233 -0.282  0.374 -0.242  0.374 -0.061  0.549 -0.055  0.730 -0.055  0.887 0.004  1.015 0.132  1.180 0.172  1.283 0.250  1.260 0.422  1.132 0.550  1.056 0.699  1.029 0.853  0.847 0.853  0.666 0.853  0.519 0.935  0.391 1.064  0.217 1.081  0.036 1.081  -0.126 1.035  -0.254 0.906  -0.413 0.853  -0.594 0.853  -0.762 0.839  -0.762 0.658  -0.762 0.477  -0.762 0.296  -0.762 0.115  -0.762 -0.066  -0.762 -0.247  -0.762 -0.428  -0.691 -0.580  -0.563 -0.708  -0.534 -0.878  -0.439 -0.964  -0.307 -1.013  -0.304 -1.191  -0.123 -1.191  -0.080 -1.329  0.012 -1.418  0.147 -1.464  0.147 -1.645
