1b#ced#jika4257_s_0o/P  -0.242 0.781  -0.266 0.751  -0.266 0.561  -0.242 0.375  -0.242 0.185  -0.225 -0.004  -0.218 -0.193  -0.218 -0.383  -0.218 -0.574  -0.218 -0.764  -0.218 -0.954  -0.194 -1.141  -0.170 -1.329  -0.152 -1.517  -0.056 -1.668  -0.101 -1.500  -0.156 -1.318  -0.211 -1.136  -0.267 -0.954  -0.322 -0.772  -0.377 -0.590  -0.432 -0.408  -0.487 -0.226  -0.542 -0.044  -0.597 0.138  -0.653 0.320  -0.773 0.465  -0.856 0.633  -0.865 0.821  -0.749 0.963  -0.575 1.040  -0.394 1.095  -0.207 1.121  -0.018 1.142  0.172 1.144  0.361 1.132  0.537 1.064  0.717 1.003  0.879 0.904  0.984 0.754  1.085 0.594  1.114 0.409  1.135 0.221  1.082 0.039  1.002 -0.133  0.868 -0.265  0.717 -0.374  0.547 -0.454  0.359 -0.476  0.169 -0.476
1b#ced#jika4257_s_0o/A  -0.587 1.268  -0.614 1.030  -0.614 0.789  -0.613 0.555  -0.593 0.316  -0.587 0.076  -0.587 -0.165  -0.614 -0.404  -0.614 -0.644  -0.640 -0.881  -0.640 -1.122  -0.664 -1.338  -0.612 -1.102  -0.570 -0.865  -0.539 -0.629  -0.485 -0.396  -0.448 -0.158  -0.409 0.079  -0.369 0.317  -0.330 0.555  -0.268 0.786  -0.248 1.025  -0.182 1.255  -0.108 1.483  0.032 1.660  0.216 1.568  0.331 1.357  0.416 1.133  0.470 0.898  0.542 0.669  0.589 0.433  0.636 0.197  0.683 -0.039  0.756 -0.268  0.827 -0.497  0.895 -0.727  0.981 -0.952  1.067 -1.177  1.026 -1.223  0.841 -1.068  0.656 -0.913  0.472 -0.759  0.287 -0.604  0.102 -0.450  -0.083 -0.295  -0.267 -0.141  -0.245 -0.166  -0.005 -0.166  0.236 -0.159  0.475 -0.140
1b#ced#jika4257_s_0o/C  0.386 0.880  0.433 0.957  0.426 1.046  0.398 1.131  0.354 1.210  0.298 1.269  0.211 1.293  0.121 1.302  0.039 1.269  -0.031 1.213  -0.095 1.149  -0.158 1.084  -0.208 1.008  -0.256 0.932  -0.297 0.851  -0.337 0.770  -0.385 0.693  -0.419 0.609  -0.448 0.523  -0.473 0.437  -0.488 0.347  -0.493 0.257  -0.499 0.167  -0.516 0.078  -0.516 -0.012  -0.505 -0.101  -0.485 -0.190  -0.467 -0.278  -0.449 -0.367  -0.421 -0.453  -0.387 -0.537  -0.347 -0.618  -0.298 -0.694  -0.244 -0.767  -0.190 -0.839  -0.132 -0.909  -0.065 -0.968  0.016 -1.008  0.097 -1.049  0.183 -1.078  0.271 -1.099  0.361 -1.105  0.449 -1.123  0.539 -1.114  0.627 -1.099  0.715 -1.083  0.801 -1.055  0.886 -1.023  0.958 -0.969  1.042 -0.935
1b#ced#jika4257_s_0o/K  -0.450 1.353  -0.480 1.499  -0.480 1.284  -0.480 1.069  -0.480 0.855  -0.480 0.640  -0.480 0.425  -0.468 0.212  -0.469 -0.000  -0.480 -0.214  -0.480 -0.429  -0.480 -0.643  -0.510 -0.855  -0.510 -1.070  -0.539 -1.281  -0.569 -1.493  -0.488 -1.384  -0.387 -1.194  -0.286 -1.005  -0.185 -0.815  -0.083 -0.626  0.018 -0.437  0.119 -0.247  0.220 -0.058  0.321 0.131  0.422 0.321  0.523 0.510  0.625 0.700  0.726 0.889  0.827 1.078  0.928 1.268  0.838 1.336  0.678 1.206  0.512 1.071  0.376 0.906  0.224 0.754  0.081 0.595  -0.063 0.437  -0.215 0.285  -0.383 0.154  -0.398 -0.014  -0.257 -0.174  -0.116 -0.334  0.004 -0.513  0.150 -0.669  0.302 -0.821  0.467 -0.957  0.611 -1.115  0.784 -1.243  0.942 -1.387
1b#ced#jika4257_s_0o/B  -0.111 0.803  -0.258 0.804  -0.258 0.588  -0.258 0.372  -0.237 0.158  -0.234 -0.058  -0.234 -0.274  -0.234 -0.491  -0.209 -0.704  -0.228 -0.917  -0.227 -1.127  -0.335 -0.980  -0.405 -0.775  -0.424 -0.561  -0.461 -0.348  -0.495 -0.135  -0.528 0.079  -0.528 0.295  -0.528 0.511  -0.496 0.724  -0.444 0.933  -0.388 1.142  -0.294 1.336  -0.154 1.499  0.021 1.607  0.219 1.565  0.279 1.361  0.212 1.156  0.114 0.965  0.001 0.782  -0.131 0.612  -0.256 0.438  -0.381 0.264  -0.389 0.109  -0.186 0.100  0.023 0.107  0.231 0.068  0.440 0.013  0.633 -0.083  0.798 -0.217  0.906 -0.403  0.968 -0.605  0.982 -0.817  0.937 -1.028  0.863 -1.229  0.717 -1.386  0.547 -1.516  0.347 -1.587  0.135 -1.612  -0.062 -1.538
1b#ced#jika4257_s_0o/O  -0.122 1.166  -0.186 1.261  -0.271 1.193  -0.327 1.072  -0.373 0.948  -0.406 0.818  -0.474 0.705  -0.501 0.575  -0.501 0.441  -0.538 0.314  -0.565 0.183  -0.591 0.053  -0.596 -0.080  -0.609 -0.212  -0.627 -0.344  -0.627 -0.477  -0.627 -0.610  -0.597 -0.740  -0.565 -0.869  -0.533 -0.998  -0.499 -1.127  -0.405 -1.221  -0.297 -1.298  -0.179 -1.334  -0.053 -1.292  0.077 -1.277  0.188 -1.204  0.299 -1.130  0.383 -1.032  0.459 -0.924  0.533 -0.817  0.584 -0.694  0.640 -0.573  0.666 -0.443  0.688 -0.311  0.700 -0.179  0.700 -0.046  0.676 0.085  0.669 0.218  0.659 0.350  0.622 0.477  0.572 0.601  0.523 0.725  0.450 0.836  0.370 0.942  0.290 1.049  0.210 1.156  0.130 1.262  0.036 1.356  -0.058 1.450
1b#ced#jika4257_s_0o/X  -1.034 1.412  -0.994 1.476  -0.897 1.311  -0.815 1.138  -0.721 0.970  -0.621 0.805  -0.530 0.635  -0.414 0.482  -0.311 0.319  -0.219 0.149  -0.120 -0.016  -0.045 -0.193  0.051 -0.360  0.155 -0.523  0.227 -0.697  0.326 -0.859  0.423 -1.026  0.530 -1.181  0.632 -1.343  0.660 -1.343  0.641 -1.151  0.622 -0.959  0.603 -0.767  0.584 -0.575  0.565 -0.383  0.546 -0.190  0.528 0.002  0.509 0.194  0.490 0.386  0.471 0.578  0.452 0.770  0.433 0.962  0.447 1.152  0.473 1.322  0.377 1.155  0.302 0.978  0.229 0.799  0.163 0.618  0.074 0.447  -0.020 0.279  -0.111 0.109  -0.199 -0.063  -0.271 -0.242  -0.348 -0.418  -0.435 -0.591  -0.521 -0.764  -0.605 -0.937  -0.674 -1.117  -0.762 -1.288  -0.843 -1.463
1b#ced#jika4257_s_0o/W  -1.159 1.127  -1.137 0.963  -1.093 0.803  -1.064 0.642  -1.010 0.484  -0.967 0.323  -0.919 0.162  -0.896 -0.002  -0.849 -0.162  -0.812 -0.326  -0.768 -0.487  -0.751 -0.652  -0.703 -0.813  -0.603 -0.902  -0.514 -0.773  -0.474 -0.611  -0.437 -0.449  -0.421 -0.284  -0.371 -0.124  -0.371 0.043  -0.339 0.206  -0.315 0.370  -0.306 0.537  -0.253 0.574  -0.200 0.415  -0.155 0.254  -0.109 0.093  -0.076 -0.071  -0.023 -0.230  0.037 -0.387  0.098 -0.542  0.195 -0.678  0.281 -0.820  0.408 -0.928  0.567 -0.956  0.704 -0.864  0.816 -0.740  0.906 -0.599  0.981 -0.449  1.009 -0.288  1.053 -0.126  1.093 0.036  1.138 0.197  1.138 0.365  1.138 0.533  1.138 0.700  1.105 0.862  1.094 1.028  1.091 1.190  1.105 1.357
1b#ced#jika4257_s_0o/I  -0.083 0.829  -0.134 0.759  -0.103 0.487  -0.083 0.214  -0.075 -0.060  -0.026 -0.328  0.043 -0.594  0.007 -0.564  -0.117 -0.318  -0.241 -0.073  -0.364 0.173  -0.488 0.419  -0.612 0.665  -0.736 0.910  -0.860 1.156  -1.038 1.351  -0.978 1.262  -0.711 1.211  -0.444 1.145  -0.171 1.119  0.101 1.087  0.373 1.060  0.648 1.055  0.919 1.087  0.954 0.947  0.774 0.739  0.594 0.531  0.414 0.323  0.234 0.115  0.053 -0.093  -0.127 -0.301  -0.307 -0.509  -0.487 -0.717  -0.667 -0.925  -0.732 -1.113  -0.460 -1.129  -0.193 -1.125  0.077 -1.158  0.348 -1.125  0.619 -1.093  0.893 -1.083  1.161 -1.028  1.125 -0.942  0.867 -0.848  0.608 -0.753  0.350 -0.659  0.092 -0.564  -0.167 -0.470  -0.413 -0.402  -0.438 -0.673
1b#ced#jika4257_s_0o/T  0.395 0.476  0.297 0.569  0.212 0.453  0.212 0.292  0.212 0.130  0.212 -0.031  0.212 -0.193  0.188 -0.352  0.176 -0.513  0.176 -0.674  0.176 -0.835  0.176 -0.997  0.176 -1.158  0.176 -1.320  0.176 -1.481  0.176 -1.643  0.119 -1.530  0.054 -1.382  -0.010 -1.234  -0.074 -1.086  -0.139 -0.938  -0.203 -0.790  -0.267 -0.642  -0.332 -0.494  -0.396 -0.346  -0.461 -0.198  -0.525 -0.050  -0.589 0.098  -0.654 0.247  -0.718 0.395  -0.847 0.451  -0.987 0.529  -1.140 0.518  -1.038 0.589  -0.883 0.636  -0.726 0.671  -0.566 0.695  -0.409 0.720  -0.249 0.732  -0.094 0.774  0.063 0.805  0.223 0.817  0.382 0.841  0.541 0.860  0.700 0.878  0.862 0.878  1.018 0.915  1.174 0.951  1.330 0.983  1.491 0.987
1b#ced#jika4257_s_0o/H  -0.561 1.364  -0.644 1.362  -0.603 1.101  -0.603 0.832  -0.603 0.564  -0.603 0.295  -0.603 0.027  -0.603 -0.242  -0.603 -0.510  -0.645 -0.773  -0.645 -1.042  -0.645 -1.310  -0.645 -1.578  -0.577 -1.451  -0.487 -1.198  -0.397 -0.945  -0.308 -0.692  -0.218 -0.440  -0.128 -0.187  -0.039 0.066  0.051 0.319  0.141 0.572  0.231 0.825  0.320 1.078  0.410 1.331  0.519 1.575  0.575 1.491  0.575 1.222  0.575 0.954  0.575 0.686  0.617 0.424  0.617 0.156  0.636 -0.111  0.668 -0.375  0.733 -0.636  0.789 -0.898  0.862 -1.157  0.838 -1.224  0.660 -1.024  0.482 -0.823  0.304 -0.623  0.125 -0.422  -0.053 -0.221  -0.231 -0.021  -0.448 0.134  -0.616 0.271  -0.348 0.271  -0.082 0.299  0.183 0.327  0.449 0.355
