2#app#app08#app0861/8  0.504 0.983  0.440 1.092  0.376 1.201  0.202 1.201  0.029 1.201  -0.144 1.201  -0.318 1.201  -0.487 1.190  -0.619 1.092  -0.694 0.993  -0.646 0.850  -0.491 0.772  -0.442 0.622  -0.307 0.517  -0.152 0.439  -0.094 0.301  0.061 0.224  0.108 0.072  0.244 -0.031  0.399 -0.110  0.512 -0.238  0.567 -0.403  0.613 -0.569  0.613 -0.742  0.613 -0.915  0.613 -1.088  0.504 -1.217  0.420 -1.306  0.290 -1.411  0.163 -1.523  -0.010 -1.523  -0.183 -1.523  -0.328 -1.454  -0.450 -1.331  -0.476 -1.169  -0.476 -0.995  -0.476 -0.822  -0.475 -0.649  -0.420 -0.484  -0.367 -0.320  -0.318 -0.167  -0.219 -0.027  -0.149 0.130  -0.091 0.279  0.032 0.401  0.077 0.556  0.200 0.678  0.323 0.801  0.427 0.937  0.504 1.092
2#app#app08#app0861/:  -0.163 0.795  -0.074 0.795  0.015 0.795  0.105 0.795  0.148 0.841  0.148 0.930  0.148 1.019  0.148 1.109  0.148 1.198  0.148 1.287  0.148 1.376  0.143 1.370  0.134 1.281  0.126 1.192  0.117 1.104  0.108 1.015  0.099 0.926  0.090 0.837  0.081 0.748  0.072 0.660  0.063 0.571  0.055 0.482  0.046 0.393  0.037 0.305  0.028 0.216  0.019 0.127  0.010 0.038  0.001 -0.051  -0.008 -0.139  -0.017 -0.228  -0.025 -0.317  -0.034 -0.406  -0.043 -0.494  -0.052 -0.583  -0.061 -0.672  -0.070 -0.761  -0.079 -0.850  -0.088 -0.938  -0.096 -1.027  -0.105 -1.116  -0.114 -1.205  -0.123 -1.293  -0.132 -1.382  -0.141 -1.471  -0.150 -1.560  -0.159 -1.649  -0.163 -1.650  -0.163 -1.561  -0.163 -1.472  -0.163 -1.383
2#app#app08#app0861/4  -1.248 0.862  -1.207 0.994  -1.116 0.912  -1.116 0.739  -1.116 0.566  -1.116 0.393  -1.116 0.219  -1.248 0.178  -1.248 0.005  -1.248 -0.168  -1.145 -0.299  -0.984 -0.328  -0.861 -0.450  -0.692 -0.460  -0.519 -0.460  -0.346 -0.460  -0.172 -0.460  0.001 -0.460  0.174 -0.460  0.347 -0.460  0.520 -0.460  0.694 -0.460  0.867 -0.460  0.990 -0.421  0.948 -0.253  0.906 -0.085  0.864 0.083  0.822 0.251  0.780 0.419  0.738 0.587  0.696 0.755  0.654 0.923  0.612 1.092  0.466 1.126  0.339 1.081  0.339 0.907  0.339 0.734  0.339 0.561  0.339 0.388  0.339 0.214  0.339 0.041  0.339 -0.132  0.339 -0.305  0.339 -0.479  0.339 -0.652  0.339 -0.825  0.339 -0.998  0.339 -1.172  0.339 -1.345  0.339 -1.518
2#app#app08#app0861/&  0.083 -0.631  0.173 -0.538  0.083 -0.449  -0.072 -0.384  -0.202 -0.254  -0.289 -0.106  -0.382 -0.015  -0.475 0.130  -0.486 0.310  -0.568 0.459  -0.568 0.643  -0.568 0.827  -0.568 1.011  -0.475 1.156  -0.396 1.308  -0.236 1.395  -0.056 1.415  0.127 1.415  0.311 1.415  0.483 1.386  0.613 1.256  0.734 1.122  0.734 0.938  0.661 0.784  0.597 0.627  0.467 0.497  0.337 0.367  0.206 0.237  0.076 0.107  -0.054 -0.023  -0.184 -0.153  -0.314 -0.283  -0.444 -0.413  -0.568 -0.491  -0.665 -0.635  -0.754 -0.782  -0.754 -0.966  -0.716 -1.134  -0.555 -1.189  -0.371 -1.189  -0.188 -1.189  -0.033 -1.119  0.135 -1.070  0.304 -1.003  0.488 -1.003  0.578 -0.910  0.754 -0.890  0.884 -0.760  1.012 -0.684  1.105 -0.538
2#app#app08#app0861/4  -0.801 1.242  -0.828 1.077  -0.939 0.947  -0.979 0.787  -1.077 0.652  -1.130 0.498  -1.215 0.357  -1.215 0.180  -1.215 0.004  -1.192 -0.162  -1.068 -0.287  -0.943 -0.411  -0.819 -0.536  -0.650 -0.554  -0.489 -0.590  -0.355 -0.692  -0.179 -0.692  -0.014 -0.740  0.143 -0.819  0.317 -0.830  0.493 -0.830  0.669 -0.830  0.845 -0.830  1.021 -0.830  1.119 -0.768  1.079 -0.596  1.039 -0.424  1.000 -0.253  0.960 -0.081  0.921 0.090  0.881 0.262  0.841 0.434  0.802 0.605  0.762 0.777  0.723 0.949  0.560 0.965  0.384 0.965  0.208 0.965  0.032 0.965  0.028 0.793  0.028 0.617  0.028 0.441  0.028 0.264  0.028 0.088  0.028 -0.088  0.028 -0.264  0.028 -0.440  0.028 -0.616  0.028 -0.792  0.028 -0.968
2#app#app08#app0861/:  0.263 1.434  0.263 1.514  0.263 1.595  0.259 1.617  0.248 1.538  0.236 1.459  0.225 1.379  0.214 1.300  0.202 1.220  0.191 1.141  0.180 1.062  0.168 0.982  0.157 0.903  0.146 0.823  0.134 0.744  0.123 0.665  0.112 0.585  0.100 0.506  0.089 0.426  0.078 0.347  0.066 0.268  0.055 0.188  0.044 0.109  0.032 0.029  0.021 -0.050  0.010 -0.129  -0.002 -0.209  -0.013 -0.288  -0.024 -0.368  -0.036 -0.447  -0.047 -0.526  -0.058 -0.606  -0.070 -0.685  -0.081 -0.765  -0.092 -0.844  -0.104 -0.923  -0.115 -1.003  -0.127 -1.082  -0.138 -1.162  -0.149 -1.241  -0.162 -1.319  -0.242 -1.319  -0.322 -1.319  -0.372 -1.289  -0.372 -1.209  -0.372 -1.129  -0.331 -1.066  -0.274 -1.009  -0.217 -0.952  -0.160 -0.896
2#app#app08#app0861/2  -0.338 1.136  -0.239 1.136  -0.212 1.208  -0.166 1.261  -0.067 1.261  0.033 1.261  0.132 1.261  0.231 1.261  0.318 1.232  0.388 1.162  0.415 1.074  0.450 1.010  0.540 1.001  0.540 0.902  0.540 0.803  0.540 0.704  0.540 0.605  0.537 0.509  0.438 0.509  0.415 0.433  0.380 0.348  0.310 0.278  0.289 0.188  0.258 0.101  0.188 0.031  0.118 -0.039  0.048 -0.109  -0.022 -0.179  -0.092 -0.249  -0.162 -0.319  -0.232 -0.389  -0.302 -0.459  -0.372 -0.529  -0.443 -0.599  -0.513 -0.670  -0.583 -0.740  -0.588 -0.836  -0.588 -0.935  -0.588 -1.035  -0.588 -1.134  -0.588 -1.233  -0.504 -1.247  -0.404 -1.247  -0.305 -1.247  -0.206 -1.247  -0.107 -1.247  -0.008 -1.247  0.091 -1.247  0.190 -1.247  0.289 -1.247
2#app#app08#app0861/&  0.462 -0.923  0.555 -0.842  0.462 -0.761  0.369 -0.680  0.272 -0.546  0.149 -0.423  0.026 -0.300  -0.098 -0.176  -0.192 -0.041  -0.278 0.097  -0.335 0.248  -0.458 0.371  -0.472 0.540  -0.472 0.714  -0.472 0.888  -0.455 1.056  -0.332 1.179  -0.177 1.225  -0.003 1.225  0.172 1.225  0.346 1.225  0.520 1.225  0.695 1.225  0.775 1.132  0.856 1.039  0.929 0.937  0.929 0.763  0.836 0.682  0.725 0.554  0.582 0.478  0.451 0.373  0.327 0.250  0.204 0.127  0.054 0.041  -0.081 -0.065  -0.205 -0.188  -0.328 -0.312  -0.451 -0.435  -0.574 -0.558  -0.698 -0.681  -0.755 -0.832  -0.846 -0.969  -0.846 -1.143  -0.825 -1.297  -0.651 -1.297  -0.477 -1.297  -0.302 -1.297  -0.128 -1.297  0.031 -1.260  0.182 -1.203
2#app#app08#app0861/2  -0.753 0.833  -0.753 0.952  -0.674 1.037  -0.574 1.083  -0.456 1.083  -0.338 1.083  -0.219 1.083  -0.101 1.083  0.018 1.083  0.136 1.083  0.254 1.083  0.373 1.083  0.457 1.000  0.558 0.958  0.623 0.905  0.670 0.833  0.749 0.794  0.749 0.675  0.749 0.557  0.749 0.439  0.749 0.320  0.744 0.203  0.661 0.120  0.577 0.036  0.493 -0.048  0.409 -0.131  0.306 -0.168  0.188 -0.168  0.085 -0.206  0.001 -0.289  -0.083 -0.373  -0.177 -0.443  -0.283 -0.495  -0.386 -0.552  -0.470 -0.635  -0.554 -0.719  -0.641 -0.793  -0.753 -0.800  -0.753 -0.919  -0.753 -1.037  -0.673 -1.123  -0.574 -1.168  -0.456 -1.168  -0.337 -1.168  -0.219 -1.168  -0.100 -1.168  0.018 -1.168  0.136 -1.168  0.255 -1.168  0.373 -1.168
2#app#app08#app0861/:  0.214 1.274  0.214 1.351  0.214 1.428  0.221 1.489  0.275 1.434  0.330 1.379  0.384 1.325  0.434 1.269  0.409 1.196  0.385 1.123  0.360 1.049  0.336 0.976  0.312 0.903  0.287 0.830  0.263 0.757  0.238 0.683  0.214 0.610  0.190 0.537  0.165 0.464  0.141 0.391  0.116 0.317  0.092 0.244  0.067 0.171  0.043 0.098  0.019 0.025  -0.006 -0.049  -0.030 -0.122  -0.055 -0.195  -0.079 -0.268  -0.103 -0.342  -0.128 -0.415  -0.152 -0.488  -0.177 -0.561  -0.201 -0.634  -0.225 -0.708  -0.250 -0.781  -0.274 -0.854  -0.299 -0.927  -0.323 -1.000  -0.347 -1.074  -0.372 -1.147  -0.396 -1.220  -0.421 -1.293  -0.445 -1.366  -0.394 -1.385  -0.317 -1.385  -0.240 -1.385  -0.230 -1.318  -0.230 -1.241  -0.230 -1.164
2#app#app08#app0861/1  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
