3#apb#apb05#app0541/B  -0.290 0.982  -0.256 0.830  -0.272 0.574  -0.273 0.318  -0.306 0.065  -0.368 -0.183  -0.416 -0.435  -0.461 -0.688  -0.524 -0.936  -0.563 -1.189  -0.605 -1.129  -0.605 -0.872  -0.605 -0.616  -0.605 -0.359  -0.605 -0.103  -0.605 0.154  -0.605 0.410  -0.605 0.667  -0.605 0.923  -0.520 1.140  -0.294 1.259  -0.055 1.352  0.191 1.422  0.437 1.418  0.665 1.302  0.809 1.108  0.768 0.863  0.623 0.654  0.450 0.465  0.263 0.290  0.066 0.127  -0.157 0.002  -0.314 0.051  -0.105 0.191  0.139 0.267  0.392 0.301  0.647 0.285  0.885 0.194  1.014 -0.021  1.033 -0.276  0.968 -0.521  0.870 -0.757  0.748 -0.983  0.590 -1.184  0.388 -1.339  0.159 -1.455  -0.085 -1.389  -0.292 -1.244  -0.476 -1.066  -0.639 -0.868
3#apb#apb05#app0541/l  0.271 1.268  0.283 1.345  0.295 1.423  0.304 1.500  0.298 1.509  0.273 1.435  0.248 1.360  0.223 1.286  0.199 1.212  0.174 1.137  0.149 1.063  0.125 0.988  0.101 0.914  0.077 0.839  0.053 0.765  0.029 0.690  0.005 0.615  -0.019 0.541  -0.043 0.466  -0.067 0.392  -0.091 0.317  -0.115 0.242  -0.138 0.168  -0.162 0.093  -0.186 0.019  -0.210 -0.056  -0.234 -0.131  -0.258 -0.205  -0.280 -0.280  -0.283 -0.358  -0.286 -0.437  -0.290 -0.515  -0.293 -0.593  -0.296 -0.672  -0.292 -0.750  -0.288 -0.828  -0.284 -0.906  -0.280 -0.985  -0.238 -1.051  -0.196 -1.117  -0.148 -1.177  -0.085 -1.223  -0.021 -1.269  0.049 -1.296  0.127 -1.301  0.206 -1.306  0.283 -1.304  0.360 -1.290  0.437 -1.275  0.514 -1.261
3#apb#apb05#app0541/u  -0.557 1.413  -0.642 1.286  -0.685 1.134  -0.728 0.983  -0.775 0.833  -0.830 0.685  -0.885 0.538  -0.942 0.391  -0.998 0.244  -1.052 0.096  -1.105 -0.053  -1.116 -0.208  -1.114 -0.365  -1.086 -0.520  -1.034 -0.667  -0.956 -0.802  -0.808 -0.856  -0.658 -0.878  -0.504 -0.842  -0.358 -0.789  -0.219 -0.714  -0.080 -0.640  0.051 -0.552  0.182 -0.465  0.305 -0.368  0.421 -0.261  0.537 -0.154  0.611 -0.016  0.685 0.124  0.750 0.266  0.791 0.418  0.831 0.570  0.872 0.722  0.912 0.875  0.863 1.005  0.758 0.893  0.682 0.758  0.644 0.605  0.615 0.450  0.593 0.294  0.571 0.138  0.548 -0.018  0.531 -0.174  0.518 -0.331  0.526 -0.488  0.537 -0.645  0.568 -0.799  0.630 -0.942  0.727 -1.059  0.874 -1.114
3#apb#apb05#app0541/e  -0.332 -0.229  -0.242 -0.318  -0.111 -0.327  0.022 -0.311  0.140 -0.249  0.254 -0.180  0.365 -0.105  0.472 -0.024  0.569 0.067  0.659 0.166  0.748 0.266  0.804 0.387  0.855 0.511  0.894 0.638  0.905 0.771  0.916 0.905  0.892 1.036  0.866 1.167  0.751 1.227  0.626 1.245  0.497 1.209  0.372 1.166  0.273 1.075  0.175 0.984  0.077 0.893  -0.016 0.798  -0.101 0.694  -0.187 0.591  -0.272 0.487  -0.357 0.384  -0.434 0.275  -0.511 0.165  -0.589 0.056  -0.666 -0.053  -0.721 -0.175  -0.772 -0.299  -0.823 -0.423  -0.863 -0.549  -0.863 -0.683  -0.863 -0.816  -0.820 -0.938  -0.751 -1.053  -0.666 -1.151  -0.547 -1.211  -0.427 -1.271  -0.304 -1.322  -0.172 -1.341  -0.039 -1.360  0.093 -1.379  0.226 -1.398
3#apb#apb05#app0541/S  0.424 1.041  0.398 1.156  0.367 1.270  0.288 1.343  0.170 1.343  0.066 1.287  -0.039 1.232  -0.146 1.182  -0.251 1.130  -0.338 1.050  -0.425 0.969  -0.510 0.887  -0.589 0.800  -0.642 0.696  -0.628 0.586  -0.527 0.524  -0.426 0.464  -0.313 0.427  -0.201 0.390  -0.089 0.352  0.022 0.313  0.134 0.274  0.243 0.230  0.346 0.173  0.450 0.116  0.543 0.046  0.627 -0.038  0.711 -0.121  0.763 -0.226  0.804 -0.335  0.786 -0.452  0.755 -0.564  0.691 -0.663  0.626 -0.762  0.536 -0.839  0.447 -0.916  0.351 -0.982  0.242 -1.030  0.134 -1.076  0.019 -1.105  -0.095 -1.134  -0.213 -1.145  -0.331 -1.152  -0.446 -1.137  -0.559 -1.102  -0.666 -1.056  -0.757 -0.980  -0.848 -0.906  -0.943 -0.835  -0.961 -0.726
3#apb#apb05#app0541/p  -0.415 1.136  -0.410 0.942  -0.393 0.748  -0.375 0.554  -0.356 0.361  -0.338 0.167  -0.319 -0.026  -0.293 -0.219  -0.268 -0.412  -0.280 -0.606  -0.298 -0.799  -0.322 -0.992  -0.348 -1.185  -0.386 -1.376  -0.430 -1.565  -0.538 -1.725  -0.613 -1.676  -0.573 -1.485  -0.532 -1.295  -0.492 -1.105  -0.449 -0.915  -0.406 -0.726  -0.347 -0.541  -0.282 -0.357  -0.218 -0.174  -0.153 0.010  -0.088 0.193  -0.024 0.377  0.041 0.560  0.105 0.743  0.170 0.927  0.244 1.107  0.326 1.283  0.448 1.423  0.616 1.391  0.778 1.283  0.862 1.113  0.925 0.929  0.976 0.742  1.004 0.549  1.008 0.355  0.950 0.177  0.820 0.039  0.651 -0.054  0.463 -0.100  0.268 -0.100  0.083 -0.048  -0.097 0.025  -0.261 0.129  -0.434 0.218
3#apb#apb05#app0541/r  -0.219 1.255  -0.219 1.194  -0.223 1.059  -0.233 0.924  -0.244 0.790  -0.254 0.655  -0.256 0.520  -0.256 0.385  -0.256 0.250  -0.256 0.115  -0.256 -0.020  -0.256 -0.155  -0.256 -0.290  -0.256 -0.425  -0.256 -0.560  -0.256 -0.695  -0.256 -0.830  -0.256 -0.965  -0.257 -1.100  -0.270 -1.234  -0.284 -1.369  -0.319 -1.495  -0.366 -1.587  -0.366 -1.452  -0.366 -1.317  -0.362 -1.182  -0.334 -1.050  -0.306 -0.918  -0.277 -0.786  -0.248 -0.655  -0.215 -0.524  -0.182 -0.393  -0.150 -0.262  -0.117 -0.131  -0.060 -0.009  0.004 0.110  0.068 0.229  0.132 0.348  0.208 0.459  0.288 0.568  0.367 0.677  0.447 0.786  0.527 0.895  0.631 0.977  0.745 1.050  0.859 1.122  0.975 1.190  1.102 1.236  1.229 1.283  1.356 1.329
3#apb#apb05#app0541/i  -0.451 0.118  -0.451 0.056  -0.451 -0.046  -0.451 -0.147  -0.451 -0.249  -0.461 -0.351  -0.470 -0.452  -0.478 -0.553  -0.486 -0.655  -0.489 -0.756  -0.481 -0.858  -0.472 -0.959  -0.463 -1.061  -0.454 -1.162  -0.395 -1.237  -0.309 -1.290  -0.215 -1.330  -0.185 -1.240  -0.159 -1.142  -0.133 -1.044  -0.107 -0.945  -0.082 -0.847  -0.056 -0.748  -0.030 -0.650  -0.004 -0.551  0.022 -0.453  0.048 -0.354  0.074 -0.256  0.100 -0.157  0.125 -0.059  0.151 0.040  0.177 0.138  0.203 0.237  0.229 0.335  0.255 0.433  0.281 0.532  0.307 0.630  0.333 0.729  0.358 0.827  0.384 0.926  0.410 1.024  0.436 1.123  0.462 1.221  0.488 1.320  0.514 1.418  0.540 1.517  0.565 1.615  0.591 1.714  0.615 1.809  0.516 1.790
3#apb#apb05#app0541/n  -0.659 1.089  -0.649 0.941  -0.638 0.793  -0.628 0.645  -0.620 0.497  -0.611 0.349  -0.609 0.201  -0.635 0.055  -0.660 -0.091  -0.686 -0.237  -0.707 -0.384  -0.728 -0.531  -0.752 -0.678  -0.781 -0.823  -0.798 -0.970  -0.798 -1.028  -0.798 -0.880  -0.777 -0.735  -0.730 -0.594  -0.684 -0.453  -0.637 -0.312  -0.590 -0.172  -0.540 -0.032  -0.467 0.097  -0.394 0.226  -0.322 0.356  -0.241 0.480  -0.156 0.602  -0.072 0.724  0.046 0.808  0.177 0.879  0.314 0.923  0.462 0.923  0.601 0.893  0.722 0.807  0.821 0.698  0.912 0.581  0.963 0.446  0.987 0.300  1.004 0.153  1.004 0.005  1.004 -0.144  1.004 -0.292  1.004 -0.440  1.004 -0.589  1.004 -0.737  1.005 -0.885  1.037 -1.030  1.093 -1.162  1.198 -1.267
3#apb#apb05#app0541/g  0.507 0.966  0.554 1.124  0.425 1.217  0.267 1.240  0.112 1.202  -0.032 1.125  -0.167 1.032  -0.294 0.929  -0.400 0.806  -0.491 0.670  -0.567 0.525  -0.617 0.370  -0.631 0.208  -0.603 0.047  -0.503 -0.083  -0.348 -0.121  -0.185 -0.138  -0.028 -0.112  0.122 -0.046  0.221 0.085  0.310 0.222  0.389 0.366  0.446 0.519  0.483 0.678  0.498 0.841  0.529 1.001  0.540 0.999  0.503 0.840  0.479 0.678  0.461 0.515  0.434 0.353  0.406 0.191  0.362 0.033  0.321 -0.125  0.289 -0.286  0.259 -0.447  0.236 -0.610  0.211 -0.772  0.181 -0.933  0.134 -1.089  0.069 -1.239  -0.019 -1.378  -0.113 -1.512  -0.253 -1.585  -0.415 -1.595  -0.571 -1.550  -0.709 -1.464  -0.836 -1.361  -0.945 -1.239  -1.023 -1.095
3#apb#apb05#app0541/s  0.346 0.842  0.416 0.948  0.472 1.057  0.470 1.183  0.413 1.296  0.293 1.316  0.169 1.314  0.052 1.265  -0.065 1.217  -0.179 1.165  -0.285 1.095  -0.390 1.024  -0.493 0.952  -0.589 0.869  -0.670 0.773  -0.718 0.666  -0.682 0.545  -0.603 0.446  -0.524 0.347  -0.414 0.287  -0.301 0.230  -0.190 0.169  -0.081 0.105  0.029 0.043  0.140 -0.017  0.252 -0.077  0.350 -0.156  0.447 -0.237  0.546 -0.317  0.647 -0.393  0.741 -0.477  0.830 -0.567  0.870 -0.687  0.865 -0.802  0.776 -0.884  0.660 -0.934  0.545 -0.987  0.430 -1.040  0.306 -1.050  0.180 -1.050  0.053 -1.046  -0.071 -1.024  -0.196 -1.002  -0.320 -0.980  -0.444 -0.955  -0.568 -0.930  -0.694 -0.916  -0.820 -0.907  -0.942 -0.880  -1.062 -0.840
