3#app#app25#app2579/I  0.747 1.421  0.666 1.421  0.585 1.421  0.555 1.370  0.555 1.290  0.535 1.229  0.454 1.229  0.373 1.229  0.363 1.158  0.363 1.077  0.363 0.996  0.363 0.915  0.363 0.835  0.363 0.754  0.363 0.673  0.320 0.610  0.262 0.553  0.205 0.496  0.172 0.429  0.172 0.348  0.169 0.268  0.112 0.211  0.055 0.154  -0.002 0.097  -0.020 0.023  -0.020 -0.058  -0.020 -0.138  -0.020 -0.219  -0.020 -0.300  -0.074 -0.359  -0.131 -0.416  -0.188 -0.473  -0.212 -0.544  -0.212 -0.625  -0.212 -0.706  -0.212 -0.787  -0.212 -0.868  -0.280 -0.880  -0.361 -0.880  -0.404 -0.918  -0.404 -0.999  -0.412 -1.072  -0.493 -1.072  -0.573 -1.072  -0.596 -1.131  -0.596 -1.212  -0.616 -1.284  -0.673 -1.341  -0.730 -1.398  -0.787 -1.456
3#app#app25#app2579/f  1.437 1.081  1.437 1.240  1.297 1.259  1.137 1.259  1.080 1.156  0.997 1.081  0.857 1.035  0.744 0.923  0.594 0.902  0.546 0.791  0.454 0.724  0.368 0.651  0.313 0.546  0.165 0.521  0.052 0.409  0.012 0.266  -0.071 0.190  -0.166 0.126  -0.166 -0.033  -0.166 -0.192  -0.166 -0.351  -0.166 -0.510  -0.166 -0.670  -0.166 -0.829  -0.089 -0.956  -0.005 -1.056  -0.164 -1.056  -0.323 -1.056  -0.344 -1.194  -0.463 -1.234  -0.622 -1.234  -0.700 -1.153  -0.762 -1.056  -0.878 -1.013  -0.878 -0.854  -0.877 -0.695  -0.839 -0.541  -0.800 -0.387  -0.761 -0.232  -0.723 -0.078  -0.700 0.079  -0.653 0.190  -0.494 0.190  -0.335 0.190  -0.176 0.190  -0.016 0.190  0.143 0.190  0.269 0.269  0.387 0.368  0.546 0.368
3#app#app25#app2579/M  -1.549 -1.084  -1.482 -0.883  -1.416 -0.681  -1.331 -0.554  -1.167 -0.437  -1.019 -0.286  -0.960 -0.098  -0.810 0.053  -0.660 0.203  -0.509 0.353  -0.359 0.503  -0.224 0.660  -0.152 0.842  0.035 0.903  0.041 0.696  0.025 0.490  -0.092 0.326  -0.181 0.151  -0.332 0.001  -0.357 -0.201  -0.445 -0.377  -0.489 -0.571  -0.489 -0.784  -0.534 -0.952  -0.622 -1.076  -0.550 -0.952  -0.475 -0.805  -0.312 -0.687  -0.136 -0.599  -0.080 -0.410  0.071 -0.259  0.173 -0.090  0.239 0.107  0.351 0.286  0.527 0.373  0.596 0.531  0.764 0.638  0.977 0.638  1.163 0.701  1.233 0.884  1.427 0.903  1.492 0.765  1.366 0.605  1.252 0.506  1.096 0.369  0.954 0.213  0.859 0.023  0.816 -0.176  0.703 -0.342  0.571 -0.422
3#app#app25#app2579/y  0.048 1.374  -0.149 1.374  -0.173 1.200  -0.322 1.152  -0.394 1.027  -0.466 0.859  -0.605 0.720  -0.615 0.526  -0.775 0.489  -0.836 0.353  -0.836 0.156  -0.836 -0.042  -0.771 -0.174  -0.615 -0.215  -0.597 -0.395  -0.400 -0.395  -0.203 -0.395  -0.005 -0.395  0.150 -0.294  0.298 -0.174  0.491 -0.170  0.491 0.028  0.616 0.173  0.756 0.312  0.895 0.452  1.077 0.489  1.154 0.610  1.154 0.807  1.154 0.858  1.104 0.710  0.915 0.692  0.775 0.553  0.636 0.413  0.496 0.274  0.491 0.079  0.491 -0.118  0.349 -0.174  0.269 -0.292  0.203 -0.462  0.063 -0.601  -0.128 -0.616  -0.173 -0.768  -0.301 -0.837  -0.394 -0.942  -0.475 -1.058  -0.615 -1.115  -0.638 -1.303  -0.778 -1.442  -0.917 -1.582  -1.057 -1.721
3#app#app25#app2579/N  -1.186 -1.220  -1.186 -1.037  -1.151 -0.869  -1.027 -0.738  -1.005 -0.565  -0.876 -0.436  -0.859 -0.260  -0.730 -0.131  -0.601 -0.002  -0.552 0.160  -0.455 0.302  -0.326 0.431  -0.235 0.576  -0.180 0.735  -0.077 0.875  -0.077 1.057  0.007 1.155  0.081 1.047  0.081 0.865  -0.075 0.839  -0.077 0.658  -0.077 0.476  -0.127 0.314  -0.235 0.176  -0.235 -0.006  -0.235 -0.188  -0.307 -0.341  -0.394 -0.488  -0.394 -0.670  -0.394 -0.853  -0.394 -1.035  -0.238 -1.061  -0.055 -1.061  0.081 -1.016  0.151 -0.903  0.240 -0.809  0.323 -0.661  0.432 -0.518  0.514 -0.355  0.618 -0.208  0.747 -0.079  0.873 0.051  0.893 0.225  1.022 0.354  1.151 0.483  1.190 0.650  1.190 0.832  1.314 0.963  1.348 1.131  1.507 1.155
3#app#app25#app2579/a  0.807 0.440  0.807 0.666  0.807 0.892  0.682 0.993  0.456 0.993  0.230 0.993  0.004 0.993  -0.222 0.993  -0.298 0.843  -0.398 0.716  -0.610 0.682  -0.769 0.522  -0.962 0.440  -1.128 0.380  -1.128 0.154  -1.128 -0.072  -1.313 -0.113  -1.404 -0.248  -1.404 -0.474  -1.370 -0.665  -1.144 -0.665  -1.128 -0.875  -0.968 -0.942  -0.742 -0.942  -0.516 -0.942  -0.293 -0.936  -0.133 -0.776  0.047 -0.665  0.254 -0.646  0.254 -0.420  0.449 -0.389  0.531 -0.245  0.531 -0.019  0.574 0.164  0.800 0.164  0.807 0.383  0.927 0.560  1.081 0.714  0.921 0.554  0.761 0.394  0.601 0.234  0.531 0.037  0.455 -0.113  0.254 -0.138  0.254 -0.365  0.254 -0.591  0.405 -0.665  0.631 -0.665  0.857 -0.665  1.083 -0.665
3#app#app25#app2579/m  -0.217 1.057  -0.406 0.868  -0.542 0.658  -0.668 0.444  -0.867 0.355  -0.978 0.134  -1.052 -0.102  -1.240 -0.291  -1.460 -0.405  -1.517 -0.614  -1.517 -0.578  -1.517 -0.311  -1.377 -0.103  -1.141 -0.029  -0.920 0.082  -0.831 0.281  -0.617 0.407  -0.359 0.386  -0.151 0.245  0.108 0.236  0.108 -0.030  0.053 -0.242  -0.055 -0.401  -0.217 -0.505  -0.380 -0.610  -0.526 -0.730  -0.542 -0.479  -0.349 -0.405  -0.122 -0.310  0.066 -0.121  0.303 -0.047  0.432 0.166  0.612 0.263  0.819 0.407  1.082 0.404  1.082 0.137  1.082 -0.130  0.928 -0.242  0.757 -0.338  0.557 -0.405  0.432 -0.263  0.516 -0.080  0.783 -0.080  0.920 0.050  1.133 0.133  1.353 0.245  1.457 0.407  1.724 0.407  1.689 0.159  1.569 -0.080
3#app#app25#app2579/e  -0.576 -0.049  -0.405 -0.049  -0.234 -0.049  -0.063 -0.049  0.108 -0.049  0.274 -0.036  0.395 0.085  0.553 0.118  0.724 0.118  0.856 0.212  0.977 0.333  1.096 0.455  1.101 0.624  1.222 0.745  1.264 0.899  1.148 0.954  0.977 0.954  0.806 0.954  0.634 0.954  0.463 0.954  0.292 0.954  0.162 0.856  0.019 0.787  -0.074 0.709  -0.156 0.620  -0.302 0.559  -0.429 0.452  -0.576 0.428  -0.596 0.265  -0.717 0.144  -0.838 0.023  -0.959 -0.098  -1.078 -0.220  -1.085 -0.384  -1.245 -0.395  -1.245 -0.566  -1.232 -0.732  -1.111 -0.853  -0.954 -0.886  -0.783 -0.886  -0.611 -0.886  -0.440 -0.886  -0.269 -0.886  -0.098 -0.886  0.073 -0.886  0.245 -0.886  0.416 -0.886  0.587 -0.886  0.758 -0.886  0.929 -0.886
3#app#app25#app2579/=  -1.082 0.735  -0.921 0.735  -0.760 0.735  -0.600 0.735  -0.439 0.735  -0.278 0.735  -0.118 0.735  0.043 0.735  0.203 0.735  0.364 0.735  0.525 0.735  0.685 0.735  0.846 0.735  1.007 0.735  1.167 0.735  1.328 0.735  1.434 0.680  1.434 0.520  1.302 0.440  1.159 0.369  1.015 0.297  0.871 0.225  0.728 0.153  0.584 0.081  0.441 0.009  0.297 -0.062  0.153 -0.134  0.010 -0.206  -0.134 -0.278  -0.278 -0.350  -0.421 -0.422  -0.565 -0.493  -0.709 -0.565  -0.852 -0.637  -0.996 -0.709  -1.140 -0.781  -1.283 -0.853  -1.180 -0.866  -1.019 -0.866  -0.858 -0.866  -0.853 -0.711  -0.766 -0.637  -0.605 -0.637  -0.444 -0.637  -0.284 -0.637  -0.123 -0.637  0.037 -0.637  0.198 -0.637  0.359 -0.637  0.519 -0.637
3#app#app25#app2579/\"  -0.772 0.656  -0.772 0.542  -0.772 0.429  -0.772 0.316  -0.772 0.203  -0.772 0.090  -0.772 -0.024  -0.874 -0.035  -0.987 -0.035  -1.100 -0.035  -1.117 -0.131  -1.117 -0.244  -1.117 -0.358  -1.117 -0.471  -1.117 -0.584  -1.117 -0.697  -1.044 -0.684  -0.946 -0.628  -0.847 -0.572  -0.749 -0.515  -0.651 -0.459  -0.553 -0.403  -0.454 -0.347  -0.356 -0.291  -0.258 -0.235  -0.159 -0.178  -0.061 -0.122  0.037 -0.066  0.135 -0.010  0.234 0.046  0.332 0.102  0.430 0.159  0.529 0.215  0.627 0.271  0.725 0.327  0.823 0.383  0.922 0.439  1.020 0.496  1.118 0.552  1.217 0.608  1.300 0.638  1.300 0.525  1.300 0.412  1.300 0.299  1.300 0.186  1.300 0.072  1.300 -0.041  1.300 -0.154  1.300 -0.267  1.300 -0.380
3#app#app25#app2579/Y  0.407 0.838  0.387 0.990  0.256 0.950  0.195 0.838  0.047 0.781  -0.074 0.660  -0.196 0.538  -0.317 0.417  -0.351 0.259  -0.495 0.232  -0.490 0.080  -0.351 0.047  -0.298 -0.072  -0.127 -0.072  0.045 -0.072  0.217 -0.072  0.256 0.061  0.407 0.081  0.429 0.232  0.559 0.273  0.620 0.383  0.792 0.383  0.862 0.485  0.984 0.535  1.014 0.677  1.165 0.697  1.139 0.823  0.989 0.740  0.839 0.657  0.689 0.573  0.538 0.490  0.388 0.406  0.238 0.323  0.088 0.240  -0.062 0.156  -0.206 0.067  -0.283 -0.087  -0.351 -0.242  -0.379 -0.403  -0.500 -0.524  -0.578 -0.677  -0.655 -0.831  -0.731 -0.984  -0.809 -1.137  -0.931 -1.258  -0.957 -1.419  -0.959 -1.590  -1.081 -1.711  -1.109 -1.871  -1.261 -1.891
