3#app#app11#app1190/A  -0.197 1.750  -0.200 1.540  -0.332 1.377  -0.405 1.182  -0.442 0.985  -0.509 0.801  -0.595 0.625  -0.613 0.420  -0.698 0.228  -0.747 0.028  -0.821 -0.167  -0.856 -0.364  -0.925 -0.548  -0.925 -0.760  -0.883 -0.735  -0.810 -0.536  -0.736 -0.337  -0.663 -0.138  -0.590 0.061  -0.516 0.260  -0.443 0.459  -0.370 0.658  -0.296 0.857  -0.223 1.056  -0.197 0.990  -0.098 0.819  -0.021 0.639  0.055 0.458  0.205 0.308  0.258 0.112  0.371 -0.065  0.486 -0.240  0.593 -0.423  0.711 -0.599  0.849 -0.758  0.944 -0.948  1.092 -1.099  1.242 -1.249  1.319 -1.193  1.210 -1.011  1.101 -0.829  0.992 -0.647  0.883 -0.466  0.774 -0.284  0.635 -0.265  0.487 -0.329  0.275 -0.329  0.066 -0.346  -0.136 -0.413  -0.301 -0.537
3#app#app11#app1190/Q  -0.282 0.961  -0.282 1.155  -0.475 1.157  -0.613 1.021  -0.751 0.884  -0.838 0.765  -0.916 0.621  -0.984 0.455  -1.065 0.294  -1.065 0.100  -1.065 -0.095  -1.065 -0.289  -1.065 -0.484  -1.014 -0.657  -0.967 -0.832  -0.878 -0.989  -0.696 -1.035  -0.515 -1.095  -0.321 -1.095  -0.127 -1.095  0.051 -1.056  0.210 -0.947  0.345 -0.821  0.460 -0.676  0.617 -0.572  0.707 -0.400  0.826 -0.250  0.893 -0.071  0.893 0.123  0.893 0.318  0.893 0.512  0.893 0.707  0.797 0.861  0.729 1.027  0.588 1.157  0.453 1.060  0.366 0.887  0.279 0.713  0.193 0.539  0.106 0.365  0.019 0.191  -0.068 0.017  -0.029 -0.116  0.110 -0.172  0.246 -0.282  0.396 -0.402  0.533 -0.540  0.700 -0.606  0.893 -0.607  0.991 -0.704
3#app#app11#app1190/u  -1.065 0.909  -1.065 0.801  -1.065 0.694  -1.065 0.586  -1.065 0.479  -1.065 0.371  -1.065 0.263  -1.049 0.162  -0.973 0.086  -0.897 0.010  -0.822 -0.066  -0.822 -0.174  -0.822 -0.281  -0.822 -0.389  -0.822 -0.497  -0.785 -0.589  -0.709 -0.665  -0.633 -0.741  -0.548 -0.795  -0.440 -0.795  -0.332 -0.795  -0.225 -0.795  -0.117 -0.795  -0.010 -0.795  0.098 -0.795  0.190 -0.757  0.266 -0.681  0.342 -0.605  0.395 -0.520  0.395 -0.412  0.399 -0.308  0.507 -0.308  0.615 -0.308  0.639 -0.225  0.639 -0.117  0.678 -0.026  0.754 0.050  0.830 0.126  0.882 0.212  0.882 0.320  0.882 0.427  0.882 0.535  0.882 0.643  0.882 0.750  0.882 0.858  0.939 0.909  1.046 0.909  1.126 0.937  1.126 1.045  1.126 1.153
3#app#app11#app1190/i  -0.611 1.565  -0.559 1.513  -0.506 1.460  -0.454 1.408  -0.401 1.355  -0.349 1.303  -0.296 1.250  -0.244 1.198  -0.218 1.135  -0.218 1.060  -0.218 0.986  -0.218 0.912  -0.218 0.838  -0.218 0.763  -0.218 0.689  -0.218 0.615  -0.218 0.541  -0.218 0.467  -0.218 0.392  -0.170 0.338  -0.118 0.285  -0.065 0.233  -0.013 0.180  0.040 0.128  0.092 0.075  0.145 0.023  0.176 -0.038  0.176 -0.113  0.176 -0.187  0.176 -0.261  0.176 -0.335  0.176 -0.410  0.176 -0.484  0.176 -0.558  0.176 -0.632  0.176 -0.706  0.176 -0.781  0.176 -0.855  0.176 -0.929  0.176 -1.003  0.176 -1.078  0.176 -1.152  0.202 -1.215  0.255 -1.268  0.307 -1.320  0.360 -1.373  0.412 -1.425  0.465 -1.478  0.517 -1.530  0.569 -1.583
3#app#app11#app1190/c  0.640 1.137  0.640 1.249  0.618 1.339  0.507 1.339  0.395 1.339  0.283 1.339  0.234 1.276  0.234 1.164  0.149 1.137  0.037 1.137  0.032 1.030  0.016 0.934  -0.096 0.934  -0.171 0.897  -0.171 0.785  -0.212 0.690  -0.291 0.611  -0.370 0.532  -0.374 0.421  -0.385 0.314  -0.465 0.235  -0.544 0.156  -0.576 0.057  -0.576 -0.055  -0.576 -0.167  -0.576 -0.279  -0.576 -0.391  -0.576 -0.503  -0.576 -0.614  -0.576 -0.726  -0.576 -0.838  -0.516 -0.890  -0.404 -0.890  -0.374 -0.972  -0.374 -1.084  -0.271 -1.093  -0.159 -1.093  -0.047 -1.093  0.055 -1.069  0.135 -0.990  0.214 -0.911  0.317 -0.890  0.429 -0.890  0.511 -0.816  0.590 -0.737  0.681 -0.687  0.793 -0.687  0.887 -0.643  0.966 -0.564  1.045 -0.485
3#app#app11#app1190/k  -0.936 1.683  -0.936 1.497  -0.936 1.312  -0.930 1.128  -0.799 0.997  -0.799 0.811  -0.799 0.625  -0.799 0.440  -0.758 0.271  -0.662 0.125  -0.662 -0.061  -0.657 -0.245  -0.574 -0.411  -0.525 -0.585  -0.525 -0.771  -0.403 -0.906  -0.360 -1.057  -0.230 -0.983  -0.179 -0.805  -0.128 -0.626  -0.077 -0.448  -0.026 -0.269  0.025 -0.091  0.076 0.088  0.127 0.266  0.178 0.445  0.229 0.624  0.280 0.802  0.297 0.736  0.174 0.601  0.023 0.558  -0.032 0.395  -0.183 0.313  -0.251 0.195  -0.388 0.146  -0.333 -0.016  -0.202 -0.148  -0.052 -0.235  0.133 -0.235  0.317 -0.245  0.483 -0.328  0.658 -0.372  0.844 -0.372  0.976 -0.503  1.154 -0.527  1.320 -0.610  1.498 -0.646  1.638 -0.755  1.770 -0.886  1.941 -0.920
3#app#app11#app1190/B  -0.631 0.638  -0.527 0.399  -0.527 0.118  -0.423 -0.121  -0.350 -0.373  -0.259 -0.628  -0.190 -0.895  -0.110 -1.164  -0.005 -1.342  -0.131 -1.093  -0.257 -0.841  -0.383 -0.588  -0.509 -0.336  -0.635 -0.084  -0.761 0.168  -0.887 0.420  -1.013 0.672  -0.949 0.847  -0.840 1.019  -0.635 1.155  -0.405 1.281  -0.176 1.407  0.079 1.473  0.257 1.368  0.516 1.346  0.620 1.168  0.620 0.886  0.516 0.648  0.412 0.470  0.210 0.333  0.099 0.158  -0.117 0.012  -0.345 -0.119  -0.490 -0.300  -0.631 -0.368  -0.417 -0.300  -0.178 -0.196  -0.000 -0.092  0.203 -0.014  0.459 0.012  0.741 0.012  0.980 -0.092  1.158 -0.196  1.246 -0.389  1.205 -0.654  1.142 -0.910  0.924 -1.040  0.724 -1.239  0.464 -1.292  0.203 -1.343
3#app#app11#app1190/r  -1.203 0.793  -1.038 0.793  -0.952 0.714  -0.952 0.549  -0.840 0.431  -0.724 0.314  -0.568 0.292  -0.451 0.244  -0.451 0.079  -0.361 -0.048  -0.245 -0.165  -0.201 -0.312  -0.201 -0.476  -0.201 -0.641  -0.105 -0.710  0.050 -0.720  0.050 -0.885  0.050 -1.050  0.054 -1.211  0.219 -1.211  0.300 -1.294  0.300 -1.459  0.300 -1.299  0.224 -1.211  0.059 -1.211  0.050 -1.055  0.050 -0.890  0.050 -0.726  0.050 -0.561  0.050 -0.396  0.050 -0.231  -0.093 -0.209  -0.201 -0.152  -0.201 0.013  -0.201 0.178  -0.201 0.343  -0.201 0.508  -0.201 0.672  -0.170 0.824  -0.053 0.941  0.069 1.044  0.234 1.044  0.399 1.044  0.564 1.044  0.729 1.044  0.894 1.044  1.058 1.044  1.223 1.044  1.388 1.044  1.553 1.044
3#app#app11#app1190/o  0.006 0.714  0.006 0.849  -0.064 0.914  -0.199 0.914  -0.334 0.914  -0.447 0.861  -0.542 0.765  -0.594 0.652  -0.594 0.517  -0.725 0.514  -0.793 0.447  -0.793 0.313  -0.793 0.178  -0.793 0.043  -0.793 -0.092  -0.793 -0.227  -0.793 -0.361  -0.793 -0.496  -0.793 -0.631  -0.793 -0.766  -0.793 -0.900  -0.793 -1.035  -0.707 -1.083  -0.572 -1.083  -0.437 -1.083  -0.302 -1.083  -0.175 -1.064  -0.080 -0.969  0.019 -0.884  0.154 -0.884  0.264 -0.824  0.360 -0.729  0.405 -0.613  0.409 -0.480  0.504 -0.385  0.600 -0.289  0.605 -0.157  0.649 -0.040  0.744 0.055  0.804 0.165  0.804 0.300  0.924 0.315  1.004 0.370  1.004 0.504  1.004 0.639  1.004 0.774  1.004 0.909  1.004 1.044  1.004 1.178  1.004 1.313
3#app#app11#app1190/w  -1.389 0.531  -1.389 0.394  -1.389 0.258  -1.389 0.121  -1.389 -0.015  -1.311 -0.120  -1.214 -0.216  -1.198 -0.346  -1.156 -0.465  -1.059 -0.562  -0.944 -0.614  -0.808 -0.614  -0.671 -0.614  -0.561 -0.550  -0.465 -0.453  -0.368 -0.357  -0.272 -0.260  -0.244 -0.135  -0.244 0.002  -0.244 0.138  -0.244 0.275  -0.244 0.411  -0.232 0.543  -0.135 0.639  -0.053 0.701  -0.053 0.565  -0.053 0.428  -0.053 0.292  -0.053 0.155  -0.053 0.018  0.023 -0.042  0.138 -0.064  0.138 -0.200  0.242 -0.232  0.379 -0.232  0.515 -0.232  0.652 -0.232  0.788 -0.232  0.925 -0.232  1.061 -0.232  1.198 -0.232  1.282 -0.180  1.282 -0.044  1.417 -0.042  1.473 0.039  1.473 0.175  1.473 0.312  1.473 0.448  1.473 0.585  1.473 0.722
3#app#app11#app1190/n  -1.107 0.961  -1.107 0.824  -1.028 0.765  -0.911 0.745  -0.911 0.608  -0.911 0.471  -0.883 0.345  -0.786 0.248  -0.715 0.140  -0.715 0.003  -0.715 -0.134  -0.715 -0.272  -0.715 -0.409  -0.715 -0.546  -0.715 -0.683  -0.715 -0.821  -0.715 -0.958  -0.619 -1.000  -0.493 -0.973  -0.396 -0.876  -0.323 -0.769  -0.323 -0.632  -0.323 -0.495  -0.323 -0.357  -0.323 -0.220  -0.323 -0.083  -0.249 -0.019  -0.127 -0.004  -0.127 0.133  -0.127 0.270  -0.102 0.397  -0.005 0.494  0.101 0.569  0.238 0.569  0.376 0.569  0.513 0.569  0.650 0.569  0.749 0.477  0.846 0.380  0.981 0.373  1.050 0.304  1.056 0.170  1.154 0.073  1.253 -0.019  1.390 -0.019  1.480 -0.096  1.541 -0.218  1.603 -0.341  1.638 -0.470  1.638 -0.607
