1c#apb#apb38#app3891/g  0.214 1.024  0.245 1.170  0.141 1.277  0.005 1.250  -0.123 1.173  -0.246 1.086  -0.362 0.990  -0.476 0.892  -0.561 0.768  -0.647 0.643  -0.669 0.495  -0.672 0.345  -0.654 0.196  -0.569 0.084  -0.437 0.023  -0.289 0.005  -0.151 0.066  -0.020 0.137  0.082 0.248  0.167 0.370  0.234 0.505  0.281 0.645  0.291 0.796  0.303 0.946  0.263 1.072  0.226 0.940  0.210 0.790  0.202 0.640  0.206 0.490  0.219 0.340  0.235 0.190  0.272 0.044  0.308 -0.102  0.362 -0.243  0.416 -0.384  0.456 -0.529  0.495 -0.674  0.502 -0.824  0.502 -0.975  0.443 -1.113  0.379 -1.249  0.280 -1.362  0.177 -1.471  0.050 -1.553  -0.083 -1.615  -0.233 -1.625  -0.384 -1.620  -0.511 -1.572  -0.560 -1.438  -0.521 -1.292
1c#apb#apb38#app3891/o  0.564 0.445  0.490 0.617  0.415 0.788  0.380 0.966  0.425 1.044  0.294 1.174  0.146 1.075  -0.006 0.966  -0.159 0.859  -0.312 0.752  -0.425 0.607  -0.521 0.447  -0.617 0.287  -0.668 0.109  -0.711 -0.073  -0.754 -0.255  -0.796 -0.437  -0.816 -0.621  -0.816 -0.808  -0.816 -0.995  -0.785 -1.173  -0.692 -1.335  -0.572 -1.466  -0.401 -1.540  -0.223 -1.593  -0.039 -1.624  0.084 -1.486  0.206 -1.344  0.301 -1.185  0.384 -1.018  0.468 -0.851  0.472 -0.665  0.472 -0.478  0.472 -0.291  0.472 -0.105  0.472 0.082  0.472 0.269  0.452 0.452  0.388 0.628  0.325 0.803  0.288 0.983  0.288 1.170  0.206 1.126  0.094 0.977  0.010 0.810  -0.034 0.634  0.062 0.487  0.194 0.355  0.355 0.262  0.518 0.169
1c#apb#apb38#app3891/u  -1.506 -0.870  -1.464 -0.871  -1.321 -0.761  -1.152 -0.671  -1.019 -0.527  -0.885 -0.383  -0.750 -0.241  -0.611 -0.102  -0.472 0.037  -0.340 0.181  -0.228 0.343  -0.117 0.505  -0.005 0.666  0.116 0.821  0.224 0.983  0.196 1.068  0.029 0.964  -0.097 0.818  -0.209 0.657  -0.320 0.495  -0.424 0.328  -0.522 0.158  -0.620 -0.012  -0.717 -0.182  -0.783 -0.367  -0.849 -0.552  -0.851 -0.743  -0.731 -0.880  -0.556 -0.902  -0.370 -0.840  -0.213 -0.722  -0.057 -0.602  0.099 -0.483  0.246 -0.353  0.385 -0.215  0.524 -0.076  0.656 0.069  0.776 0.224  0.895 0.380  1.024 0.529  1.156 0.674  1.281 0.825  1.272 0.737  1.227 0.546  1.183 0.354  1.142 0.162  1.101 -0.030  1.122 -0.222  1.193 -0.396  1.344 -0.522
1c#apb#apb38#app3891/r  -0.894 -1.453  -1.010 -1.438  -0.975 -1.366  -0.953 -1.228  -0.916 -1.095  -0.841 -0.975  -0.793 -0.843  -0.754 -0.706  -0.712 -0.571  -0.661 -0.439  -0.610 -0.307  -0.577 -0.169  -0.537 -0.034  -0.473 0.092  -0.424 0.225  -0.358 0.343  -0.272 0.454  -0.171 0.554  -0.089 0.667  0.002 0.760  0.009 0.841  -0.027 0.925  -0.066 0.950  -0.068 0.945  -0.084 1.034  -0.106 1.150  -0.118 1.187  0.004 1.120  0.111 1.028  0.247 0.993  0.383 0.958  0.503 0.883  0.608 0.790  0.695 0.679  0.756 0.553  0.771 0.412  0.742 0.278  0.690 0.146  0.632 0.017  0.574 -0.112  0.528 -0.246  0.488 -0.382  0.420 -0.506  0.365 -0.633  0.381 -0.773  0.446 -0.891  0.572 -0.949  0.713 -0.966  0.854 -0.957  0.995 -0.944
1c#apb#apb38#app3891/a  0.417 0.174  0.394 0.275  0.363 0.446  0.395 0.603  0.380 0.765  0.296 0.885  0.123 0.885  -0.051 0.885  -0.217 0.836  -0.380 0.776  -0.530 0.694  -0.663 0.581  -0.796 0.469  -0.928 0.356  -1.047 0.229  -1.164 0.101  -1.282 -0.027  -1.341 -0.183  -1.365 -0.355  -1.390 -0.528  -1.333 -0.684  -1.240 -0.828  -1.080 -0.896  -0.917 -0.901  -0.751 -0.850  -0.585 -0.799  -0.437 -0.710  -0.296 -0.608  -0.155 -0.506  -0.014 -0.404  0.122 -0.297  0.240 -0.170  0.359 -0.042  0.477 0.085  0.597 0.211  0.720 0.334  0.843 0.457  0.950 0.593  1.051 0.735  1.001 0.588  0.941 0.425  0.897 0.257  0.865 0.086  0.833 -0.084  0.814 -0.256  0.838 -0.428  0.863 -0.600  0.925 -0.751  1.062 -0.857  1.199 -0.964
1c#apb#apb38#app3891/i  -1.213 -1.026  -1.294 -1.138  -1.187 -1.109  -1.048 -1.031  -0.928 -0.924  -0.810 -0.816  -0.705 -0.695  -0.599 -0.575  -0.500 -0.450  -0.408 -0.318  -0.316 -0.187  -0.220 -0.059  -0.119 0.065  -0.018 0.190  0.068 0.325  0.113 0.472  0.011 0.488  -0.087 0.367  -0.163 0.226  -0.220 0.077  -0.271 -0.074  -0.271 -0.234  -0.250 -0.391  -0.196 -0.541  -0.092 -0.663  0.033 -0.761  0.176 -0.824  0.335 -0.846  0.490 -0.822  0.644 -0.778  0.798 -0.733  0.937 -0.657  0.910 -0.518  0.851 -0.369  0.791 -0.220  0.732 -0.071  0.673 0.077  0.614 0.226  0.554 0.375  0.495 0.524  0.436 0.672  0.376 0.821  0.317 0.970  0.258 1.119  0.198 1.268  0.139 1.416  0.080 1.565  0.021 1.714  -0.039 1.863  -0.098 2.012
1c#apb#apb38#app3891/l  -0.814 -1.153  -0.863 -1.181  -0.848 -1.261  -0.704 -1.248  -0.582 -1.183  -0.471 -1.090  -0.373 -0.985  -0.286 -0.870  -0.198 -0.755  -0.111 -0.639  -0.027 -0.522  0.057 -0.404  0.141 -0.286  0.223 -0.168  0.306 -0.049  0.388 0.070  0.458 0.196  0.518 0.327  0.578 0.459  0.624 0.594  0.642 0.737  0.660 0.881  0.660 1.023  0.623 1.163  0.586 1.303  0.509 1.424  0.427 1.542  0.297 1.540  0.183 1.452  0.101 1.334  0.022 1.212  -0.042 1.084  -0.084 0.946  -0.125 0.807  -0.167 0.669  -0.195 0.528  -0.212 0.384  -0.228 0.241  -0.245 0.097  -0.257 -0.047  -0.248 -0.191  -0.238 -0.335  -0.228 -0.479  -0.209 -0.622  -0.177 -0.763  -0.145 -0.904  -0.095 -1.039  -0.034 -1.170  0.051 -1.284  0.153 -1.386
1c#apb#apb38#app3891/l  -0.832 -1.528  -0.727 -1.502  -0.634 -1.399  -0.543 -1.294  -0.457 -1.185  -0.371 -1.075  -0.281 -0.969  -0.188 -0.865  -0.096 -0.761  -0.006 -0.656  0.063 -0.535  0.131 -0.414  0.200 -0.292  0.265 -0.170  0.317 -0.041  0.370 0.088  0.422 0.217  0.475 0.346  0.494 0.483  0.509 0.621  0.524 0.760  0.540 0.898  0.530 1.036  0.518 1.175  0.506 1.314  0.486 1.451  0.459 1.587  0.345 1.529  0.252 1.425  0.179 1.309  0.120 1.183  0.060 1.057  0.004 0.930  -0.051 0.802  -0.107 0.674  -0.159 0.546  -0.189 0.410  -0.219 0.274  -0.250 0.138  -0.278 0.003  -0.278 -0.137  -0.278 -0.276  -0.278 -0.415  -0.278 -0.554  -0.278 -0.693  -0.278 -0.832  -0.240 -0.966  -0.202 -1.100  -0.158 -1.232  -0.115 -1.364
1c#apb#apb38#app3891/s  -1.405 -0.842  -1.409 -0.713  -1.355 -0.580  -1.284 -0.456  -1.192 -0.345  -1.095 -0.240  -0.997 -0.134  -0.897 -0.031  -0.792 0.067  -0.687 0.165  -0.582 0.263  -0.471 0.354  -0.353 0.436  -0.234 0.517  -0.116 0.599  0.011 0.667  0.141 0.728  0.271 0.789  0.401 0.850  0.537 0.898  0.672 0.946  0.809 0.985  0.953 0.985  1.051 0.922  1.091 0.784  1.111 0.642  1.131 0.500  1.129 0.358  1.105 0.216  1.081 0.074  1.057 -0.068  0.993 -0.196  0.929 -0.325  0.860 -0.451  0.790 -0.577  0.671 -0.654  0.546 -0.723  0.405 -0.713  0.263 -0.692  0.121 -0.667  -0.014 -0.619  -0.150 -0.572  -0.285 -0.524  -0.414 -0.461  -0.541 -0.392  -0.666 -0.323  -0.791 -0.251  -0.879 -0.283  -0.807 -0.400  -0.713 -0.509
1c#apb#apb38#app3891/a  0.264 0.968  0.211 1.049  0.067 1.048  -0.077 1.056  -0.221 1.068  -0.358 1.044  -0.487 0.979  -0.617 0.914  -0.725 0.823  -0.819 0.713  -0.914 0.603  -0.996 0.488  -1.029 0.347  -1.062 0.206  -1.095 0.065  -1.088 -0.079  -1.080 -0.224  -1.071 -0.368  -1.003 -0.492  -0.923 -0.613  -0.838 -0.729  -0.729 -0.824  -0.613 -0.896  -0.469 -0.879  -0.326 -0.862  -0.184 -0.841  -0.077 -0.743  0.029 -0.646  0.135 -0.547  0.219 -0.429  0.303 -0.311  0.387 -0.194  0.428 -0.056  0.463 0.084  0.498 0.224  0.528 0.366  0.556 0.508  0.539 0.457  0.554 0.313  0.597 0.176  0.651 0.042  0.704 -0.092  0.790 -0.207  0.887 -0.314  0.994 -0.408  1.127 -0.465  1.259 -0.522  1.396 -0.568  1.537 -0.600  1.678 -0.633
1c#apb#apb38#app3891/r  -1.037 -1.075  -0.996 -1.042  -0.928 -0.929  -0.865 -0.813  -0.795 -0.702  -0.722 -0.592  -0.662 -0.475  -0.603 -0.357  -0.552 -0.236  -0.515 -0.110  -0.478 0.017  -0.456 0.146  -0.449 0.278  -0.442 0.409  -0.434 0.541  -0.421 0.672  -0.408 0.803  -0.395 0.934  -0.418 1.064  -0.431 1.193  -0.382 1.314  -0.289 1.323  -0.195 1.230  -0.102 1.137  -0.004 1.050  0.101 0.969  0.205 0.889  0.307 0.805  0.407 0.719  0.508 0.635  0.613 0.555  0.719 0.476  0.796 0.374  0.851 0.254  0.879 0.126  0.858 0.001  0.811 -0.122  0.754 -0.240  0.681 -0.350  0.608 -0.459  0.534 -0.569  0.458 -0.677  0.383 -0.785  0.320 -0.901  0.257 -1.017  0.226 -1.141  0.253 -1.264  0.358 -1.339  0.480 -1.367  0.611 -1.353
