2#apa#apa03#app0326/T  0.095 0.873  0.230 0.849  0.230 0.689  0.230 0.530  0.230 0.371  0.230 0.212  0.230 0.053  0.230 -0.107  0.230 -0.266  0.230 -0.425  0.230 -0.584  0.136 -0.704  0.095 -0.847  0.095 -1.006  0.095 -1.165  0.067 -1.313  -0.040 -1.428  -0.056 -1.526  -0.135 -1.388  -0.214 -1.250  -0.293 -1.112  -0.372 -0.973  -0.451 -0.835  -0.530 -0.697  -0.609 -0.559  -0.688 -0.420  -0.767 -0.282  -0.846 -0.144  -0.925 -0.006  -1.004 0.132  -1.083 0.271  -1.032 0.334  -0.905 0.412  -0.770 0.468  -0.610 0.468  -0.451 0.468  -0.294 0.476  -0.151 0.548  -0.005 0.603  0.137 0.645  0.257 0.738  0.416 0.738  0.576 0.738  0.705 0.809  0.838 0.873  0.997 0.873  1.157 0.873  1.274 0.973  1.419 1.008  1.578 1.008
2#apa#apa03#app0326/w  -1.139 0.562  -1.139 0.423  -1.268 0.412  -1.289 0.294  -1.289 0.155  -1.289 0.015  -1.289 -0.124  -1.289 -0.264  -1.289 -0.403  -1.234 -0.488  -1.095 -0.488  -0.965 -0.464  -0.867 -0.365  -0.739 -0.338  -0.649 -0.257  -0.587 -0.133  -0.515 -0.014  -0.417 0.085  -0.318 0.183  -0.220 0.282  -0.121 0.380  -0.089 0.507  -0.089 0.479  -0.089 0.339  -0.089 0.200  -0.089 0.060  -0.089 -0.079  -0.058 -0.188  0.061 -0.208  0.071 -0.338  0.210 -0.338  0.211 -0.476  0.339 -0.488  0.479 -0.488  0.618 -0.488  0.758 -0.488  0.811 -0.402  0.886 -0.338  1.007 -0.292  1.106 -0.193  1.204 -0.095  1.261 0.021  1.310 0.112  1.411 0.150  1.411 0.289  1.411 0.429  1.407 0.567  1.309 0.665  1.210 0.764  1.111 0.863
2#apa#apa03#app0326/o  -0.263 1.361  -0.414 1.361  -0.493 1.289  -0.493 1.138  -0.493 0.987  -0.559 0.903  -0.710 0.903  -0.722 0.764  -0.722 0.613  -0.722 0.462  -0.722 0.311  -0.722 0.160  -0.722 0.010  -0.722 -0.141  -0.722 -0.292  -0.722 -0.443  -0.722 -0.594  -0.679 -0.702  -0.528 -0.702  -0.493 -0.817  -0.456 -0.931  -0.305 -0.931  -0.186 -1.008  -0.079 -1.115  0.053 -1.161  0.203 -1.161  0.354 -1.161  0.424 -1.080  0.427 -0.931  0.578 -0.931  0.654 -0.856  0.654 -0.706  0.801 -0.702  0.883 -0.633  0.883 -0.482  0.883 -0.332  0.883 -0.181  0.883 -0.030  0.787 0.081  0.681 0.188  0.654 0.328  0.619 0.444  0.468 0.444  0.424 0.551  0.404 0.694  0.298 0.800  0.195 0.909  0.195 1.059  0.117 1.132  -0.034 1.132
2#apa#apa03#app0326/f  0.481 1.354  0.475 1.473  0.389 1.559  0.370 1.673  0.265 1.690  0.177 1.609  0.068 1.578  0.034 1.491  -0.035 1.397  -0.078 1.294  -0.078 1.172  -0.078 1.050  -0.078 0.929  -0.078 0.807  -0.078 0.685  -0.078 0.564  -0.078 0.442  -0.078 0.320  -0.078 0.199  -0.078 0.077  -0.078 -0.045  -0.078 -0.166  -0.078 -0.288  -0.078 -0.410  -0.078 -0.531  -0.078 -0.653  -0.078 -0.775  -0.078 -0.896  -0.078 -1.018  -0.078 -1.140  -0.078 -1.261  -0.078 -1.383  -0.102 -1.387  -0.150 -1.275  -0.198 -1.163  -0.246 -1.052  -0.294 -0.940  -0.342 -0.828  -0.390 -0.716  -0.353 -0.660  -0.302 -0.590  -0.222 -0.548  -0.100 -0.548  0.022 -0.548  0.143 -0.548  0.230 -0.464  0.340 -0.436  0.462 -0.436  0.481 -0.334  0.593 -0.324
2#apa#apa03#app0326/l  0.151 1.454  0.225 1.454  0.270 1.454  0.195 1.454  0.151 1.425  0.151 1.350  0.151 1.276  0.151 1.202  0.151 1.128  0.151 1.053  0.151 0.979  0.151 0.905  0.151 0.831  0.121 0.786  0.047 0.786  0.017 0.741  0.017 0.667  0.017 0.593  0.017 0.519  0.017 0.444  0.017 0.370  0.017 0.296  0.017 0.221  0.017 0.147  0.017 0.073  0.017 -0.001  -0.010 -0.069  -0.043 -0.136  -0.076 -0.202  -0.109 -0.269  -0.116 -0.341  -0.116 -0.415  -0.116 -0.490  -0.116 -0.564  -0.116 -0.638  -0.116 -0.712  -0.116 -0.787  -0.116 -0.861  -0.116 -0.935  -0.116 -1.010  -0.116 -1.084  -0.116 -1.158  -0.116 -1.232  -0.116 -1.307  -0.116 -1.381  -0.116 -1.455  -0.116 -1.529  -0.116 -1.604  -0.116 -1.678  -0.116 -1.752
2#apa#apa03#app0326/o  0.001 1.536  0.001 1.398  -0.032 1.293  -0.171 1.293  -0.309 1.293  -0.447 1.293  -0.486 1.193  -0.486 1.055  -0.486 0.917  -0.506 0.786  -0.603 0.689  -0.701 0.591  -0.730 0.464  -0.730 0.326  -0.730 0.188  -0.730 0.049  -0.730 -0.089  -0.671 -0.169  -0.533 -0.169  -0.486 -0.260  -0.486 -0.399  -0.486 -0.537  -0.486 -0.675  -0.486 -0.814  -0.449 -0.936  -0.351 -1.034  -0.254 -1.132  -0.120 -1.143  0.019 -1.143  0.157 -1.143  0.295 -1.143  0.434 -1.143  0.488 -1.059  0.488 -0.920  0.605 -0.899  0.731 -0.887  0.731 -0.749  0.731 -0.611  0.731 -0.472  0.731 -0.334  0.731 -0.196  0.731 -0.057  0.731 0.081  0.731 0.219  0.731 0.358  0.731 0.496  0.659 0.562  0.521 0.562  0.488 0.667  0.488 0.806
2#apa#apa03#app0326/w  -1.176 0.807  -1.200 0.655  -1.327 0.608  -1.327 0.433  -1.327 0.257  -1.327 0.082  -1.327 -0.093  -1.316 -0.263  -1.192 -0.387  -1.176 -0.555  -1.152 -0.706  -0.977 -0.706  -0.801 -0.706  -0.626 -0.706  -0.451 -0.706  -0.356 -0.578  -0.277 -0.421  -0.117 -0.399  -0.117 -0.224  -0.065 -0.101  0.034 -0.025  0.134 0.050  0.185 0.174  0.185 0.349  0.306 0.474  0.337 0.636  0.185 0.650  0.157 0.504  0.034 0.451  0.034 0.276  0.034 0.101  0.034 -0.074  0.139 -0.206  0.185 -0.361  0.318 -0.404  0.342 -0.555  0.517 -0.555  0.692 -0.555  0.867 -0.555  1.013 -0.483  1.093 -0.341  1.154 -0.192  1.244 -0.054  1.244 0.121  1.244 0.296  1.244 0.471  1.244 0.646  1.234 0.817  1.110 0.941  1.093 1.109
2#apa#apa03#app0326/e  -0.684 -0.021  -0.684 -0.191  -0.575 -0.252  -0.404 -0.252  -0.234 -0.252  -0.063 -0.252  0.107 -0.252  0.242 -0.217  0.242 -0.046  0.387 -0.021  0.533 0.038  0.654 0.159  0.706 0.308  0.706 0.479  0.706 0.649  0.706 0.820  0.706 0.990  0.682 1.137  0.512 1.137  0.474 1.270  0.403 1.369  0.232 1.369  0.062 1.369  -0.074 1.284  -0.194 1.164  -0.315 1.043  -0.436 0.923  -0.452 0.759  -0.452 0.589  -0.452 0.418  -0.452 0.248  -0.586 0.211  -0.684 0.138  -0.684 -0.032  -0.684 -0.203  -0.598 -0.338  -0.478 -0.459  -0.452 -0.618  -0.452 -0.789  -0.440 -0.947  -0.270 -0.947  -0.221 -1.069  -0.160 -1.179  0.010 -1.179  0.131 -1.299  0.255 -1.410  0.426 -1.410  0.596 -1.410  0.767 -1.410  0.937 -1.410
2#apa#apa03#app0326/r  -0.795 0.944  -0.646 0.944  -0.582 0.859  -0.582 0.710  -0.582 0.561  -0.582 0.412  -0.582 0.263  -0.582 0.114  -0.493 0.002  -0.388 -0.104  -0.369 -0.245  -0.369 -0.394  -0.369 -0.543  -0.369 -0.692  -0.369 -0.841  -0.359 -0.985  -0.253 -1.091  -0.156 -1.199  -0.156 -1.348  -0.156 -1.497  -0.156 -1.583  -0.156 -1.434  -0.156 -1.285  -0.156 -1.136  -0.156 -0.987  -0.156 -0.838  -0.156 -0.689  -0.156 -0.540  -0.156 -0.391  -0.156 -0.242  -0.156 -0.093  -0.156 0.056  -0.156 0.205  -0.121 0.339  -0.015 0.444  0.058 0.563  0.058 0.712  0.188 0.730  0.271 0.797  0.273 0.944  0.422 0.944  0.571 0.944  0.720 0.944  0.869 0.944  1.018 0.944  1.123 0.900  1.123 0.751  1.252 0.730  1.401 0.730  1.550 0.730
2#apa#apa03#app0326/h  -0.510 1.938  -0.435 1.907  -0.510 1.788  -0.510 1.638  -0.510 1.487  -0.510 1.337  -0.510 1.187  -0.510 1.037  -0.510 0.887  -0.447 0.752  -0.404 0.612  -0.404 0.462  -0.404 0.312  -0.404 0.161  -0.404 0.011  -0.404 -0.139  -0.404 -0.289  -0.404 -0.439  -0.404 -0.589  -0.392 -0.736  -0.325 -0.871  -0.298 -1.014  -0.298 -1.164  -0.298 -1.315  -0.289 -1.244  -0.192 -1.191  -0.123 -1.069  -0.086 -0.934  0.021 -0.890  0.021 -0.740  0.033 -0.595  0.127 -0.484  0.146 -0.337  0.193 -0.195  0.251 -0.059  0.339 0.055  0.339 0.205  0.420 0.322  0.453 0.453  0.603 0.453  0.657 0.356  0.681 0.217  0.763 0.100  0.763 -0.050  0.770 -0.198  0.838 -0.333  0.869 -0.475  0.869 -0.625  0.869 -0.775  0.869 -0.926
2#apa#apa03#app0326/a  0.314 1.214  0.183 1.345  0.038 1.442  -0.147 1.442  -0.331 1.442  -0.371 1.297  -0.443 1.142  -0.574 1.011  -0.599 0.836  -0.646 0.663  -0.729 0.498  -0.812 0.332  -0.827 0.151  -0.827 -0.034  -0.827 -0.219  -0.827 -0.404  -0.827 -0.588  -0.711 -0.725  -0.599 -0.864  -0.599 -1.049  -0.599 -1.233  -0.474 -1.294  -0.290 -1.294  -0.143 -1.256  -0.143 -1.071  0.037 -1.066  0.086 -0.930  0.086 -0.745  0.121 -0.575  0.252 -0.444  0.314 -0.285  0.352 -0.116  0.482 0.015  0.542 0.175  0.542 0.360  0.542 0.545  0.542 0.730  0.542 0.915  0.542 0.873  0.542 0.688  0.542 0.503  0.542 0.318  0.542 0.133  0.542 -0.051  0.542 -0.236  0.569 -0.410  0.700 -0.540  0.770 -0.696  0.770 -0.881  0.770 -1.066
