2#apa#apa01#app0155/!  -0.133 1.766  -0.133 1.690  -0.133 1.614  -0.133 1.538  -0.133 1.462  -0.133 1.386  -0.133 1.310  -0.133 1.234  -0.133 1.158  -0.133 1.081  -0.133 1.005  -0.133 0.929  -0.133 0.853  -0.133 0.777  -0.133 0.701  -0.133 0.625  -0.133 0.549  -0.133 0.473  -0.133 0.397  -0.133 0.320  -0.133 0.244  -0.133 0.168  -0.133 0.092  -0.133 0.016  -0.133 -0.060  -0.133 -0.136  -0.133 -0.212  -0.133 -0.288  -0.133 -0.365  -0.133 -0.441  -0.133 -0.517  -0.084 -0.543  -0.008 -0.543  0.052 -0.574  0.094 -0.637  0.136 -0.701  0.179 -0.764  0.221 -0.827  0.263 -0.890  0.305 -0.954  0.348 -1.017  0.361 -1.089  0.361 -1.165  0.361 -1.241  0.361 -1.317  0.336 -1.368  0.260 -1.368  0.196 -1.381  0.196 -1.457  0.196 -1.533
2#apa#apa01#app0155/@  0.020 -0.143  0.129 0.041  0.129 0.334  -0.097 0.401  -0.281 0.292  -0.415 0.133  -0.524 -0.051  -0.632 -0.235  -0.632 -0.528  -0.498 -0.686  -0.205 -0.686  0.020 -0.618  0.129 -0.434  0.130 -0.143  0.238 0.043  0.238 0.031  0.248 -0.251  0.540 -0.251  0.725 -0.143  0.871 0.056  0.890 0.341  0.890 0.634  0.890 0.927  0.832 1.162  0.672 1.295  0.464 1.380  0.216 1.488  -0.048 1.420  -0.306 1.361  -0.481 1.205  -0.632 0.974  -0.741 0.790  -0.862 0.618  -0.959 0.422  -1.067 0.174  -1.067 -0.119  -1.067 -0.412  -1.054 -0.699  -0.846 -0.904  -0.599 -1.013  -0.415 -1.121  -0.197 -1.197  0.062 -1.230  0.355 -1.230  0.539 -1.121  0.672 -0.961  0.839 -0.737  0.892 -0.467  0.999 -0.218  0.999 0.075
2#apa#apa01#app0155/#  -0.650 0.927  -0.650 0.504  -0.650 0.080  -0.650 -0.344  -0.559 -0.730  -0.419 -0.735  -0.240 -0.351  -0.061 0.033  0.118 0.416  0.297 0.800  0.476 1.184  0.597 0.927  0.632 0.538  0.774 0.257  0.774 -0.167  0.774 -0.591  0.774 -1.014  0.726 -0.939  0.373 -0.704  0.021 -0.469  -0.332 -0.234  -0.684 0.001  -1.037 0.236  -1.389 0.471  -1.646 0.528  -1.393 0.358  -0.969 0.358  -0.546 0.358  -0.122 0.358  0.301 0.358  0.725 0.358  1.149 0.358  1.430 0.500  1.691 0.479  1.281 0.372  0.871 0.265  0.461 0.158  0.051 0.052  -0.359 -0.055  -0.769 -0.162  -1.179 -0.269  -1.417 -0.354  -1.136 -0.497  -0.854 -0.639  -0.490 -0.497  -0.066 -0.497  0.357 -0.497  0.781 -0.497  1.205 -0.497  1.628 -0.497
2#apa#apa01#app0155/$  0.756 0.810  0.902 0.946  0.668 1.045  0.410 1.102  0.129 1.102  -0.100 0.976  -0.342 0.881  -0.584 0.785  -0.783 0.586  -0.890 0.372  -0.997 0.197  -0.833 0.080  -0.551 0.080  -0.270 0.080  0.012 0.080  0.257 -0.006  0.514 -0.066  0.741 -0.197  0.902 -0.412  0.902 -0.693  0.870 -0.942  0.741 -1.104  0.513 -1.234  0.292 -1.381  0.015 -1.370  -0.210 -1.234  -0.413 -1.156  -0.627 -1.088  -0.849 -0.944  -0.758 -0.680  -0.664 -0.414  -0.571 -0.149  -0.477 0.116  -0.383 0.382  -0.290 0.647  -0.196 0.912  -0.102 1.178  -0.009 1.443  0.026 1.362  0.026 1.081  0.026 0.800  0.026 0.518  0.161 0.372  0.172 0.101  0.252 -0.147  0.318 -0.401  0.318 -0.682  0.318 -0.964  0.318 -1.245  0.318 -1.527
2#apa#apa01#app0155/%  -0.748 0.914  -0.957 0.809  -1.164 0.702  -1.164 0.449  -1.164 0.195  -0.921 0.185  -0.668 0.185  -0.435 0.205  -0.331 0.355  -0.331 0.608  -0.382 0.810  -0.592 0.914  -0.846 0.914  -0.612 0.974  -0.366 1.036  -0.120 1.097  0.126 1.159  0.372 1.220  0.399 1.210  0.336 1.019  0.292 0.808  0.190 0.597  0.086 0.447  0.019 0.222  -0.122 0.027  -0.122 -0.227  -0.291 -0.361  -0.391 -0.545  -0.436 -0.753  -0.539 -0.903  -0.465 -1.012  -0.260 -0.863  -0.055 -0.714  0.150 -0.565  0.355 -0.416  0.560 -0.267  0.456 -0.336  0.334 -0.506  0.295 -0.743  0.295 -0.996  0.399 -1.146  0.622 -1.185  0.832 -1.258  1.041 -1.153  1.155 -0.961  1.232 -0.786  1.150 -0.566  1.114 -0.336  0.965 -0.232  0.711 -0.232
2#apa#apa01#app0155/^  -1.303 -0.813  -1.303 -0.692  -1.279 -0.596  -1.158 -0.596  -1.085 -0.547  -1.085 -0.426  -1.085 -0.305  -1.085 -0.183  -0.988 -0.160  -0.868 -0.159  -0.868 -0.038  -0.868 0.083  -0.868 0.204  -0.818 0.276  -0.697 0.276  -0.598 0.328  -0.512 0.414  -0.424 0.494  -0.303 0.494  -0.214 0.526  -0.214 0.647  -0.157 0.711  -0.036 0.711  0.085 0.711  0.206 0.711  0.221 0.817  0.230 0.929  0.352 0.929  0.439 0.896  0.439 0.775  0.439 0.654  0.439 0.533  0.497 0.435  0.583 0.350  0.657 0.259  0.657 0.138  0.657 0.017  0.657 -0.104  0.703 -0.206  0.789 -0.292  0.874 -0.377  0.875 -0.498  0.875 -0.619  0.875 -0.740  0.875 -0.861  0.875 -0.982  0.947 -1.031  1.068 -1.031  1.189 -1.031  1.311 -1.031
2#apa#apa01#app0155/&  0.474 0.890  0.189 0.890  -0.095 0.890  -0.252 0.764  -0.411 0.638  -0.537 0.481  -0.493 0.215  -0.284 0.091  -0.086 0.006  0.146 -0.120  0.430 -0.120  0.359 0.006  0.081 -0.008  -0.157 -0.120  -0.389 -0.247  -0.537 -0.382  -0.537 -0.666  -0.486 -0.929  -0.360 -1.131  -0.158 -1.213  0.082 -1.257  0.361 -1.244  0.598 -1.131  0.718 -0.976  0.635 -0.705  0.552 -0.433  0.469 -0.161  0.387 0.111  0.304 0.383  0.221 0.654  0.139 0.926  0.056 1.198  -0.027 1.470  -0.110 1.741  -0.158 1.784  -0.032 1.626  0.095 1.469  0.095 1.184  0.095 0.900  0.095 0.616  -0.032 0.385  -0.032 0.100  -0.077 -0.165  -0.158 -0.415  -0.158 -0.699  -0.233 -0.953  -0.284 -1.215  -0.284 -1.499  -0.180 -1.740  -0.032 -1.889
2#apa#apa01#app0155/*  -0.431 1.323  -0.260 0.999  -0.260 0.605  -0.260 0.211  -0.088 -0.113  -0.088 -0.507  0.084 -0.831  0.228 -1.080  0.427 -0.884  0.215 -0.610  -0.123 -0.407  -0.462 -0.204  -0.800 -0.001  -1.138 0.202  -1.072 0.293  -0.749 0.121  -0.354 0.121  0.040 0.121  0.435 0.121  0.812 0.163  1.153 0.293  1.547 0.293  1.700 0.393  1.421 0.672  1.142 0.951  0.863 1.073  0.599 0.788  0.427 0.465  0.098 0.307  -0.181 0.028  -0.460 -0.251  -0.739 -0.530  -0.946 -0.738  -1.118 -0.961  -0.946 -0.977  -0.946 -0.583  -0.946 -0.188  -0.946 0.206  -0.946 0.601  -0.935 0.969  -0.656 0.690  -0.355 0.465  -0.132 0.293  0.038 -0.005  0.255 -0.209  0.465 -0.394  0.688 -0.565  1.011 -0.737  1.234 -0.909  1.457 -1.080
2#apa#apa01#app0155/(  0.299 1.665  0.299 1.584  0.299 1.503  0.299 1.422  0.279 1.349  0.221 1.292  0.164 1.235  0.107 1.178  0.049 1.120  0.004 1.058  0.004 0.977  -0.018 0.905  -0.075 0.848  -0.133 0.790  -0.144 0.714  -0.144 0.633  -0.144 0.552  -0.157 0.484  -0.238 0.484  -0.291 0.456  -0.291 0.375  -0.291 0.294  -0.291 0.213  -0.291 0.132  -0.291 0.051  -0.291 -0.030  -0.291 -0.111  -0.291 -0.192  -0.291 -0.273  -0.291 -0.354  -0.268 -0.425  -0.210 -0.483  -0.153 -0.540  -0.144 -0.617  -0.143 -0.698  -0.086 -0.755  -0.028 -0.813  0.004 -0.880  0.004 -0.961  0.039 -1.028  0.097 -1.085  0.154 -1.142  0.211 -1.200  0.268 -1.257  0.299 -1.325  0.299 -1.406  0.351 -1.435  0.432 -1.435  0.513 -1.435  0.594 -1.435
2#apa#apa01#app0155/)  -0.498 1.412  -0.411 1.412  -0.348 1.388  -0.348 1.301  -0.300 1.262  -0.213 1.262  -0.198 1.190  -0.189 1.112  -0.102 1.112  -0.048 1.079  -0.048 0.992  0.008 0.962  0.095 0.962  0.101 0.882  0.119 0.813  0.206 0.813  0.251 0.771  0.251 0.684  0.251 0.597  0.251 0.510  0.251 0.424  0.251 0.337  0.251 0.250  0.251 0.163  0.251 0.076  0.251 -0.010  0.251 -0.097  0.251 -0.184  0.226 -0.261  0.165 -0.322  0.103 -0.383  0.101 -0.469  0.101 -0.556  0.101 -0.643  0.101 -0.730  0.101 -0.817  0.032 -0.834  -0.048 -0.841  -0.048 -0.927  -0.048 -1.014  -0.048 -1.101  -0.102 -1.134  -0.189 -1.134  -0.198 -1.212  -0.198 -1.299  -0.198 -1.386  -0.198 -1.472  -0.198 -1.559  -0.198 -1.646  -0.198 -1.733
2#apa#apa01#app0155/`  -0.967 1.269  -0.884 1.269  -0.801 1.269  -0.718 1.269  -0.635 1.269  -0.552 1.269  -0.469 1.269  -0.419 1.236  -0.419 1.153  -0.419 1.070  -0.419 0.987  -0.419 0.904  -0.419 0.821  -0.419 0.738  -0.373 0.674  -0.314 0.616  -0.256 0.557  -0.197 0.498  -0.138 0.440  -0.080 0.381  -0.021 0.322  0.038 0.264  0.096 0.205  0.130 0.136  0.130 0.053  0.130 -0.030  0.130 -0.113  0.130 -0.196  0.130 -0.279  0.130 -0.362  0.130 -0.445  0.130 -0.528  0.130 -0.611  0.130 -0.694  0.130 -0.777  0.130 -0.860  0.148 -0.925  0.231 -0.925  0.314 -0.925  0.397 -0.925  0.480 -0.925  0.562 -0.925  0.645 -0.925  0.678 -0.975  0.678 -1.058  0.678 -1.141  0.678 -1.224  0.678 -1.307  0.678 -1.390  0.678 -1.473
