2#app#app25#app2545/p  0.046 0.475  -0.119 0.455  -0.119 0.270  -0.119 0.085  -0.175 -0.076  -0.305 -0.207  -0.436 -0.337  -0.448 -0.517  -0.464 -0.695  -0.595 -0.826  -0.772 -0.844  -0.792 -1.009  -0.943 -1.042  -0.943 -1.227  -0.943 -1.412  -0.943 -1.411  -0.830 -1.339  -0.778 -1.206  -0.670 -1.066  -0.509 -1.009  -0.448 -0.885  -0.347 -0.742  -0.284 -0.584  -0.202 -0.433  -0.119 -0.283  -0.119 -0.098  -0.119 0.086  0.007 0.145  0.046 0.291  0.046 0.476  0.067 0.640  0.211 0.680  0.272 0.804  0.376 0.885  0.376 1.069  0.496 1.134  0.541 1.274  0.700 1.299  0.720 1.134  0.905 1.134  1.035 1.080  1.035 0.895  1.035 0.710  1.035 0.525  0.901 0.475  0.870 0.321  0.697 0.310  0.520 0.290  0.390 0.159  0.211 0.145
1c#apa#apa03#app0358/p  -0.304 0.058  -0.427 -0.065  -0.428 -0.239  -0.497 -0.384  -0.553 -0.535  -0.553 -0.709  -0.553 -0.883  -0.636 -1.023  -0.677 -1.180  -0.677 -1.354  -0.741 -1.501  -0.802 -1.474  -0.802 -1.300  -0.758 -1.144  -0.650 -1.010  -0.572 -0.854  -0.549 -0.686  -0.428 -0.562  -0.415 -0.390  -0.373 -0.221  -0.331 -0.052  -0.260 0.101  -0.153 0.235  -0.075 0.391  0.003 0.546  0.070 0.705  0.070 0.879  0.125 1.040  0.213 1.179  0.320 1.247  0.436 1.304  0.611 1.304  0.785 1.304  0.917 1.204  0.956 1.055  1.067 0.991  1.067 0.817  1.067 0.643  1.028 0.478  0.950 0.323  0.818 0.275  0.760 0.125  0.614 0.058  0.441 0.055  0.318 -0.067  0.143 -0.067  0.070 -0.168  -0.080 -0.191  -0.254 -0.191  -0.304 -0.067
1c#apb#apb09#app0910/p  -0.501 0.318  -0.594 0.185  -0.619 0.028  -0.611 -0.136  -0.600 -0.300  -0.585 -0.464  -0.568 -0.627  -0.528 -0.786  -0.488 -0.945  -0.449 -1.105  -0.409 -1.264  -0.381 -1.414  -0.448 -1.264  -0.500 -1.108  -0.552 -0.952  -0.591 -0.793  -0.622 -0.632  -0.653 -0.470  -0.668 -0.307  -0.679 -0.143  -0.690 0.021  -0.662 0.179  -0.607 0.333  -0.551 0.488  -0.477 0.634  -0.396 0.777  -0.275 0.883  -0.141 0.979  0.007 1.050  0.157 1.116  0.313 1.168  0.470 1.209  0.633 1.190  0.788 1.150  0.928 1.064  1.025 0.937  1.102 0.792  1.127 0.631  1.143 0.468  1.130 0.305  1.105 0.143  1.051 -0.009  0.973 -0.154  0.853 -0.266  0.733 -0.378  0.580 -0.436  0.425 -0.490  0.263 -0.518  0.101 -0.542  -0.063 -0.542
1c#ced#cypl9614_s_jd/p  -0.278 1.068  -0.230 1.189  -0.231 1.165  -0.303 1.117  -0.327 0.920  -0.303 0.722  -0.299 0.520  -0.278 0.319  -0.273 0.117  -0.254 -0.084  -0.254 -0.286  -0.254 -0.489  -0.254 -0.691  -0.260 -0.893  -0.278 -1.094  -0.308 -1.294  -0.327 -1.494  -0.351 -1.693  -0.303 -1.784  -0.308 -1.582  -0.312 -1.379  -0.316 -1.177  -0.321 -0.974  -0.325 -0.772  -0.329 -0.570  -0.334 -0.367  -0.338 -0.165  -0.342 0.038  -0.346 0.240  -0.351 0.443  -0.423 0.620  -0.423 0.822  -0.325 0.974  -0.144 1.051  0.054 1.068  0.253 1.092  0.452 1.074  0.646 1.028  0.813 0.917  0.950 0.772  1.051 0.602  1.095 0.408  1.084 0.207  1.062 0.007  0.944 -0.149  0.766 -0.243  0.580 -0.316  0.384 -0.353  0.182 -0.346  -0.013 -0.305
1c#ced#cypl9614_s_jd/p  -0.495 0.848  -0.566 0.924  -0.673 0.934  -0.648 0.756  -0.637 0.574  -0.618 0.392  -0.582 0.212  -0.546 0.032  -0.532 -0.151  -0.479 -0.326  -0.443 -0.506  -0.412 -0.687  -0.376 -0.868  -0.360 -1.050  -0.338 -1.232  -0.291 -1.407  -0.291 -1.559  -0.332 -1.414  -0.370 -1.237  -0.418 -1.065  -0.444 -0.885  -0.489 -0.707  -0.539 -0.530  -0.587 -0.353  -0.621 -0.174  -0.597 0.003  -0.520 0.160  -0.457 0.324  -0.352 0.475  -0.239 0.619  -0.098 0.735  0.035 0.861  0.185 0.967  0.345 1.051  0.519 1.103  0.703 1.103  0.874 1.036  1.019 0.927  1.135 0.786  1.209 0.619  1.251 0.442  1.251 0.258  1.208 0.080  1.111 -0.076  0.985 -0.209  0.848 -0.330  0.678 -0.395  0.502 -0.421  0.327 -0.366  0.168 -0.274
1c#ced#cypl9614_s_jd/p  -0.339 1.058  -0.284 1.239  -0.314 1.413  -0.285 1.251  -0.257 1.052  -0.230 0.851  -0.230 0.647  -0.205 0.445  -0.202 0.241  -0.197 0.037  -0.175 -0.165  -0.161 -0.368  -0.148 -0.571  -0.166 -0.774  -0.175 -0.977  -0.170 -1.181  -0.148 -1.382  -0.120 -1.583  -0.120 -1.787  -0.133 -1.801  -0.161 -1.599  -0.189 -1.397  -0.217 -1.194  -0.245 -0.992  -0.273 -0.790  -0.301 -0.588  -0.328 -0.386  -0.385 -0.191  -0.453 0.001  -0.524 0.192  -0.558 0.390  -0.520 0.586  -0.384 0.734  -0.207 0.835  -0.033 0.932  0.161 0.993  0.360 1.030  0.560 1.058  0.756 1.016  0.929 0.911  1.037 0.739  1.056 0.539  1.024 0.340  0.927 0.163  0.798 0.007  0.634 -0.110  0.447 -0.190  0.248 -0.224  0.047 -0.247  -0.148 -0.200
1c#ced#cypl9614_s_jd/p  -0.628 0.890  -0.580 1.059  -0.580 1.151  -0.554 0.972  -0.532 0.790  -0.509 0.607  -0.491 0.424  -0.462 0.241  -0.458 0.057  -0.432 -0.126  -0.415 -0.310  -0.403 -0.494  -0.391 -0.678  -0.391 -0.863  -0.391 -1.048  -0.391 -1.233  -0.415 -1.415  -0.415 -1.599  -0.450 -1.561  -0.444 -1.380  -0.438 -1.196  -0.438 -1.011  -0.403 -0.830  -0.391 -0.646  -0.391 -0.461  -0.391 -0.276  -0.382 -0.092  -0.355 0.090  -0.344 0.274  -0.292 0.452  -0.215 0.616  -0.111 0.767  0.038 0.876  0.200 0.961  0.377 1.008  0.558 1.032  0.735 0.980  0.904 0.910  1.050 0.797  1.177 0.665  1.248 0.494  1.290 0.315  1.266 0.134  1.163 -0.018  1.019 -0.133  0.854 -0.216  0.675 -0.264  0.491 -0.270  0.309 -0.244  0.130 -0.199
2#apa#apa10#app1051/p  0.202 0.620  0.070 0.620  0.023 0.517  -0.003 0.388  -0.029 0.259  -0.054 0.130  -0.080 0.001  -0.106 -0.128  -0.147 -0.252  -0.196 -0.374  -0.245 -0.497  -0.294 -0.619  -0.342 -0.741  -0.391 -0.863  -0.431 -0.987  -0.431 -1.118  -0.431 -1.250  -0.431 -1.381  -0.431 -1.513  -0.431 -1.544  -0.431 -1.413  -0.431 -1.281  -0.431 -1.150  -0.399 -1.023  -0.357 -0.898  -0.315 -0.774  -0.274 -0.649  -0.232 -0.524  -0.191 -0.399  -0.149 -0.275  -0.107 -0.150  -0.066 -0.025  -0.024 0.100  0.017 0.225  0.055 0.350  0.087 0.478  0.119 0.606  0.151 0.733  0.183 0.861  0.240 0.974  0.333 1.067  0.426 1.160  0.519 1.253  0.612 1.346  0.705 1.439  0.798 1.532  0.834 1.489  0.834 1.357  0.834 1.226  0.834 1.094
2#apa#apa15#app1560/p  -0.197 0.227  -0.247 0.077  -0.297 -0.073  -0.347 -0.223  -0.351 -0.381  -0.351 -0.539  -0.351 -0.697  -0.351 -0.856  -0.351 -1.014  -0.354 -1.171  -0.404 -1.322  -0.454 -1.472  -0.505 -1.622  -0.505 -1.467  -0.505 -1.309  -0.505 -1.151  -0.505 -0.992  -0.505 -0.834  -0.505 -0.676  -0.505 -0.518  -0.505 -0.359  -0.505 -0.201  -0.505 -0.043  -0.495 0.114  -0.456 0.267  -0.418 0.421  -0.380 0.574  -0.351 0.729  -0.331 0.883  -0.261 1.024  -0.181 1.152  -0.023 1.152  0.135 1.152  0.292 1.145  0.446 1.107  0.599 1.069  0.753 1.030  0.905 0.987  1.046 0.916  1.188 0.845  1.191 0.689  1.120 0.548  1.050 0.406  0.933 0.303  0.806 0.208  0.680 0.113  0.553 0.018  0.427 -0.077  0.270 -0.081  0.112 -0.081
2#lav#lav2#mp_0005/p  -0.253 0.402  -0.230 0.227  -0.207 0.052  -0.207 -0.125  -0.207 -0.301  -0.208 -0.478  -0.234 -0.652  -0.260 -0.827  -0.262 -1.003  -0.255 -1.179  -0.237 -1.355  -0.230 -1.530  -0.257 -1.705  -0.263 -1.659  -0.256 -1.482  -0.263 -1.306  -0.282 -1.131  -0.283 -0.954  -0.283 -0.777  -0.302 -0.602  -0.327 -0.428  -0.358 -0.254  -0.395 -0.081  -0.428 0.092  -0.454 0.267  -0.478 0.442  -0.482 0.616  -0.439 0.787  -0.375 0.950  -0.289 1.104  -0.159 1.223  -0.018 1.330  0.146 1.368  0.322 1.378  0.494 1.352  0.652 1.278  0.796 1.176  0.940 1.076  0.973 0.903  0.991 0.729  0.950 0.558  0.886 0.396  0.782 0.254  0.657 0.130  0.509 0.039  0.345 -0.025  0.180 -0.089  0.016 -0.126  -0.145 -0.054  -0.313 -0.005
2#lav#lav2#mp_0005/p  -0.334 0.829  -0.325 0.643  -0.318 0.457  -0.318 0.271  -0.318 0.085  -0.310 -0.101  -0.299 -0.287  -0.288 -0.473  -0.296 -0.659  -0.307 -0.845  -0.318 -1.030  -0.343 -1.215  -0.366 -1.400  -0.366 -1.586  -0.373 -1.632  -0.432 -1.456  -0.446 -1.272  -0.446 -1.086  -0.466 -0.901  -0.488 -0.716  -0.505 -0.530  -0.521 -0.345  -0.518 -0.159  -0.507 0.027  -0.468 0.209  -0.483 0.392  -0.464 0.574  -0.417 0.754  -0.352 0.929  -0.250 1.077  -0.107 1.196  0.075 1.235  0.257 1.274  0.441 1.257  0.622 1.217  0.789 1.134  0.953 1.046  1.050 0.898  1.119 0.725  1.137 0.543  1.114 0.358  1.061 0.180  0.988 0.017  0.827 -0.077  0.667 -0.171  0.496 -0.245  0.318 -0.288  0.132 -0.298  -0.054 -0.287  -0.239 -0.268
