2#apa#apa03#app0362/q  0.500 0.467  0.500 0.649  0.500 0.831  0.477 0.991  0.369 1.065  0.243 1.122  0.061 1.122  -0.122 1.122  -0.173 0.991  -0.335 0.942  -0.483 0.860  -0.631 0.777  -0.760 0.648  -0.810 0.486  -0.925 0.352  -0.941 0.176  -0.941 -0.006  -0.848 -0.150  -0.681 -0.188  -0.499 -0.188  -0.317 -0.188  -0.179 -0.080  -0.006 -0.057  0.169 -0.026  0.332 0.056  0.379 0.205  0.500 0.267  0.579 0.416  0.631 0.577  0.631 0.759  0.573 0.802  0.500 0.650  0.500 0.468  0.500 0.285  0.428 0.133  0.369 -0.025  0.349 -0.188  0.238 -0.258  0.151 -0.405  0.107 -0.569  -0.014 -0.701  -0.024 -0.879  -0.024 -1.061  -0.024 -1.244  -0.066 -1.409  -0.155 -1.554  -0.155 -1.736  -0.155 -1.919  -0.155 -2.101  -0.155 -2.283
2#apa#apa03#app0362/u  -0.276 0.930  -0.399 0.930  -0.487 0.896  -0.487 0.773  -0.556 0.719  -0.679 0.719  -0.699 0.616  -0.699 0.493  -0.699 0.370  -0.734 0.261  -0.821 0.174  -0.908 0.087  -0.910 -0.035  -0.910 -0.158  -0.910 -0.281  -0.865 -0.385  -0.778 -0.472  -0.699 -0.562  -0.699 -0.685  -0.699 -0.808  -0.699 -0.931  -0.619 -0.973  -0.496 -0.973  -0.373 -0.973  -0.250 -0.973  -0.127 -0.973  -0.022 -0.931  0.065 -0.844  0.147 -0.755  0.147 -0.632  0.189 -0.550  0.312 -0.550  0.412 -0.497  0.499 -0.410  0.586 -0.323  0.673 -0.236  0.760 -0.149  0.847 -0.062  0.934 0.025  0.993 0.124  0.993 0.247  0.993 0.370  0.993 0.493  0.993 0.616  0.993 0.739  0.993 0.862  0.993 0.984  0.993 1.107  0.993 1.230  0.993 1.353
2#apa#apa03#app0362/i  0.064 -0.390  0.064 -0.488  0.052 -0.574  -0.047 -0.574  -0.120 -0.598  -0.120 -0.696  -0.157 -0.758  -0.255 -0.758  -0.305 -0.806  -0.305 -0.904  -0.305 -1.003  -0.305 -1.101  -0.232 -1.126  -0.134 -1.126  -0.120 -1.211  -0.120 -1.309  -0.110 -1.214  -0.099 -1.117  -0.088 -1.019  -0.077 -0.922  -0.066 -0.824  -0.056 -0.727  -0.045 -0.629  -0.034 -0.532  -0.023 -0.434  -0.012 -0.337  -0.001 -0.239  0.009 -0.142  0.020 -0.044  0.031 0.054  0.042 0.151  0.053 0.249  0.064 0.346  0.074 0.444  0.085 0.541  0.096 0.639  0.107 0.736  0.118 0.834  0.129 0.931  0.139 1.029  0.150 1.126  0.161 1.224  0.172 1.321  0.183 1.419  0.194 1.516  0.204 1.614  0.215 1.711  0.226 1.809  0.237 1.906  0.248 2.004
2#apa#apa03#app0362/c  0.885 0.696  0.885 0.799  0.885 0.901  0.885 1.004  0.863 1.084  0.760 1.084  0.658 1.084  0.555 1.084  0.453 1.084  0.350 1.084  0.248 1.084  0.145 1.084  0.062 1.037  -0.010 0.965  -0.083 0.892  -0.155 0.820  -0.228 0.748  -0.292 0.669  -0.338 0.578  -0.384 0.486  -0.430 0.395  -0.477 0.304  -0.550 0.232  -0.622 0.159  -0.667 0.075  -0.667 -0.027  -0.667 -0.130  -0.667 -0.232  -0.667 -0.335  -0.667 -0.437  -0.667 -0.540  -0.667 -0.642  -0.583 -0.661  -0.481 -0.661  -0.473 -0.756  -0.470 -0.855  -0.367 -0.855  -0.269 -0.865  -0.196 -0.938  -0.124 -1.010  -0.038 -1.049  0.065 -1.049  0.167 -1.049  0.270 -1.049  0.372 -1.049  0.475 -1.049  0.577 -1.049  0.680 -1.049  0.782 -1.049  0.885 -1.049
2#apa#apa03#app0362/k  -0.695 1.360  -0.695 1.137  -0.762 0.930  -0.844 0.727  -0.844 0.504  -0.844 0.281  -0.844 0.058  -0.844 -0.165  -0.844 -0.388  -0.844 -0.610  -0.844 -0.833  -0.844 -1.056  -0.778 -1.084  -0.643 -0.907  -0.507 -0.730  -0.372 -0.553  -0.237 -0.376  -0.101 -0.199  0.034 -0.022  0.170 0.155  0.305 0.333  0.440 0.510  0.576 0.687  0.711 0.864  0.847 1.041  0.982 1.218  1.091 1.317  1.091 1.094  0.942 1.020  0.860 0.831  0.702 0.674  0.545 0.516  0.491 0.318  0.291 0.263  0.107 0.169  0.033 0.021  -0.164 -0.043  -0.352 -0.128  -0.547 -0.156  -0.445 -0.277  -0.371 -0.426  -0.249 -0.527  -0.074 -0.575  0.120 -0.646  0.310 -0.724  0.479 -0.856  0.636 -1.013  0.794 -1.170  0.942 -1.245  1.091 -1.319
2#apa#apa03#app0362/z  -0.907 0.852  -0.777 0.852  -0.647 0.852  -0.517 0.852  -0.387 0.852  -0.386 0.982  -0.257 0.982  -0.127 0.982  0.003 0.982  0.133 0.982  0.263 0.982  0.356 1.073  0.470 1.112  0.600 1.112  0.730 1.112  0.785 1.037  0.732 0.929  0.640 0.837  0.548 0.745  0.456 0.653  0.364 0.561  0.272 0.469  0.211 0.355  0.153 0.239  0.134 0.113  0.072 0.009  -0.020 -0.083  -0.112 -0.175  -0.126 -0.299  -0.236 -0.319  -0.334 -0.397  -0.386 -0.505  -0.442 -0.580  -0.517 -0.635  -0.556 -0.749  -0.647 -0.841  -0.645 -0.970  -0.517 -0.971  -0.515 -1.100  -0.385 -1.100  -0.255 -1.100  -0.125 -1.100  0.005 -1.100  0.134 -1.101  0.135 -1.230  0.265 -1.230  0.395 -1.230  0.525 -1.230  0.655 -1.230  0.785 -1.230
2#apa#apa03#app0362/e  -0.832 -0.161  -0.651 -0.161  -0.648 0.017  -0.474 0.024  -0.293 0.024  -0.112 0.024  -0.095 0.188  0.066 0.208  0.247 0.208  0.273 0.363  0.425 0.392  0.590 0.458  0.752 0.539  0.826 0.675  0.921 0.760  1.010 0.852  1.010 1.033  0.924 1.129  0.743 1.129  0.562 1.129  0.457 1.053  0.385 0.945  0.204 0.945  0.089 0.879  0.026 0.760  -0.138 0.718  -0.266 0.590  -0.394 0.462  -0.521 0.334  -0.649 0.206  -0.777 0.079  -0.905 -0.049  -1.017 -0.184  -1.017 -0.365  -1.017 -0.546  -1.017 -0.727  -1.006 -0.898  -0.825 -0.898  -0.645 -0.901  -0.517 -1.029  -0.358 -1.082  -0.177 -1.082  0.004 -1.082  0.185 -1.082  0.366 -1.082  0.547 -1.082  0.702 -1.021  0.832 -0.898  1.013 -0.898  1.194 -0.898
2#apa#apa03#app0362/p  -0.327 0.382  -0.327 0.209  -0.327 0.036  -0.327 -0.137  -0.404 -0.278  -0.443 -0.435  -0.443 -0.609  -0.443 -0.782  -0.482 -0.939  -0.560 -1.080  -0.560 -1.253  -0.560 -1.427  -0.675 -1.485  -0.677 -1.546  -0.677 -1.373  -0.560 -1.248  -0.518 -1.092  -0.443 -0.950  -0.438 -0.779  -0.327 -0.652  -0.327 -0.478  -0.327 -0.305  -0.327 -0.132  -0.238 0.005  -0.177 0.162  -0.135 0.330  -0.093 0.498  -0.093 0.672  -0.093 0.845  0.023 0.970  0.066 1.125  0.189 1.248  0.334 1.316  0.507 1.316  0.680 1.316  0.850 1.307  0.972 1.184  1.074 1.053  1.074 0.880  1.055 0.714  0.957 0.581  0.893 0.435  0.770 0.312  0.724 0.158  0.573 0.116  0.435 0.032  0.261 0.032  0.137 -0.084  -0.037 -0.084  -0.210 -0.084
2#apa#apa03#app0362/h  -0.120 1.987  -0.120 1.814  -0.130 1.643  -0.208 1.487  -0.282 1.331  -0.282 1.157  -0.296 0.987  -0.374 0.832  -0.444 0.675  -0.444 0.501  -0.444 0.327  -0.444 0.154  -0.444 -0.020  -0.498 -0.171  -0.606 -0.300  -0.606 -0.474  -0.606 -0.647  -0.646 -0.804  -0.767 -0.928  -0.767 -1.101  -0.743 -1.250  -0.606 -1.213  -0.571 -1.054  -0.449 -0.931  -0.439 -0.764  -0.282 -0.748  -0.262 -0.582  -0.139 -0.460  -0.120 -0.294  -0.120 -0.120  0.047 -0.110  0.143 0.035  0.239 0.179  0.336 0.324  0.366 0.488  0.458 0.623  0.603 0.692  0.777 0.692  0.851 0.593  0.851 0.419  0.851 0.246  0.851 0.072  0.851 -0.102  0.851 -0.275  0.731 -0.399  0.689 -0.555  0.689 -0.729  0.689 -0.903  0.689 -1.076  0.689 -1.250
2#apa#apa03#app0362/y  -0.864 1.154  -0.747 1.128  -0.747 0.986  -0.747 0.844  -0.747 0.701  -0.747 0.559  -0.719 0.429  -0.631 0.323  -0.600 0.193  -0.493 0.108  -0.351 0.108  -0.231 0.160  -0.166 0.276  -0.089 0.340  -0.050 0.444  0.041 0.548  0.066 0.680  0.078 0.817  0.179 0.918  0.182 1.059  0.229 1.154  0.371 1.154  0.415 1.055  0.415 0.913  0.415 0.771  0.415 0.628  0.415 0.486  0.415 0.344  0.531 0.318  0.531 0.176  0.531 0.033  0.531 -0.109  0.620 -0.214  0.647 -0.345  0.647 -0.487  0.647 -0.629  0.647 -0.772  0.582 -0.887  0.481 -0.987  0.415 -1.102  0.341 -1.170  0.209 -1.215  0.082 -1.279  -0.058 -1.287  -0.191 -1.311  -0.295 -1.403  -0.437 -1.403  -0.579 -1.403  -0.721 -1.403  -0.864 -1.403
2#apa#apa03#app0362/r  -0.367 0.116  -0.367 0.005  -0.367 -0.107  -0.367 -0.219  -0.367 -0.331  -0.367 -0.442  -0.367 -0.554  -0.416 -0.646  -0.495 -0.725  -0.545 -0.816  -0.545 -0.927  -0.545 -1.039  -0.545 -1.151  -0.545 -1.263  -0.480 -1.310  -0.369 -1.310  -0.367 -1.200  -0.367 -1.089  -0.367 -0.977  -0.304 -0.891  -0.225 -0.812  -0.188 -0.715  -0.188 -0.604  -0.188 -0.492  -0.150 -0.418  -0.038 -0.418  -0.010 -0.335  -0.010 -0.223  -0.010 -0.111  -0.010 0.001  -0.010 0.112  0.066 0.193  0.145 0.272  0.168 0.374  0.174 0.484  0.224 0.584  0.274 0.684  0.324 0.784  0.374 0.884  0.424 0.984  0.474 1.084  0.524 1.184  0.634 1.186  0.703 1.229  0.703 1.341  0.703 1.452  0.724 1.543  0.836 1.543  0.948 1.543  1.060 1.543
