3#apb#apb31#app3177/G  0.423 1.590  0.266 1.527  0.109 1.466  -0.051 1.410  -0.201 1.335  -0.342 1.243  -0.454 1.117  -0.565 0.989  -0.664 0.853  -0.758 0.713  -0.840 0.566  -0.905 0.410  -0.969 0.254  -0.995 0.087  -1.018 -0.080  -1.018 -0.246  -0.985 -0.412  -0.953 -0.578  -0.877 -0.729  -0.802 -0.880  -0.668 -0.975  -0.519 -1.054  -0.351 -1.038  -0.189 -1.005  -0.044 -0.918  0.100 -0.830  0.229 -0.721  0.358 -0.612  0.481 -0.496  0.451 -0.386  0.319 -0.281  0.187 -0.175  0.056 -0.070  -0.074 0.000  -0.035 -0.137  0.125 -0.099  0.279 -0.028  0.415 0.071  0.552 0.170  0.697 0.256  0.843 0.341  1.012 0.341  1.084 0.194  1.043 0.031  0.998 -0.132  0.952 -0.295  0.902 -0.456  0.851 -0.617  0.798 -0.777  0.745 -0.937
3#apb#apb31#app3177/i  0.303 1.629  0.237 1.607  0.210 1.544  0.189 1.478  0.189 1.409  0.189 1.339  0.189 1.269  0.189 1.200  0.189 1.130  0.186 1.061  0.181 0.991  0.176 0.922  0.172 0.852  0.167 0.783  0.162 0.713  0.157 0.644  0.152 0.574  0.148 0.505  0.142 0.436  0.126 0.368  0.110 0.300  0.094 0.232  0.079 0.165  0.063 0.097  0.047 0.029  0.031 -0.039  0.015 -0.107  -0.001 -0.174  -0.016 -0.242  -0.031 -0.310  -0.046 -0.378  -0.061 -0.446  -0.076 -0.514  -0.091 -0.582  -0.106 -0.650  -0.120 -0.718  -0.135 -0.786  -0.150 -0.854  -0.165 -0.922  -0.181 -0.990  -0.201 -1.056  -0.221 -1.123  -0.241 -1.190  -0.261 -1.256  -0.281 -1.323  -0.301 -1.390  -0.321 -1.456  -0.341 -1.523  -0.361 -1.590  -0.381 -1.656
3#apb#apb31#app3177/l  0.308 1.664  0.291 1.596  0.277 1.528  0.277 1.458  0.277 1.389  0.277 1.319  0.275 1.249  0.273 1.180  0.270 1.110  0.268 1.040  0.266 0.971  0.263 0.901  0.259 0.832  0.246 0.763  0.234 0.695  0.221 0.626  0.208 0.558  0.195 0.489  0.182 0.421  0.169 0.352  0.152 0.285  0.134 0.217  0.116 0.150  0.098 0.082  0.080 0.015  0.062 -0.052  0.044 -0.120  0.026 -0.187  0.008 -0.254  -0.010 -0.322  -0.032 -0.388  -0.057 -0.453  -0.082 -0.518  -0.107 -0.583  -0.132 -0.648  -0.157 -0.713  -0.182 -0.778  -0.208 -0.843  -0.233 -0.908  -0.258 -0.973  -0.283 -1.038  -0.316 -1.099  -0.348 -1.161  -0.381 -1.223  -0.413 -1.284  -0.446 -1.346  -0.479 -1.408  -0.511 -1.469  -0.544 -1.531  -0.576 -1.593
3#apb#apb31#app3177/b  0.010 2.159  0.028 1.997  0.039 1.835  0.039 1.672  0.013 1.512  -0.017 1.352  -0.048 1.192  -0.080 1.032  -0.112 0.872  -0.150 0.714  -0.191 0.556  -0.231 0.398  -0.278 0.242  -0.325 0.086  -0.372 -0.070  -0.422 -0.225  -0.472 -0.380  -0.522 -0.535  -0.568 -0.692  -0.611 -0.849  -0.657 -1.005  -0.666 -1.030  -0.622 -0.873  -0.578 -0.716  -0.534 -0.559  -0.490 -0.402  -0.446 -0.246  -0.403 -0.089  -0.305 0.020  -0.154 0.082  -0.018 0.171  0.126 0.239  0.288 0.253  0.451 0.262  0.614 0.253  0.771 0.218  0.909 0.146  0.986 0.003  0.972 -0.157  0.941 -0.316  0.858 -0.456  0.775 -0.596  0.656 -0.705  0.529 -0.807  0.403 -0.911  0.276 -1.013  0.128 -1.081  -0.024 -1.138  -0.179 -1.189  -0.337 -1.226
3#apb#apb31#app3177/e  -0.273 -0.467  -0.185 -0.370  -0.097 -0.272  -0.004 -0.179  0.089 -0.086  0.182 0.006  0.274 0.099  0.367 0.192  0.460 0.285  0.553 0.378  0.646 0.471  0.734 0.568  0.809 0.676  0.883 0.784  0.957 0.893  1.004 1.015  0.998 1.134  0.894 1.182  0.763 1.182  0.640 1.144  0.523 1.085  0.405 1.027  0.293 0.960  0.189 0.880  0.085 0.799  -0.019 0.718  -0.102 0.617  -0.184 0.514  -0.267 0.412  -0.350 0.310  -0.419 0.199  -0.489 0.087  -0.559 -0.024  -0.628 -0.135  -0.676 -0.257  -0.719 -0.381  -0.762 -0.505  -0.805 -0.629  -0.826 -0.758  -0.839 -0.889  -0.852 -1.020  -0.775 -1.112  -0.671 -1.192  -0.559 -1.258  -0.435 -1.300  -0.310 -1.341  -0.182 -1.360  -0.051 -1.360  0.081 -1.360  0.212 -1.360
3#apb#apb31#app3177/r  0.172 0.985  0.113 0.862  0.055 0.738  -0.001 0.614  -0.051 0.487  -0.101 0.360  -0.150 0.233  -0.203 0.107  -0.258 -0.018  -0.313 -0.143  -0.368 -0.268  -0.423 -0.393  -0.480 -0.517  -0.537 -0.641  -0.594 -0.765  -0.649 -0.890  -0.702 -1.016  -0.755 -1.141  -0.813 -1.265  -0.879 -1.384  -0.874 -1.352  -0.813 -1.229  -0.739 -1.115  -0.663 -1.002  -0.587 -0.888  -0.511 -0.775  -0.436 -0.661  -0.360 -0.547  -0.284 -0.434  -0.209 -0.320  -0.136 -0.204  -0.065 -0.088  0.006 0.028  0.078 0.145  0.149 0.261  0.229 0.371  0.323 0.469  0.417 0.568  0.512 0.667  0.605 0.766  0.694 0.870  0.783 0.974  0.882 1.065  1.004 1.126  1.129 1.179  1.187 1.100  1.207 0.965  1.182 0.834  1.137 0.705  1.091 0.577
3#apb#apb31#app3177/t  0.808 1.639  0.670 1.485  0.537 1.328  0.407 1.167  0.280 1.004  0.156 0.839  0.036 0.671  -0.065 0.492  -0.154 0.306  -0.238 0.117  -0.316 -0.074  -0.394 -0.265  -0.451 -0.464  -0.506 -0.663  -0.557 -0.863  -0.600 -1.065  -0.620 -1.267  -0.557 -1.447  -0.365 -1.444  -0.174 -1.367  0.015 -1.284  0.190 -1.174  0.364 -1.063  0.543 -0.961  0.745 -0.921  0.923 -0.857  0.756 -0.735  0.589 -0.614  0.422 -0.493  0.255 -0.372  0.088 -0.250  -0.080 -0.129  -0.247 -0.008  -0.414 0.114  -0.581 0.235  -0.748 0.356  -0.915 0.477  -1.082 0.586  -1.020 0.510  -0.817 0.498  -0.612 0.520  -0.406 0.539  -0.200 0.539  0.007 0.539  0.212 0.557  0.415 0.594  0.618 0.630  0.823 0.658  1.028 0.678  1.233 0.699
3#apb#apb31#app3177/H  -0.149 1.394  -0.218 1.156  -0.259 0.911  -0.303 0.666  -0.360 0.424  -0.424 0.184  -0.495 -0.055  -0.573 -0.291  -0.656 -0.525  -0.750 -0.756  -0.838 -0.989  -0.914 -1.225  -0.793 -1.067  -0.649 -0.864  -0.506 -0.661  -0.362 -0.458  -0.218 -0.255  -0.075 -0.052  0.069 0.152  0.212 0.355  0.356 0.558  0.499 0.761  0.643 0.964  0.787 1.168  0.930 1.371  1.074 1.574  1.099 1.551  1.013 1.318  0.933 1.082  0.852 0.847  0.749 0.621  0.642 0.396  0.538 0.170  0.436 -0.057  0.333 -0.283  0.230 -0.510  0.125 -0.736  0.024 -0.963  -0.045 -1.202  -0.114 -1.433  -0.167 -1.290  -0.249 -1.055  -0.332 -0.820  -0.414 -0.585  -0.496 -0.351  -0.579 -0.116  -0.512 -0.233  -0.277 -0.307  -0.033 -0.261  0.213 -0.223
3#apb#apb31#app3177/u  -0.356 1.013  -0.437 0.896  -0.518 0.780  -0.599 0.663  -0.678 0.545  -0.756 0.427  -0.831 0.307  -0.888 0.178  -0.945 0.048  -0.991 -0.085  -1.018 -0.225  -1.044 -0.364  -1.058 -0.505  -1.064 -0.646  -1.038 -0.780  -0.966 -0.902  -0.883 -1.016  -0.783 -1.116  -0.655 -1.151  -0.514 -1.149  -0.391 -1.079  -0.268 -1.009  -0.163 -0.917  -0.074 -0.807  0.015 -0.696  0.103 -0.585  0.185 -0.469  0.267 -0.354  0.349 -0.238  0.430 -0.122  0.499 0.002  0.566 0.127  0.632 0.252  0.698 0.378  0.760 0.506  0.821 0.633  0.882 0.761  0.940 0.891  0.996 1.021  1.003 1.106  0.969 0.968  0.937 0.830  0.866 0.708  0.823 0.574  0.767 0.445  0.730 0.309  0.690 0.173  0.669 0.032  0.660 -0.109  0.660 -0.250
3#apb#apb31#app3177/n  -0.479 0.671  -0.569 0.517  -0.653 0.360  -0.706 0.190  -0.758 0.019  -0.815 -0.149  -0.873 -0.318  -0.929 -0.487  -0.974 -0.660  -1.023 -0.831  -1.087 -0.997  -1.016 -0.840  -0.919 -0.690  -0.826 -0.538  -0.749 -0.378  -0.671 -0.217  -0.592 -0.057  -0.510 0.101  -0.429 0.260  -0.343 0.416  -0.249 0.567  -0.151 0.716  -0.035 0.827  0.039 0.682  0.026 0.508  -0.026 0.338  -0.071 0.166  -0.109 -0.009  -0.141 -0.184  -0.165 -0.361  -0.176 -0.538  -0.176 -0.717  -0.119 -0.858  0.045 -0.887  0.209 -0.819  0.352 -0.715  0.488 -0.599  0.613 -0.473  0.728 -0.336  0.843 -0.200  0.946 -0.055  1.045 0.094  1.143 0.242  1.228 0.399  1.306 0.559  1.383 0.720  1.441 0.888  1.497 1.058  1.529 1.233  1.480 1.385
3#apb#apb31#app3177/t  0.257 0.939  0.252 0.740  0.213 0.540  0.133 0.350  0.058 0.157  -0.032 -0.028  -0.128 -0.211  -0.220 -0.396  -0.303 -0.584  -0.376 -0.777  -0.390 -0.983  -0.315 -1.161  -0.125 -1.240  0.080 -1.259  0.274 -1.198  0.448 -1.087  0.645 -1.027  0.830 -0.945  1.037 -0.945  0.947 -0.853  0.777 -0.735  0.607 -0.618  0.437 -0.501  0.266 -0.384  0.096 -0.266  -0.074 -0.149  -0.244 -0.032  -0.414 0.085  -0.584 0.202  -0.754 0.320  -0.924 0.437  -1.094 0.554  -1.264 0.671  -1.434 0.788  -1.421 0.670  -1.236 0.578  -1.042 0.515  -0.838 0.488  -0.633 0.466  -0.426 0.476  -0.220 0.487  -0.014 0.500  0.191 0.521  0.397 0.543  0.600 0.572  0.797 0.634  0.994 0.696  1.192 0.757  1.389 0.816  1.587 0.876
