1d#app#app34#app3492/!  -0.101 1.836  -0.111 1.758  -0.178 1.738  -0.178 1.650  -0.178 1.562  -0.178 1.474  -0.178 1.386  -0.178 1.298  -0.177 1.211  -0.114 1.148  -0.101 1.066  -0.101 0.978  -0.101 0.890  -0.101 0.802  -0.101 0.714  -0.101 0.626  -0.101 0.538  -0.101 0.450  -0.101 0.362  -0.100 0.274  -0.078 0.189  -0.057 0.103  -0.036 0.018  -0.014 -0.067  0.007 -0.153  0.028 -0.238  0.050 -0.323  0.071 -0.409  0.092 -0.494  0.114 -0.580  0.135 -0.665  0.156 -0.750  0.178 -0.836  0.199 -0.921  0.174 -0.970  0.086 -0.970  0.055 -1.028  0.055 -1.116  0.110 -1.181  0.133 -1.149  0.199 -1.126  0.211 -1.051  0.204 -0.970  0.116 -0.970  0.055 -0.998  0.093 -1.048  0.133 -1.000  0.075 -0.970  0.055 -1.038  -0.023 -1.048
1d#app#app34#app3492/@  0.225 0.099  0.054 0.180  -0.117 0.099  -0.256 -0.058  -0.341 -0.227  -0.341 -0.478  -0.239 -0.628  -0.068 -0.709  0.103 -0.628  0.259 -0.513  0.323 -0.288  0.387 -0.062  0.306 0.156  0.225 0.196  0.225 0.106  0.228 -0.143  0.318 -0.305  0.467 -0.406  0.659 -0.466  0.830 -0.386  1.001 -0.305  1.033 -0.086  1.114 0.132  1.114 0.384  1.033 0.555  0.991 0.789  0.872 0.944  0.725 1.135  0.561 1.231  0.390 1.312  0.140 1.308  -0.079 1.231  -0.250 1.150  -0.422 1.070  -0.592 0.989  -0.791 0.862  -0.911 0.660  -1.032 0.459  -1.068 0.222  -1.068 -0.029  -1.149 -0.248  -1.134 -0.496  -1.068 -0.732  -0.987 -0.902  -0.820 -1.037  -0.634 -1.194  -0.415 -1.275  -0.164 -1.275  0.057 -1.200  0.306 -1.194
1d#app#app34#app3492/#  -0.559 1.762  -0.559 1.354  -0.559 0.946  -0.559 0.539  -0.559 0.131  -0.559 -0.277  -0.559 -0.684  -0.547 -1.026  -0.412 -0.641  -0.276 -0.257  -0.140 0.128  -0.005 0.512  0.131 0.896  0.267 1.281  0.402 1.665  0.436 1.456  0.436 1.048  0.436 0.641  0.436 0.233  0.515 -0.142  0.602 -0.514  0.602 -0.921  0.602 -1.329  0.457 -1.447  0.131 -1.202  -0.195 -0.958  -0.521 -0.713  -0.847 -0.468  -1.173 -0.224  -1.249 -0.063  -1.007 0.103  -0.636 0.192  -0.260 0.269  0.079 0.435  0.423 0.587  0.760 0.758  1.164 0.767  1.040 0.559  0.739 0.284  0.439 0.009  0.138 -0.267  -0.162 -0.542  -0.463 -0.818  -0.672 -1.058  -0.430 -0.892  -0.091 -0.726  0.151 -0.560  0.484 -0.371  0.858 -0.229  1.266 -0.229
1d#app#app34#app3492/$  0.314 0.917  0.014 1.008  -0.298 0.904  -0.617 0.686  -0.886 0.389  -0.961 0.091  -0.583 0.016  -0.207 0.095  0.193 0.116  0.502 0.016  0.783 -0.152  0.915 -0.506  0.751 -0.848  0.458 -0.984  0.090 -1.084  -0.277 -0.984  -0.644 -0.884  -0.757 -0.619  -0.712 -0.213  -0.667 0.194  -0.621 0.600  -0.576 1.006  -0.531 1.413  -0.485 1.816  -0.386 1.448  -0.286 1.080  -0.184 0.714  -0.086 0.345  0.014 -0.022  0.014 -0.431  0.114 -0.798  0.114 -1.207  0.114 -1.616  0.306 -1.545  0.280 -1.137  0.255 -0.729  0.229 -0.321  0.204 0.087  0.178 0.495  0.153 0.903  0.127 1.311  0.114 1.314  0.114 0.905  0.212 0.520  0.343 0.160  0.414 -0.232  0.514 -0.600  0.602 -0.972  0.614 -1.376  0.714 -1.285
1d#app#app34#app3492/%  -0.638 0.809  -0.897 0.809  -1.048 0.702  -1.177 0.572  -1.177 0.313  -1.068 0.163  -0.809 0.163  -0.638 0.251  -0.507 0.378  -0.423 0.553  -0.531 0.767  -0.639 0.917  -0.601 0.962  -0.353 1.038  -0.106 1.114  0.142 1.190  0.389 1.266  0.636 1.342  0.547 1.216  0.423 1.009  0.240 0.826  0.116 0.618  0.011 0.384  -0.100 0.170  -0.215 -0.060  -0.315 -0.277  -0.352 -0.521  -0.459 -0.735  -0.531 -0.964  -0.453 -1.079  -0.238 -0.935  -0.022 -0.792  0.193 -0.648  0.408 -0.504  0.624 -0.361  0.670 -0.268  0.519 -0.376  0.331 -0.510  0.174 -0.641  0.116 -0.875  0.120 -1.130  0.379 -1.130  0.638 -1.130  0.889 -1.112  1.103 -1.005  1.194 -0.783  1.086 -0.569  0.932 -0.437  0.763 -0.312  0.655 -0.376
1d#app#app34#app3492/^  0.077 0.708  0.077 0.532  -0.004 0.389  -0.129 0.265  -0.254 0.140  -0.378 0.015  -0.399 -0.152  -0.459 -0.304  -0.584 -0.428  -0.637 -0.583  -0.637 -0.759  -0.637 -0.935  -0.792 -0.957  -0.875 -1.050  -0.875 -1.163  -0.875 -0.987  -0.875 -0.810  -0.875 -0.634  -0.875 -0.458  -0.875 -0.282  -0.777 -0.146  -0.653 -0.021  -0.637 0.149  -0.637 0.325  -0.615 0.492  -0.490 0.617  -0.399 0.755  -0.399 0.931  -0.285 1.060  -0.160 1.184  0.017 1.184  0.159 1.102  0.283 0.977  0.314 0.813  0.385 0.708  0.552 0.699  0.552 0.523  0.552 0.346  0.615 0.232  0.790 0.232  0.790 0.055  0.872 -0.087  0.996 -0.212  1.028 -0.375  1.098 -0.481  1.266 -0.489  1.266 -0.666  1.389 -0.719  1.503 -0.780  1.503 -0.957
1d#app#app34#app3492/&  0.551 -0.062  0.436 0.004  0.321 0.070  0.238 0.168  0.101 0.273  -0.061 0.320  -0.189 0.448  -0.254 0.602  -0.363 0.738  -0.484 0.869  -0.484 1.050  -0.484 1.231  -0.391 1.319  -0.257 1.431  -0.077 1.434  0.091 1.420  0.091 1.239  0.070 1.067  -0.024 0.925  -0.105 0.778  -0.233 0.650  -0.270 0.481  -0.351 0.319  -0.484 0.258  -0.549 0.103  -0.648 -0.045  -0.714 -0.211  -0.814 -0.292  -0.829 -0.458  -0.829 -0.639  -0.829 -0.820  -0.811 -0.983  -0.714 -1.067  -0.564 -1.098  -0.383 -1.098  -0.202 -1.098  -0.021 -1.098  0.160 -1.098  0.339 -1.089  0.501 -1.008  0.639 -0.894  0.801 -0.848  0.929 -0.720  1.012 -0.573  0.996 -0.407  0.897 -0.326  0.929 -0.177  1.012 -0.275  1.061 -0.407  1.242 -0.407
1d#app#app34#app3492/*  -0.261 1.225  -0.120 0.932  -0.107 0.504  0.022 0.123  0.022 -0.311  0.022 -0.745  0.163 -1.120  0.294 -0.835  0.446 -0.429  0.598 -0.022  0.751 0.384  0.903 0.790  1.013 0.962  0.717 0.658  0.372 0.442  0.129 0.145  -0.201 -0.131  -0.407 -0.479  -0.714 -0.786  -1.021 -1.092  -1.082 -1.162  -1.007 -0.734  -0.931 -0.307  -0.856 0.120  -0.781 0.548  -0.705 0.975  -0.516 0.912  -0.270 0.658  -0.019 0.416  0.320 0.155  0.553 -0.157  0.914 -0.333  1.150 -0.612  1.398 -0.860  1.073 -0.800  0.655 -0.686  0.236 -0.572  -0.183 -0.457  -0.601 -0.343  -1.020 -0.229  -1.439 -0.115  -1.536 -0.005  -1.199 0.092  -0.798 0.233  -0.374 0.311  0.049 0.389  0.453 0.517  0.887 0.517  1.288 0.654  1.721 0.658
1d#app#app34#app3492/(  0.587 1.624  0.530 1.568  0.473 1.511  0.472 1.431  0.441 1.364  0.384 1.307  0.327 1.251  0.271 1.194  0.244 1.125  0.238 1.047  0.181 0.991  0.127 0.933  0.091 0.861  0.055 0.789  0.019 0.718  -0.035 0.660  -0.092 0.603  -0.099 0.526  -0.099 0.445  -0.101 0.366  -0.157 0.309  -0.213 0.252  -0.213 0.172  -0.246 0.106  -0.303 0.049  -0.327 -0.021  -0.327 -0.101  -0.327 -0.181  -0.327 -0.261  -0.327 -0.341  -0.327 -0.422  -0.327 -0.502  -0.327 -0.582  -0.326 -0.661  -0.269 -0.718  -0.213 -0.775  -0.213 -0.855  -0.180 -0.921  -0.123 -0.978  -0.099 -1.048  -0.087 -1.117  -0.007 -1.117  0.016 -1.174  0.032 -1.248  0.089 -1.304  0.152 -1.345  0.232 -1.345  0.244 -1.413  0.244 -1.425  0.244 -1.345
1d#app#app34#app3492/)  -0.841 1.332  -0.765 1.332  -0.701 1.302  -0.647 1.248  -0.581 1.222  -0.505 1.222  -0.428 1.222  -0.366 1.188  -0.312 1.134  -0.290 1.067  -0.282 0.994  -0.228 0.940  -0.174 0.886  -0.120 0.832  -0.066 0.778  -0.012 0.724  0.041 0.670  0.075 0.601  0.109 0.533  0.144 0.465  0.178 0.397  0.212 0.328  0.246 0.260  0.261 0.187  0.261 0.111  0.261 0.034  0.261 -0.042  0.261 -0.118  0.261 -0.195  0.261 -0.271  0.261 -0.347  0.261 -0.424  0.261 -0.500  0.261 -0.576  0.261 -0.653  0.261 -0.729  0.261 -0.805  0.261 -0.882  0.261 -0.958  0.223 -1.019  0.169 -1.073  0.150 -1.141  0.150 -1.218  0.150 -1.294  0.150 -1.370  0.125 -1.421  0.049 -1.421  0.040 -1.489  0.006 -1.532  -0.070 -1.532
1d#app#app34#app3492/`  -1.136 1.162  -1.056 1.162  -0.977 1.162  -0.898 1.162  -0.818 1.162  -0.739 1.162  -0.715 1.107  -0.715 1.028  -0.715 0.949  -0.715 0.869  -0.715 0.790  -0.693 0.720  -0.637 0.664  -0.581 0.608  -0.525 0.552  -0.469 0.496  -0.413 0.440  -0.357 0.384  -0.301 0.328  -0.245 0.272  -0.189 0.216  -0.133 0.160  -0.077 0.104  -0.021 0.048  0.036 -0.009  0.092 -0.065  0.125 -0.130  0.125 -0.209  0.125 -0.288  0.125 -0.368  0.125 -0.447  0.133 -0.518  0.212 -0.518  0.292 -0.518  0.371 -0.518  0.450 -0.518  0.529 -0.518  0.590 -0.563  0.646 -0.619  0.702 -0.675  0.758 -0.731  0.814 -0.787  0.870 -0.843  0.926 -0.899  0.965 -0.962  0.965 -1.042  0.965 -1.121  0.965 -1.200  0.965 -1.279  0.965 -1.359
