1c#apa#apa13#app1304/f  -0.353 -0.254  -0.243 -0.330  -0.134 -0.405  0.022 -0.334  0.152 -0.203  0.230 -0.050  0.321 0.110  0.432 0.255  0.481 0.429  0.556 0.596  0.556 0.781  0.606 0.958  0.631 1.139  0.586 1.306  0.508 1.459  0.431 1.612  0.278 1.689  0.111 1.681  0.016 1.553  -0.126 1.471  -0.161 1.300  -0.201 1.132  -0.201 0.947  -0.255 0.774  -0.277 0.594  -0.277 0.409  -0.220 0.237  -0.201 0.057  -0.201 -0.128  -0.201 -0.314  -0.160 -0.489  -0.111 -0.662  -0.050 -0.833  -0.013 -1.010  0.070 -1.175  0.140 -1.314  0.113 -1.355  -0.050 -1.267  -0.213 -1.179  -0.376 -1.092  -0.539 -1.004  -0.702 -0.916  -0.741 -0.860  -0.556 -0.860  -0.371 -0.860  -0.212 -0.795  -0.037 -0.754  0.141 -0.708  0.326 -0.708  0.480 -0.632
1c#apa#apa13#app1304/o  -0.109 0.659  -0.220 0.673  -0.248 0.770  -0.373 0.770  -0.498 0.770  -0.623 0.770  -0.723 0.711  -0.812 0.623  -0.900 0.535  -0.988 0.446  -0.997 0.325  -0.997 0.200  -0.997 0.075  -0.997 -0.050  -0.997 -0.175  -0.997 -0.299  -0.997 -0.424  -0.997 -0.549  -0.917 -0.641  -0.829 -0.729  -0.741 -0.818  -0.648 -0.894  -0.523 -0.894  -0.398 -0.894  -0.273 -0.894  -0.156 -0.862  -0.044 -0.806  0.054 -0.731  0.150 -0.653  0.262 -0.598  0.378 -0.561  0.503 -0.561  0.607 -0.511  0.685 -0.415  0.741 -0.303  0.815 -0.210  0.927 -0.154  1.000 -0.075  1.040 0.034  1.122 0.127  1.178 0.238  1.222 0.353  1.222 0.478  1.184 0.587  1.089 0.659  0.975 0.685  0.885 0.770  0.760 0.770  0.645 0.793  0.556 0.881
1c#apa#apa13#app1304/x  1.247 1.123  1.389 1.085  1.312 0.982  1.132 0.982  1.037 0.844  0.947 0.698  0.783 0.660  0.656 0.532  0.529 0.405  0.402 0.278  0.274 0.150  0.247 -0.018  0.120 -0.146  0.037 -0.305  -0.052 -0.459  -0.179 -0.587  -0.307 -0.714  -0.325 -0.889  -0.406 -1.050  -0.486 -1.211  -0.567 -1.372  -0.616 -1.308  -0.649 -1.131  -0.682 -0.955  -0.715 -0.778  -0.748 -0.601  -0.782 -0.424  -0.815 -0.247  -0.848 -0.070  -0.881 0.107  -0.914 0.284  -0.947 0.461  -0.981 0.637  -1.014 0.814  -0.865 0.840  -0.700 0.804  -0.564 0.698  -0.404 0.650  -0.267 0.535  -0.106 0.455  -0.027 0.324  0.089 0.216  0.250 0.135  0.378 0.010  0.506 -0.118  0.633 -0.245  0.774 -0.355  0.924 -0.455  1.074 -0.555  1.106 -0.718
1c#apa#apa13#app1304/y  0.957 0.472  0.834 0.349  0.756 0.193  0.660 0.050  0.554 -0.086  0.476 -0.242  0.398 -0.398  0.320 -0.554  0.242 -0.710  0.136 -0.846  0.088 -1.000  0.065 -1.165  -0.050 -1.294  -0.128 -1.450  -0.161 -1.617  -0.163 -1.735  -0.175 -1.562  -0.187 -1.388  -0.200 -1.214  -0.212 -1.040  -0.225 -0.866  -0.237 -0.692  -0.250 -0.518  -0.262 -0.344  -0.274 -0.170  -0.287 0.004  -0.299 0.178  -0.312 0.352  -0.324 0.526  -0.337 0.700  -0.349 0.874  -0.361 1.048  -0.374 1.222  -0.386 1.396  -0.399 1.570  -0.388 1.693  -0.285 1.562  -0.285 1.387  -0.194 1.251  -0.161 1.090  -0.161 0.915  -0.161 0.741  -0.052 0.612  -0.016 0.452  0.088 0.321  0.143 0.169  0.266 0.046  0.412 -0.025  0.549 -0.113  0.709 -0.149
1c#apa#apa13#app1304/z  -1.127 0.974  -1.031 0.893  -0.902 0.893  -0.806 0.970  -0.678 0.974  -0.550 0.978  -0.435 1.036  -0.310 1.055  -0.181 1.055  -0.082 1.126  0.043 1.136  0.172 1.136  0.287 1.103  0.396 1.055  0.493 0.978  0.539 0.893  0.579 0.803  0.579 0.674  0.505 0.576  0.445 0.462  0.370 0.359  0.279 0.268  0.245 0.153  0.154 0.062  0.063 -0.029  -0.029 -0.121  -0.120 -0.212  -0.211 -0.303  -0.277 -0.413  -0.346 -0.520  -0.437 -0.611  -0.529 -0.702  -0.562 -0.817  -0.639 -0.914  -0.639 -1.043  -0.524 -1.056  -0.395 -1.056  -0.266 -1.056  -0.141 -1.046  -0.042 -0.975  0.065 -0.921  0.183 -0.894  0.312 -0.894  0.441 -0.894  0.570 -0.894  0.665 -0.813  0.794 -0.813  0.917 -0.826  1.018 -0.894  1.147 -0.894
1c#apa#apa13#app1304/u  -1.194 0.970  -1.302 0.931  -1.302 0.785  -1.302 0.638  -1.302 0.492  -1.302 0.346  -1.302 0.200  -1.277 0.059  -1.211 -0.072  -1.194 -0.214  -1.091 -0.317  -0.987 -0.421  -0.884 -0.524  -0.743 -0.536  -0.597 -0.536  -0.450 -0.536  -0.304 -0.536  -0.178 -0.488  -0.063 -0.401  0.068 -0.336  0.207 -0.315  0.273 -0.185  0.353 -0.065  0.457 0.039  0.574 0.109  0.635 0.194  0.690 0.328  0.742 0.462  0.742 0.608  0.742 0.754  0.704 0.862  0.580 0.916  0.456 0.970  0.420 0.860  0.420 0.714  0.420 0.567  0.420 0.421  0.420 0.275  0.420 0.129  0.476 -0.004  0.527 -0.139  0.527 -0.285  0.576 -0.419  0.642 -0.550  0.707 -0.681  0.772 -0.812  0.838 -0.943  0.934 -1.051  1.069 -1.079  1.173 -1.182
1c#apa#apa13#app1304/l  -0.190 1.679  -0.190 1.608  -0.190 1.537  -0.190 1.466  -0.190 1.395  -0.190 1.324  -0.190 1.253  -0.180 1.186  -0.129 1.136  -0.079 1.085  -0.070 1.018  -0.070 0.947  -0.070 0.876  -0.070 0.805  -0.070 0.734  -0.070 0.663  -0.070 0.592  -0.070 0.520  -0.070 0.449  -0.070 0.378  -0.070 0.307  -0.070 0.236  -0.070 0.165  -0.062 0.096  -0.030 0.032  0.002 -0.032  0.033 -0.095  0.051 -0.162  0.051 -0.233  0.051 -0.304  0.051 -0.375  0.051 -0.446  0.051 -0.518  0.051 -0.589  0.051 -0.660  0.051 -0.731  0.082 -0.795  0.114 -0.858  0.145 -0.922  0.171 -0.987  0.171 -1.058  0.171 -1.129  0.171 -1.200  0.171 -1.271  0.171 -1.342  0.171 -1.413  0.171 -1.484  0.171 -1.556  0.171 -1.627  0.171 -1.698
1c#apa#apa13#app1304/u  -1.464 0.804  -1.464 0.660  -1.464 0.516  -1.464 0.372  -1.370 0.266  -1.353 0.129  -1.334 -0.011  -1.270 -0.140  -1.242 -0.278  -1.161 -0.388  -1.059 -0.490  -0.940 -0.569  -0.811 -0.634  -0.668 -0.641  -0.524 -0.641  -0.388 -0.603  -0.259 -0.538  -0.130 -0.474  0.001 -0.418  0.130 -0.380  0.232 -0.278  0.334 -0.176  0.439 -0.078  0.568 -0.014  0.648 0.081  0.710 0.200  0.812 0.302  0.870 0.422  0.870 0.566  0.870 0.711  0.870 0.855  0.870 0.999  0.753 1.027  0.630 0.992  0.566 0.863  0.537 0.725  0.486 0.593  0.425 0.463  0.425 0.319  0.425 0.175  0.425 0.030  0.425 -0.114  0.425 -0.258  0.425 -0.403  0.483 -0.533  0.554 -0.658  0.648 -0.763  0.692 -0.863  0.837 -0.863  0.981 -0.863
1c#apa#apa13#app1304/s  0.499 1.448  0.481 1.333  0.359 1.308  0.265 1.214  0.171 1.120  0.045 1.103  -0.074 1.046  -0.193 0.986  -0.286 0.892  -0.400 0.826  -0.519 0.767  -0.616 0.678  -0.710 0.584  -0.820 0.528  -0.880 0.456  -0.970 0.413  -0.995 0.306  -0.985 0.184  -0.852 0.184  -0.719 0.184  -0.586 0.184  -0.454 0.184  -0.321 0.184  -0.188 0.184  -0.055 0.184  0.077 0.184  0.210 0.184  0.321 0.131  0.428 0.069  0.542 0.025  0.646 -0.046  0.751 -0.091  0.810 -0.210  0.843 -0.335  0.843 -0.467  0.843 -0.600  0.843 -0.733  0.833 -0.861  0.739 -0.955  0.645 -1.049  0.525 -1.081  0.398 -1.114  0.272 -1.156  0.146 -1.195  0.013 -1.195  -0.120 -1.195  -0.252 -1.195  -0.385 -1.195  -0.518 -1.195  -0.651 -1.195
1c#apa#apa13#app1304/q  0.338 1.086  0.338 1.227  0.281 1.311  0.164 1.368  0.023 1.368  -0.100 1.324  -0.223 1.256  -0.334 1.172  -0.446 1.090  -0.546 0.991  -0.620 0.880  -0.620 0.739  -0.620 0.598  -0.534 0.493  -0.404 0.466  -0.265 0.475  -0.139 0.538  -0.022 0.613  0.087 0.692  0.194 0.773  0.270 0.849  0.190 0.734  0.143 0.609  0.094 0.485  0.016 0.370  0.000 0.235  0.000 0.095  -0.015 -0.045  -0.049 -0.181  -0.056 -0.321  -0.056 -0.462  -0.056 -0.603  -0.056 -0.744  -0.056 -0.885  -0.056 -1.026  -0.056 -1.167  -0.113 -1.285  -0.113 -1.426  -0.051 -1.505  0.024 -1.425  0.123 -1.326  0.189 -1.224  0.274 -1.167  0.213 -1.258  0.225 -1.212  0.297 -1.103  0.394 -1.023  0.477 -0.916  0.576 -0.816  0.676 -0.717
1c#apa#apa13#app1304/u  -1.264 1.027  -1.264 0.883  -1.264 0.740  -1.264 0.597  -1.264 0.454  -1.264 0.311  -1.264 0.168  -1.251 0.028  -1.187 -0.100  -1.155 -0.236  -1.155 -0.379  -1.055 -0.481  -0.954 -0.582  -0.926 -0.705  -0.783 -0.705  -0.639 -0.705  -0.496 -0.705  -0.353 -0.705  -0.210 -0.705  -0.073 -0.669  0.063 -0.624  0.185 -0.556  0.286 -0.455  0.398 -0.381  0.468 -0.308  0.565 -0.224  0.685 -0.156  0.716 -0.025  0.793 0.086  0.793 0.229  0.793 0.372  0.793 0.515  0.793 0.658  0.793 0.801  0.698 0.905  0.674 1.015  0.577 0.912  0.577 0.769  0.577 0.626  0.577 0.483  0.577 0.340  0.577 0.197  0.577 0.053  0.601 -0.080  0.685 -0.188  0.685 -0.331  0.778 -0.381  0.884 -0.471  0.909 -0.604  1.010 -0.705
