1d#apa#apa01#app0168/[  0.549 1.219  0.655 1.219  0.557 1.219  0.450 1.219  0.344 1.219  0.238 1.219  0.131 1.219  0.108 1.137  0.029 1.109  -0.077 1.109  -0.163 1.059  -0.244 0.999  -0.333 0.982  -0.346 0.889  -0.434 0.889  -0.333 0.883  -0.333 0.777  -0.333 0.671  -0.333 0.564  -0.333 0.458  -0.238 0.448  -0.223 0.356  -0.223 0.250  -0.223 0.143  -0.223 0.037  -0.223 -0.069  -0.274 -0.154  -0.333 -0.236  -0.333 -0.342  -0.333 -0.449  -0.326 -0.552  -0.251 -0.627  -0.223 -0.722  -0.223 -0.828  -0.223 -0.934  -0.223 -1.041  -0.274 -1.096  -0.286 -1.096  -0.180 -1.096  -0.073 -1.096  0.033 -1.096  0.139 -1.096  0.246 -1.096  0.352 -1.096  0.458 -1.096  0.564 -1.096  0.671 -1.096  0.777 -1.096  0.883 -1.096  0.990 -1.096
1d#apa#apa01#app0168/(  0.222 1.582  0.222 1.505  0.222 1.427  0.159 1.412  0.081 1.412  0.052 1.363  0.052 1.285  0.052 1.207  0.052 1.130  0.052 1.052  0.052 0.974  0.047 0.901  -0.031 0.901  -0.109 0.901  -0.118 0.832  -0.118 0.755  -0.118 0.677  -0.118 0.599  -0.118 0.521  -0.118 0.443  -0.118 0.365  -0.118 0.287  -0.118 0.209  -0.118 0.131  -0.118 0.053  -0.118 -0.024  -0.118 -0.102  -0.118 -0.180  -0.118 -0.258  -0.118 -0.336  -0.118 -0.414  -0.118 -0.492  -0.118 -0.570  -0.118 -0.648  -0.118 -0.725  -0.118 -0.803  -0.118 -0.881  -0.118 -0.959  -0.072 -1.018  -0.017 -1.073  0.038 -1.128  0.052 -1.200  0.052 -1.278  0.096 -1.313  0.173 -1.313  0.222 -1.342  0.222 -1.419  0.237 -1.483  0.315 -1.483  0.393 -1.483
1d#apa#apa01#app0168/)  -0.702 1.342  -0.702 1.256  -0.690 1.183  -0.604 1.183  -0.519 1.183  -0.433 1.183  -0.385 1.146  -0.385 1.061  -0.336 1.025  -0.250 1.025  -0.227 0.963  -0.227 0.877  -0.152 0.866  -0.068 0.865  -0.068 0.779  -0.054 0.707  0.031 0.707  0.091 0.681  0.091 0.596  0.091 0.510  0.091 0.425  0.141 0.390  0.227 0.390  0.249 0.327  0.249 0.242  0.249 0.156  0.249 0.071  0.249 -0.015  0.249 -0.100  0.249 -0.186  0.249 -0.271  0.249 -0.357  0.249 -0.442  0.249 -0.528  0.249 -0.613  0.249 -0.699  0.249 -0.784  0.249 -0.870  0.249 -0.955  0.247 -1.040  0.186 -1.100  0.126 -1.161  0.091 -1.232  0.091 -1.317  0.091 -1.403  0.091 -1.488  0.091 -1.574  0.091 -1.659  0.018 -1.672  -0.068 -1.672
1d#apa#apa01#app0168/(  0.195 1.608  0.195 1.525  0.173 1.464  0.090 1.464  0.051 1.420  0.051 1.337  0.051 1.254  0.046 1.176  -0.037 1.176  -0.093 1.149  -0.093 1.066  -0.093 0.983  -0.093 0.900  -0.143 0.838  -0.202 0.779  -0.237 0.710  -0.237 0.627  -0.237 0.544  -0.237 0.461  -0.237 0.378  -0.237 0.295  -0.237 0.212  -0.237 0.129  -0.237 0.046  -0.237 -0.037  -0.237 -0.120  -0.237 -0.203  -0.237 -0.286  -0.237 -0.369  -0.194 -0.408  -0.111 -0.408  -0.093 -0.474  -0.093 -0.557  -0.093 -0.640  -0.075 -0.715  -0.016 -0.774  0.043 -0.832  0.051 -0.912  0.061 -0.985  0.144 -0.985  0.195 -1.017  0.195 -1.100  0.233 -1.167  0.292 -1.226  0.339 -1.290  0.339 -1.373  0.378 -1.417  0.461 -1.417  0.544 -1.417  0.627 -1.417
1d#apa#apa01#app0168/)  -0.573 1.560  -0.573 1.478  -0.573 1.396  -0.573 1.315  -0.537 1.269  -0.456 1.269  -0.390 1.231  -0.332 1.173  -0.274 1.116  -0.217 1.058  -0.159 1.000  -0.136 0.928  -0.136 0.846  -0.089 0.785  -0.031 0.727  0.027 0.669  0.084 0.612  0.142 0.554  0.155 0.477  0.155 0.396  0.155 0.314  0.172 0.250  0.254 0.250  0.300 0.215  0.300 0.133  0.300 0.052  0.300 -0.030  0.300 -0.111  0.300 -0.193  0.300 -0.275  0.300 -0.356  0.300 -0.438  0.300 -0.519  0.300 -0.601  0.257 -0.665  0.200 -0.723  0.155 -0.785  0.155 -0.867  0.155 -0.949  0.155 -1.030  0.117 -1.096  0.059 -1.154  0.009 -1.215  0.009 -1.296  -0.019 -1.349  -0.101 -1.349  -0.136 -1.396  -0.136 -1.477  -0.136 -1.559  -0.136 -1.640
1d#apa#apa01#app0168/(  0.412 1.514  0.412 1.432  0.398 1.365  0.316 1.365  0.262 1.336  0.262 1.254  0.262 1.172  0.262 1.090  0.205 1.065  0.123 1.065  0.112 0.993  0.112 0.911  0.112 0.829  0.095 0.765  0.012 0.765  -0.038 0.733  -0.038 0.651  -0.084 0.615  -0.166 0.615  -0.188 0.555  -0.188 0.473  -0.188 0.390  -0.188 0.308  -0.188 0.226  -0.188 0.144  -0.188 0.062  -0.188 -0.020  -0.188 -0.102  -0.188 -0.184  -0.188 -0.266  -0.188 -0.348  -0.188 -0.430  -0.188 -0.512  -0.188 -0.595  -0.188 -0.677  -0.188 -0.759  -0.188 -0.841  -0.188 -0.923  -0.188 -1.005  -0.150 -1.072  -0.092 -1.130  -0.038 -1.189  -0.038 -1.271  -0.024 -1.348  0.034 -1.406  0.092 -1.464  0.166 -1.484  0.248 -1.484  0.262 -1.552  0.262 -1.634
1d#apa#apa01#app0168/)  -0.672 1.369  -0.585 1.369  -0.498 1.369  -0.410 1.369  -0.408 1.284  -0.368 1.237  -0.281 1.237  -0.277 1.154  -0.277 1.067  -0.277 0.980  -0.196 0.974  -0.145 0.937  -0.145 0.850  -0.066 0.842  -0.013 0.808  -0.013 0.720  -0.013 0.633  0.019 0.578  0.106 0.578  0.119 0.503  0.119 0.416  0.119 0.329  0.119 0.242  0.147 0.183  0.234 0.183  0.250 0.112  0.250 0.025  0.250 -0.062  0.250 -0.149  0.250 -0.236  0.250 -0.324  0.250 -0.411  0.250 -0.498  0.250 -0.585  0.250 -0.672  0.250 -0.759  0.250 -0.846  0.250 -0.934  0.232 -1.003  0.145 -1.003  0.119 -1.063  0.119 -1.151  0.119 -1.238  0.077 -1.308  0.016 -1.369  -0.013 -1.445  -0.015 -1.530  -0.102 -1.530  -0.145 -1.574  -0.145 -1.661
1d#apa#apa01#app0168/(  0.313 1.569  0.313 1.486  0.274 1.440  0.190 1.440  0.184 1.363  0.184 1.279  0.184 1.196  0.113 1.182  0.055 1.157  0.055 1.073  0.055 0.990  0.036 0.924  -0.048 0.924  -0.074 0.867  -0.074 0.783  -0.074 0.700  -0.074 0.616  -0.080 0.537  -0.164 0.537  -0.203 0.493  -0.203 0.410  -0.203 0.326  -0.203 0.242  -0.203 0.158  -0.203 0.074  -0.203 -0.009  -0.203 -0.093  -0.203 -0.177  -0.203 -0.261  -0.203 -0.344  -0.203 -0.428  -0.203 -0.512  -0.203 -0.596  -0.203 -0.680  -0.192 -0.752  -0.109 -0.752  -0.074 -0.802  -0.074 -0.886  -0.074 -0.970  -0.044 -1.041  0.015 -1.100  0.075 -1.159  0.134 -1.219  0.184 -1.282  0.184 -1.365  0.236 -1.397  0.313 -1.404  0.313 -1.488  0.358 -1.526  0.442 -1.526
1d#apa#apa01#app0168/)  -0.579 1.484  -0.520 1.426  -0.462 1.368  -0.458 1.287  -0.421 1.242  -0.338 1.242  -0.337 1.161  -0.295 1.121  -0.216 1.118  -0.216 1.036  -0.169 1.000  -0.089 0.994  -0.031 0.936  0.027 0.878  0.085 0.820  0.143 0.762  0.202 0.704  0.260 0.645  0.268 0.567  0.268 0.485  0.268 0.402  0.268 0.320  0.268 0.238  0.268 0.156  0.268 0.073  0.268 -0.009  0.268 -0.091  0.268 -0.173  0.268 -0.256  0.268 -0.338  0.268 -0.420  0.268 -0.502  0.257 -0.573  0.175 -0.573  0.147 -0.628  0.147 -0.710  0.147 -0.793  0.105 -0.858  0.047 -0.916  0.003 -0.984  -0.034 -1.057  -0.071 -1.131  -0.095 -1.208  -0.095 -1.290  -0.095 -1.372  -0.129 -1.420  -0.211 -1.420  -0.216 -1.498  -0.216 -1.580  -0.216 -1.662
1d#apa#apa01#app0168/(  0.543 1.557  0.485 1.499  0.427 1.440  0.407 1.367  0.407 1.284  0.407 1.202  0.380 1.147  0.298 1.147  0.270 1.092  0.270 1.010  0.212 0.952  0.153 0.893  0.133 0.819  0.133 0.737  0.052 0.736  -0.003 0.709  -0.003 0.627  -0.003 0.545  -0.004 0.463  -0.086 0.463  -0.140 0.435  -0.140 0.352  -0.180 0.287  -0.238 0.228  -0.277 0.162  -0.277 0.080  -0.277 -0.002  -0.277 -0.085  -0.277 -0.167  -0.277 -0.249  -0.277 -0.331  -0.277 -0.414  -0.277 -0.496  -0.277 -0.578  -0.277 -0.660  -0.277 -0.743  -0.277 -0.825  -0.275 -0.906  -0.217 -0.965  -0.158 -1.023  -0.140 -1.097  -0.139 -1.179  -0.081 -1.237  -0.022 -1.296  0.036 -1.354  0.094 -1.412  0.133 -1.478  0.133 -1.560  0.188 -1.588  0.270 -1.588
1d#apa#apa01#app0168/)  -0.482 1.485  -0.482 1.404  -0.434 1.370  -0.358 1.360  -0.300 1.303  -0.253 1.241  -0.253 1.160  -0.191 1.141  -0.138 1.113  -0.138 1.032  -0.063 1.026  -0.024 0.984  -0.015 0.912  0.066 0.912  0.091 0.856  0.091 0.775  0.091 0.694  0.140 0.633  0.197 0.576  0.205 0.498  0.205 0.417  0.205 0.336  0.205 0.255  0.205 0.174  0.205 0.093  0.205 0.012  0.205 -0.069  0.205 -0.150  0.205 -0.231  0.205 -0.312  0.205 -0.393  0.205 -0.474  0.205 -0.555  0.205 -0.636  0.188 -0.710  0.130 -0.767  0.091 -0.831  0.091 -0.913  0.091 -0.994  0.063 -1.063  0.006 -1.120  -0.024 -1.189  -0.024 -1.270  -0.024 -1.351  -0.077 -1.379  -0.138 -1.399  -0.138 -1.480  -0.205 -1.494  -0.286 -1.494  -0.367 -1.494
