3#apa#apa02#app0254/Q  -0.009 1.281  -0.089 1.398  -0.240 1.284  -0.417 1.194  -0.605 1.155  -0.714 1.002  -0.837 0.923  -0.949 0.771  -0.951 0.574  -1.067 0.423  -1.067 0.225  -1.067 0.026  -1.016 -0.164  -0.953 -0.352  -0.902 -0.530  -0.831 -0.699  -0.704 -0.845  -0.550 -0.953  -0.352 -0.953  -0.154 -0.953  0.045 -0.953  0.229 -0.893  0.393 -0.786  0.534 -0.646  0.591 -0.471  0.697 -0.316  0.697 -0.118  0.697 0.080  0.697 0.279  0.697 0.477  0.652 0.665  0.579 0.846  0.497 1.010  0.332 1.017  0.254 0.835  0.176 0.652  0.097 0.470  0.019 0.288  0.109 0.213  0.109 0.014  0.227 -0.067  0.322 -0.225  0.344 -0.415  0.357 -0.600  0.462 -0.694  0.487 -0.886  0.576 -1.064  0.697 -1.144  0.851 -1.188  1.049 -1.188
3#apa#apa02#app0254/U  -0.770 0.731  -0.812 0.845  -0.884 0.762  -0.998 0.721  -0.998 0.565  -1.064 0.437  -1.112 0.302  -1.112 0.147  -1.086 -0.003  -1.017 -0.142  -0.998 -0.293  -0.949 -0.440  -0.900 -0.587  -0.884 -0.740  -0.781 -0.853  -0.671 -0.962  -0.542 -0.998  -0.480 -1.091  -0.325 -1.091  -0.179 -1.068  -0.069 -0.959  0.047 -0.863  0.184 -0.819  0.255 -0.693  0.255 -0.538  0.317 -0.397  0.369 -0.254  0.369 -0.099  0.369 0.057  0.369 0.212  0.369 0.367  0.369 0.523  0.369 0.678  0.369 0.833  0.369 0.989  0.369 1.144  0.369 1.074  0.477 0.964  0.587 0.854  0.617 0.711  0.720 0.597  0.790 0.458  0.824 0.311  0.909 0.191  0.938 0.047  0.968 -0.096  1.078 -0.206  1.166 -0.325  1.166 -0.480  1.280 -0.521
3#apa#apa02#app0254/I  0.327 0.940  0.327 1.140  0.327 0.900  0.327 0.659  0.327 0.419  0.217 0.225  0.217 -0.015  0.149 -0.227  0.107 -0.450  0.107 -0.690  -0.003 -0.885  -0.036 -0.740  -0.127 -0.518  -0.219 -0.296  -0.310 -0.074  -0.401 0.148  -0.493 0.370  -0.584 0.592  -0.676 0.814  -0.767 1.036  -0.547 1.050  -0.307 1.050  -0.067 1.050  0.173 1.050  0.404 1.089  0.627 1.160  0.867 1.160  1.089 1.152  0.928 0.973  0.767 0.795  0.606 0.617  0.444 0.439  0.283 0.261  0.122 0.083  -0.039 -0.095  -0.200 -0.273  -0.361 -0.451  -0.522 -0.629  -0.683 -0.807  -0.844 -0.985  -0.992 -1.168  -0.883 -1.298  -0.713 -1.369  -0.496 -1.312  -0.278 -1.259  -0.038 -1.259  0.156 -1.149  0.396 -1.149  0.526 -1.039  0.767 -1.039
3#apa#apa02#app0254/C  0.514 1.083  0.617 1.083  0.635 1.168  0.569 1.205  0.466 1.205  0.363 1.205  0.260 1.205  0.158 1.205  0.083 1.137  0.010 1.065  -0.063 0.992  -0.153 0.962  -0.214 0.920  -0.231 0.824  -0.304 0.751  -0.376 0.679  -0.449 0.606  -0.457 0.506  -0.509 0.425  -0.578 0.351  -0.578 0.248  -0.578 0.145  -0.610 0.049  -0.656 -0.043  -0.699 -0.135  -0.699 -0.238  -0.699 -0.341  -0.699 -0.444  -0.699 -0.547  -0.675 -0.639  -0.602 -0.712  -0.530 -0.785  -0.457 -0.858  -0.354 -0.858  -0.251 -0.858  -0.148 -0.858  -0.045 -0.858  0.057 -0.858  0.160 -0.858  0.263 -0.858  0.366 -0.858  0.469 -0.858  0.572 -0.858  0.675 -0.858  0.777 -0.858  0.880 -0.858  0.983 -0.858  1.061 -0.796  1.139 -0.736  1.242 -0.736
3#apa#apa02#app0254/K  -0.743 1.333  -0.743 1.389  -0.623 1.213  -0.603 0.995  -0.603 0.769  -0.542 0.569  -0.462 0.376  -0.462 0.150  -0.462 -0.076  -0.462 -0.302  -0.484 -0.519  -0.603 -0.695  -0.603 -0.921  -0.603 -1.147  -0.725 -1.322  -0.743 -1.541  -0.665 -1.501  -0.542 -1.312  -0.418 -1.122  -0.295 -0.933  -0.172 -0.744  -0.049 -0.554  0.074 -0.365  0.197 -0.175  0.320 0.014  0.443 0.203  0.567 0.393  0.690 0.582  0.813 0.772  0.936 0.961  1.059 1.151  0.921 1.168  0.743 1.052  0.560 0.948  0.359 0.888  0.182 0.770  -0.002 0.668  -0.161 0.508  -0.239 0.348  -0.321 0.205  -0.233 0.067  -0.040 0.034  0.078 -0.074  0.246 -0.215  0.383 -0.304  0.506 -0.479  0.707 -0.539  0.805 -0.724  0.927 -0.900  1.086 -1.059
3#apa#apa02#app0254/Z  -0.869 1.005  -0.869 1.215  -0.760 1.316  -0.567 1.333  -0.357 1.333  -0.147 1.333  0.017 1.224  0.227 1.224  0.437 1.224  0.586 1.077  0.657 0.896  0.657 0.686  0.591 0.504  0.443 0.355  0.308 0.198  0.210 0.013  0.061 -0.136  -0.054 -0.308  -0.106 -0.505  -0.243 -0.658  -0.324 -0.835  -0.324 -1.045  -0.245 -1.175  -0.165 -1.334  0.021 -1.393  0.230 -1.393  0.440 -1.393  0.650 -1.393  0.700 -1.327  0.551 -1.178  0.403 -1.030  0.255 -0.882  0.106 -0.733  -0.042 -0.585  -0.191 -0.436  -0.339 -0.288  -0.487 -0.140  -0.636 0.009  -0.784 0.157  -0.932 0.305  -0.833 0.351  -0.624 0.351  -0.414 0.351  -0.204 0.351  0.006 0.350  0.193 0.256  0.400 0.242  0.610 0.242  0.774 0.133  0.984 0.133
3#apa#apa02#app0254/E  -0.028 1.060  -0.117 0.930  -0.158 0.753  -0.254 0.574  -0.288 0.370  -0.346 0.165  -0.418 -0.037  -0.430 -0.250  -0.548 -0.420  -0.548 -0.638  -0.548 -0.857  -0.548 -1.075  -0.536 -1.289  -0.366 -1.407  -0.148 -1.407  0.071 -1.407  0.289 -1.407  0.503 -1.396  0.672 -1.277  0.850 -1.179  0.741 -1.043  0.566 -0.912  0.391 -0.781  0.217 -0.649  0.042 -0.518  -0.133 -0.387  -0.308 -0.256  -0.483 -0.125  -0.657 0.006  -0.484 0.021  -0.266 0.021  -0.047 0.021  0.171 0.021  0.390 0.021  0.608 0.021  0.475 0.167  0.321 0.321  0.166 0.476  0.012 0.630  -0.143 0.785  -0.297 0.939  -0.451 1.094  -0.465 1.190  -0.259 1.219  -0.082 1.320  0.137 1.320  0.355 1.320  0.574 1.320  0.792 1.320  1.011 1.320
3#apa#apa02#app0254/P  -0.056 0.790  -0.125 0.662  -0.184 0.522  -0.184 0.324  -0.184 0.126  -0.184 -0.072  -0.199 -0.267  -0.288 -0.444  -0.312 -0.636  -0.372 -0.810  -0.441 -0.980  -0.441 -1.178  -0.441 -1.376  -0.522 -1.555  -0.575 -1.556  -0.587 -1.358  -0.599 -1.161  -0.612 -0.963  -0.624 -0.765  -0.637 -0.567  -0.649 -0.370  -0.661 -0.172  -0.674 0.026  -0.686 0.224  -0.697 0.421  -0.697 0.620  -0.549 0.681  -0.396 0.790  -0.232 0.871  -0.053 0.918  0.124 0.969  0.290 1.047  0.488 1.047  0.657 1.117  0.831 1.175  0.971 1.117  1.062 0.956  1.202 0.816  1.228 0.629  1.228 0.431  1.197 0.246  1.057 0.105  0.917 -0.035  0.749 -0.109  0.599 -0.224  0.415 -0.294  0.228 -0.356  0.043 -0.395  -0.114 -0.494  -0.312 -0.494
3#apa#apa02#app0254/H  -0.910 0.971  -0.788 0.840  -0.788 0.587  -0.788 0.335  -0.788 0.083  -0.809 -0.165  -0.910 -0.393  -1.022 -0.599  -1.032 -0.848  -1.032 -1.100  -1.145 -1.205  -0.996 -1.001  -0.848 -0.797  -0.699 -0.593  -0.551 -0.389  -0.402 -0.185  -0.254 0.019  -0.106 0.223  0.043 0.428  0.191 0.632  0.340 0.836  0.488 1.040  0.637 1.244  0.785 1.448  1.033 1.457  1.034 1.206  1.034 0.953  1.015 0.709  0.913 0.499  0.913 0.246  0.824 0.031  0.731 -0.183  0.670 -0.410  0.632 -0.647  0.548 -0.864  0.527 -1.095  0.427 -1.186  0.332 -0.964  0.183 -0.760  0.035 -0.556  -0.114 -0.352  -0.262 -0.148  -0.411 0.056  -0.525 0.231  -0.299 0.120  -0.046 0.120  0.206 0.120  0.413 0.012  0.660 -0.002  0.913 -0.002
3#apa#apa02#app0254/Y  -0.710 1.173  -0.710 0.996  -0.712 0.822  -0.827 0.760  -0.913 0.619  -0.944 0.455  -0.944 0.278  -0.932 0.107  -0.827 -0.026  -0.827 -0.203  -0.722 -0.336  -0.597 -0.461  -0.423 -0.466  -0.246 -0.466  -0.069 -0.466  0.095 -0.414  0.247 -0.327  0.380 -0.213  0.538 -0.134  0.671 -0.021  0.759 0.131  0.853 0.278  0.998 0.353  1.045 0.483  1.096 0.639  1.162 0.788  1.144 0.957  1.019 1.082  0.896 1.137  0.777 1.006  0.658 0.876  0.539 0.745  0.421 0.614  0.302 0.484  0.183 0.353  0.064 0.222  -0.055 0.091  -0.173 -0.039  -0.167 -0.115  -0.125 -0.249  -0.125 -0.426  -0.125 -0.602  -0.125 -0.779  -0.223 -0.915  -0.265 -1.074  -0.359 -1.212  -0.359 -1.389  -0.392 -1.552  -0.476 -1.693  -0.476 -1.870
3#apa#apa02#app0254/R  -0.702 0.496  -0.582 0.413  -0.582 0.210  -0.582 0.007  -0.582 -0.196  -0.620 -0.383  -0.702 -0.552  -0.702 -0.755  -0.702 -0.958  -0.694 -0.974  -0.675 -0.772  -0.657 -0.570  -0.639 -0.367  -0.620 -0.165  -0.602 0.037  -0.584 0.239  -0.582 0.442  -0.553 0.616  -0.462 0.727  -0.289 0.788  -0.114 0.856  0.069 0.941  0.262 0.979  0.416 1.097  0.619 1.097  0.772 1.217  0.975 1.217  1.101 1.139  1.061 0.976  0.894 0.890  0.825 0.736  0.657 0.652  0.485 0.548  0.303 0.457  0.125 0.362  -0.018 0.218  -0.101 0.050  -0.221 -0.033  -0.221 -0.236  -0.128 -0.346  -0.062 -0.505  0.082 -0.649  0.225 -0.792  0.380 -0.861  0.380 -1.064  0.556 -1.123  0.620 -1.300  0.695 -1.428  0.740 -1.586  0.740 -1.788
