2#apa#apa14#app1488/j  0.243 0.300  0.238 0.418  0.147 0.327  0.161 0.218  0.219 0.102  0.243 -0.022  0.288 -0.138  0.360 -0.245  0.432 -0.353  0.501 -0.463  0.559 -0.579  0.613 -0.695  0.605 -0.823  0.547 -0.939  0.489 -1.055  0.367 -1.096  0.244 -1.137  0.121 -1.178  -0.009 -1.178  -0.138 -1.178  -0.268 -1.178  -0.397 -1.178  -0.518 -1.157  -0.610 -1.065  -0.537 -0.973  -0.480 -0.863  -0.450 -0.737  -0.420 -0.611  -0.390 -0.485  -0.360 -0.359  -0.329 -0.233  -0.299 -0.107  -0.269 0.019  -0.239 0.146  -0.209 0.272  -0.179 0.398  -0.149 0.524  -0.119 0.650  -0.089 0.776  -0.059 0.902  -0.029 1.028  0.001 1.154  0.031 1.280  0.061 1.406  0.091 1.532  0.117 1.656  0.001 1.714  -0.115 1.772  -0.010 1.778  -0.003 1.655
2#apa#apa14#app1488/o  0.046 0.409  0.046 0.578  0.046 0.748  0.046 0.917  0.046 1.086  -0.091 1.118  -0.240 1.068  -0.360 0.948  -0.460 0.814  -0.535 0.663  -0.611 0.511  -0.680 0.357  -0.733 0.196  -0.787 0.036  -0.840 -0.125  -0.894 -0.285  -0.899 -0.454  -0.899 -0.623  -0.899 -0.792  -0.899 -0.962  -0.899 -1.131  -0.843 -1.244  -0.674 -1.244  -0.504 -1.244  -0.345 -1.204  -0.193 -1.128  -0.042 -1.052  0.103 -0.966  0.238 -0.864  0.374 -0.763  0.509 -0.661  0.645 -0.559  0.780 -0.458  0.915 -0.356  1.024 -0.233  1.100 -0.081  1.176 0.070  1.227 0.227  1.227 0.396  1.117 0.520  0.997 0.639  0.830 0.645  0.661 0.645  0.492 0.645  0.322 0.645  0.153 0.645  0.002 0.601  -0.118 0.481  -0.257 0.409  -0.426 0.409
2#apa#apa14#app1488/u  -1.383 0.608  -1.285 0.510  -1.188 0.412  -1.131 0.297  -1.131 0.158  -1.131 0.020  -1.131 -0.119  -1.131 -0.257  -1.131 -0.395  -1.131 -0.534  -1.117 -0.666  -1.019 -0.764  -0.922 -0.862  -0.801 -0.905  -0.662 -0.905  -0.535 -0.858  -0.411 -0.796  -0.287 -0.735  -0.163 -0.673  -0.071 -0.575  0.006 -0.460  0.082 -0.344  0.159 -0.229  0.236 -0.114  0.313 0.001  0.381 0.119  0.381 0.257  0.381 0.396  0.381 0.534  0.381 0.673  0.381 0.811  0.381 0.950  0.381 1.088  0.381 0.997  0.382 0.860  0.520 0.860  0.633 0.834  0.633 0.695  0.633 0.557  0.633 0.419  0.686 0.302  0.784 0.204  0.882 0.106  0.885 -0.031  0.900 -0.163  0.998 -0.261  1.095 -0.359  1.193 -0.457  1.291 -0.555  1.389 -0.653
2#apa#apa14#app1488/r  -0.674 0.990  -0.674 0.837  -0.674 0.684  -0.674 0.531  -0.674 0.378  -0.661 0.230  -0.553 0.122  -0.445 0.014  -0.337 -0.094  -0.300 -0.232  -0.300 -0.385  -0.300 -0.538  -0.300 -0.691  -0.300 -0.844  -0.216 -0.962  -0.108 -1.070  0.000 -1.178  0.073 -1.301  0.073 -1.454  0.073 -1.607  0.073 -1.490  0.073 -1.337  0.073 -1.184  0.073 -1.031  0.073 -0.878  0.005 -0.741  -0.063 -0.605  -0.132 -0.468  -0.200 -0.331  -0.269 -0.194  -0.300 -0.048  -0.300 0.104  -0.300 0.257  -0.300 0.410  -0.300 0.563  -0.200 0.617  -0.047 0.617  0.073 0.649  0.073 0.802  0.073 0.955  0.191 0.990  0.344 0.990  0.497 0.990  0.650 0.990  0.803 0.990  0.956 0.990  1.109 0.990  1.262 0.990  1.415 0.990  1.568 0.990
2#apa#apa14#app1488/n  -1.086 0.368  -1.086 0.242  -1.086 0.115  -1.058 -0.000  -0.968 -0.090  -0.916 -0.195  -0.916 -0.322  -0.916 -0.449  -0.850 -0.548  -0.760 -0.638  -0.671 -0.727  -0.581 -0.817  -0.576 -0.702  -0.576 -0.575  -0.576 -0.449  -0.576 -0.322  -0.576 -0.195  -0.576 -0.068  -0.576 0.059  -0.576 0.185  -0.576 0.312  -0.576 0.439  -0.557 0.558  -0.467 0.647  -0.378 0.737  -0.288 0.827  -0.183 0.879  -0.056 0.879  0.071 0.879  0.198 0.879  0.319 0.856  0.433 0.799  0.546 0.743  0.637 0.663  0.694 0.550  0.750 0.437  0.800 0.320  0.840 0.200  0.881 0.080  0.921 -0.040  0.969 -0.156  1.058 -0.246  1.124 -0.345  1.124 -0.472  1.124 -0.599  1.124 -0.725  1.146 -0.843  1.235 -0.933  1.295 -1.035  1.295 -1.162
2#apa#apa14#app1488/e  -0.419 -0.077  -0.565 -0.077  -0.644 -0.012  -0.644 0.134  -0.513 0.148  -0.368 0.148  -0.223 0.148  -0.077 0.148  0.057 0.174  0.160 0.277  0.260 0.382  0.325 0.511  0.390 0.641  0.455 0.771  0.480 0.910  0.474 1.053  0.371 1.156  0.268 1.259  0.129 1.272  -0.017 1.272  -0.162 1.272  -0.274 1.192  -0.377 1.090  -0.446 0.966  -0.492 0.829  -0.538 0.691  -0.584 0.553  -0.630 0.415  -0.620 0.275  -0.585 0.134  -0.550 -0.006  -0.514 -0.147  -0.479 -0.288  -0.444 -0.429  -0.400 -0.567  -0.335 -0.697  -0.270 -0.827  -0.205 -0.956  -0.085 -1.032  0.045 -1.096  0.175 -1.161  0.311 -1.202  0.456 -1.202  0.601 -1.202  0.746 -1.202  0.892 -1.202  1.037 -1.202  1.174 -1.182  1.277 -1.079  1.379 -0.977
2#apa#apa14#app1488/y  -1.170 0.843  -1.007 0.843  -0.891 0.730  -0.775 0.615  -0.664 0.496  -0.604 0.345  -0.543 0.194  -0.483 0.042  -0.422 -0.109  -0.361 -0.261  -0.270 -0.392  -0.154 -0.507  -0.039 -0.623  -0.001 -0.551  0.027 -0.391  0.070 -0.234  0.113 -0.077  0.155 0.081  0.198 0.238  0.241 0.395  0.284 0.553  0.327 0.710  0.370 0.868  0.413 1.025  0.456 1.182  0.499 1.340  0.500 1.503  0.431 1.372  0.358 1.226  0.333 1.069  0.333 0.906  0.333 0.742  0.317 0.581  0.290 0.420  0.263 0.259  0.237 0.098  0.210 -0.063  0.183 -0.224  0.154 -0.384  0.122 -0.544  0.090 -0.704  0.058 -0.864  0.026 -1.024  -0.001 -1.185  -0.001 -1.348  -0.001 -1.511  -0.001 -1.674  -0.001 -1.837  -0.001 -2.000  -0.001 -2.163
2#apa#apa14#app1488/s  0.205 1.371  0.093 1.371  -0.019 1.371  -0.116 1.334  -0.195 1.255  -0.274 1.176  -0.353 1.096  -0.433 1.017  -0.512 0.938  -0.591 0.859  -0.670 0.780  -0.749 0.700  -0.829 0.621  -0.908 0.542  -0.932 0.440  -0.932 0.328  -0.914 0.233  -0.802 0.233  -0.690 0.233  -0.599 0.184  -0.519 0.105  -0.440 0.026  -0.360 -0.051  -0.248 -0.051  -0.136 -0.051  -0.024 -0.051  0.088 -0.051  0.200 -0.051  0.312 -0.051  0.424 -0.051  0.536 -0.051  0.648 -0.051  0.760 -0.051  0.774 -0.149  0.774 -0.261  0.774 -0.373  0.774 -0.485  0.774 -0.597  0.774 -0.709  0.774 -0.821  0.753 -0.925  0.674 -1.004  0.594 -1.083  0.515 -1.162  0.422 -1.222  0.322 -1.272  0.221 -1.322  0.121 -1.372  0.021 -1.422  -0.079 -1.472
2#apa#apa14#app1488/h  -0.642 1.484  -0.787 1.484  -0.835 1.388  -0.802 1.257  -0.699 1.155  -0.642 1.034  -0.642 0.889  -0.642 0.744  -0.642 0.599  -0.632 0.455  -0.608 0.312  -0.584 0.169  -0.560 0.027  -0.536 -0.116  -0.513 -0.259  -0.489 -0.402  -0.465 -0.545  -0.449 -0.688  -0.449 -0.833  -0.449 -0.978  -0.449 -1.123  -0.449 -1.176  -0.449 -1.031  -0.404 -0.893  -0.358 -0.756  -0.312 -0.619  -0.266 -0.481  -0.221 -0.344  -0.175 -0.206  -0.129 -0.069  -0.083 0.068  -0.007 0.187  0.096 0.289  0.198 0.392  0.300 0.494  0.435 0.518  0.580 0.518  0.721 0.508  0.823 0.406  0.926 0.303  1.028 0.201  1.097 0.085  1.097 -0.060  1.097 -0.205  1.097 -0.350  1.097 -0.495  1.097 -0.640  1.161 -0.769  1.226 -0.899  1.291 -1.028
2#apa#apa14#app1488/i  -0.047 0.609  -0.047 0.489  -0.047 0.368  -0.047 0.248  -0.047 0.128  -0.047 0.007  -0.047 -0.113  0.005 -0.221  0.059 -0.328  0.112 -0.436  0.166 -0.544  0.195 -0.657  0.195 -0.778  0.195 -0.898  0.195 -1.018  0.195 -1.138  0.195 -1.259  0.195 -1.379  0.195 -1.499  0.188 -1.517  0.172 -1.398  0.156 -1.278  0.140 -1.159  0.124 -1.040  0.108 -0.921  0.092 -0.802  0.077 -0.682  0.061 -0.563  0.045 -0.444  0.029 -0.325  0.013 -0.205  -0.003 -0.086  -0.019 0.033  -0.035 0.152  -0.051 0.272  -0.067 0.391  -0.082 0.510  -0.098 0.629  -0.114 0.749  -0.130 0.868  -0.146 0.987  -0.162 1.106  -0.178 1.225  -0.194 1.345  -0.210 1.464  -0.225 1.583  -0.241 1.702  -0.257 1.822  -0.273 1.941  -0.289 2.060
2#apa#apa14#app1488/d  0.006 1.800  0.006 1.938  0.006 1.904  0.031 1.775  0.129 1.677  0.197 1.567  0.197 1.429  0.197 1.290  0.197 1.152  0.197 1.013  0.197 0.875  0.197 0.736  0.197 0.598  0.197 0.459  0.197 0.321  0.197 0.182  0.210 0.046  0.254 -0.085  0.298 -0.217  0.342 -0.348  0.385 -0.480  0.387 -0.618  0.387 -0.756  0.387 -0.836  0.387 -0.698  0.387 -0.559  0.387 -0.421  0.379 -0.286  0.281 -0.188  0.177 -0.104  0.039 -0.104  -0.089 -0.057  -0.212 0.005  -0.336 0.067  -0.442 0.019  -0.540 -0.079  -0.565 -0.208  -0.565 -0.346  -0.565 -0.485  -0.565 -0.623  -0.565 -0.762  -0.565 -0.900  -0.565 -1.039  -0.565 -1.177  -0.496 -1.246  -0.357 -1.246  -0.219 -1.246  -0.080 -1.246  0.058 -1.246  0.197 -1.246
