2#apa#apa14#app1457/I  0.136 1.572  0.066 1.572  -0.004 1.572  -0.010 1.508  -0.010 1.438  -0.010 1.368  -0.010 1.298  -0.010 1.228  -0.010 1.158  -0.010 1.088  -0.010 1.018  -0.010 0.948  -0.010 0.878  -0.010 0.808  -0.010 0.738  -0.010 0.668  -0.010 0.598  -0.010 0.528  -0.010 0.457  -0.010 0.387  -0.010 0.317  -0.010 0.247  -0.010 0.177  -0.010 0.107  -0.010 0.037  -0.010 -0.033  -0.010 -0.103  -0.010 -0.173  -0.010 -0.243  -0.010 -0.313  -0.010 -0.383  -0.010 -0.453  -0.010 -0.523  -0.010 -0.593  -0.010 -0.663  -0.010 -0.733  -0.010 -0.803  -0.010 -0.873  -0.010 -0.943  -0.010 -1.014  -0.010 -1.084  -0.010 -1.154  -0.010 -1.224  -0.010 -1.294  -0.010 -1.364  -0.010 -1.434  -0.010 -1.504  0.037 -1.554  0.087 -1.604  0.136 -1.653
2#apa#apa14#app1457/f  0.524 1.333  0.521 1.477  0.418 1.580  0.288 1.616  0.142 1.616  -0.003 1.616  -0.118 1.542  -0.185 1.424  -0.185 1.279  -0.185 1.133  -0.165 0.991  -0.119 0.853  -0.073 0.715  -0.031 0.576  0.004 0.435  0.040 0.294  0.075 0.153  0.099 0.010  0.099 -0.135  0.099 -0.281  0.099 -0.426  0.142 -0.553  0.240 -0.658  0.240 -0.804  0.240 -0.949  0.240 -1.095  0.240 -1.240  0.240 -1.386  0.240 -1.531  0.226 -1.614  0.161 -1.484  0.096 -1.354  0.031 -1.224  -0.035 -1.094  -0.100 -0.964  -0.165 -0.833  -0.230 -0.703  -0.295 -0.573  -0.360 -0.443  -0.425 -0.313  -0.502 -0.192  -0.605 -0.089  -0.610 0.054  -0.475 0.102  -0.337 0.148  -0.199 0.194  -0.054 0.199  0.091 0.199  0.237 0.199  0.382 0.199
2#apa#apa14#app1457/M  -0.610 -0.994  -0.707 -0.792  -0.715 -0.552  -0.715 -0.310  -0.715 -0.067  -0.715 0.176  -0.715 0.419  -0.750 0.654  -0.820 0.880  -0.806 1.109  -0.761 1.214  -0.715 1.136  -0.665 0.905  -0.610 0.675  -0.526 0.457  -0.399 0.253  -0.378 0.015  -0.294 -0.208  -0.233 -0.441  -0.189 -0.677  -0.084 -0.876  0.021 -1.014  0.073 -1.205  0.211 -1.310  0.127 -1.404  0.127 -1.371  0.127 -1.129  0.127 -0.886  0.127 -0.643  0.140 -0.401  0.188 -0.163  0.232 0.075  0.232 0.318  0.232 0.561  0.301 0.792  0.337 1.030  0.442 1.229  0.547 1.428  0.547 1.389  0.547 1.146  0.579 0.908  0.652 0.677  0.652 0.434  0.652 0.192  0.758 -0.008  0.758 -0.251  0.799 -0.487  0.863 -0.719  0.863 -0.962  0.863 -1.205
2#apa#apa14#app1457/y  -0.241 1.211  -0.349 1.319  -0.479 1.375  -0.570 1.313  -0.570 1.160  -0.570 1.007  -0.550 0.862  -0.442 0.754  -0.405 0.616  -0.405 0.464  -0.405 0.311  -0.338 0.225  -0.241 0.169  -0.241 0.016  -0.208 -0.103  -0.055 -0.103  0.098 -0.103  0.251 -0.103  0.252 0.049  0.252 0.202  0.343 0.317  0.416 0.439  0.416 0.592  0.435 0.737  0.543 0.845  0.580 0.983  0.580 0.957  0.580 0.804  0.580 0.651  0.556 0.504  0.487 0.368  0.419 0.231  0.416 0.079  0.416 -0.074  0.416 -0.227  0.336 -0.347  0.252 -0.465  0.252 -0.618  0.247 -0.769  0.179 -0.906  0.110 -1.043  0.087 -1.190  0.024 -1.317  -0.086 -1.422  -0.223 -1.490  -0.360 -1.559  -0.507 -1.582  -0.634 -1.646  -0.745 -1.746  -0.898 -1.746
2#apa#apa14#app1457/N  -0.406 -1.382  -0.546 -1.345  -0.546 -1.169  -0.546 -0.993  -0.552 -0.819  -0.677 -0.694  -0.685 -0.521  -0.685 -0.345  -0.685 -0.169  -0.685 0.008  -0.762 0.166  -0.825 0.328  -0.825 0.504  -0.825 0.681  -0.825 0.857  -0.779 0.987  -0.627 0.929  -0.502 0.804  -0.365 0.709  -0.242 0.634  -0.186 0.467  -0.131 0.300  -0.053 0.141  0.012 -0.020  0.012 -0.196  0.059 -0.361  0.138 -0.519  0.217 -0.677  0.291 -0.836  0.325 -0.998  0.430 -1.131  0.494 -1.243  0.569 -1.142  0.569 -0.965  0.569 -0.789  0.569 -0.613  0.569 -0.436  0.569 -0.260  0.569 -0.084  0.569 0.093  0.569 0.269  0.569 0.446  0.569 0.622  0.569 0.798  0.569 0.975  0.643 1.134  0.709 1.295  0.709 1.471  0.811 1.545  0.709 1.545
2#apa#apa14#app1457/a  0.129 0.735  0.129 0.896  0.129 1.056  0.114 1.210  0.001 1.324  -0.117 1.426  -0.278 1.426  -0.332 1.319  -0.358 1.170  -0.471 1.056  -0.576 0.937  -0.648 0.793  -0.720 0.650  -0.791 0.507  -0.792 0.346  -0.792 0.186  -0.792 0.026  -0.792 -0.135  -0.792 -0.295  -0.764 -0.444  -0.651 -0.557  -0.537 -0.622  -0.424 -0.508  -0.332 -0.386  -0.332 -0.226  -0.247 -0.101  -0.133 0.013  -0.101 0.160  -0.101 0.320  -0.101 0.481  -0.005 0.408  0.108 0.295  0.129 0.143  0.129 -0.017  0.129 -0.178  0.129 -0.338  0.187 -0.474  0.300 -0.588  0.359 -0.724  0.359 -0.884  0.359 -1.045  0.457 -1.107  0.618 -1.107  0.778 -1.107  0.939 -1.107  1.099 -1.107  1.259 -1.107  1.280 -0.967  1.350 -0.877  1.510 -0.877
2#apa#apa14#app1457/m  -0.973 0.422  -1.141 0.422  -1.309 0.422  -1.212 0.312  -1.148 0.171  -1.148 0.003  -1.148 -0.165  -1.148 -0.333  -1.124 -0.496  -1.049 -0.646  -0.974 -0.797  -0.973 -0.631  -0.973 -0.463  -0.973 -0.295  -0.973 -0.127  -0.910 0.026  -0.835 0.177  -0.720 0.288  -0.570 0.363  -0.426 0.447  -0.307 0.566  -0.152 0.597  -0.018 0.513  0.073 0.383  0.088 0.218  0.163 0.068  0.238 -0.083  0.247 -0.249  0.247 -0.417  0.247 -0.585  0.247 -0.494  0.370 -0.449  0.474 -0.344  0.549 -0.194  0.596 -0.037  0.596 0.131  0.632 0.284  0.750 0.403  0.869 0.522  1.006 0.597  1.175 0.597  1.293 0.547  1.293 0.379  1.293 0.211  1.293 0.043  1.293 -0.125  1.293 -0.293  1.293 -0.462  1.293 -0.630  1.293 -0.798
2#apa#apa14#app1457/e  -0.621 -0.048  -0.801 -0.048  -0.712 0.064  -0.584 0.119  -0.457 -0.009  -0.293 -0.048  -0.112 -0.048  0.068 -0.048  0.248 -0.048  0.429 -0.048  0.596 -0.035  0.596 0.145  0.673 0.308  0.753 0.469  0.854 0.616  0.982 0.743  1.002 0.915  1.002 1.095  0.895 1.169  0.715 1.169  0.534 1.169  0.366 1.141  0.238 1.014  0.111 0.886  -0.019 0.763  -0.199 0.763  -0.331 0.647  -0.459 0.519  -0.587 0.392  -0.753 0.358  -0.901 0.280  -1.026 0.152  -1.026 -0.028  -1.026 -0.209  -1.026 -0.389  -1.026 -0.570  -0.933 -0.656  -0.765 -0.696  -0.615 -0.796  -0.464 -0.896  -0.314 -0.996  -0.154 -1.062  0.026 -1.062  0.207 -1.062  0.387 -1.062  0.567 -1.062  0.748 -1.062  0.928 -1.062  1.077 -0.987  1.205 -0.859
2#apa#apa14#app1457/=  -1.389 0.191  -1.389 0.382  -1.288 0.472  -1.098 0.472  -0.907 0.472  -0.717 0.472  -0.526 0.472  -0.336 0.472  -0.145 0.472  0.045 0.472  0.236 0.472  0.426 0.472  0.617 0.472  0.807 0.472  0.998 0.472  1.188 0.472  1.379 0.472  1.260 0.472  1.134 0.536  1.134 0.727  0.990 0.672  0.823 0.579  0.657 0.487  0.490 0.394  0.323 0.302  0.157 0.209  -0.010 0.117  -0.176 0.024  -0.343 -0.068  -0.509 -0.161  -0.676 -0.253  -0.842 -0.346  -1.009 -0.438  -1.175 -0.531  -1.342 -0.624  -1.253 -0.650  -1.062 -0.650  -0.872 -0.650  -0.681 -0.650  -0.491 -0.650  -0.300 -0.650  -0.110 -0.650  0.081 -0.650  0.272 -0.650  0.462 -0.650  0.653 -0.650  0.843 -0.650  1.034 -0.650  1.224 -0.650  1.415 -0.650
2#apa#apa14#app1457/\"  -0.886 0.295  -0.886 0.122  -0.886 -0.050  -0.862 -0.217  -0.785 -0.372  -0.707 -0.526  -0.630 -0.680  -0.553 -0.834  -0.476 -0.989  -0.421 -1.148  -0.421 -1.321  -0.421 -1.493  -0.389 -1.464  -0.334 -1.300  -0.279 -1.136  -0.225 -0.973  -0.170 -0.809  -0.116 -0.645  -0.061 -0.482  -0.007 -0.318  0.048 -0.154  0.102 0.009  0.157 0.173  0.212 0.337  0.266 0.500  0.321 0.664  0.375 0.828  0.430 0.992  0.484 1.155  0.507 1.324  0.507 1.497  0.507 1.669  0.398 1.578  0.276 1.456  0.154 1.334  0.043 1.208  0.043 1.035  0.043 0.863  0.074 0.698  0.151 0.543  0.228 0.389  0.305 0.235  0.382 0.080  0.459 -0.074  0.507 -0.235  0.507 -0.408  0.507 -0.580  0.507 -0.753  0.507 -0.925  0.507 -1.098
2#apa#apa14#app1457/Y  -1.127 0.655  -1.117 0.824  -0.978 0.824  -1.097 0.824  -0.958 0.784  -0.923 0.619  -0.796 0.492  -0.788 0.316  -0.782 0.140  -0.655 0.013  -0.619 -0.152  -0.619 -0.331  -0.514 -0.467  -0.450 -0.620  -0.351 -0.701  -0.172 -0.701  -0.027 -0.617  0.059 -0.473  0.107 -0.314  0.234 -0.187  0.360 -0.060  0.454 0.091  0.534 0.251  0.663 0.364  0.823 0.444  0.945 0.563  1.025 0.723  1.105 0.884  1.185 1.044  1.244 1.116  1.206 0.951  1.086 0.818  0.966 0.684  0.846 0.551  0.726 0.418  0.606 0.284  0.486 0.151  0.366 0.018  0.246 -0.116  0.126 -0.249  0.006 -0.382  -0.114 -0.516  -0.234 -0.649  -0.390 -0.701  -0.450 -0.820  -0.450 -1.000  -0.450 -1.179  -0.450 -1.358  -0.450 -1.538  -0.450 -1.717
