1c#apa#apa02#app0246/f  0.972 1.764  0.836 1.764  0.701 1.764  0.667 1.659  0.571 1.563  0.510 1.442  0.471 1.316  0.412 1.204  0.370 1.086  0.362 0.953  0.270 0.856  0.270 0.720  0.270 0.584  0.262 0.452  0.170 0.354  0.170 0.219  0.170 0.083  0.170 -0.053  0.155 -0.186  0.112 -0.315  0.069 -0.444  0.069 -0.579  0.069 -0.715  0.069 -0.851  0.069 -0.987  0.069 -1.122  -0.011 -1.225  -0.031 -1.352  -0.054 -1.411  -0.130 -1.298  -0.205 -1.185  -0.280 -1.072  -0.356 -0.959  -0.431 -0.846  -0.506 -0.733  -0.581 -0.620  -0.657 -0.507  -0.732 -0.394  -0.807 -0.282  -0.745 -0.242  -0.710 -0.142  -0.633 -0.083  -0.538 -0.042  -0.503 0.059  -0.386 0.013  -0.273 -0.042  -0.137 -0.042  -0.002 -0.042  0.134 -0.042  0.270 -0.042
1c#apa#apa02#app0246/e  -0.552 -0.659  -0.387 -0.659  -0.238 -0.587  -0.090 -0.513  0.071 -0.489  0.205 -0.412  0.298 -0.285  0.328 -0.149  0.486 -0.131  0.603 -0.013  0.638 0.138  0.638 0.304  0.746 0.361  0.808 0.465  0.808 0.631  0.808 0.797  0.808 0.963  0.720 1.041  0.638 1.124  0.559 1.211  0.393 1.211  0.227 1.211  0.061 1.211  -0.086 1.167  -0.204 1.050  -0.366 1.041  -0.488 0.936  -0.605 0.819  -0.722 0.701  -0.722 0.536  -0.837 0.417  -0.893 0.274  -0.893 0.109  -0.893 -0.057  -0.893 -0.223  -0.893 -0.389  -0.827 -0.489  -0.722 -0.551  -0.682 -0.700  -0.565 -0.817  -0.404 -0.829  -0.253 -0.894  -0.105 -0.968  0.053 -0.999  0.192 -1.064  0.315 -1.169  0.480 -1.169  0.646 -1.169  0.812 -1.169  0.978 -1.169
1c#apa#apa02#app0246/w  -1.110 0.583  -0.991 0.606  -0.991 0.656  -0.991 0.515  -0.991 0.373  -1.072 0.265  -1.110 0.139  -1.110 -0.002  -1.110 -0.144  -1.110 -0.285  -1.068 -0.409  -0.991 -0.519  -0.936 -0.605  -0.873 -0.684  -0.771 -0.724  -0.750 -0.601  -0.650 -0.501  -0.516 -0.485  -0.499 -0.350  -0.399 -0.250  -0.383 -0.115  -0.283 -0.015  -0.262 0.108  -0.160 0.148  -0.160 0.289  -0.100 0.406  -0.041 0.523  -0.041 0.502  -0.041 0.360  0.049 0.256  0.078 0.126  0.165 0.021  0.265 -0.079  0.315 -0.200  0.409 -0.249  0.516 -0.331  0.642 -0.367  0.784 -0.367  0.926 -0.367  1.067 -0.367  1.191 -0.324  1.291 -0.224  1.385 -0.121  1.407 0.011  1.503 0.113  1.503 0.254  1.503 0.396  1.503 0.538  1.503 0.679  1.503 0.821
1c#apa#apa02#app0246/q  0.100 1.024  0.241 1.080  0.271 1.232  0.155 1.280  -0.010 1.280  -0.144 1.207  -0.242 1.133  -0.341 1.010  -0.457 0.894  -0.498 0.746  -0.498 0.582  -0.489 0.426  -0.324 0.426  -0.168 0.463  -0.016 0.512  0.110 0.607  0.226 0.723  0.342 0.839  0.415 0.939  0.442 1.077  0.356 1.063  0.338 0.903  0.261 0.758  0.185 0.626  0.163 0.466  0.100 0.317  0.092 0.154  0.019 0.007  -0.055 -0.140  -0.071 -0.301  -0.101 -0.461  -0.140 -0.621  -0.156 -0.783  -0.156 -0.948  -0.195 -1.103  -0.242 -1.256  -0.242 -1.421  -0.242 -1.585  -0.156 -1.714  -0.156 -1.710  -0.071 -1.631  0.040 -1.512  0.100 -1.373  0.100 -1.208  0.185 -1.079  0.185 -0.915  0.185 -0.750  0.185 -0.586  0.185 -0.421  0.185 -0.257
1c#apa#apa02#app0246/u  -0.812 0.773  -0.702 0.884  -0.688 1.011  -0.731 0.898  -0.812 0.823  -0.812 0.667  -0.812 0.511  -0.812 0.354  -0.812 0.198  -0.812 0.042  -0.819 -0.113  -0.889 -0.253  -0.937 -0.398  -0.937 -0.554  -0.937 -0.711  -0.918 -0.848  -0.812 -0.899  -0.812 -1.055  -0.698 -1.097  -0.548 -1.082  -0.437 -0.972  -0.327 -0.861  -0.216 -0.751  -0.189 -0.606  -0.083 -0.493  -0.006 -0.358  0.065 -0.220  0.176 -0.109  0.249 0.028  0.324 0.164  0.435 0.275  0.435 0.431  0.480 0.569  0.560 0.692  0.613 0.826  0.684 0.953  0.771 1.023  0.809 0.905  0.809 0.748  0.809 0.592  0.871 0.462  0.934 0.331  0.934 0.175  0.936 0.019  0.985 -0.130  1.035 -0.278  1.058 -0.430  1.058 -0.587  1.161 -0.701  1.183 -0.848
1c#apa#apa02#app0246/i  0.018 0.287  -0.094 0.284  -0.094 0.170  -0.094 0.055  -0.094 -0.059  -0.101 -0.172  -0.152 -0.275  -0.203 -0.377  -0.205 -0.491  -0.205 -0.606  -0.205 -0.720  -0.210 -0.833  -0.291 -0.914  -0.317 -1.017  -0.317 -1.132  -0.317 -1.246  -0.278 -1.352  -0.227 -1.454  -0.195 -1.433  -0.176 -1.320  -0.157 -1.207  -0.138 -1.094  -0.119 -0.981  -0.100 -0.868  -0.082 -0.755  -0.063 -0.642  -0.044 -0.529  -0.025 -0.416  -0.006 -0.303  0.012 -0.190  0.031 -0.077  0.050 0.036  0.069 0.149  0.088 0.262  0.107 0.375  0.125 0.488  0.144 0.600  0.163 0.713  0.182 0.826  0.201 0.939  0.220 1.052  0.238 1.165  0.257 1.278  0.276 1.391  0.295 1.504  0.314 1.617  0.332 1.730  0.351 1.843  0.461 1.849  0.575 1.849
1c#apa#apa02#app0246/p  0.154 0.377  0.154 0.558  0.150 0.547  0.069 0.385  0.065 0.205  0.065 0.024  -0.015 -0.138  -0.057 -0.309  -0.138 -0.471  -0.201 -0.637  -0.260 -0.804  -0.371 -0.944  -0.378 -1.122  -0.456 -1.285  -0.555 -1.427  -0.643 -1.519  -0.761 -1.542  -0.820 -1.386  -0.820 -1.205  -0.820 -1.024  -0.811 -0.845  -0.732 -0.683  -0.729 -0.502  -0.648 -0.341  -0.567 -0.179  -0.555 -0.001  -0.467 0.154  -0.378 0.308  -0.367 0.486  -0.286 0.648  -0.205 0.810  -0.080 0.940  0.048 1.068  0.176 1.196  0.329 1.262  0.510 1.262  0.685 1.255  0.781 1.166  0.909 1.038  1.039 0.963  1.039 0.782  1.039 0.601  1.039 0.420  0.950 0.276  0.876 0.126  0.740 0.011  0.568 -0.046  0.425 -0.149  0.246 -0.154  0.065 -0.154
1c#apa#apa02#app0246/s  0.189 0.386  0.322 0.386  0.419 0.473  0.513 0.568  0.607 0.662  0.737 0.669  0.756 0.783  0.756 0.916  0.756 1.049  0.695 1.156  0.595 1.237  0.462 1.237  0.329 1.237  0.196 1.237  0.100 1.147  0.006 1.053  -0.089 0.959  -0.219 0.953  -0.318 0.871  -0.412 0.777  -0.507 0.683  -0.520 0.555  -0.520 0.422  -0.520 0.289  -0.520 0.156  -0.520 0.023  -0.471 -0.089  -0.377 -0.184  -0.282 -0.278  -0.168 -0.324  -0.035 -0.324  0.098 -0.324  0.189 -0.365  0.222 -0.466  0.331 -0.490  0.331 -0.623  0.331 -0.756  0.331 -0.889  0.200 -0.891  0.189 -1.013  0.109 -1.113  0.001 -1.175  -0.132 -1.175  -0.256 -1.195  -0.351 -1.289  -0.472 -1.317  -0.605 -1.317  -0.716 -1.371  -0.813 -1.459  -0.946 -1.459
1c#apa#apa02#app0246/g  0.363 1.046  0.363 1.236  0.193 1.257  0.006 1.251  -0.129 1.116  -0.284 1.032  -0.358 0.869  -0.410 0.691  -0.357 0.554  -0.176 0.577  -0.019 0.679  0.139 0.765  0.277 0.890  0.363 1.044  0.433 1.068  0.364 0.907  0.363 0.717  0.293 0.543  0.293 0.353  0.236 0.172  0.222 -0.016  0.165 -0.193  0.112 -0.370  0.058 -0.548  0.004 -0.725  -0.059 -0.900  -0.112 -1.082  -0.190 -1.255  -0.244 -1.432  -0.340 -1.587  -0.410 -1.748  -0.551 -1.733  -0.562 -1.549  -0.691 -1.439  -0.691 -1.249  -0.601 -1.093  -0.551 -0.914  -0.503 -0.733  -0.433 -0.557  -0.352 -0.384  -0.267 -0.214  -0.172 -0.051  -0.038 0.083  0.097 0.218  0.252 0.323  0.430 0.377  0.611 0.413  0.785 0.484  0.946 0.554  1.136 0.554
1c#apa#apa02#app0246/a  0.864 0.344  0.864 0.548  0.864 0.752  0.777 0.920  0.701 1.092  0.565 1.160  0.361 1.160  0.158 1.160  -0.018 1.093  -0.162 0.949  -0.318 0.834  -0.441 0.752  -0.441 0.549  -0.556 0.393  -0.700 0.249  -0.844 0.104  -0.930 -0.063  -0.930 -0.267  -1.045 -0.423  -1.093 -0.607  -1.093 -0.811  -1.093 -1.014  -1.093 -1.218  -0.958 -1.286  -0.754 -1.286  -0.566 -1.249  -0.414 -1.123  -0.230 -1.076  -0.115 -0.920  -0.058 -0.740  0.048 -0.580  0.115 -0.404  0.211 -0.240  0.288 -0.068  0.374 0.100  0.374 0.303  0.374 0.507  0.465 0.689  0.538 0.876  0.538 0.914  0.538 0.710  0.538 0.506  0.538 0.303  0.538 0.099  0.538 -0.105  0.538 -0.309  0.538 -0.512  0.538 -0.716  0.538 -0.920  0.538 -1.123
1c#apa#apa02#app0246/l  0.557 1.596  0.557 1.522  0.557 1.447  0.557 1.373  0.557 1.299  0.545 1.230  0.492 1.178  0.440 1.125  0.387 1.073  0.335 1.020  0.322 0.952  0.322 0.877  0.322 0.803  0.291 0.742  0.239 0.689  0.204 0.630  0.204 0.555  0.204 0.481  0.196 0.411  0.143 0.358  0.091 0.306  0.087 0.233  0.087 0.159  0.087 0.085  0.047 0.027  -0.005 -0.025  -0.031 -0.089  -0.031 -0.163  -0.031 -0.237  -0.049 -0.304  -0.101 -0.357  -0.151 -0.411  -0.174 -0.481  -0.198 -0.551  -0.221 -0.622  -0.245 -0.692  -0.266 -0.763  -0.266 -0.837  -0.292 -0.900  -0.344 -0.953  -0.397 -1.005  -0.449 -1.058  -0.502 -1.110  -0.502 -1.184  -0.523 -1.250  -0.576 -1.302  -0.619 -1.358  -0.619 -1.432  -0.619 -1.507  -0.619 -1.581
