3#apa#apa04#app0425/f  1.182 0.807  1.182 0.667  1.182 0.527  1.182 0.655  1.182 0.795  1.182 0.935  1.104 0.998  1.060 1.093  0.920 1.093  0.780 1.093  0.640 1.093  0.499 1.093  0.366 1.066  0.241 1.003  0.115 0.941  0.039 0.848  -0.050 0.763  -0.164 0.688  -0.226 0.563  -0.313 0.455  -0.343 0.328  -0.343 0.187  -0.343 0.047  -0.343 -0.093  -0.343 -0.233  -0.343 -0.373  -0.343 -0.513  -0.343 -0.653  -0.290 -0.771  -0.247 -0.894  -0.247 -1.034  -0.173 -1.099  -0.172 -1.181  -0.288 -1.104  -0.405 -1.026  -0.522 -0.948  -0.638 -0.871  -0.755 -0.793  -0.871 -0.715  -0.988 -0.638  -0.915 -0.605  -0.852 -0.527  -0.712 -0.527  -0.572 -0.527  -0.461 -0.455  -0.331 -0.432  -0.191 -0.432  -0.051 -0.432  0.089 -0.432  0.229 -0.432
3#apa#apa04#app0425/a  1.119 0.660  1.119 0.827  1.014 0.889  0.846 0.889  0.678 0.889  0.511 0.889  0.343 0.889  0.183 0.873  0.064 0.754  -0.064 0.660  -0.231 0.660  -0.384 0.597  -0.534 0.523  -0.684 0.448  -0.834 0.373  -0.984 0.298  -1.134 0.223  -1.296 0.200  -1.410 0.146  -1.410 -0.021  -1.410 -0.189  -1.410 -0.356  -1.375 -0.490  -1.208 -0.490  -1.040 -0.490  -0.873 -0.490  -0.705 -0.490  -0.538 -0.490  -0.370 -0.490  -0.203 -0.490  -0.035 -0.490  0.085 -0.375  0.205 -0.260  0.372 -0.260  0.507 -0.182  0.626 -0.063  0.780 -0.030  0.889 0.028  0.889 0.196  0.725 0.200  0.659 0.099  0.659 -0.069  0.659 -0.236  0.659 -0.404  0.659 -0.571  0.659 -0.739  0.659 -0.906  0.784 -0.949  0.889 -1.012  0.889 -1.179
3#apa#apa04#app0425/i  0.104 -0.368  0.104 -0.471  0.085 -0.554  -0.017 -0.554  -0.082 -0.592  -0.082 -0.695  -0.082 -0.797  -0.082 -0.900  -0.082 -1.002  -0.082 -1.104  -0.082 -1.207  -0.082 -1.309  -0.082 -1.412  -0.082 -1.453  -0.082 -1.351  -0.082 -1.249  -0.082 -1.146  -0.082 -1.044  -0.082 -0.941  -0.082 -0.839  -0.082 -0.736  -0.082 -0.634  -0.082 -0.532  -0.082 -0.429  -0.082 -0.327  -0.082 -0.224  -0.082 -0.122  -0.082 -0.019  -0.082 0.083  -0.082 0.186  -0.082 0.288  -0.082 0.390  -0.082 0.493  -0.082 0.595  -0.082 0.698  -0.082 0.800  -0.082 0.903  -0.082 1.005  -0.082 1.107  -0.082 1.210  -0.074 1.305  0.028 1.305  0.131 1.305  0.233 1.305  0.290 1.350  0.290 1.453  0.355 1.491  0.457 1.491  0.476 1.574  0.476 1.676
3#apa#apa04#app0425/l  0.248 1.671  0.248 1.601  0.248 1.530  0.248 1.460  0.248 1.389  0.227 1.323  0.195 1.260  0.164 1.197  0.132 1.134  0.100 1.071  0.096 1.001  0.096 0.931  0.096 0.860  0.096 0.789  0.079 0.723  0.047 0.660  0.016 0.597  -0.016 0.533  -0.048 0.470  -0.056 0.402  -0.056 0.331  -0.056 0.260  -0.056 0.190  -0.056 0.119  -0.056 0.049  -0.056 -0.022  -0.056 -0.093  -0.056 -0.163  -0.056 -0.234  -0.056 -0.304  -0.056 -0.375  -0.056 -0.446  -0.056 -0.516  -0.056 -0.587  -0.056 -0.657  -0.056 -0.728  -0.056 -0.799  -0.056 -0.869  -0.056 -0.940  -0.056 -1.011  -0.056 -1.081  -0.056 -1.152  -0.056 -1.222  -0.087 -1.286  -0.119 -1.349  -0.151 -1.412  -0.182 -1.475  -0.209 -1.539  -0.209 -1.610  -0.209 -1.681
3#apa#apa04#app0425/e  -0.545 0.083  -0.431 -0.030  -0.299 -0.099  -0.139 -0.099  0.015 -0.084  0.128 0.029  0.266 0.083  0.427 0.083  0.575 0.112  0.688 0.225  0.832 0.265  0.968 0.323  1.081 0.437  1.091 0.593  1.091 0.753  1.091 0.914  1.033 1.050  0.920 1.163  0.764 1.174  0.604 1.174  0.473 1.101  0.360 0.988  0.247 0.874  0.113 0.810  -0.033 0.776  -0.147 0.663  -0.260 0.550  -0.373 0.436  -0.487 0.323  -0.600 0.210  -0.713 0.096  -0.827 -0.017  -0.928 -0.139  -1.000 -0.282  -1.072 -0.425  -1.090 -0.581  -1.090 -0.742  -1.014 -0.826  -0.908 -0.880  -0.875 -1.008  -0.715 -1.008  -0.555 -1.008  -0.394 -1.008  -0.234 -1.008  -0.074 -1.008  0.087 -1.008  0.247 -1.008  0.407 -1.008  0.567 -1.008  0.728 -1.008
3#apa#apa04#app0425/d  0.225 -0.483  0.181 -0.308  0.045 -0.172  -0.113 -0.088  -0.267 -0.184  -0.445 -0.220  -0.617 -0.271  -0.753 -0.407  -0.915 -0.483  -0.971 -0.626  -1.092 -0.769  -1.092 -0.961  -1.080 -1.142  -0.887 -1.142  -0.694 -1.142  -0.501 -1.142  -0.345 -1.053  -0.170 -1.009  -0.033 -0.873  0.103 -0.736  0.225 -0.594  0.283 -0.425  0.356 -0.262  0.356 -0.069  0.356 0.124  0.356 0.317  0.356 0.509  0.356 0.702  0.356 0.895  0.356 1.088  0.356 1.281  0.356 1.474  0.356 1.667  0.356 1.860  0.356 1.722  0.356 1.529  0.356 1.336  0.356 1.143  0.356 0.950  0.356 0.757  0.356 0.564  0.326 0.378  0.240 0.205  0.225 0.016  0.225 -0.177  0.225 -0.370  0.225 -0.563  0.225 -0.756  0.225 -0.949  0.225 -1.142
3#apa#apa04#app0425/w  -1.074 0.515  -0.933 0.531  -0.933 0.688  -0.966 0.764  -1.074 0.652  -1.074 0.495  -1.074 0.338  -1.074 0.181  -1.074 0.024  -1.074 -0.133  -1.074 -0.290  -1.074 -0.447  -1.074 -0.604  -0.927 -0.614  -0.770 -0.614  -0.624 -0.588  -0.513 -0.477  -0.402 -0.366  -0.368 -0.223  -0.243 -0.191  -0.227 -0.050  -0.227 0.107  -0.227 0.264  -0.180 0.374  -0.148 0.374  -0.227 0.296  -0.227 0.139  -0.227 -0.018  -0.101 -0.049  -0.085 -0.191  0.055 -0.207  0.087 -0.332  0.197 -0.380  0.260 -0.473  0.417 -0.473  0.574 -0.473  0.731 -0.473  0.851 -0.383  0.987 -0.332  1.144 -0.332  1.267 -0.250  1.399 -0.191  1.467 -0.102  1.467 0.055  1.467 0.212  1.467 0.369  1.459 0.523  1.348 0.634  1.326 0.782  1.326 0.939
3#apa#apa04#app0425/i  0.072 -0.405  0.072 -0.503  0.072 -0.601  0.072 -0.699  0.010 -0.771  -0.060 -0.840  -0.079 -0.930  -0.079 -1.028  -0.079 -1.126  -0.079 -1.224  -0.079 -1.322  -0.079 -1.420  -0.082 -1.413  -0.089 -1.316  -0.096 -1.218  -0.102 -1.120  -0.109 -1.022  -0.115 -0.925  -0.122 -0.827  -0.128 -0.729  -0.135 -0.631  -0.141 -0.533  -0.148 -0.436  -0.154 -0.338  -0.161 -0.240  -0.167 -0.142  -0.174 -0.045  -0.180 0.053  -0.187 0.151  -0.193 0.249  -0.200 0.346  -0.206 0.444  -0.213 0.542  -0.219 0.640  -0.226 0.737  -0.210 0.827  -0.141 0.896  -0.072 0.966  -0.002 1.035  0.067 1.104  0.136 1.173  0.205 1.243  0.296 1.261  0.375 1.279  0.375 1.377  0.438 1.413  0.527 1.422  0.527 1.520  0.581 1.564  0.678 1.564
3#apa#apa04#app0425/z  -1.269 0.162  -1.119 0.162  -1.029 0.221  -1.029 0.370  -0.911 0.403  -0.770 0.421  -0.664 0.527  -0.558 0.633  -0.413 0.643  -0.264 0.643  -0.114 0.643  0.005 0.716  0.111 0.821  0.235 0.883  0.384 0.883  0.533 0.883  0.683 0.883  0.832 0.883  0.982 0.883  1.131 0.883  1.133 0.735  1.076 0.643  0.927 0.643  0.811 0.561  0.705 0.455  0.578 0.403  0.428 0.403  0.318 0.308  0.212 0.203  0.172 0.070  0.170 -0.078  0.021 -0.078  -0.111 -0.121  -0.216 -0.226  -0.322 -0.332  -0.428 -0.438  -0.533 -0.543  -0.548 -0.687  -0.548 -0.836  -0.548 -0.985  -0.548 -1.135  -0.543 -1.279  -0.393 -1.279  -0.244 -1.279  -0.095 -1.279  0.055 -1.279  0.204 -1.279  0.354 -1.279  0.503 -1.279  0.653 -1.279
3#apa#apa04#app0425/a  0.993 0.050  0.993 0.228  0.993 0.405  0.950 0.565  0.824 0.691  0.675 0.758  0.521 0.782  0.521 0.960  0.378 0.993  0.225 0.933  0.099 0.807  -0.058 0.758  -0.221 0.723  -0.346 0.597  -0.493 0.522  -0.670 0.522  -0.848 0.522  -0.894 0.390  -0.946 0.234  -1.071 0.108  -1.129 -0.045  -1.156 -0.212  -1.281 -0.338  -1.365 -0.480  -1.365 -0.657  -1.187 -0.657  -1.129 -0.777  -1.068 -0.893  -0.890 -0.893  -0.713 -0.893  -0.535 -0.893  -0.357 -0.893  -0.180 -0.893  -0.002 -0.893  0.139 -0.804  0.264 -0.679  0.433 -0.657  0.521 -0.568  0.543 -0.400  0.669 -0.274  0.757 -0.133  0.757 0.044  0.757 0.222  0.757 0.400  0.757 0.466  0.757 0.289  0.757 0.111  0.874 0.050  0.993 -0.008  0.993 -0.186
3#apa#apa04#app0425/r  -0.544 0.658  -0.544 0.533  -0.544 0.408  -0.544 0.283  -0.544 0.158  -0.544 0.033  -0.544 -0.092  -0.544 -0.217  -0.544 -0.342  -0.544 -0.467  -0.544 -0.592  -0.544 -0.716  -0.544 -0.841  -0.544 -0.966  -0.544 -1.091  -0.544 -1.216  -0.544 -1.341  -0.544 -1.290  -0.544 -1.165  -0.432 -1.152  -0.318 -1.141  -0.318 -1.016  -0.293 -0.901  -0.205 -0.813  -0.117 -0.725  -0.091 -0.610  -0.091 -0.485  -0.041 -0.372  0.015 -0.260  0.071 -0.149  0.127 -0.037  0.210 0.055  0.299 0.143  0.361 0.242  0.361 0.367  0.361 0.492  0.361 0.617  0.445 0.658  0.570 0.658  0.587 0.766  0.587 0.891  0.587 1.016  0.617 1.110  0.742 1.110  0.813 1.164  0.813 1.289  0.891 1.336  1.016 1.336  1.141 1.336  1.266 1.336
