2#apb#apb41#app4131/S  1.326 0.758  1.314 0.908  1.206 0.999  1.055 0.999  0.906 0.985  0.757 0.957  0.609 0.930  0.465 0.886  0.321 0.840  0.177 0.795  0.035 0.744  -0.104 0.687  -0.244 0.630  -0.384 0.573  -0.521 0.511  -0.658 0.446  -0.794 0.382  -0.922 0.303  -1.044 0.215  -0.956 0.138  -0.808 0.129  -0.658 0.144  -0.508 0.159  -0.359 0.181  -0.210 0.202  -0.060 0.220  0.091 0.228  0.241 0.237  0.390 0.223  0.537 0.188  0.656 0.112  0.741 -0.012  0.730 -0.159  0.698 -0.305  0.628 -0.439  0.559 -0.573  0.455 -0.683  0.351 -0.792  0.240 -0.893  0.121 -0.986  -0.002 -1.072  -0.137 -1.140  -0.278 -1.185  -0.428 -1.200  -0.577 -1.183  -0.724 -1.150  -0.865 -1.095  -1.001 -1.031  -1.132 -0.957  -1.236 -0.854
2#apb#apb41#app4131/w  -1.287 0.404  -1.340 0.507  -1.373 0.393  -1.390 0.272  -1.386 0.150  -1.377 0.028  -1.357 -0.092  -1.333 -0.212  -1.283 -0.323  -1.199 -0.410  -1.096 -0.460  -0.973 -0.460  -0.853 -0.445  -0.735 -0.411  -0.620 -0.372  -0.523 -0.298  -0.426 -0.224  -0.332 -0.146  -0.245 -0.060  -0.159 0.027  -0.093 0.129  -0.036 0.237  -0.003 0.353  0.023 0.467  0.023 0.345  0.043 0.225  0.075 0.107  0.108 -0.011  0.147 -0.127  0.186 -0.243  0.252 -0.345  0.324 -0.443  0.427 -0.505  0.539 -0.548  0.659 -0.526  0.772 -0.485  0.874 -0.419  0.977 -0.352  1.061 -0.264  1.142 -0.172  1.198 -0.068  1.219 0.052  1.240 0.173  1.231 0.295  1.221 0.417  1.205 0.537  1.166 0.653  1.128 0.769  1.097 0.888  1.083 0.994
2#apb#apb41#app4131/a  0.429 0.493  0.322 0.619  0.205 0.736  0.076 0.839  -0.070 0.912  -0.229 0.932  -0.389 0.889  -0.535 0.818  -0.663 0.714  -0.792 0.609  -0.891 0.477  -0.990 0.344  -1.089 0.211  -1.172 0.068  -1.255 -0.075  -1.323 -0.225  -1.372 -0.383  -1.314 -0.530  -1.189 -0.635  -1.036 -0.648  -0.873 -0.617  -0.723 -0.551  -0.578 -0.471  -0.432 -0.392  -0.296 -0.298  -0.163 -0.200  -0.030 -0.102  0.077 0.025  0.182 0.152  0.274 0.288  0.341 0.440  0.398 0.595  0.420 0.748  0.403 0.593  0.393 0.428  0.397 0.263  0.412 0.098  0.426 -0.067  0.457 -0.230  0.491 -0.392  0.559 -0.538  0.660 -0.669  0.792 -0.756  0.950 -0.806  1.115 -0.806  1.279 -0.802  1.404 -0.693  1.530 -0.585  1.649 -0.470  1.766 -0.353
2#apb#apb41#app4131/r  -1.060 0.197  -0.993 0.139  -0.935 0.062  -0.884 -0.019  -0.845 -0.107  -0.805 -0.194  -0.781 -0.286  -0.773 -0.381  -0.766 -0.477  -0.765 -0.573  -0.774 -0.669  -0.784 -0.765  -0.774 -0.860  -0.763 -0.956  -0.743 -1.049  -0.672 -1.042  -0.612 -0.967  -0.543 -0.901  -0.471 -0.837  -0.399 -0.773  -0.337 -0.699  -0.276 -0.625  -0.215 -0.551  -0.153 -0.477  -0.092 -0.403  -0.037 -0.324  0.016 -0.244  0.068 -0.163  0.121 -0.083  0.173 -0.002  0.226 0.079  0.279 0.159  0.335 0.237  0.392 0.314  0.448 0.392  0.505 0.470  0.561 0.548  0.618 0.625  0.678 0.700  0.741 0.773  0.803 0.846  0.866 0.919  0.930 0.990  1.003 1.053  1.076 1.116  1.171 1.115  1.239 1.047  1.291 0.967  1.334 0.881  1.377 0.795
2#apb#apb41#app4131/t  0.646 1.420  0.584 1.294  0.566 1.117  0.547 0.940  0.520 0.765  0.492 0.589  0.463 0.414  0.433 0.239  0.402 0.064  0.371 -0.111  0.349 -0.287  0.338 -0.465  0.327 -0.642  0.315 -0.819  0.300 -0.996  0.286 -1.173  0.308 -1.350  0.329 -1.526  0.403 -1.564  0.359 -1.411  0.250 -1.271  0.141 -1.130  0.032 -0.990  -0.077 -0.849  -0.185 -0.709  -0.294 -0.568  -0.403 -0.428  -0.512 -0.287  -0.620 -0.147  -0.729 -0.006  -0.838 0.134  -0.947 0.275  -1.056 0.415  -1.164 0.556  -1.305 0.631  -1.280 0.553  -1.107 0.520  -0.930 0.511  -0.752 0.511  -0.575 0.511  -0.397 0.511  -0.219 0.511  -0.041 0.511  0.136 0.511  0.314 0.511  0.491 0.517  0.669 0.526  0.845 0.550  1.019 0.577  1.194 0.545
2#apb#apb41#app4131/z  -1.555 0.768  -1.413 0.776  -1.271 0.790  -1.129 0.797  -0.987 0.803  -0.845 0.809  -0.702 0.809  -0.560 0.809  -0.418 0.809  -0.275 0.808  -0.133 0.798  0.009 0.789  0.151 0.779  0.293 0.770  0.434 0.753  0.575 0.736  0.717 0.718  0.851 0.678  0.976 0.610  1.081 0.522  1.115 0.401  1.028 0.289  0.917 0.203  0.793 0.133  0.670 0.063  0.546 -0.007  0.413 -0.059  0.280 -0.108  0.146 -0.158  0.013 -0.207  -0.115 -0.270  -0.241 -0.337  -0.367 -0.403  -0.490 -0.474  -0.609 -0.551  -0.724 -0.633  -0.782 -0.759  -0.720 -0.860  -0.585 -0.898  -0.445 -0.924  -0.304 -0.941  -0.162 -0.948  -0.019 -0.954  0.123 -0.962  0.265 -0.969  0.407 -0.977  0.549 -0.971  0.691 -0.962  0.833 -0.951  0.975 -0.938
2#apb#apb41#app4131/e  -1.157 0.193  -1.215 0.107  -1.070 0.010  -0.912 -0.053  -0.740 -0.088  -0.567 -0.107  -0.393 -0.122  -0.218 -0.135  -0.045 -0.116  0.129 -0.098  0.303 -0.079  0.471 -0.033  0.637 0.023  0.800 0.083  0.951 0.171  1.039 0.302  1.065 0.475  0.951 0.605  0.832 0.733  0.689 0.829  0.535 0.913  0.382 0.997  0.214 1.036  0.041 1.062  -0.130 1.058  -0.296 1.006  -0.462 0.951  -0.589 0.831  -0.716 0.711  -0.829 0.580  -0.903 0.422  -0.971 0.263  -0.953 0.089  -0.936 -0.085  -0.861 -0.238  -0.762 -0.382  -0.663 -0.527  -0.506 -0.603  -0.349 -0.679  -0.191 -0.755  -0.031 -0.824  0.139 -0.864  0.309 -0.904  0.479 -0.945  0.649 -0.985  0.822 -0.993  0.996 -0.979  1.170 -0.966  1.345 -0.952  1.519 -0.939
2#apb#apb41#app4131/T  0.338 0.559  0.252 0.479  0.258 0.319  0.278 0.160  0.281 -0.001  0.281 -0.162  0.281 -0.322  0.270 -0.482  0.256 -0.642  0.242 -0.803  0.225 -0.962  0.205 -1.122  0.189 -1.281  0.198 -1.439  0.329 -1.476  0.401 -1.336  0.307 -1.214  0.200 -1.094  0.094 -0.974  -0.013 -0.855  -0.120 -0.735  -0.227 -0.615  -0.334 -0.495  -0.441 -0.375  -0.548 -0.255  -0.655 -0.135  -0.762 -0.015  -0.869 0.105  -0.976 0.225  -1.083 0.345  -1.190 0.464  -1.265 0.462  -1.106 0.448  -0.946 0.466  -0.787 0.486  -0.629 0.513  -0.470 0.540  -0.314 0.574  -0.161 0.625  -0.009 0.676  0.144 0.727  0.296 0.779  0.447 0.832  0.599 0.884  0.751 0.935  0.906 0.979  1.060 1.023  1.213 1.074  1.364 1.106  1.240 1.005
2#apb#apb41#app4131/h  -0.297 1.650  -0.285 1.803  -0.231 1.902  -0.236 1.746  -0.236 1.589  -0.236 1.432  -0.236 1.275  -0.240 1.118  -0.250 0.961  -0.260 0.805  -0.270 0.648  -0.280 0.491  -0.301 0.336  -0.325 0.181  -0.349 0.025  -0.372 -0.130  -0.396 -0.285  -0.421 -0.440  -0.445 -0.595  -0.470 -0.750  -0.494 -0.905  -0.515 -1.061  -0.536 -1.217  -0.535 -1.349  -0.497 -1.197  -0.441 -1.050  -0.386 -0.903  -0.325 -0.759  -0.244 -0.624  -0.163 -0.490  -0.082 -0.355  0.001 -0.222  0.085 -0.089  0.169 0.043  0.264 0.167  0.372 0.281  0.480 0.395  0.615 0.473  0.746 0.424  0.785 0.275  0.816 0.121  0.795 -0.034  0.772 -0.189  0.741 -0.343  0.696 -0.493  0.651 -0.644  0.607 -0.794  0.565 -0.946  0.546 -1.100  0.651 -1.178
2#apb#apb41#app4131/o  0.452 0.450  0.344 0.573  0.207 0.659  0.053 0.707  -0.107 0.696  -0.260 0.639  -0.379 0.526  -0.499 0.414  -0.614 0.297  -0.720 0.172  -0.825 0.047  -0.914 -0.089  -0.977 -0.240  -1.040 -0.392  -1.080 -0.548  -1.080 -0.712  -1.078 -0.875  -0.967 -0.995  -0.850 -1.104  -0.687 -1.125  -0.524 -1.147  -0.365 -1.137  -0.210 -1.083  -0.055 -1.030  0.100 -0.977  0.245 -0.900  0.387 -0.819  0.529 -0.737  0.670 -0.654  0.786 -0.538  0.902 -0.422  1.018 -0.306  1.089 -0.161  1.146 -0.007  1.164 0.148  1.122 0.307  1.073 0.462  0.960 0.581  0.847 0.699  0.734 0.818  0.583 0.877  0.427 0.926  0.270 0.966  0.106 0.958  -0.058 0.949  -0.197 0.869  -0.331 0.774  -0.426 0.653  -0.466 0.494  -0.506 0.335
2#apb#apb41#app4131/r  -0.622 0.574  -0.585 0.691  -0.512 0.609  -0.510 0.482  -0.514 0.355  -0.534 0.229  -0.553 0.103  -0.572 -0.023  -0.588 -0.149  -0.604 -0.275  -0.620 -0.402  -0.636 -0.528  -0.658 -0.653  -0.681 -0.778  -0.704 -0.904  -0.718 -1.030  -0.718 -1.157  -0.699 -1.282  -0.607 -1.328  -0.498 -1.284  -0.408 -1.194  -0.323 -1.100  -0.260 -0.989  -0.198 -0.879  -0.135 -0.768  -0.095 -0.647  -0.058 -0.525  -0.022 -0.403  0.015 -0.282  0.047 -0.158  0.079 -0.035  0.110 0.088  0.142 0.212  0.182 0.332  0.234 0.448  0.286 0.564  0.338 0.681  0.403 0.788  0.487 0.884  0.571 0.979  0.672 1.053  0.786 1.110  0.908 1.133  1.023 1.092  1.120 1.013  1.188 0.906  1.238 0.790  1.276 0.668  1.280 0.541  1.248 0.446
