3#app#app32#app3256/!  -0.046 1.319  0.036 1.319  0.060 1.377  0.060 1.459  0.060 1.520  0.060 1.438  0.060 1.356  0.060 1.274  0.039 1.212  -0.043 1.212  -0.046 1.133  -0.046 1.051  -0.046 0.969  -0.046 0.886  -0.046 0.804  -0.046 0.722  -0.046 0.640  -0.046 0.557  -0.046 0.475  -0.046 0.393  -0.083 0.326  -0.141 0.268  -0.152 0.190  -0.152 0.108  -0.152 0.025  -0.152 -0.057  -0.152 -0.139  -0.152 -0.221  -0.152 -0.304  -0.152 -0.386  -0.152 -0.468  -0.152 -0.550  -0.113 -0.593  -0.041 -0.608  -0.012 -0.685  0.017 -0.762  0.046 -0.839  0.075 -0.916  0.104 -0.993  0.133 -1.070  0.161 -1.147  0.190 -1.224  0.219 -1.301  0.248 -1.378  0.259 -1.442  0.177 -1.442  0.166 -1.371  0.118 -1.336  0.060 -1.360  0.060 -1.442
3#app#app32#app3256/@  0.117 -0.568  0.117 -0.368  0.117 -0.169  0.117 0.031  0.117 0.231  0.012 0.223  -0.093 0.128  -0.114 -0.063  -0.198 -0.227  -0.198 -0.427  -0.034 -0.463  0.120 -0.354  0.222 -0.197  0.267 -0.252  0.457 -0.229  0.623 -0.147  0.717 -0.042  0.793 0.108  0.854 0.282  0.854 0.482  0.854 0.681  0.854 0.881  0.804 1.060  0.749 1.237  0.671 1.404  0.482 1.431  0.283 1.431  0.098 1.369  -0.061 1.253  -0.204 1.113  -0.382 1.024  -0.485 0.859  -0.574 0.680  -0.663 0.501  -0.744 0.319  -0.808 0.130  -0.888 -0.052  -0.935 -0.241  -0.935 -0.440  -0.935 -0.640  -0.892 -0.822  -0.825 -0.994  -0.684 -1.135  -0.512 -1.202  -0.355 -1.305  -0.155 -1.305  0.044 -1.305  0.244 -1.305  0.444 -1.305  0.643 -1.305
3#app#app32#app3256/#  -0.131 1.493  -0.293 1.163  -0.298 0.769  -0.388 0.387  -0.466 0.004  -0.466 -0.393  -0.466 -0.789  -0.466 -1.185  -0.405 -1.521  -0.198 -1.249  -0.061 -0.877  0.076 -0.505  0.213 -0.133  0.350 0.239  0.487 0.610  0.624 0.982  0.761 1.354  0.873 1.589  0.873 1.193  0.737 0.853  0.706 0.470  0.706 0.073  0.706 -0.323  0.706 -0.719  0.453 -0.773  0.075 -0.657  -0.304 -0.540  -0.683 -0.424  -1.062 -0.307  -1.441 -0.191  -1.330 0.126  -1.001 0.288  -0.672 0.450  -0.310 0.566  0.065 0.655  0.435 0.771  0.819 0.823  0.967 0.916  0.687 0.636  0.406 0.356  0.126 0.075  -0.154 -0.205  -0.434 -0.485  -0.715 -0.765  -0.930 -1.019  -0.534 -1.019  -0.185 -0.905  0.173 -0.783  0.495 -0.560  0.873 -0.516
3#app#app32#app3256/$  0.653 0.950  0.415 1.101  0.033 1.084  -0.286 0.915  -0.605 0.747  -0.803 0.498  -1.005 0.223  -0.944 -0.105  -0.555 -0.105  -0.167 -0.105  0.172 0.016  0.549 0.046  0.804 -0.088  1.106 -0.176  1.256 -0.414  1.190 -0.775  0.915 -1.050  0.634 -1.311  0.307 -1.462  -0.043 -1.555  -0.259 -1.456  -0.280 -1.068  -0.300 -0.679  -0.321 -0.291  -0.341 0.097  -0.362 0.486  -0.382 0.874  -0.410 1.244  -0.553 0.914  -0.553 0.525  -0.553 0.136  -0.553 -0.253  -0.553 -0.642  -0.402 -0.968  -0.402 -1.357  -0.336 -1.186  -0.246 -0.808  -0.156 -0.429  -0.066 -0.051  0.024 0.328  0.114 0.706  0.204 1.084  0.294 1.463  0.352 1.563  0.352 1.174  0.352 0.785  0.352 0.396  0.352 0.007  0.503 -0.319  0.503 -0.708
3#app#app32#app3256/%  -0.595 1.115  -0.699 1.235  -0.837 1.149  -0.957 0.974  -0.957 0.750  -0.957 0.525  -0.837 0.422  -0.665 0.339  -0.469 0.270  -0.354 0.378  -0.168 0.455  -0.009 0.614  0.008 0.831  0.008 1.055  0.008 1.280  0.036 1.477  0.139 1.356  0.364 1.356  0.370 1.138  0.370 0.914  0.370 0.689  0.338 0.478  0.179 0.320  0.129 0.116  0.033 -0.068  -0.112 -0.233  -0.199 -0.421  -0.354 -0.581  -0.431 -0.774  -0.475 -0.980  -0.595 -1.084  -0.468 -1.173  -0.298 -1.027  -0.127 -0.881  0.043 -0.735  0.214 -0.589  0.358 -0.467  0.250 -0.647  0.129 -0.751  0.129 -0.975  0.250 -1.079  0.374 -1.179  0.598 -1.179  0.796 -1.115  0.955 -0.957  1.095 -0.790  1.003 -0.604  0.844 -0.445  0.685 -0.287  0.491 -0.213
3#app#app32#app3256/^  -0.802 -1.636  -0.802 -1.540  -0.802 -1.444  -0.802 -1.347  -0.802 -1.251  -0.802 -1.155  -0.802 -1.059  -0.802 -0.962  -0.802 -0.866  -0.802 -0.770  -0.802 -0.673  -0.736 -0.604  -0.668 -0.536  -0.600 -0.468  -0.532 -0.400  -0.480 -0.325  -0.480 -0.229  -0.480 -0.133  -0.480 -0.036  -0.419 0.035  -0.351 0.103  -0.283 0.171  -0.215 0.239  -0.147 0.307  -0.079 0.375  -0.011 0.443  0.058 0.511  0.126 0.580  0.164 0.660  0.164 0.756  0.164 0.853  0.173 0.939  0.270 0.939  0.366 0.939  0.462 0.939  0.486 0.866  0.486 0.770  0.486 0.674  0.514 0.589  0.582 0.521  0.650 0.453  0.718 0.385  0.786 0.317  0.874 0.295  0.970 0.295  1.066 0.295  1.163 0.295  1.259 0.295  1.355 0.295  1.451 0.295
3#app#app32#app3256/&  0.032 1.801  0.133 1.785  0.133 1.668  0.133 1.550  0.133 1.433  0.133 1.316  0.156 1.201  0.185 1.087  0.213 0.973  0.204 0.889  0.086 0.889  0.032 0.827  -0.047 0.788  -0.136 0.721  -0.171 0.618  -0.256 0.585  -0.272 0.484  -0.256 0.383  -0.171 0.351  -0.123 0.282  -0.069 0.218  -0.149 0.180  -0.171 0.084  -0.250 -0.000  -0.358 -0.022  -0.373 -0.124  -0.356 -0.225  -0.239 -0.225  -0.122 -0.225  -0.004 -0.225  0.113 -0.225  0.133 -0.322  0.246 -0.326  0.364 -0.326  0.437 -0.370  0.399 -0.474  0.323 -0.564  0.248 -0.654  0.173 -0.744  0.098 -0.834  0.023 -0.924  -0.052 -1.014  -0.069 -1.125  -0.069 -1.243  -0.069 -1.360  -0.069 -1.477  -0.069 -1.595  -0.069 -1.712  -0.069 -1.829  -0.069 -1.947
3#app#app32#app3256/*  -0.607 -0.136  -0.357 -0.049  -0.103 0.028  0.183 0.028  0.469 0.028  0.755 0.028  1.030 0.035  0.882 0.280  0.735 0.526  0.588 0.771  0.441 1.016  0.294 1.261  0.147 1.507  0.049 1.572  0.049 1.286  0.049 1.000  0.049 0.714  -0.016 0.455  -0.115 0.210  -0.115 -0.076  -0.115 -0.362  -0.115 -0.648  -0.115 -0.934  -0.115 -1.220  -0.115 -1.506  -0.115 -1.792  -0.142 -1.805  -0.198 -1.524  -0.254 -1.244  -0.310 -0.963  -0.366 -0.683  -0.422 -0.402  -0.478 -0.122  -0.535 0.159  -0.591 0.439  -0.647 0.720  -0.703 1.000  -0.759 1.281  -0.612 1.182  -0.607 0.898  -0.501 0.637  -0.333 0.410  -0.130 0.208  0.049 -0.004  0.158 -0.245  0.360 -0.447  0.563 -0.649  0.790 -0.792  0.912 -0.956  1.034 -1.120
3#app#app32#app3256/(  0.357 1.663  0.357 1.589  0.357 1.515  0.357 1.441  0.357 1.367  0.307 1.314  0.255 1.262  0.208 1.207  0.208 1.133  0.208 1.059  0.208 0.985  0.204 0.913  0.152 0.861  0.100 0.809  0.059 0.752  0.059 0.678  0.059 0.604  0.059 0.530  0.053 0.457  0.020 0.391  -0.013 0.325  -0.046 0.259  -0.079 0.193  -0.090 0.122  -0.090 0.048  -0.090 -0.026  -0.090 -0.100  -0.090 -0.174  -0.090 -0.248  -0.090 -0.322  -0.090 -0.396  -0.090 -0.470  -0.090 -0.544  -0.110 -0.613  -0.143 -0.679  -0.176 -0.745  -0.209 -0.811  -0.239 -0.878  -0.239 -0.952  -0.239 -1.026  -0.239 -1.100  -0.239 -1.174  -0.239 -1.247  -0.235 -1.318  -0.161 -1.318  -0.090 -1.320  -0.090 -1.394  -0.090 -1.468  -0.090 -1.542  -0.090 -1.616
3#app#app32#app3256/)  -0.557 1.445  -0.483 1.445  -0.418 1.425  -0.366 1.372  -0.311 1.327  -0.237 1.327  -0.174 1.299  -0.122 1.247  -0.083 1.189  -0.083 1.115  -0.061 1.046  -0.028 0.980  0.005 0.914  0.036 0.847  0.036 0.773  0.036 0.699  0.036 0.625  0.064 0.558  0.097 0.492  0.130 0.426  0.155 0.358  0.155 0.284  0.155 0.210  0.155 0.136  0.155 0.062  0.155 -0.012  0.155 -0.086  0.155 -0.160  0.155 -0.234  0.155 -0.308  0.155 -0.382  0.155 -0.456  0.155 -0.530  0.155 -0.604  0.155 -0.678  0.155 -0.752  0.155 -0.826  0.155 -0.900  0.122 -0.960  0.070 -1.013  0.036 -1.073  0.036 -1.147  0.036 -1.221  0.029 -1.291  -0.024 -1.344  -0.076 -1.396  -0.083 -1.467  -0.097 -1.535  -0.149 -1.588  -0.201 -1.640
3#app#app32#app3256/`  -0.120 1.791  -0.120 1.713  -0.120 1.635  -0.120 1.557  -0.120 1.479  -0.120 1.401  -0.120 1.323  -0.120 1.245  -0.120 1.167  -0.120 1.089  -0.120 1.011  -0.120 0.933  -0.120 0.855  -0.120 0.777  -0.120 0.699  -0.120 0.621  -0.120 0.543  -0.120 0.465  -0.120 0.387  -0.120 0.309  -0.120 0.231  -0.120 0.153  -0.120 0.075  -0.120 -0.003  -0.120 -0.081  -0.120 -0.159  -0.120 -0.237  -0.120 -0.315  -0.120 -0.393  -0.120 -0.471  -0.120 -0.549  -0.120 -0.627  -0.120 -0.705  -0.094 -0.757  -0.016 -0.757  0.062 -0.757  0.140 -0.757  0.218 -0.757  0.296 -0.757  0.305 -0.826  0.305 -0.904  0.305 -0.982  0.305 -1.061  0.305 -1.139  0.305 -1.217  0.305 -1.295  0.305 -1.373  0.305 -1.451  0.305 -1.529  0.305 -1.607
