3#apa#apa03#app0343/p  0.108 0.949  0.108 0.774  0.050 0.623  -0.026 0.481  -0.026 0.306  -0.026 0.132  -0.026 -0.043  -0.026 -0.217  -0.121 -0.352  -0.198 -0.504  -0.253 -0.670  -0.294 -0.838  -0.294 -1.012  -0.383 -1.150  -0.428 -1.305  -0.445 -1.464  -0.562 -1.520  -0.660 -1.598  -0.697 -1.460  -0.697 -1.286  -0.697 -1.111  -0.697 -0.937  -0.674 -0.772  -0.562 -0.644  -0.562 -0.469  -0.562 -0.295  -0.501 -0.135  -0.428 0.023  -0.428 0.197  -0.363 0.344  -0.239 0.468  -0.160 0.609  -0.087 0.754  -0.026 0.903  0.065 1.040  0.188 1.163  0.340 1.217  0.515 1.217  0.689 1.217  0.838 1.156  0.912 1.012  0.990 0.870  1.046 0.719  1.046 0.544  1.015 0.382  0.884 0.279  0.778 0.210  0.669 0.145  0.538 0.039  0.376 0.010
3#apa#apa03#app0343/i  0.376 0.286  0.376 0.161  0.286 0.126  0.217 0.070  0.201 -0.049  0.113 -0.138  0.057 -0.240  0.045 -0.353  -0.080 -0.353  -0.102 -0.456  -0.102 -0.581  -0.102 -0.706  -0.102 -0.831  -0.227 -0.831  -0.262 -0.922  -0.262 -1.047  -0.262 -1.172  -0.262 -1.298  -0.149 -1.310  -0.102 -1.388  -0.100 -1.426  -0.093 -1.301  -0.087 -1.176  -0.080 -1.051  -0.074 -0.926  -0.067 -0.801  -0.060 -0.676  -0.054 -0.551  -0.047 -0.426  -0.041 -0.301  -0.034 -0.176  -0.028 -0.051  -0.021 0.075  -0.014 0.200  -0.008 0.325  -0.001 0.450  0.005 0.575  0.012 0.700  0.018 0.825  0.025 0.950  0.032 1.075  0.038 1.200  0.045 1.325  0.051 1.450  0.057 1.575  0.057 1.700  0.057 1.825  0.126 1.882  0.251 1.882  0.376 1.882
3#apa#apa03#app0343/n  -0.698 0.870  -0.533 0.870  -0.517 0.721  -0.517 0.556  -0.517 0.391  -0.517 0.225  -0.604 0.146  -0.698 0.076  -0.698 -0.089  -0.698 -0.255  -0.698 -0.420  -0.698 -0.585  -0.698 -0.750  -0.855 -0.759  -0.879 -0.900  -0.879 -1.065  -0.879 -1.230  -0.879 -1.208  -0.879 -1.043  -0.835 -0.896  -0.719 -0.779  -0.602 -0.662  -0.517 -0.532  -0.496 -0.375  -0.379 -0.258  -0.262 -0.142  -0.146 -0.025  -0.029 0.092  0.026 0.235  0.077 0.379  0.194 0.496  0.311 0.612  0.427 0.729  0.544 0.846  0.699 0.870  0.831 0.952  0.955 1.051  1.112 1.043  1.112 0.878  1.112 0.713  1.112 0.547  1.112 0.382  1.112 0.217  1.017 0.146  0.931 0.068  0.931 -0.098  0.931 -0.263  0.931 -0.428  0.931 -0.593  0.931 -0.759
3#apa#apa03#app0343/k  -0.415 1.510  -0.415 1.279  -0.415 1.048  -0.415 0.817  -0.415 0.586  -0.415 0.354  -0.415 0.123  -0.415 -0.108  -0.415 -0.339  -0.415 -0.570  -0.477 -0.775  -0.586 -0.962  -0.683 -1.152  -0.757 -1.353  -0.657 -1.237  -0.534 -1.041  -0.412 -0.845  -0.289 -0.649  -0.167 -0.453  -0.044 -0.257  0.078 -0.061  0.201 0.135  0.323 0.331  0.446 0.527  0.568 0.723  0.691 0.919  0.813 1.115  0.936 1.311  0.782 1.312  0.695 1.168  0.507 1.064  0.344 0.901  0.143 0.826  -0.033 0.695  -0.197 0.531  -0.409 0.484  -0.574 0.325  -0.586 0.099  -0.586 -0.132  -0.586 -0.364  -0.377 -0.408  -0.214 -0.572  -0.041 -0.713  0.190 -0.713  0.422 -0.713  0.630 -0.808  0.844 -0.884  1.039 -0.969  1.235 -1.055  1.466 -1.055
3#apa#apa03#app0343/,  0.405 1.660  0.405 1.586  0.405 1.511  0.405 1.436  0.405 1.362  0.405 1.287  0.405 1.213  0.405 1.138  0.405 1.063  0.405 0.989  0.405 0.914  0.405 0.840  0.405 0.765  0.405 0.690  0.405 0.616  0.405 0.541  0.400 0.469  0.347 0.416  0.294 0.363  0.241 0.310  0.189 0.258  0.136 0.205  0.083 0.152  0.030 0.099  0.009 0.034  0.009 -0.041  0.009 -0.116  0.009 -0.190  0.009 -0.265  -0.007 -0.333  -0.059 -0.386  -0.112 -0.439  -0.165 -0.491  -0.218 -0.544  -0.270 -0.597  -0.323 -0.650  -0.376 -0.702  -0.386 -0.773  -0.386 -0.847  -0.386 -0.922  -0.386 -0.996  -0.386 -1.071  -0.413 -1.135  -0.465 -1.187  -0.518 -1.240  -0.571 -1.293  -0.624 -1.346  -0.676 -1.398  -0.729 -1.451  -0.782 -1.504
3#apa#apa03#app0343/i  0.029 -0.200  0.029 -0.301  0.029 -0.401  -0.008 -0.486  -0.079 -0.557  -0.096 -0.651  -0.096 -0.751  -0.115 -0.843  -0.186 -0.914  -0.220 -1.000  -0.220 -1.101  -0.220 -1.201  -0.220 -1.302  -0.220 -1.402  -0.213 -1.393  -0.199 -1.293  -0.186 -1.194  -0.172 -1.094  -0.159 -0.995  -0.145 -0.895  -0.132 -0.796  -0.118 -0.696  -0.104 -0.597  -0.091 -0.497  -0.077 -0.398  -0.064 -0.299  -0.050 -0.199  -0.037 -0.100  -0.023 -0.000  -0.010 0.099  0.004 0.199  0.018 0.298  0.031 0.398  0.045 0.497  0.058 0.597  0.072 0.696  0.085 0.796  0.099 0.895  0.113 0.995  0.126 1.094  0.140 1.194  0.153 1.293  0.154 1.393  0.154 1.494  0.202 1.546  0.278 1.570  0.278 1.670  0.379 1.670  0.457 1.617  0.528 1.546
3#apa#apa03#app0343/s  0.667 1.487  0.546 1.487  0.438 1.454  0.353 1.368  0.264 1.291  0.143 1.291  0.039 1.250  -0.046 1.165  -0.139 1.096  -0.260 1.096  -0.310 1.026  -0.310 0.905  -0.427 0.900  -0.506 0.859  -0.506 0.738  -0.568 0.643  -0.654 0.557  -0.663 0.472  -0.578 0.386  -0.492 0.301  -0.407 0.215  -0.321 0.130  -0.236 0.044  -0.150 -0.041  -0.065 -0.127  0.020 -0.212  0.117 -0.272  0.237 -0.272  0.276 -0.355  0.284 -0.468  0.405 -0.468  0.526 -0.468  0.647 -0.468  0.667 -0.568  0.667 -0.689  0.667 -0.810  0.594 -0.858  0.473 -0.858  0.352 -0.858  0.276 -0.903  0.276 -1.024  0.185 -1.054  0.064 -1.054  -0.057 -1.054  -0.159 -1.098  -0.245 -1.184  -0.339 -1.249  -0.460 -1.249  -0.580 -1.249  -0.701 -1.249
3#apa#apa03#app0343/t  0.706 1.378  0.845 1.414  0.845 1.588  0.769 1.579  0.646 1.455  0.568 1.313  0.568 1.139  0.472 1.005  0.430 0.848  0.421 0.678  0.298 0.554  0.292 0.383  0.247 0.227  0.153 0.092  0.153 -0.082  0.153 -0.256  0.048 -0.387  0.015 -0.547  0.015 -0.721  0.015 -0.896  0.015 -1.070  0.015 -1.244  0.015 -1.418  0.080 -1.527  0.254 -1.527  0.212 -1.416  0.111 -1.274  0.010 -1.132  -0.092 -0.991  -0.193 -0.849  -0.294 -0.707  -0.395 -0.565  -0.497 -0.424  -0.598 -0.282  -0.699 -0.140  -0.800 0.001  -0.901 0.143  -1.003 0.285  -1.092 0.389  -1.035 0.271  -0.861 0.271  -0.687 0.271  -0.513 0.271  -0.338 0.271  -0.164 0.271  0.010 0.271  0.184 0.271  0.358 0.271  0.532 0.271  0.706 0.271
3#apa#apa03#app0343/h  -0.248 2.040  -0.248 1.886  -0.248 1.732  -0.248 1.578  -0.248 1.424  -0.248 1.270  -0.264 1.118  -0.313 0.972  -0.362 0.826  -0.373 0.674  -0.373 0.520  -0.373 0.365  -0.373 0.211  -0.373 0.057  -0.473 -0.055  -0.497 -0.199  -0.497 -0.353  -0.535 -0.492  -0.622 -0.610  -0.622 -0.764  -0.622 -0.918  -0.622 -1.072  -0.622 -1.179  -0.622 -1.025  -0.564 -0.895  -0.455 -0.786  -0.373 -0.666  -0.325 -0.531  -0.216 -0.422  -0.123 -0.307  -0.086 -0.168  0.023 -0.059  0.130 0.052  0.199 0.189  0.288 0.294  0.423 0.341  0.544 0.419  0.698 0.419  0.750 0.316  0.750 0.162  0.750 0.008  0.750 -0.146  0.750 -0.300  0.750 -0.454  0.771 -0.600  0.875 -0.711  0.875 -0.865  0.875 -1.019  0.970 -1.078  0.999 -1.202
3#apa#apa03#app0343/e  -0.521 -0.216  -0.412 -0.325  -0.286 -0.393  -0.133 -0.393  0.008 -0.380  0.008 -0.226  0.152 -0.216  0.306 -0.216  0.460 -0.216  0.538 -0.140  0.591 -0.040  0.714 -0.009  0.720 0.142  0.829 0.251  0.890 0.379  0.890 0.533  0.890 0.687  0.890 0.841  0.890 0.995  0.890 1.148  0.783 1.195  0.629 1.195  0.475 1.195  0.322 1.195  0.173 1.183  0.064 1.074  -0.067 1.018  -0.205 0.981  -0.314 0.872  -0.344 0.731  -0.384 0.587  -0.453 0.449  -0.522 0.312  -0.630 0.203  -0.697 0.077  -0.697 -0.077  -0.697 -0.231  -0.697 -0.384  -0.697 -0.538  -0.697 -0.692  -0.697 -0.846  -0.697 -0.999  -0.642 -1.098  -0.521 -1.131  -0.514 -1.282  -0.405 -1.390  -0.277 -1.451  -0.123 -1.451  0.031 -1.451  0.185 -1.451
3#apa#apa03#app0343/r  -0.487 0.573  -0.360 0.573  -0.332 0.475  -0.332 0.348  -0.332 0.221  -0.332 0.094  -0.332 -0.033  -0.332 -0.159  -0.418 -0.201  -0.487 -0.258  -0.487 -0.385  -0.487 -0.512  -0.487 -0.639  -0.487 -0.765  -0.487 -0.892  -0.487 -1.019  -0.487 -1.146  -0.487 -1.273  -0.602 -1.284  -0.642 -1.197  -0.642 -1.070  -0.642 -0.944  -0.642 -0.817  -0.642 -0.690  -0.642 -0.563  -0.590 -0.458  -0.500 -0.368  -0.487 -0.247  -0.430 -0.144  -0.340 -0.054  -0.251 0.036  -0.161 0.125  -0.071 0.215  0.018 0.305  0.108 0.394  0.215 0.460  0.328 0.517  0.442 0.573  0.531 0.663  0.621 0.753  0.711 0.842  0.821 0.883  0.948 0.883  1.074 0.883  1.201 0.883  1.328 0.883  1.455 0.883  1.582 0.883  1.708 0.883  1.835 0.883
