3#apa#apa03#app0344/w  -0.944 0.728  -0.944 0.845  -0.944 0.693  -0.997 0.594  -1.078 0.524  -1.118 0.381  -1.186 0.245  -1.213 0.100  -1.213 -0.052  -1.213 -0.204  -1.110 -0.313  -1.078 -0.452  -1.078 -0.603  -0.936 -0.613  -0.785 -0.613  -0.645 -0.583  -0.538 -0.475  -0.431 -0.368  -0.289 -0.345  -0.271 -0.211  -0.139 -0.190  -0.113 -0.050  -0.005 0.058  0.007 0.204  0.114 0.311  0.129 0.457  0.114 0.326  -0.005 0.293  -0.005 0.141  -0.005 -0.010  -0.005 -0.162  0.068 -0.284  0.129 -0.410  0.212 -0.479  0.334 -0.550  0.460 -0.613  0.588 -0.556  0.708 -0.479  0.842 -0.437  0.949 -0.329  1.057 -0.222  1.164 -0.115  1.271 -0.007  1.363 0.111  1.431 0.247  1.470 0.389  1.470 0.541  1.470 0.693  1.470 0.845  1.470 0.997
3#apa#apa03#app0344/a  0.517 0.762  0.517 0.936  0.407 1.000  0.233 1.000  0.059 1.000  -0.115 1.000  -0.289 1.000  -0.454 0.978  -0.577 0.855  -0.713 0.762  -0.887 0.762  -0.908 0.609  -0.971 0.461  -1.094 0.338  -1.145 0.185  -1.145 0.011  -1.145 -0.163  -1.145 -0.337  -1.145 -0.510  -1.123 -0.663  -0.950 -0.663  -0.814 -0.756  -0.691 -0.879  -0.526 -0.900  -0.352 -0.900  -0.183 -0.888  -0.060 -0.765  0.063 -0.642  0.186 -0.519  0.309 -0.396  0.432 -0.273  0.517 -0.134  0.517 0.040  0.517 0.214  0.588 0.358  0.711 0.482  0.754 0.638  0.754 0.713  0.754 0.539  0.754 0.365  0.754 0.191  0.754 0.017  0.754 -0.157  0.754 -0.331  0.754 -0.505  0.754 -0.679  0.754 -0.853  0.754 -1.027  0.818 -1.138  0.992 -1.138
3#apa#apa03#app0344/n  -1.042 0.773  -1.042 0.631  -1.042 0.489  -1.042 0.347  -1.042 0.205  -1.042 0.063  -1.042 -0.079  -1.042 -0.221  -1.042 -0.363  -1.042 -0.504  -1.042 -0.646  -1.042 -0.788  -1.042 -0.930  -0.922 -0.953  -0.806 -0.890  -0.706 -0.789  -0.605 -0.689  -0.505 -0.588  -0.404 -0.488  -0.351 -0.368  -0.326 -0.237  -0.225 -0.136  -0.103 -0.090  -0.006 -0.044  0.007 0.089  0.134 0.153  0.261 0.216  0.339 0.310  0.339 0.452  0.339 0.594  0.339 0.736  0.444 0.773  0.512 0.847  0.555 0.946  0.697 0.946  0.839 0.946  0.857 0.821  0.857 0.679  0.857 0.537  0.880 0.405  0.980 0.305  1.029 0.183  1.029 0.041  1.029 -0.101  1.029 -0.243  1.029 -0.385  1.029 -0.527  1.029 -0.669  1.029 -0.811  1.029 -0.953
3#apa#apa03#app0344/t  0.377 1.520  0.377 1.707  0.365 1.520  0.185 1.502  0.185 1.304  0.185 1.106  0.185 0.908  0.185 0.709  0.151 0.525  0.011 0.385  -0.007 0.194  -0.007 -0.004  -0.007 -0.202  -0.007 -0.400  -0.007 -0.598  -0.007 -0.797  -0.007 -0.995  0.015 -1.171  0.185 -1.199  0.185 -1.397  0.225 -1.556  0.410 -1.523  0.550 -1.383  0.740 -1.363  0.643 -1.233  0.510 -1.086  0.376 -0.940  0.243 -0.793  0.110 -0.646  -0.024 -0.500  -0.157 -0.353  -0.290 -0.206  -0.424 -0.060  -0.557 0.087  -0.690 0.234  -0.824 0.381  -0.957 0.527  -1.090 0.674  -1.095 0.685  -0.949 0.559  -0.758 0.541  -0.618 0.401  -0.434 0.367  -0.235 0.367  -0.037 0.367  0.161 0.367  0.359 0.367  0.558 0.367  0.756 0.367  0.954 0.367
3#apa#apa03#app0344/e  -0.353 -0.452  -0.212 -0.452  -0.070 -0.452  0.071 -0.452  0.186 -0.386  0.286 -0.286  0.386 -0.186  0.486 -0.086  0.586 0.014  0.724 0.021  0.829 0.057  0.829 0.199  0.829 0.340  0.829 0.482  0.829 0.623  0.805 0.755  0.705 0.855  0.605 0.955  0.505 1.055  0.405 1.155  0.284 1.203  0.142 1.203  0.001 1.203  -0.141 1.203  -0.282 1.203  -0.353 1.133  -0.353 0.991  -0.436 0.884  -0.536 0.784  -0.589 0.665  -0.589 0.523  -0.589 0.382  -0.589 0.240  -0.589 0.099  -0.589 -0.043  -0.589 -0.184  -0.589 -0.325  -0.589 -0.467  -0.589 -0.608  -0.546 -0.732  -0.446 -0.832  -0.353 -0.935  -0.353 -1.076  -0.313 -1.201  -0.213 -1.301  -0.113 -1.401  -0.013 -1.501  0.087 -1.601  0.215 -1.634  0.356 -1.634
3#apa#apa03#app0344/d  0.379 2.038  0.525 2.009  0.525 1.834  0.525 1.660  0.525 1.485  0.525 1.310  0.525 1.136  0.525 0.961  0.525 0.787  0.525 0.612  0.521 0.439  0.398 0.315  0.379 0.148  0.379 -0.026  0.379 -0.201  0.379 -0.376  0.379 -0.550  0.379 -0.725  0.344 -0.864  0.299 -0.864  0.379 -0.770  0.379 -0.595  0.379 -0.421  0.353 -0.257  0.234 -0.131  0.198 0.007  0.089 0.073  -0.006 0.152  -0.181 0.152  -0.210 0.297  -0.385 0.297  -0.560 0.297  -0.706 0.228  -0.849 0.152  -0.995 0.083  -1.072 -0.060  -1.072 -0.234  -1.072 -0.409  -1.062 -0.574  -0.927 -0.613  -0.878 -0.767  -0.748 -0.881  -0.592 -0.959  -0.429 -1.009  -0.254 -1.009  -0.080 -1.009  0.051 -0.903  0.197 -0.810  0.353 -0.732  0.525 -0.719
3#apa#apa03#app0344/p  -0.386 0.244  -0.233 0.215  -0.138 0.088  -0.138 -0.077  -0.138 -0.243  -0.138 -0.408  -0.138 -0.574  -0.138 -0.740  -0.138 -0.905  -0.191 -1.049  -0.262 -1.185  -0.338 -1.319  -0.386 -1.465  -0.510 -1.476  -0.510 -1.311  -0.608 -1.243  -0.634 -1.104  -0.634 -0.938  -0.704 -0.801  -0.758 -0.658  -0.758 -0.493  -0.758 -0.327  -0.758 -0.161  -0.699 -0.010  -0.634 0.141  -0.590 0.288  -0.510 0.420  -0.510 0.586  -0.414 0.712  -0.297 0.829  -0.146 0.864  -0.027 0.975  0.090 1.093  0.248 1.112  0.413 1.112  0.579 1.112  0.704 1.014  0.859 0.988  1.011 0.955  1.128 0.838  1.226 0.713  1.226 0.547  1.115 0.492  1.073 0.368  0.928 0.319  0.811 0.202  0.679 0.120  0.514 0.120  0.387 0.026  0.234 -0.004
3#apa#apa03#app0344/i  0.145 0.229  0.286 0.229  0.335 0.321  0.335 0.377  0.335 0.237  0.202 0.229  0.086 0.170  -0.014 0.071  -0.045 -0.057  -0.092 -0.151  -0.233 -0.151  -0.235 -0.289  -0.235 -0.430  -0.263 -0.559  -0.363 -0.658  -0.425 -0.773  -0.425 -0.914  -0.425 -1.055  -0.425 -1.195  -0.380 -1.291  -0.239 -1.291  -0.235 -1.427  -0.148 -1.481  -0.043 -1.444  -0.034 -1.303  -0.026 -1.163  -0.018 -1.022  -0.010 -0.882  -0.001 -0.741  0.007 -0.601  0.015 -0.461  0.023 -0.320  0.032 -0.180  0.040 -0.039  0.048 0.101  0.056 0.242  0.065 0.382  0.073 0.523  0.081 0.663  0.089 0.803  0.098 0.944  0.106 1.084  0.114 1.225  0.122 1.365  0.131 1.506  0.139 1.646  0.171 1.776  0.271 1.875  0.385 1.940  0.525 1.940
3#apa#apa03#app0344/n  -0.901 1.123  -0.901 0.971  -0.797 0.923  -0.701 0.866  -0.701 0.714  -0.701 0.562  -0.701 0.410  -0.701 0.257  -0.701 0.105  -0.701 -0.047  -0.701 -0.200  -0.701 -0.352  -0.701 -0.504  -0.701 -0.656  -0.701 -0.809  -0.701 -0.961  -0.701 -1.113  -0.701 -1.266  -0.701 -1.135  -0.701 -0.983  -0.669 -0.844  -0.561 -0.736  -0.453 -0.629  -0.346 -0.521  -0.301 -0.387  -0.259 -0.277  -0.107 -0.277  -0.101 -0.130  -0.031 -0.007  0.076 0.101  0.184 0.209  0.292 0.316  0.399 0.424  0.499 0.535  0.499 0.687  0.581 0.806  0.689 0.913  0.837 0.923  0.899 0.833  0.929 0.693  1.036 0.586  1.099 0.459  1.099 0.307  1.099 0.154  1.099 0.002  1.099 -0.150  1.117 -0.295  1.225 -0.403  1.299 -0.524  1.299 -0.677
3#apa#apa03#app0344/k  -0.655 1.697  -0.480 1.638  -0.480 1.405  -0.480 1.172  -0.480 0.939  -0.480 0.706  -0.480 0.473  -0.316 0.307  -0.305 0.079  -0.305 -0.154  -0.305 -0.387  -0.305 -0.621  -0.376 -0.824  -0.480 -1.014  -0.582 -1.205  -0.655 -1.408  -0.558 -1.293  -0.438 -1.093  -0.318 -0.893  -0.198 -0.693  -0.079 -0.493  0.041 -0.293  0.161 -0.093  0.281 0.107  0.401 0.307  0.521 0.507  0.641 0.707  0.761 0.907  0.881 1.107  0.809 1.060  0.602 0.997  0.390 0.907  0.177 0.822  -0.026 0.750  -0.217 0.647  -0.450 0.647  -0.480 0.444  -0.480 0.210  -0.378 0.019  -0.305 -0.183  -0.117 -0.229  0.045 -0.300  0.137 -0.495  0.220 -0.694  0.393 -0.754  0.602 -0.857  0.797 -0.980  0.979 -1.104  1.095 -1.220  1.270 -1.279
3#apa#apa03#app0344/y  -0.783 0.983  -0.901 0.983  -0.911 0.876  -0.911 0.758  -0.911 0.640  -0.911 0.522  -0.864 0.424  -0.780 0.343  -0.662 0.343  -0.545 0.343  -0.427 0.343  -0.309 0.343  -0.271 0.423  -0.202 0.471  -0.143 0.530  -0.094 0.599  -0.015 0.638  0.005 0.747  0.088 0.830  0.113 0.938  0.164 1.034  0.241 1.102  0.241 0.984  0.324 0.900  0.369 0.801  0.369 0.684  0.369 0.566  0.369 0.448  0.369 0.330  0.369 0.212  0.369 0.095  0.369 -0.023  0.369 -0.141  0.369 -0.259  0.369 -0.376  0.369 -0.494  0.369 -0.612  0.369 -0.730  0.369 -0.848  0.369 -0.965  0.369 -1.083  0.369 -1.201  0.369 -1.319  0.369 -1.436  0.369 -1.554  0.303 -1.644  0.210 -1.706  0.113 -1.685  0.103 -1.578  -0.015 -1.578
