2#app#app12#app1274/j  0.221 1.308  0.221 1.172  0.229 1.040  0.307 0.937  0.307 0.802  0.307 0.666  0.307 0.531  0.394 0.431  0.394 0.295  0.394 0.160  0.394 0.024  0.394 -0.111  0.394 -0.247  0.394 -0.382  0.350 -0.507  0.307 -0.633  0.307 -0.768  0.307 -0.904  0.307 -1.039  0.307 -1.175  0.227 -1.277  0.193 -1.398  0.134 -1.510  0.037 -1.531  -0.051 -1.430  -0.112 -1.309  -0.139 -1.182  -0.211 -1.076  -0.270 -0.965  -0.297 -0.841  -0.297 -0.706  -0.313 -0.577  -0.384 -0.471  -0.384 -0.335  -0.373 -0.200  -0.362 -0.065  -0.351 0.070  -0.341 0.205  -0.330 0.340  -0.319 0.475  -0.308 0.610  -0.297 0.745  -0.287 0.881  -0.276 1.016  -0.265 1.151  -0.254 1.286  -0.243 1.421  -0.233 1.556  -0.222 1.691  -0.211 1.826
2#app#app12#app1274/o  -0.210 1.054  -0.313 0.951  -0.344 0.818  -0.458 0.785  -0.479 0.660  -0.480 0.515  -0.583 0.412  -0.613 0.278  -0.613 0.133  -0.613 -0.013  -0.613 -0.159  -0.613 -0.305  -0.613 -0.451  -0.613 -0.597  -0.613 -0.743  -0.613 -0.889  -0.613 -1.035  -0.613 -1.180  -0.517 -1.230  -0.479 -1.338  -0.360 -1.365  -0.214 -1.365  -0.083 -1.301  0.048 -1.236  0.153 -1.136  0.233 -1.016  0.298 -0.886  0.384 -0.770  0.462 -0.656  0.496 -0.525  0.596 -0.420  0.596 -0.274  0.615 -0.136  0.718 -0.033  0.731 0.108  0.731 0.253  0.731 0.399  0.731 0.545  0.731 0.691  0.731 0.837  0.686 0.964  0.596 1.073  0.566 1.188  0.420 1.188  0.274 1.188  0.128 1.188  0.004 1.134  -0.076 1.021  -0.107 0.888  -0.210 0.785
2#app#app12#app1274/u  -1.128 0.672  -1.051 0.594  -0.973 0.517  -0.959 0.414  -0.959 0.305  -0.959 0.195  -0.959 0.086  -0.959 -0.023  -0.959 -0.132  -0.890 -0.172  -0.790 -0.182  -0.790 -0.291  -0.790 -0.400  -0.790 -0.510  -0.681 -0.510  -0.622 -0.559  -0.622 -0.669  -0.522 -0.678  -0.453 -0.718  -0.453 -0.828  -0.363 -0.847  -0.254 -0.847  -0.145 -0.847  -0.036 -0.847  0.054 -0.827  0.054 -0.718  0.103 -0.629  0.180 -0.552  0.272 -0.510  0.381 -0.510  0.461 -0.439  0.539 -0.362  0.595 -0.270  0.644 -0.172  0.693 -0.075  0.742 0.023  0.791 0.121  0.839 0.218  0.888 0.316  0.897 0.423  0.897 0.532  0.897 0.642  0.897 0.751  0.897 0.860  0.897 0.969  0.897 1.079  0.897 1.188  0.897 1.297  0.897 1.406  0.897 1.516
2#app#app12#app1274/r  -0.541 0.244  -0.541 0.133  -0.541 0.023  -0.541 -0.087  -0.541 -0.197  -0.541 -0.307  -0.541 -0.417  -0.504 -0.519  -0.455 -0.618  -0.406 -0.716  -0.330 -0.795  -0.265 -0.879  -0.265 -0.989  -0.265 -1.099  -0.213 -1.188  -0.135 -1.266  -0.126 -1.372  -0.126 -1.343  -0.126 -1.233  -0.126 -1.123  -0.126 -1.012  -0.126 -0.902  -0.078 -0.812  -0.000 -0.734  0.012 -0.629  0.012 -0.519  0.029 -0.413  0.078 -0.314  0.127 -0.215  0.150 -0.111  0.150 -0.000  0.150 0.110  0.150 0.220  0.188 0.321  0.238 0.420  0.287 0.518  0.288 0.628  0.288 0.738  0.288 0.848  0.288 0.959  0.288 1.069  0.321 1.173  0.356 1.278  0.391 1.382  0.427 1.486  0.537 1.486  0.564 1.569  0.564 1.680  0.591 1.762  0.702 1.762
2#app#app12#app1274/n  -0.598 1.044  -0.598 0.886  -0.598 0.727  -0.598 0.569  -0.598 0.411  -0.598 0.253  -0.598 0.095  -0.598 -0.064  -0.598 -0.222  -0.598 -0.380  -0.598 -0.538  -0.627 -0.685  -0.739 -0.796  -0.768 -0.943  -0.768 -1.101  -0.768 -1.259  -0.711 -1.278  -0.599 -1.167  -0.598 -1.009  -0.598 -0.850  -0.598 -0.692  -0.544 -0.547  -0.473 -0.405  -0.387 -0.275  -0.275 -0.163  -0.258 -0.012  -0.258 0.146  -0.180 0.272  -0.089 0.392  -0.081 0.549  -0.010 0.690  0.061 0.832  0.193 0.874  0.251 0.973  0.339 1.044  0.498 1.044  0.637 0.998  0.749 0.886  0.824 0.748  0.895 0.607  0.931 0.457  0.977 0.318  1.089 0.206  1.101 0.053  1.101 -0.105  1.184 -0.229  1.271 -0.351  1.271 -0.510  1.271 -0.668  1.271 -0.826
2#app#app12#app1274/e  0.891 1.072  0.891 1.156  0.891 1.241  0.813 1.247  0.729 1.247  0.645 1.247  0.561 1.247  0.496 1.202  0.436 1.143  0.377 1.083  0.317 1.024  0.258 0.965  0.198 0.905  0.139 0.846  0.079 0.786  0.020 0.727  0.015 0.644  0.015 0.560  -0.035 0.497  -0.094 0.438  -0.154 0.378  -0.160 0.296  -0.160 0.212  -0.190 0.135  -0.228 0.060  -0.266 -0.015  -0.303 -0.090  -0.341 -0.165  -0.379 -0.241  -0.416 -0.316  -0.454 -0.391  -0.491 -0.466  -0.510 -0.546  -0.510 -0.630  -0.510 -0.714  -0.510 -0.798  -0.510 -0.882  -0.510 -0.967  -0.494 -1.044  -0.434 -1.104  -0.375 -1.163  -0.307 -1.203  -0.223 -1.203  -0.139 -1.203  -0.055 -1.203  0.029 -1.203  0.113 -1.203  0.197 -1.203  0.281 -1.203  0.365 -1.203
2#app#app12#app1274/y  -0.419 1.426  -0.300 1.426  -0.261 1.347  -0.261 1.228  -0.260 1.110  -0.176 1.026  -0.103 0.937  -0.103 0.819  -0.103 0.700  -0.048 0.636  0.055 0.621  0.055 0.502  0.123 0.411  0.206 0.327  0.213 0.211  0.227 0.231  0.250 0.348  0.273 0.464  0.297 0.580  0.320 0.697  0.343 0.813  0.367 0.930  0.371 0.857  0.371 0.738  0.359 0.625  0.275 0.541  0.213 0.448  0.213 0.329  0.213 0.210  0.213 0.092  0.199 -0.024  0.146 -0.130  0.093 -0.236  0.055 -0.346  0.055 -0.465  -0.025 -0.550  -0.103 -0.637  -0.103 -0.755  -0.103 -0.874  -0.138 -0.978  -0.222 -1.062  -0.261 -1.165  -0.261 -1.283  -0.261 -1.402  -0.261 -1.521  -0.261 -1.639  -0.279 -1.751  -0.362 -1.834  -0.419 -1.930  -0.419 -2.049
2#app#app12#app1274/s  -0.087 1.738  -0.087 1.642  -0.087 1.546  -0.087 1.451  -0.087 1.355  -0.088 1.260  -0.184 1.260  -0.246 1.227  -0.246 1.131  -0.246 1.035  -0.246 0.939  -0.246 0.844  -0.281 0.783  -0.377 0.783  -0.405 0.716  -0.405 0.620  -0.405 0.524  -0.405 0.428  -0.405 0.333  -0.336 0.306  -0.246 0.300  -0.246 0.204  -0.219 0.120  -0.152 0.052  -0.084 -0.016  -0.016 -0.083  0.051 -0.151  0.139 -0.172  0.231 -0.175  0.231 -0.271  0.256 -0.356  0.324 -0.424  0.392 -0.491  0.460 -0.559  0.527 -0.627  0.549 -0.713  0.549 -0.809  0.481 -0.876  0.413 -0.944  0.390 -1.030  0.390 -1.126  0.295 -1.126  0.231 -1.158  0.231 -1.254  0.167 -1.285  0.071 -1.286  0.004 -1.354  -0.064 -1.422  -0.150 -1.445  -0.246 -1.445
2#app#app12#app1274/h  -0.718 1.836  -0.718 1.695  -0.718 1.553  -0.675 1.429  -0.597 1.320  -0.597 1.179  -0.597 1.037  -0.597 0.895  -0.597 0.754  -0.555 0.619  -0.510 0.485  -0.475 0.349  -0.475 0.207  -0.475 0.065  -0.475 -0.076  -0.475 -0.218  -0.475 -0.359  -0.475 -0.501  -0.475 -0.643  -0.475 -0.784  -0.475 -0.926  -0.475 -1.067  -0.464 -1.197  -0.332 -1.175  -0.233 -1.074  -0.223 -0.935  -0.160 -0.808  -0.111 -0.678  -0.087 -0.542  -0.024 -0.416  0.010 -0.282  0.071 -0.166  0.156 -0.055  0.220 0.072  0.253 0.205  0.332 0.298  0.458 0.362  0.596 0.380  0.737 0.380  0.859 0.361  0.859 0.219  0.902 0.095  0.981 -0.014  0.981 -0.155  0.981 -0.297  0.981 -0.439  1.059 -0.548  1.102 -0.672  1.102 -0.813  1.102 -0.955
2#app#app12#app1274/i  -0.244 -0.072  -0.244 -0.169  -0.244 -0.267  -0.244 -0.364  -0.244 -0.462  -0.244 -0.559  -0.244 -0.657  -0.244 -0.755  -0.244 -0.852  -0.244 -0.950  -0.244 -1.047  -0.244 -1.145  -0.244 -1.243  -0.244 -1.340  -0.240 -1.400  -0.221 -1.304  -0.202 -1.209  -0.183 -1.113  -0.164 -1.017  -0.144 -0.922  -0.125 -0.826  -0.106 -0.730  -0.087 -0.634  -0.068 -0.539  -0.049 -0.443  -0.030 -0.347  -0.010 -0.252  0.009 -0.156  0.028 -0.060  0.047 0.035  0.066 0.131  0.085 0.227  0.104 0.322  0.124 0.418  0.143 0.514  0.162 0.609  0.181 0.705  0.200 0.801  0.219 0.896  0.238 0.992  0.257 1.088  0.277 1.183  0.296 1.279  0.315 1.375  0.334 1.471  0.353 1.566  0.372 1.662  0.391 1.758  0.411 1.853  0.430 1.949
2#app#app12#app1274/d  -0.007 -0.129  -0.136 -0.173  -0.241 -0.277  -0.367 -0.351  -0.431 -0.460  -0.516 -0.522  -0.599 -0.636  -0.661 -0.722  -0.686 -0.846  -0.686 -0.993  -0.686 -1.141  -0.686 -1.289  -0.686 -1.437  -0.587 -1.486  -0.439 -1.486  -0.340 -1.382  -0.293 -1.242  -0.240 -1.104  -0.174 -0.972  -0.108 -0.840  -0.042 -0.708  0.024 -0.576  0.086 -0.442  0.133 -0.302  0.187 -0.165  0.248 -0.031  0.248 0.116  0.309 0.249  0.332 0.392  0.366 0.532  0.417 0.667  0.417 0.815  0.417 0.963  0.417 1.110  0.417 1.258  0.417 1.406  0.417 1.554  0.369 1.653  0.332 1.541  0.330 1.394  0.264 1.262  0.248 1.118  0.248 0.971  0.248 0.823  0.248 0.675  0.248 0.527  0.248 0.380  0.314 0.247  0.332 0.104  0.332 -0.044
