3#apb#apb05#app0587/P  0.362 0.281  0.388 0.459  0.324 0.342  0.255 0.176  0.182 0.011  0.108 -0.154  0.019 -0.311  -0.079 -0.462  -0.176 -0.614  -0.277 -0.764  -0.378 -0.913  -0.484 -1.060  -0.600 -1.198  -0.716 -1.336  -0.868 -1.433  -1.030 -1.425  -1.083 -1.265  -1.060 -1.086  -1.023 -0.911  -0.954 -0.744  -0.885 -0.577  -0.800 -0.419  -0.696 -0.271  -0.593 -0.123  -0.488 0.024  -0.379 0.168  -0.271 0.312  -0.162 0.456  -0.053 0.600  0.074 0.728  0.202 0.856  0.329 0.984  0.463 1.104  0.615 1.201  0.767 1.298  0.942 1.336  1.063 1.229  1.097 1.059  1.097 0.879  1.038 0.710  0.970 0.543  0.866 0.398  0.746 0.263  0.624 0.130  0.501 -0.002  0.348 -0.091  0.178 -0.144  -0.003 -0.144  -0.177 -0.099  -0.325 0.003
3#apb#apb05#app0587/a  0.802 0.489  0.843 0.671  0.832 0.850  0.727 0.992  0.570 1.077  0.389 1.031  0.208 0.986  0.046 0.895  -0.113 0.798  -0.272 0.702  -0.419 0.587  -0.564 0.470  -0.710 0.354  -0.847 0.229  -0.972 0.090  -1.097 -0.048  -1.210 -0.194  -1.294 -0.361  -1.373 -0.529  -1.399 -0.713  -1.364 -0.886  -1.214 -0.969  -1.031 -1.005  -0.851 -0.962  -0.670 -0.915  -0.494 -0.857  -0.326 -0.777  -0.158 -0.697  -0.010 -0.585  0.132 -0.464  0.274 -0.344  0.400 -0.207  0.525 -0.068  0.647 0.073  0.750 0.228  0.854 0.383  0.952 0.541  1.041 0.705  1.038 0.756  0.940 0.598  0.840 0.441  0.740 0.283  0.641 0.125  0.542 -0.033  0.443 -0.191  0.366 -0.360  0.292 -0.531  0.223 -0.704  0.184 -0.886  0.146 -1.069
3#apb#apb05#app0587/r  0.119 0.860  0.076 0.741  0.033 0.622  -0.014 0.505  -0.063 0.388  -0.112 0.272  -0.161 0.155  -0.209 0.038  -0.250 -0.081  -0.292 -0.200  -0.333 -0.320  -0.375 -0.439  -0.416 -0.559  -0.464 -0.675  -0.512 -0.792  -0.561 -0.909  -0.610 -1.026  -0.670 -1.137  -0.731 -1.248  -0.795 -1.356  -0.796 -1.311  -0.759 -1.191  -0.702 -1.078  -0.646 -0.965  -0.589 -0.852  -0.529 -0.741  -0.460 -0.635  -0.391 -0.529  -0.322 -0.423  -0.253 -0.317  -0.183 -0.212  -0.110 -0.109  -0.037 -0.005  0.036 0.098  0.109 0.201  0.182 0.304  0.255 0.407  0.337 0.504  0.418 0.600  0.500 0.697  0.581 0.794  0.662 0.890  0.760 0.969  0.863 1.043  0.966 1.116  1.071 1.186  1.190 1.226  1.307 1.253  1.397 1.164  1.486 1.074
3#apb#apb05#app0587/k  0.279 1.379  0.146 1.171  0.034 0.951  -0.077 0.729  -0.184 0.506  -0.291 0.284  -0.406 0.065  -0.527 -0.151  -0.648 -0.367  -0.770 -0.582  -0.892 -0.797  -1.045 -0.991  -1.181 -1.197  -1.243 -1.335  -1.060 -1.169  -0.877 -1.003  -0.693 -0.837  -0.510 -0.671  -0.327 -0.505  -0.144 -0.339  0.039 -0.173  0.223 -0.007  0.406 0.159  0.589 0.325  0.772 0.492  0.955 0.658  1.139 0.824  1.322 0.990  1.505 1.156  1.475 1.088  1.307 0.910  1.109 0.762  0.912 0.613  0.712 0.467  0.512 0.321  0.310 0.179  0.100 0.050  -0.111 -0.080  -0.337 -0.178  -0.570 -0.262  -0.810 -0.316  -0.820 -0.177  -0.619 -0.033  -0.396 0.062  -0.155 0.006  0.043 -0.128  0.153 -0.348  0.217 -0.587  0.217 -0.834  0.217 -1.081
3#apb#apb05#app0587/e  -0.523 0.206  -0.412 0.132  -0.280 0.109  -0.152 0.066  -0.023 0.028  0.107 -0.005  0.239 -0.030  0.374 -0.030  0.508 -0.030  0.641 -0.020  0.769 0.023  0.897 0.066  1.021 0.117  1.141 0.177  1.234 0.266  1.291 0.385  1.261 0.516  1.192 0.621  1.082 0.698  0.967 0.766  0.842 0.816  0.717 0.866  0.587 0.883  0.453 0.871  0.319 0.858  0.185 0.845  0.067 0.784  -0.047 0.713  -0.161 0.641  -0.264 0.556  -0.356 0.458  -0.449 0.360  -0.541 0.262  -0.626 0.158  -0.700 0.046  -0.775 -0.066  -0.850 -0.178  -0.900 -0.301  -0.936 -0.431  -0.972 -0.561  -0.986 -0.691  -0.961 -0.824  -0.937 -0.956  -0.883 -1.076  -0.803 -1.184  -0.722 -1.291  -0.600 -1.342  -0.472 -1.384  -0.344 -1.427  -0.216 -1.469
3#apb#apb05#app0587/r  -0.082 1.286  -0.083 1.155  -0.108 1.026  -0.132 0.897  -0.156 0.767  -0.186 0.640  -0.217 0.512  -0.247 0.384  -0.278 0.256  -0.299 0.126  -0.319 -0.003  -0.339 -0.133  -0.358 -0.263  -0.378 -0.393  -0.412 -0.520  -0.447 -0.647  -0.481 -0.773  -0.516 -0.900  -0.545 -1.028  -0.571 -1.157  -0.596 -1.286  -0.653 -1.403  -0.663 -1.411  -0.631 -1.284  -0.576 -1.165  -0.517 -1.048  -0.458 -0.930  -0.398 -0.813  -0.337 -0.697  -0.276 -0.581  -0.215 -0.464  -0.154 -0.348  -0.088 -0.234  -0.023 -0.120  0.043 -0.006  0.108 0.107  0.174 0.221  0.251 0.326  0.346 0.416  0.442 0.506  0.538 0.596  0.633 0.687  0.744 0.758  0.855 0.828  0.966 0.898  1.077 0.968  1.200 1.012  1.327 1.046  1.454 1.079  1.581 1.112
3#apb#apb05#app0587/R  0.506 0.748  0.323 0.638  0.168 0.469  0.027 0.288  -0.113 0.107  -0.236 -0.087  -0.355 -0.283  -0.479 -0.475  -0.615 -0.660  -0.759 -0.837  -0.930 -0.990  -1.123 -1.111  -1.324 -1.125  -1.362 -0.905  -1.282 -0.690  -1.185 -0.485  -1.050 -0.299  -0.915 -0.114  -0.763 0.057  -0.610 0.229  -0.458 0.400  -0.284 0.549  -0.109 0.698  0.066 0.846  0.257 0.971  0.456 1.085  0.657 1.194  0.878 1.256  1.099 1.267  1.259 1.142  1.293 0.926  1.211 0.712  1.103 0.512  0.966 0.328  0.824 0.149  0.668 -0.020  0.507 -0.182  0.311 -0.301  0.106 -0.400  -0.113 -0.458  -0.284 -0.361  -0.209 -0.152  -0.047 0.010  0.135 0.004  0.222 -0.208  0.272 -0.431  0.282 -0.660  0.302 -0.889  0.330 -1.116  0.374 -1.341
3#apb#apb05#app0587/o  0.690 1.379  0.591 1.291  0.492 1.202  0.393 1.114  0.292 1.028  0.190 0.943  0.089 0.858  -0.013 0.772  -0.111 0.684  -0.194 0.580  -0.277 0.476  -0.360 0.373  -0.443 0.269  -0.525 0.166  -0.591 0.050  -0.655 -0.066  -0.718 -0.182  -0.782 -0.298  -0.843 -0.416  -0.897 -0.538  -0.950 -0.659  -1.003 -0.781  -1.001 -0.908  -0.975 -1.038  -0.888 -1.112  -0.760 -1.150  -0.633 -1.153  -0.506 -1.115  -0.379 -1.078  -0.252 -1.040  -0.148 -0.959  -0.050 -0.871  0.049 -0.783  0.148 -0.694  0.247 -0.606  0.339 -0.510  0.427 -0.411  0.514 -0.311  0.602 -0.212  0.690 -0.112  0.734 0.013  0.778 0.138  0.822 0.263  0.858 0.390  0.874 0.522  0.891 0.653  0.905 0.785  0.843 0.902  0.780 1.018  0.717 1.135
3#apb#apb05#app0587/b  0.750 1.856  0.639 1.721  0.533 1.582  0.436 1.437  0.338 1.291  0.241 1.145  0.140 1.003  0.038 0.861  -0.065 0.719  -0.165 0.575  -0.250 0.422  -0.335 0.269  -0.420 0.116  -0.505 -0.037  -0.591 -0.189  -0.678 -0.342  -0.766 -0.493  -0.861 -0.640  -0.959 -0.784  -0.974 -0.858  -0.885 -0.708  -0.782 -0.567  -0.677 -0.426  -0.568 -0.290  -0.458 -0.153  -0.346 -0.019  -0.216 0.098  -0.085 0.215  0.047 0.329  0.203 0.407  0.360 0.485  0.524 0.533  0.699 0.533  0.856 0.470  0.963 0.354  0.974 0.179  0.960 0.010  0.878 -0.145  0.797 -0.300  0.691 -0.439  0.576 -0.570  0.460 -0.702  0.330 -0.819  0.199 -0.935  0.069 -1.052  -0.090 -1.123  -0.252 -1.190  -0.420 -1.237  -0.591 -1.277  -0.762 -1.315
3#apb#apb05#app0587/e  -0.960 -0.064  -0.851 -0.167  -0.718 -0.234  -0.570 -0.257  -0.422 -0.279  -0.273 -0.291  -0.124 -0.300  0.023 -0.293  0.164 -0.241  0.304 -0.190  0.444 -0.138  0.577 -0.069  0.709 0.001  0.842 0.071  0.965 0.153  1.080 0.249  1.195 0.345  1.264 0.477  1.316 0.613  1.287 0.760  1.205 0.867  1.072 0.934  0.933 0.979  0.783 0.979  0.634 0.979  0.487 0.960  0.345 0.912  0.203 0.865  0.061 0.818  -0.060 0.733  -0.177 0.639  -0.294 0.546  -0.411 0.453  -0.507 0.340  -0.593 0.217  -0.679 0.095  -0.764 -0.028  -0.826 -0.163  -0.878 -0.303  -0.930 -0.444  -0.952 -0.587  -0.935 -0.736  -0.917 -0.885  -0.833 -0.993  -0.711 -1.080  -0.589 -1.167  -0.448 -1.212  -0.303 -1.250  -0.158 -1.288  -0.014 -1.326
3#apb#apb05#app0587/r  0.247 1.111  0.205 0.985  0.163 0.859  0.117 0.734  0.068 0.611  0.019 0.487  -0.031 0.364  -0.082 0.241  -0.139 0.121  -0.196 0.001  -0.253 -0.119  -0.310 -0.239  -0.364 -0.360  -0.416 -0.483  -0.468 -0.605  -0.519 -0.728  -0.570 -0.851  -0.621 -0.974  -0.671 -1.097  -0.722 -1.220  -0.791 -1.332  -0.831 -1.406  -0.795 -1.278  -0.752 -1.152  -0.708 -1.027  -0.663 -0.902  -0.592 -0.790  -0.513 -0.683  -0.434 -0.576  -0.355 -0.469  -0.277 -0.362  -0.201 -0.253  -0.125 -0.144  -0.049 -0.035  0.027 0.074  0.103 0.183  0.184 0.289  0.270 0.390  0.356 0.491  0.442 0.593  0.528 0.694  0.621 0.788  0.730 0.863  0.840 0.939  0.950 1.014  1.068 1.067  1.199 1.089  1.330 1.111  1.437 1.032  1.543 0.953
