2#app#app41#app4143/A  -0.826 -0.267  -0.826 -0.469  -0.826 -0.670  -0.826 -0.872  -0.826 -1.074  -0.826 -0.893  -0.826 -0.692  -0.695 -0.544  -0.622 -0.373  -0.622 -0.171  -0.622 0.031  -0.558 0.206  -0.417 0.349  -0.417 0.551  -0.274 0.694  -0.213 0.870  -0.213 1.072  -0.136 1.241  -0.009 1.391  -0.009 1.592  0.003 1.765  0.146 1.623  0.196 1.441  0.196 1.240  0.196 1.038  0.196 0.836  0.281 0.670  0.400 0.517  0.400 0.316  0.420 0.122  0.563 -0.021  0.605 -0.205  0.605 -0.407  0.701 -0.568  0.809 -0.725  0.842 -0.913  0.985 -1.056  1.013 -1.246  0.893 -1.186  0.740 -1.054  0.586 -0.923  0.433 -0.792  0.280 -0.660  0.127 -0.529  -0.026 -0.398  -0.179 -0.267  -0.333 -0.135  -0.327 -0.063  -0.151 -0.124  -0.009 -0.267
2#app#app41#app4143/h  -0.773 1.954  -0.773 1.809  -0.773 1.664  -0.773 1.519  -0.773 1.373  -0.773 1.228  -0.742 1.096  -0.639 0.994  -0.537 0.891  -0.498 0.762  -0.498 0.617  -0.498 0.471  -0.498 0.326  -0.498 0.181  -0.498 0.036  -0.498 -0.109  -0.498 -0.254  -0.498 -0.400  -0.498 -0.545  -0.498 -0.690  -0.463 -0.800  -0.318 -0.800  -0.223 -0.850  -0.223 -0.995  -0.158 -1.075  -0.012 -1.075  0.053 -0.995  0.053 -0.850  0.120 -0.733  0.223 -0.630  0.325 -0.527  0.328 -0.383  0.328 -0.238  0.328 -0.093  0.328 0.052  0.328 0.197  0.369 0.302  0.514 0.302  0.603 0.246  0.603 0.101  0.603 -0.044  0.603 -0.189  0.689 -0.249  0.834 -0.249  0.879 -0.349  0.879 -0.495  0.994 -0.524  1.139 -0.524  1.154 -0.655  1.154 -0.800
2#app#app41#app4143/i  -0.049 -0.852  -0.049 -0.939  -0.049 -1.027  -0.049 -1.114  -0.049 -1.201  -0.049 -1.288  -0.049 -1.375  -0.049 -1.462  -0.049 -1.469  -0.049 -1.382  -0.049 -1.294  -0.049 -1.207  -0.049 -1.120  -0.049 -1.033  -0.049 -0.946  -0.049 -0.859  -0.049 -0.772  -0.049 -0.685  -0.049 -0.598  -0.049 -0.511  -0.049 -0.424  -0.049 -0.336  -0.049 -0.249  -0.049 -0.162  -0.049 -0.075  -0.049 0.012  -0.049 0.099  -0.049 0.186  -0.049 0.273  -0.049 0.360  -0.049 0.447  -0.049 0.534  -0.049 0.622  -0.049 0.709  -0.049 0.796  -0.049 0.883  -0.049 0.970  -0.049 1.057  -0.023 1.117  0.065 1.117  0.152 1.117  0.239 1.117  0.279 1.164  0.279 1.251  0.279 1.338  0.279 1.426  0.212 1.446  0.125 1.446  0.038 1.446  -0.049 1.446
2#app#app41#app4143/t  -0.185 2.094  -0.185 1.931  -0.185 1.768  -0.185 1.605  -0.185 1.443  -0.185 1.280  -0.185 1.117  -0.185 0.954  -0.185 0.791  -0.185 0.628  -0.185 0.465  -0.185 0.302  -0.185 0.140  -0.185 -0.023  -0.185 -0.186  -0.185 -0.349  -0.185 -0.512  -0.185 -0.675  -0.185 -0.838  -0.185 -1.001  -0.144 -1.123  0.019 -1.123  0.182 -1.123  0.344 -1.123  0.507 -1.123  0.670 -1.123  0.833 -1.123  0.996 -1.123  1.058 -1.086  0.933 -0.982  0.808 -0.878  0.683 -0.773  0.558 -0.669  0.432 -0.565  0.307 -0.461  0.182 -0.356  0.057 -0.252  -0.068 -0.148  -0.193 -0.044  -0.318 0.061  -0.443 0.165  -0.569 0.269  -0.694 0.374  -0.819 0.478  -0.678 0.486  -0.515 0.486  -0.352 0.486  -0.189 0.486  -0.026 0.486  0.137 0.486
2#app#app41#app4143/h  -0.730 1.847  -0.592 1.847  -0.457 1.843  -0.457 1.705  -0.457 1.567  -0.457 1.429  -0.457 1.291  -0.457 1.153  -0.457 1.015  -0.457 0.877  -0.457 0.739  -0.457 0.601  -0.457 0.463  -0.457 0.325  -0.457 0.187  -0.457 0.049  -0.457 -0.089  -0.457 -0.228  -0.457 -0.366  -0.457 -0.504  -0.457 -0.642  -0.457 -0.780  -0.417 -0.878  -0.279 -0.878  -0.141 -0.878  -0.003 -0.878  0.088 -0.830  0.088 -0.692  0.088 -0.554  0.088 -0.416  0.088 -0.278  0.088 -0.140  0.146 -0.060  0.284 -0.060  0.360 0.002  0.360 0.140  0.360 0.146  0.360 0.008  0.409 -0.109  0.507 -0.207  0.605 -0.305  0.633 -0.431  0.633 -0.569  0.633 -0.707  0.633 -0.845  0.738 -0.878  0.876 -0.878  0.982 -0.955  1.080 -1.052  1.178 -1.150
2#app#app41#app4143/e  -0.714 0.122  -0.589 -0.004  -0.463 -0.129  -0.338 -0.254  -0.196 -0.340  -0.019 -0.340  0.158 -0.340  0.209 -0.213  0.209 -0.035  0.229 0.122  0.406 0.122  0.583 0.122  0.734 0.186  0.859 0.311  0.985 0.436  1.110 0.562  1.131 0.730  1.131 0.907  1.090 1.044  0.913 1.044  0.736 1.044  0.559 1.044  0.382 1.044  0.204 1.044  0.027 1.044  -0.150 1.044  -0.253 0.969  -0.253 0.792  -0.253 0.615  -0.398 0.583  -0.575 0.583  -0.714 0.544  -0.714 0.367  -0.714 0.190  -0.714 0.013  -0.714 -0.165  -0.714 -0.342  -0.714 -0.519  -0.714 -0.696  -0.714 -0.874  -0.714 -1.051  -0.714 -1.228  -0.571 -1.262  -0.394 -1.262  -0.216 -1.262  -0.039 -1.262  0.138 -1.262  0.315 -1.262  0.493 -1.262  0.670 -1.262
2#app#app41#app4143/r  -1.017 0.678  -1.017 0.554  -1.017 0.429  -1.017 0.305  -0.960 0.237  -0.835 0.237  -0.711 0.237  -0.586 0.237  -0.575 0.123  -0.575 -0.001  -0.575 -0.126  -0.575 -0.250  -0.575 -0.375  -0.575 -0.499  -0.575 -0.623  -0.575 -0.748  -0.575 -0.872  -0.575 -0.997  -0.540 -1.086  -0.416 -1.086  -0.291 -1.086  -0.167 -1.086  -0.134 -0.994  -0.134 -0.870  -0.134 -0.745  -0.110 -0.645  0.014 -0.645  0.139 -0.645  0.263 -0.645  0.307 -0.564  0.307 -0.439  0.307 -0.315  0.307 -0.190  0.307 -0.066  0.307 0.058  0.307 0.183  0.356 0.287  0.444 0.375  0.532 0.463  0.620 0.551  0.708 0.639  0.796 0.727  0.884 0.815  0.972 0.903  1.060 0.991  1.148 1.079  1.189 1.187  1.189 1.311  1.189 1.436  1.189 1.560
2#app#app41#app4143/t  -0.259 1.873  -0.081 1.873  0.007 1.782  0.010 1.607  0.189 1.607  0.273 1.512  0.267 1.336  0.141 1.210  0.015 1.083  0.007 0.908  0.007 0.730  0.007 0.551  0.007 0.373  0.007 0.194  0.007 0.016  -0.168 0.012  -0.259 -0.075  -0.259 -0.254  -0.259 -0.432  -0.259 -0.611  -0.259 -0.789  -0.259 -0.968  -0.164 -1.052  0.007 -1.059  0.007 -1.238  0.105 -1.317  0.284 -1.317  0.462 -1.317  0.641 -1.317  0.794 -1.307  0.667 -1.180  0.541 -1.054  0.415 -0.928  0.289 -0.802  0.162 -0.676  0.036 -0.549  -0.090 -0.423  -0.216 -0.297  -0.342 -0.171  -0.469 -0.044  -0.595 0.082  -0.721 0.208  -0.711 0.278  -0.533 0.278  -0.354 0.278  -0.176 0.278  0.003 0.278  0.181 0.278  0.360 0.278  0.538 0.278
2#app#app41#app4143/o  0.057 1.191  -0.074 1.191  -0.205 1.191  -0.330 1.177  -0.423 1.084  -0.515 0.991  -0.608 0.899  -0.688 0.801  -0.688 0.669  -0.688 0.538  -0.688 0.407  -0.688 0.276  -0.688 0.145  -0.688 0.014  -0.688 -0.117  -0.688 -0.248  -0.688 -0.379  -0.688 -0.510  -0.688 -0.641  -0.688 -0.772  -0.688 -0.904  -0.688 -1.035  -0.566 -1.044  -0.435 -1.044  -0.304 -1.044  -0.173 -1.044  -0.041 -1.044  0.090 -1.044  0.221 -1.044  0.352 -1.044  0.430 -0.991  0.430 -0.860  0.430 -0.729  0.482 -0.619  0.575 -0.526  0.667 -0.434  0.760 -0.341  0.802 -0.227  0.802 -0.096  0.802 0.035  0.802 0.166  0.802 0.297  0.802 0.428  0.802 0.559  0.802 0.690  0.801 0.821  0.708 0.913  0.615 1.006  0.523 1.099  0.430 1.191
2#app#app41#app4143/u  -1.254 0.549  -1.254 0.708  -1.254 0.868  -1.254 0.800  -1.254 0.641  -1.187 0.549  -1.027 0.549  -0.889 0.527  -0.889 0.367  -0.889 0.207  -0.889 0.048  -0.889 -0.112  -0.889 -0.272  -0.889 -0.432  -0.845 -0.548  -0.686 -0.548  -0.526 -0.548  -0.523 -0.705  -0.523 -0.865  -0.412 -0.914  -0.252 -0.914  -0.092 -0.914  0.067 -0.914  0.208 -0.895  0.208 -0.735  0.208 -0.576  0.208 -0.416  0.208 -0.256  0.270 -0.122  0.383 -0.009  0.496 0.104  0.574 0.232  0.574 0.392  0.574 0.551  0.574 0.711  0.574 0.871  0.574 0.798  0.574 0.638  0.645 0.549  0.804 0.549  0.940 0.524  0.940 0.364  0.940 0.205  0.940 0.045  0.940 -0.115  1.032 -0.183  1.192 -0.183  1.305 -0.229  1.305 -0.389  1.305 -0.548
2#app#app41#app4143/n  -0.679 1.445  -0.679 1.275  -0.679 1.105  -0.679 0.935  -0.679 0.765  -0.679 0.595  -0.679 0.425  -0.679 0.254  -0.679 0.084  -0.679 -0.086  -0.679 -0.256  -0.679 -0.426  -0.679 -0.596  -0.679 -0.766  -0.679 -0.936  -0.679 -1.106  -0.679 -1.276  -0.621 -1.308  -0.501 -1.188  -0.381 -1.067  -0.261 -0.947  -0.140 -0.827  -0.117 -0.666  -0.117 -0.496  -0.117 -0.326  -0.117 -0.156  -0.117 0.014  -0.117 0.184  -0.117 0.354  -0.117 0.524  -0.117 0.694  -0.117 0.865  0.035 0.883  0.205 0.883  0.375 0.883  0.445 0.783  0.445 0.613  0.445 0.443  0.493 0.321  0.663 0.321  0.834 0.321  1.004 0.321  1.007 0.155  1.007 -0.015  1.007 -0.186  1.088 -0.322  1.209 -0.442  1.329 -0.563  1.449 -0.683  1.570 -0.803
