3#apb#apb14#app1450/A  -1.109 0.813  -1.109 1.011  -1.038 1.146  -0.912 0.993  -0.814 0.821  -0.718 0.648  -0.656 0.460  -0.599 0.271  -0.534 0.084  -0.466 -0.102  -0.407 -0.291  -0.355 -0.482  -0.347 -0.675  -0.489 -0.662  -0.606 -0.504  -0.686 -0.324  -0.744 -0.135  -0.774 0.060  -0.772 0.257  -0.748 0.453  -0.717 0.648  -0.671 0.841  -0.554 0.983  -0.370 0.978  -0.186 0.913  -0.043 0.776  0.099 0.639  0.222 0.484  0.337 0.323  0.452 0.161  0.567 0.001  0.683 -0.160  0.799 -0.321  0.909 -0.485  1.013 -0.653  1.121 -0.820  1.238 -0.979  1.360 -1.135  1.454 -1.205  1.329 -1.051  1.197 -0.904  1.050 -0.772  0.899 -0.644  0.743 -0.522  0.582 -0.407  0.420 -0.292  0.252 -0.188  0.083 -0.085  -0.099 -0.011  -0.289 0.047
3#apb#apb14#app1450/l  -0.332 1.189  -0.332 1.262  -0.332 1.334  -0.332 1.406  -0.332 1.469  -0.330 1.397  -0.312 1.327  -0.295 1.256  -0.277 1.186  -0.259 1.116  -0.242 1.046  -0.227 0.975  -0.216 0.904  -0.205 0.832  -0.194 0.761  -0.182 0.689  -0.171 0.618  -0.160 0.546  -0.149 0.475  -0.134 0.404  -0.118 0.334  -0.103 0.263  -0.087 0.192  -0.072 0.122  -0.056 0.051  -0.041 -0.020  -0.024 -0.090  -0.003 -0.159  0.018 -0.228  0.039 -0.298  0.059 -0.367  0.080 -0.436  0.101 -0.506  0.122 -0.575  0.145 -0.643  0.168 -0.712  0.191 -0.781  0.214 -0.849  0.236 -0.918  0.260 -0.986  0.286 -1.053  0.313 -1.121  0.339 -1.188  0.365 -1.256  0.387 -1.324  0.409 -1.394  0.430 -1.463  0.450 -1.532  0.470 -1.602  0.437 -1.654
3#apb#apb14#app1450/l  -0.394 1.224  -0.357 1.286  -0.320 1.348  -0.310 1.417  -0.301 1.468  -0.280 1.400  -0.261 1.331  -0.243 1.261  -0.225 1.191  -0.211 1.121  -0.197 1.050  -0.184 0.979  -0.170 0.908  -0.156 0.838  -0.142 0.767  -0.129 0.696  -0.119 0.625  -0.109 0.554  -0.099 0.482  -0.089 0.411  -0.079 0.339  -0.069 0.268  -0.059 0.197  -0.049 0.125  -0.037 0.054  -0.024 -0.016  -0.010 -0.087  0.003 -0.158  0.017 -0.229  0.030 -0.300  0.044 -0.370  0.057 -0.441  0.072 -0.512  0.095 -0.580  0.118 -0.648  0.141 -0.717  0.163 -0.785  0.186 -0.853  0.209 -0.922  0.230 -0.991  0.251 -1.059  0.272 -1.128  0.293 -1.197  0.313 -1.267  0.330 -1.336  0.348 -1.406  0.363 -1.476  0.363 -1.549  0.363 -1.621  0.363 -1.693
3#apb#apb14#app1450/e  -0.638 0.475  -0.638 0.635  -0.631 0.792  -0.547 0.928  -0.451 1.051  -0.315 1.135  -0.169 1.183  -0.009 1.183  0.149 1.176  0.301 1.127  0.453 1.079  0.588 1.004  0.695 0.885  0.729 0.735  0.725 0.579  0.658 0.434  0.556 0.321  0.419 0.240  0.279 0.163  0.126 0.118  -0.027 0.072  -0.183 0.039  -0.340 0.014  -0.498 -0.003  -0.658 -0.003  -0.762 0.042  -0.728 0.198  -0.694 0.354  -0.666 0.363  -0.643 0.205  -0.645 0.046  -0.655 -0.113  -0.645 -0.272  -0.628 -0.430  -0.608 -0.589  -0.584 -0.746  -0.496 -0.877  -0.377 -0.977  -0.236 -1.053  -0.082 -1.080  0.078 -1.089  0.237 -1.093  0.397 -1.093  0.556 -1.093  0.716 -1.086  0.875 -1.079  1.030 -1.054  1.177 -0.990  1.325 -0.936  1.484 -0.920
3#apb#apb14#app1450/n  -1.231 0.192  -1.163 0.112  -1.096 0.033  -1.034 -0.050  -0.983 -0.141  -0.932 -0.232  -0.890 -0.326  -0.859 -0.425  -0.827 -0.525  -0.800 -0.625  -0.781 -0.727  -0.773 -0.831  -0.773 -0.805  -0.773 -0.701  -0.773 -0.597  -0.757 -0.494  -0.736 -0.392  -0.707 -0.293  -0.664 -0.198  -0.622 -0.103  -0.579 -0.008  -0.523 0.079  -0.466 0.167  -0.409 0.254  -0.352 0.341  -0.277 0.411  -0.193 0.472  -0.109 0.533  -0.021 0.587  0.081 0.604  0.184 0.621  0.287 0.630  0.391 0.619  0.494 0.609  0.596 0.592  0.684 0.538  0.773 0.484  0.862 0.429  0.940 0.361  1.017 0.291  1.093 0.220  1.162 0.142  1.230 0.063  1.297 -0.016  1.360 -0.099  1.423 -0.182  1.481 -0.268  1.537 -0.356  1.586 -0.448  1.628 -0.543
3#apb#apb14#app1450/B  -1.108 0.848  -0.948 0.724  -0.817 0.569  -0.695 0.406  -0.581 0.238  -0.478 0.063  -0.390 -0.120  -0.315 -0.308  -0.297 -0.507  -0.398 -0.513  -0.559 -0.389  -0.720 -0.265  -0.881 -0.140  -1.042 -0.016  -1.202 0.108  -1.363 0.232  -1.335 0.391  -1.214 0.553  -1.071 0.697  -0.886 0.765  -0.687 0.806  -0.486 0.820  -0.283 0.815  -0.080 0.808  0.115 0.750  0.310 0.692  0.480 0.588  0.605 0.443  0.603 0.241  0.463 0.093  0.303 -0.028  0.126 -0.128  -0.060 -0.210  0.009 -0.215  0.210 -0.187  0.410 -0.150  0.613 -0.140  0.815 -0.142  1.013 -0.188  1.207 -0.245  1.391 -0.333  1.537 -0.471  1.598 -0.657  1.454 -0.788  1.273 -0.879  1.078 -0.920  0.875 -0.927  0.672 -0.928  0.468 -0.928  0.265 -0.928
3#apb#apb14#app1450/r  -1.281 0.777  -1.188 0.697  -1.094 0.617  -1.001 0.537  -0.907 0.457  -0.823 0.369  -0.759 0.264  -0.696 0.158  -0.633 0.053  -0.570 -0.053  -0.509 -0.160  -0.448 -0.267  -0.388 -0.374  -0.328 -0.482  -0.269 -0.589  -0.217 -0.701  -0.166 -0.813  -0.114 -0.925  -0.074 -1.040  -0.048 -1.160  -0.016 -1.278  0.038 -1.385  -0.005 -1.305  -0.023 -1.184  -0.025 -1.061  -0.025 -0.938  -0.025 -0.815  -0.017 -0.692  -0.003 -0.570  0.010 -0.447  0.024 -0.325  0.038 -0.203  0.084 -0.089  0.133 0.024  0.181 0.137  0.230 0.250  0.278 0.363  0.329 0.475  0.401 0.575  0.472 0.675  0.544 0.775  0.615 0.875  0.694 0.969  0.776 1.061  0.858 1.153  0.966 1.185  1.090 1.185  1.202 1.157  1.295 1.077  1.389 0.997
3#apb#apb14#app1450/i  -1.081 0.458  -0.979 0.516  -0.865 0.512  -0.772 0.453  -0.694 0.366  -0.642 0.261  -0.592 0.155  -0.550 0.046  -0.525 -0.068  -0.500 -0.183  -0.475 -0.297  -0.447 -0.411  -0.419 -0.524  -0.389 -0.638  -0.354 -0.750  -0.319 -0.861  -0.284 -0.973  -0.249 -1.085  -0.211 -1.196  -0.167 -1.304  -0.166 -1.421  -0.130 -1.312  -0.094 -1.200  -0.059 -1.089  -0.023 -0.977  0.013 -0.866  0.049 -0.754  0.085 -0.642  0.120 -0.531  0.156 -0.419  0.192 -0.308  0.228 -0.196  0.264 -0.085  0.299 0.027  0.335 0.139  0.371 0.250  0.407 0.362  0.443 0.473  0.478 0.585  0.514 0.696  0.550 0.808  0.586 0.919  0.622 1.031  0.657 1.143  0.693 1.254  0.729 1.366  0.765 1.477  0.801 1.589  0.864 1.634  0.766 1.570
3#apb#apb14#app1450/t  -0.907 1.498  -0.781 1.372  -0.655 1.246  -0.575 1.087  -0.498 0.927  -0.424 0.765  -0.376 0.594  -0.329 0.422  -0.282 0.251  -0.229 0.080  -0.175 -0.089  -0.120 -0.259  -0.060 -0.426  0.010 -0.589  0.080 -0.753  0.178 -0.901  0.281 -1.046  0.383 -1.192  0.498 -1.328  0.483 -1.314  0.355 -1.190  0.228 -1.066  0.100 -0.941  -0.027 -0.817  -0.154 -0.692  -0.282 -0.568  -0.409 -0.444  -0.537 -0.319  -0.664 -0.195  -0.791 -0.071  -0.919 0.054  -1.046 0.178  -1.064 0.241  -0.891 0.198  -0.725 0.258  -0.557 0.317  -0.379 0.317  -0.201 0.317  -0.023 0.322  0.155 0.329  0.332 0.337  0.510 0.344  0.688 0.351  0.866 0.357  1.044 0.349  1.222 0.341  1.400 0.337  1.578 0.337  1.756 0.337  1.934 0.337
3#apb#apb14#app1450/t  -0.817 1.319  -0.700 1.350  -0.587 1.237  -0.509 1.095  -0.431 0.953  -0.380 0.801  -0.342 0.643  -0.304 0.486  -0.268 0.328  -0.232 0.171  -0.197 0.013  -0.161 -0.145  -0.124 -0.303  -0.086 -0.460  -0.044 -0.616  0.001 -0.772  0.052 -0.925  0.106 -1.078  0.161 -1.230  0.162 -1.377  0.054 -1.257  -0.055 -1.137  -0.163 -1.016  -0.272 -0.896  -0.380 -0.776  -0.489 -0.656  -0.597 -0.536  -0.706 -0.416  -0.814 -0.296  -0.923 -0.176  -1.014 -0.049  -0.898 0.037  -0.740 0.068  -0.585 0.117  -0.428 0.155  -0.269 0.185  -0.110 0.215  0.050 0.239  0.210 0.264  0.369 0.290  0.528 0.322  0.687 0.354  0.846 0.382  1.006 0.406  1.166 0.429  1.327 0.443  1.489 0.443  1.650 0.447  1.808 0.483  1.953 0.443
3#apb#apb14#app1450/o  -0.665 0.678  -0.746 0.591  -0.802 0.485  -0.858 0.380  -0.915 0.274  -0.942 0.161  -0.949 0.041  -0.957 -0.078  -0.961 -0.198  -0.961 -0.317  -0.961 -0.437  -0.937 -0.550  -0.876 -0.652  -0.814 -0.755  -0.704 -0.801  -0.594 -0.847  -0.482 -0.887  -0.364 -0.910  -0.247 -0.934  -0.130 -0.950  -0.014 -0.921  0.102 -0.892  0.218 -0.863  0.329 -0.820  0.439 -0.772  0.549 -0.724  0.654 -0.671  0.726 -0.576  0.797 -0.480  0.869 -0.384  0.902 -0.269  0.936 -0.155  0.970 -0.040  0.982 0.075  0.951 0.191  0.921 0.306  0.890 0.422  0.845 0.530  0.763 0.617  0.682 0.704  0.600 0.791  0.518 0.879  0.417 0.939  0.308 0.990  0.200 1.041  0.092 1.091  -0.022 1.126  -0.138 1.158  -0.253 1.190  -0.368 1.222
