1c#apa#apa15#app1527/y  -0.834 1.004  -0.834 1.124  -0.897 1.092  -0.982 1.007  -0.985 0.888  -0.985 0.768  -0.985 0.648  -0.985 0.528  -0.985 0.408  -0.935 0.300  -0.882 0.192  -0.824 0.088  -0.739 0.003  -0.642 -0.053  -0.522 -0.053  -0.402 -0.053  -0.311 0.017  -0.226 0.102  -0.141 0.187  -0.056 0.272  0.028 0.356  0.113 0.441  0.198 0.526  0.299 0.589  0.407 0.643  0.514 0.696  0.525 0.810  0.525 0.776  0.525 0.656  0.525 0.536  0.525 0.416  0.525 0.296  0.525 0.176  0.525 0.056  0.525 -0.064  0.525 -0.185  0.525 -0.305  0.525 -0.425  0.525 -0.545  0.525 -0.665  0.525 -0.785  0.525 -0.905  0.525 -1.025  0.525 -1.145  0.525 -1.265  0.525 -1.385  0.525 -1.505  0.525 -1.625  0.525 -1.746  0.525 -1.866
1c#apa#apa15#app1527/o  0.320 0.540  0.320 0.704  0.320 0.867  0.320 1.031  0.320 1.194  0.291 1.329  0.128 1.329  -0.008 1.263  -0.124 1.147  -0.205 1.017  -0.205 0.854  -0.247 0.698  -0.308 0.546  -0.369 0.394  -0.430 0.243  -0.490 0.091  -0.551 -0.061  -0.612 -0.213  -0.673 -0.365  -0.731 -0.517  -0.731 -0.681  -0.731 -0.845  -0.731 -1.008  -0.731 -1.172  -0.731 -1.335  -0.731 -1.499  -0.649 -1.509  -0.513 -1.418  -0.377 -1.328  -0.241 -1.237  -0.105 -1.146  0.031 -1.055  0.117 -0.920  0.190 -0.774  0.263 -0.627  0.340 -0.483  0.431 -0.347  0.521 -0.211  0.612 -0.075  0.703 0.061  0.794 0.198  0.846 0.345  0.846 0.509  0.846 0.672  0.817 0.788  0.671 0.715  0.524 0.642  0.378 0.569  0.221 0.540  0.058 0.540
1c#apa#apa15#app1527/u  -0.712 1.257  -0.850 1.257  -0.972 1.257  -0.834 1.257  -0.712 1.241  -0.712 1.103  -0.712 0.965  -0.712 0.827  -0.712 0.689  -0.712 0.551  -0.712 0.413  -0.712 0.275  -0.712 0.137  -0.712 -0.001  -0.712 -0.139  -0.712 -0.277  -0.712 -0.415  -0.712 -0.554  -0.712 -0.692  -0.712 -0.830  -0.632 -0.888  -0.494 -0.888  -0.382 -0.826  -0.284 -0.729  -0.187 -0.631  -0.089 -0.533  0.008 -0.436  0.101 -0.335  0.163 -0.211  0.225 -0.088  0.286 0.036  0.348 0.159  0.361 0.294  0.361 0.432  0.478 0.453  0.616 0.453  0.629 0.327  0.629 0.189  0.762 0.184  0.898 0.181  0.942 0.050  0.985 -0.081  1.029 -0.212  1.073 -0.343  1.116 -0.474  1.160 -0.605  1.165 -0.742  1.165 -0.880  1.165 -1.018  1.165 -1.156
1c#apa#apa15#app1527/k  -0.295 1.322  -0.442 1.470  -0.590 1.617  -0.641 1.531  -0.641 1.322  -0.641 1.113  -0.641 0.904  -0.641 0.695  -0.641 0.486  -0.606 0.281  -0.565 0.076  -0.524 -0.129  -0.483 -0.334  -0.468 -0.541  -0.468 -0.750  -0.468 -0.959  -0.468 -1.168  -0.366 -1.275  -0.240 -1.148  -0.158 -0.956  -0.076 -0.764  0.007 -0.572  0.089 -0.380  0.171 -0.188  0.253 0.004  0.336 0.196  0.418 0.388  0.500 0.580  0.583 0.772  0.665 0.964  0.738 1.143  0.591 0.995  0.443 0.848  0.317 0.682  0.201 0.508  0.085 0.334  -0.015 0.151  -0.108 -0.036  -0.295 -0.068  -0.295 -0.277  -0.218 -0.409  -0.042 -0.489  0.129 -0.582  0.304 -0.662  0.452 -0.810  0.608 -0.947  0.794 -1.040  0.968 -1.152  1.116 -1.300  1.263 -1.448
1c#apa#apa15#app1527/n  -0.895 0.459  -0.895 0.329  -0.895 0.199  -0.895 0.070  -0.895 -0.060  -0.895 -0.190  -0.895 -0.320  -0.895 -0.450  -0.895 -0.580  -0.895 -0.710  -0.895 -0.840  -0.812 -0.886  -0.682 -0.886  -0.671 -0.767  -0.671 -0.637  -0.671 -0.507  -0.671 -0.377  -0.671 -0.247  -0.641 -0.122  -0.600 0.001  -0.559 0.124  -0.518 0.247  -0.476 0.371  -0.421 0.485  -0.329 0.577  -0.237 0.669  -0.146 0.761  -0.054 0.852  0.053 0.908  0.183 0.908  0.304 0.868  0.420 0.810  0.536 0.752  0.652 0.694  0.780 0.683  0.898 0.672  0.898 0.542  0.913 0.415  0.954 0.291  0.995 0.168  1.036 0.045  1.077 -0.078  1.118 -0.202  1.122 -0.331  1.122 -0.461  1.122 -0.591  1.122 -0.720  1.122 -0.850  1.122 -0.980  1.122 -1.110
1c#apa#apa15#app1527/o  -0.420 0.163  -0.237 0.163  -0.100 0.209  -0.100 0.391  -0.100 0.574  -0.100 0.757  -0.100 0.939  -0.102 1.119  -0.231 0.990  -0.360 0.861  -0.420 0.703  -0.420 0.520  -0.522 0.380  -0.651 0.250  -0.739 0.104  -0.739 -0.079  -0.739 -0.261  -0.739 -0.444  -0.739 -0.627  -0.739 -0.809  -0.739 -0.992  -0.739 -1.175  -0.739 -1.357  -0.633 -1.434  -0.450 -1.434  -0.267 -1.434  -0.092 -1.420  0.010 -1.268  0.111 -1.116  0.212 -0.964  0.314 -0.812  0.415 -0.660  0.516 -0.508  0.618 -0.356  0.719 -0.204  0.820 -0.052  0.922 0.100  1.023 0.252  1.124 0.404  1.176 0.570  1.176 0.753  1.042 0.801  0.859 0.801  0.676 0.801  0.494 0.801  0.311 0.801  0.128 0.801  -0.054 0.801  -0.237 0.801  -0.420 0.801
1c#apa#apa15#app1527/w  -1.071 0.939  -1.071 0.798  -1.071 0.657  -1.071 0.516  -1.071 0.375  -1.071 0.233  -1.071 0.092  -1.071 -0.049  -1.036 -0.184  -0.991 -0.318  -0.946 -0.452  -0.926 -0.590  -0.926 -0.731  -0.859 -0.806  -0.725 -0.778  -0.598 -0.715  -0.481 -0.643  -0.418 -0.517  -0.354 -0.390  -0.261 -0.286  -0.182 -0.174  -0.137 -0.040  -0.092 0.094  -0.053 0.229  -0.053 0.345  -0.059 0.206  -0.159 0.107  -0.172 -0.014  -0.127 -0.148  -0.082 -0.282  -0.019 -0.404  0.081 -0.504  0.218 -0.515  0.352 -0.477  0.486 -0.432  0.620 -0.387  0.750 -0.332  0.876 -0.269  0.988 -0.189  1.066 -0.072  1.145 0.046  1.223 0.163  1.276 0.292  1.310 0.429  1.344 0.566  1.378 0.703  1.401 0.841  1.363 0.958  1.236 1.022  1.110 1.085
1c#apa#apa15#app1527/w  -1.037 0.663  -1.037 0.792  -1.037 0.921  -1.037 0.800  -1.037 0.671  -1.037 0.541  -1.037 0.412  -1.037 0.283  -1.037 0.153  -1.015 0.026  -0.989 -0.100  -0.964 -0.227  -0.938 -0.354  -0.913 -0.481  -0.842 -0.583  -0.750 -0.675  -0.659 -0.766  -0.536 -0.782  -0.437 -0.708  -0.346 -0.617  -0.255 -0.525  -0.181 -0.419  -0.110 -0.311  -0.038 -0.204  0.014 -0.090  0.014 0.039  0.014 0.106  0.014 -0.023  0.014 -0.153  0.025 -0.279  0.083 -0.395  0.141 -0.511  0.265 -0.520  0.388 -0.482  0.511 -0.441  0.634 -0.401  0.735 -0.324  0.826 -0.233  0.917 -0.142  1.009 -0.050  1.100 0.041  1.192 0.133  1.283 0.224  1.328 0.335  1.328 0.465  1.328 0.594  1.328 0.723  1.328 0.853  1.288 0.965  1.196 1.057
1c#apa#apa15#app1527/h  -0.520 2.030  -0.485 1.890  -0.450 1.750  -0.415 1.610  -0.380 1.471  -0.371 1.328  -0.371 1.183  -0.371 1.039  -0.371 0.895  -0.371 0.751  -0.371 0.607  -0.371 0.463  -0.371 0.319  -0.371 0.175  -0.371 0.031  -0.371 -0.114  -0.371 -0.258  -0.371 -0.402  -0.371 -0.546  -0.371 -0.690  -0.371 -0.834  -0.371 -0.978  -0.371 -1.122  -0.364 -1.220  -0.318 -1.083  -0.272 -0.946  -0.227 -0.809  -0.191 -0.670  -0.156 -0.530  -0.121 -0.390  -0.086 -0.250  -0.074 -0.108  -0.074 0.036  -0.036 0.171  0.028 0.300  0.115 0.394  0.249 0.369  0.351 0.267  0.435 0.151  0.515 0.031  0.595 -0.089  0.677 -0.208  0.778 -0.310  0.846 -0.433  0.892 -0.569  0.937 -0.706  0.989 -0.840  1.054 -0.969  1.121 -1.094  1.265 -1.094
1c#apa#apa15#app1527/a  -0.240 -0.289  -0.104 -0.153  0.031 -0.017  0.167 0.119  0.279 0.265  0.279 0.457  0.279 0.649  0.343 0.814  0.479 0.950  0.538 1.117  0.498 1.269  0.306 1.269  0.114 1.269  -0.078 1.269  -0.257 1.244  -0.363 1.084  -0.470 0.924  -0.577 0.764  -0.683 0.604  -0.777 0.438  -0.837 0.256  -0.898 0.074  -0.959 -0.108  -1.019 -0.291  -1.019 -0.483  -1.019 -0.675  -0.960 -0.808  -0.768 -0.808  -0.629 -0.678  -0.494 -0.542  -0.358 -0.406  -0.226 -0.267  -0.119 -0.107  -0.013 0.052  0.094 0.212  0.200 0.372  0.301 0.445  0.387 0.273  0.473 0.102  0.538 -0.075  0.538 -0.267  0.538 -0.459  0.538 -0.651  0.564 -0.833  0.699 -0.969  0.815 -1.117  0.875 -1.299  0.936 -1.481  0.997 -1.664  1.058 -1.846
1c#apa#apa15#app1527/t  -0.370 1.766  -0.370 1.599  -0.327 1.443  -0.252 1.294  -0.178 1.145  -0.133 0.990  -0.133 0.823  -0.133 0.657  -0.133 0.490  -0.133 0.324  -0.133 0.157  -0.133 -0.009  -0.118 -0.173  -0.065 -0.331  -0.013 -0.489  0.040 -0.647  0.093 -0.805  0.104 -0.969  0.104 -1.136  0.104 -1.302  0.104 -1.469  0.151 -1.479  0.244 -1.340  0.336 -1.202  0.428 -1.063  0.521 -0.925  0.613 -0.786  0.705 -0.648  0.798 -0.509  0.890 -0.371  0.982 -0.232  1.022 -0.099  0.904 0.019  0.815 0.148  0.815 0.315  0.678 0.345  0.512 0.345  0.346 0.345  0.179 0.345  0.013 0.345  -0.154 0.345  -0.320 0.345  -0.487 0.345  -0.653 0.345  -0.820 0.345  -0.986 0.345  -1.153 0.345  -1.318 0.343  -1.436 0.226  -1.554 0.108
