3#apa#apa01#app0157/A  -0.812 -1.377  -0.843 -1.377  -0.915 -1.212  -0.915 -0.975  -0.827 -0.774  -0.812 -0.543  -0.812 -0.305  -0.734 -0.086  -0.708 0.145  -0.605 0.280  -0.506 0.476  -0.502 0.712  -0.446 0.893  -0.399 1.083  -0.281 1.203  -0.192 1.352  -0.089 1.486  0.117 1.507  0.153 1.306  0.268 1.155  0.379 0.996  0.427 0.807  0.530 0.672  0.596 0.451  0.633 0.222  0.736 0.088  0.736 -0.150  0.839 -0.345  0.943 -0.539  0.961 -0.758  1.095 -0.861  1.230 -0.965  1.142 -0.858  0.921 -0.770  0.701 -0.682  0.480 -0.594  0.260 -0.506  0.039 -0.418  -0.181 -0.329  -0.401 -0.241  -0.622 -0.153  -0.842 -0.065  -0.812 -0.092  -0.621 -0.139  -0.396 -0.086  -0.171 -0.036  0.014 0.017  0.201 0.067  0.405 0.149  0.633 0.171
3#apa#apa01#app0157/Q  -0.114 0.771  -0.251 0.864  -0.480 0.864  -0.617 0.771  -0.761 0.686  -0.853 0.550  -0.945 0.413  -1.037 0.276  -1.037 0.048  -1.130 -0.089  -1.077 -0.296  -1.037 -0.509  -0.913 -0.613  -0.776 -0.705  -0.675 -0.883  -0.459 -0.914  -0.258 -0.982  -0.030 -0.982  0.199 -0.982  0.428 -0.982  0.619 -0.890  0.809 -0.797  0.901 -0.606  0.993 -0.415  0.993 -0.186  0.993 0.043  0.901 0.233  0.874 0.456  0.808 0.669  0.682 0.771  0.491 0.864  0.379 1.016  0.164 1.048  0.027 1.140  -0.202 1.140  -0.419 1.113  -0.572 0.950  -0.454 0.753  -0.337 0.557  -0.219 0.361  -0.101 0.164  0.017 -0.032  0.134 -0.228  0.252 -0.424  0.347 -0.560  0.439 -0.697  0.567 -0.798  0.758 -0.890  0.895 -0.982  1.085 -1.075
3#apa#apa01#app0157/u  -1.411 0.848  -1.299 0.736  -1.261 0.594  -1.261 0.436  -1.261 0.278  -1.261 0.120  -1.261 -0.039  -1.261 -0.197  -1.155 -0.311  -1.110 -0.451  -1.008 -0.506  -0.960 -0.616  -0.842 -0.657  -0.809 -0.782  -0.676 -0.807  -0.518 -0.807  -0.360 -0.807  -0.202 -0.807  -0.048 -0.798  0.064 -0.687  0.210 -0.657  0.244 -0.533  0.337 -0.414  0.395 -0.279  0.395 -0.121  0.487 -0.055  0.545 0.045  0.545 0.203  0.545 0.361  0.545 0.519  0.545 0.677  0.448 0.795  0.395 0.931  0.395 1.089  0.493 1.149  0.545 1.043  0.545 0.885  0.545 0.727  0.545 0.568  0.545 0.410  0.545 0.252  0.546 0.095  0.658 -0.017  0.696 -0.160  0.808 -0.206  0.846 -0.325  0.974 -0.356  1.132 -0.356  1.147 -0.499  1.298 -0.506
3#apa#apa01#app0157/i  -0.194 -0.013  -0.194 -0.126  -0.127 -0.172  -0.035 -0.193  -0.035 -0.306  -0.035 -0.419  0.007 -0.491  0.120 -0.491  0.125 -0.600  0.125 -0.713  0.141 -0.810  0.254 -0.810  0.284 -0.893  0.284 -1.006  0.284 -1.120  0.284 -1.233  0.284 -1.346  0.282 -1.437  0.261 -1.326  0.240 -1.214  0.219 -1.103  0.197 -0.992  0.176 -0.881  0.155 -0.769  0.134 -0.658  0.113 -0.547  0.091 -0.436  0.070 -0.325  0.049 -0.213  0.028 -0.102  0.007 0.009  -0.014 0.120  -0.036 0.232  -0.057 0.343  -0.078 0.454  -0.099 0.565  -0.120 0.676  -0.142 0.788  -0.163 0.899  -0.184 1.010  -0.205 1.121  -0.226 1.233  -0.248 1.344  -0.269 1.455  -0.290 1.566  -0.311 1.678  -0.332 1.789  -0.353 1.900  -0.274 1.822  -0.194 1.741
3#apa#apa01#app0157/c  0.113 1.339  0.010 1.339  -0.086 1.320  -0.160 1.246  -0.233 1.173  -0.247 1.075  -0.255 0.979  -0.359 0.979  -0.427 0.943  -0.427 0.839  -0.490 0.798  -0.594 0.798  -0.607 0.708  -0.607 0.604  -0.607 0.500  -0.607 0.396  -0.607 0.292  -0.656 0.209  -0.730 0.135  -0.788 0.055  -0.788 -0.049  -0.788 -0.152  -0.788 -0.256  -0.711 -0.283  -0.607 -0.284  -0.607 -0.388  -0.579 -0.463  -0.475 -0.463  -0.388 -0.503  -0.314 -0.576  -0.238 -0.644  -0.134 -0.644  -0.030 -0.644  0.073 -0.644  0.177 -0.644  0.281 -0.644  0.385 -0.644  0.489 -0.644  0.593 -0.644  0.697 -0.644  0.801 -0.644  0.905 -0.644  1.008 -0.644  1.112 -0.644  1.216 -0.644  1.320 -0.644  1.375 -0.595  1.375 -0.491  1.451 -0.463  1.555 -0.463
3#apa#apa01#app0157/k  -0.847 1.778  -0.790 1.581  -0.706 1.395  -0.706 1.175  -0.706 0.954  -0.706 0.733  -0.568 0.650  -0.565 0.433  -0.565 0.212  -0.565 -0.008  -0.565 -0.229  -0.565 -0.450  -0.565 -0.670  -0.565 -0.891  -0.565 -1.112  -0.424 -1.191  -0.424 -1.235  -0.352 -1.031  -0.258 -0.831  -0.164 -0.631  -0.070 -0.432  0.024 -0.232  0.118 -0.032  0.212 0.167  0.305 0.367  0.399 0.567  0.493 0.766  0.587 0.966  0.681 1.166  0.678 1.073  0.563 0.968  0.432 0.801  0.276 0.645  0.112 0.509  -0.001 0.401  -0.134 0.236  -0.210 0.086  -0.283 -0.061  -0.196 -0.196  0.024 -0.196  0.245 -0.196  0.325 -0.337  0.509 -0.424  0.567 -0.619  0.704 -0.702  0.819 -0.875  0.845 -1.085  0.968 -1.183  1.048 -1.324  1.127 -1.465
3#apa#apa01#app0157/B  -0.616 0.565  -0.528 0.405  -0.441 0.244  -0.354 0.032  -0.267 -0.180  -0.242 -0.418  -0.180 -0.640  -0.180 -0.888  -0.154 -0.925  -0.308 -0.730  -0.461 -0.535  -0.615 -0.341  -0.769 -0.146  -0.922 0.049  -1.076 0.243  -1.230 0.438  -1.383 0.632  -1.264 0.740  -1.103 0.827  -0.948 0.929  -0.730 1.001  -0.518 1.088  -0.270 1.088  -0.058 1.175  0.183 1.160  0.401 1.088  0.610 0.994  0.690 0.779  0.690 0.531  0.588 0.376  0.463 0.191  0.263 0.051  0.105 -0.044  -0.093 -0.145  -0.006 -0.131  0.155 -0.044  0.403 -0.044  0.651 -0.044  0.889 -0.069  1.090 -0.182  1.265 -0.358  1.300 -0.591  1.230 -0.810  1.112 -1.002  0.951 -1.089  0.739 -1.176  0.492 -1.176  0.331 -1.089  0.119 -1.002  -0.006 -0.827
3#apa#apa01#app0157/r  -0.918 0.551  -0.918 0.394  -0.801 0.354  -0.721 0.277  -0.684 0.157  -0.527 0.157  -0.524 0.003  -0.443 -0.120  -0.332 -0.231  -0.327 -0.386  -0.217 -0.433  -0.131 -0.503  -0.109 -0.651  0.002 -0.762  0.066 -0.893  0.066 -1.050  0.066 -1.207  0.209 -1.221  0.263 -1.324  0.200 -1.417  0.066 -1.394  0.066 -1.237  0.066 -1.080  -0.034 -1.024  -0.131 -0.963  -0.131 -0.806  -0.131 -0.649  -0.131 -0.492  -0.131 -0.335  -0.131 -0.178  -0.149 -0.039  -0.306 -0.039  -0.327 0.096  -0.327 0.253  -0.288 0.393  -0.177 0.504  -0.131 0.642  -0.094 0.784  0.017 0.895  0.153 0.945  0.263 0.992  0.270 1.142  0.427 1.142  0.584 1.142  0.741 1.142  0.885 1.173  0.996 1.284  1.130 1.338  1.287 1.338  1.444 1.338
3#apa#apa01#app0157/o  -0.704 0.402  -0.835 0.402  -0.938 0.332  -1.030 0.239  -1.123 0.147  -1.197 0.046  -1.197 -0.085  -1.197 -0.216  -1.131 -0.321  -1.039 -0.413  -0.946 -0.506  -0.853 -0.599  -0.760 -0.692  -0.653 -0.748  -0.527 -0.761  -0.434 -0.854  -0.327 -0.912  -0.196 -0.912  -0.065 -0.912  0.066 -0.912  0.198 -0.912  0.329 -0.912  0.456 -0.902  0.548 -0.809  0.641 -0.716  0.734 -0.624  0.827 -0.531  0.919 -0.438  0.938 -0.315  0.938 -0.183  0.938 -0.052  0.938 0.079  0.938 0.210  0.834 0.237  0.774 0.308  0.774 0.439  0.769 0.566  0.638 0.566  0.610 0.669  0.610 0.800  0.573 0.894  0.443 0.897  0.350 0.990  0.247 1.058  0.116 1.058  -0.015 1.058  -0.146 1.058  -0.211 0.992  -0.244 0.894  -0.376 0.894
3#apa#apa01#app0157/w  -1.563 0.688  -1.459 0.583  -1.430 0.446  -1.307 0.421  -1.297 0.283  -1.283 0.141  -1.178 0.036  -1.074 -0.069  -1.030 -0.199  -1.030 -0.347  -0.914 -0.379  -0.804 -0.472  -0.764 -0.603  -0.657 -0.645  -0.509 -0.645  -0.494 -0.512  -0.364 -0.494  -0.364 -0.346  -0.364 -0.198  -0.364 -0.049  -0.364 0.099  -0.272 0.155  -0.231 0.262  -0.108 0.288  -0.094 0.421  0.036 0.402  0.070 0.288  0.169 0.239  0.169 0.091  0.169 -0.057  0.235 -0.178  0.302 -0.298  0.370 -0.379  0.436 -0.462  0.533 -0.512  0.682 -0.512  0.830 -0.512  0.969 -0.502  0.993 -0.379  1.102 -0.339  1.140 -0.207  1.235 -0.098  1.235 0.050  1.235 0.198  1.235 0.346  1.235 0.495  1.235 0.643  1.235 0.791  1.235 0.939  1.235 1.087
3#apa#apa01#app0157/n  -0.980 0.525  -0.980 0.386  -0.980 0.248  -0.980 0.110  -0.980 -0.028  -0.934 -0.147  -0.836 -0.245  -0.824 -0.378  -0.824 -0.517  -0.824 -0.655  -0.777 -0.774  -0.679 -0.871  -0.667 -0.761  -0.667 -0.623  -0.667 -0.485  -0.667 -0.346  -0.667 -0.208  -0.667 -0.070  -0.667 0.068  -0.667 0.207  -0.667 0.345  -0.586 0.449  -0.479 0.525  -0.354 0.538  -0.354 0.677  -0.220 0.681  -0.116 0.763  -0.009 0.837  0.129 0.837  0.268 0.837  0.406 0.837  0.544 0.837  0.584 0.739  0.584 0.601  0.646 0.525  0.740 0.481  0.759 0.350  0.856 0.252  0.897 0.131  0.897 -0.008  0.928 -0.133  1.026 -0.230  1.053 -0.358  1.053 -0.496  1.098 -0.615  1.196 -0.713  1.209 -0.846  1.209 -0.984  1.268 -1.098  1.366 -1.196
