3#apb#apb05#app0585/D  -0.206 -0.020  -0.090 0.155  0.030 0.328  0.126 0.515  0.183 0.559  0.095 0.368  0.001 0.180  -0.128 0.015  -0.259 -0.149  -0.378 -0.323  -0.496 -0.496  -0.617 -0.668  -0.731 -0.844  -0.832 -1.028  -0.812 -0.900  -0.765 -0.695  -0.718 -0.491  -0.670 -0.286  -0.623 -0.081  -0.576 0.124  -0.528 0.328  -0.481 0.533  -0.434 0.738  -0.386 0.942  -0.339 1.147  -0.205 1.284  -0.009 1.334  0.201 1.319  0.402 1.268  0.596 1.187  0.772 1.079  0.920 0.930  1.055 0.772  1.132 0.577  1.209 0.381  1.214 0.175  1.199 -0.035  1.116 -0.225  1.022 -0.413  0.872 -0.554  0.703 -0.678  0.520 -0.780  0.327 -0.862  0.132 -0.939  -0.076 -0.972  -0.283 -1.004  -0.493 -1.008  -0.703 -1.005  -0.906 -0.949  -1.080 -0.836
3#apb#apb05#app0585/o  0.202 1.067  0.104 0.981  0.010 0.892  -0.072 0.792  -0.154 0.691  -0.237 0.590  -0.319 0.490  -0.400 0.388  -0.480 0.286  -0.560 0.184  -0.640 0.081  -0.721 -0.021  -0.788 -0.132  -0.851 -0.246  -0.913 -0.360  -0.976 -0.474  -1.028 -0.593  -1.079 -0.712  -1.085 -0.831  -1.032 -0.950  -0.918 -0.991  -0.790 -1.014  -0.662 -1.036  -0.538 -0.999  -0.414 -0.959  -0.291 -0.919  -0.167 -0.880  -0.045 -0.836  0.063 -0.763  0.170 -0.690  0.278 -0.617  0.385 -0.544  0.491 -0.469  0.580 -0.374  0.669 -0.279  0.758 -0.185  0.837 -0.084  0.885 0.037  0.933 0.158  0.982 0.278  0.988 0.405  0.977 0.535  0.965 0.664  0.950 0.793  0.882 0.903  0.813 1.013  0.744 1.123  0.623 1.165  0.498 1.202  0.374 1.239
3#apb#apb05#app0585/e  -0.672 0.427  -0.549 0.320  -0.422 0.212  -0.275 0.127  -0.111 0.100  0.059 0.091  0.228 0.095  0.397 0.110  0.565 0.129  0.721 0.198  0.876 0.267  1.026 0.346  1.176 0.426  1.247 0.579  1.207 0.740  1.067 0.821  0.910 0.885  0.743 0.904  0.573 0.911  0.403 0.917  0.242 0.864  0.081 0.810  -0.080 0.756  -0.235 0.688  -0.384 0.606  -0.533 0.524  -0.681 0.442  -0.807 0.329  -0.927 0.209  -1.047 0.089  -1.142 -0.049  -1.212 -0.203  -1.282 -0.358  -1.244 -0.516  -1.182 -0.674  -1.058 -0.773  -0.904 -0.844  -0.750 -0.915  -0.588 -0.945  -0.419 -0.932  -0.249 -0.918  -0.080 -0.905  0.088 -0.885  0.253 -0.844  0.418 -0.804  0.583 -0.764  0.748 -0.724  0.911 -0.674  1.073 -0.624  1.235 -0.574
3#apb#apb05#app0585/F  0.003 0.530  -0.108 0.367  -0.192 0.180  -0.275 -0.008  -0.369 -0.190  -0.466 -0.371  -0.565 -0.551  -0.678 -0.722  -0.792 -0.892  -0.907 -1.062  -1.023 -1.231  -1.151 -1.392  -1.156 -1.269  -1.108 -1.070  -1.087 -0.866  -1.035 -0.668  -0.976 -0.471  -0.888 -0.288  -0.787 -0.109  -0.664 0.054  -0.526 0.206  -0.378 0.345  -0.202 0.451  -0.027 0.558  0.158 0.646  0.345 0.731  0.535 0.808  0.730 0.869  0.926 0.930  1.120 0.998  1.318 1.048  1.518 1.041  1.421 0.886  1.279 0.738  1.112 0.619  0.945 0.500  0.778 0.382  0.610 0.263  0.443 0.144  0.276 0.025  0.109 -0.094  -0.059 -0.212  -0.226 -0.331  -0.297 -0.399  -0.100 -0.347  0.096 -0.288  0.286 -0.212  0.481 -0.147  0.679 -0.095  0.875 -0.036
3#apb#apb05#app0585/o  0.151 0.513  0.160 0.669  0.008 0.634  -0.143 0.566  -0.274 0.465  -0.406 0.364  -0.529 0.255  -0.636 0.128  -0.743 0.001  -0.848 -0.126  -0.949 -0.258  -1.050 -0.390  -1.127 -0.532  -1.164 -0.694  -1.130 -0.847  -1.039 -0.975  -0.880 -1.020  -0.720 -1.066  -0.560 -1.082  -0.398 -1.048  -0.235 -1.015  -0.073 -0.981  0.080 -0.922  0.225 -0.842  0.370 -0.761  0.515 -0.681  0.648 -0.583  0.771 -0.473  0.894 -0.362  1.013 -0.248  1.084 -0.098  1.155 0.052  1.205 0.207  1.214 0.372  1.221 0.537  1.127 0.674  1.033 0.810  0.904 0.893  0.741 0.924  0.578 0.955  0.418 0.931  0.258 0.888  0.098 0.845  -0.057 0.790  -0.197 0.701  -0.337 0.612  -0.477 0.523  -0.558 0.381  -0.632 0.233  -0.706 0.084
3#apb#apb05#app0585/x  1.250 1.429  1.122 1.301  0.993 1.173  0.869 1.040  0.746 0.907  0.623 0.773  0.499 0.640  0.375 0.507  0.251 0.374  0.127 0.242  0.003 0.109  -0.120 -0.025  -0.231 -0.168  -0.343 -0.311  -0.454 -0.455  -0.567 -0.598  -0.681 -0.739  -0.795 -0.880  -0.908 -1.023  -1.015 -1.170  -1.002 -1.087  -0.943 -0.915  -0.883 -0.743  -0.824 -0.571  -0.765 -0.400  -0.706 -0.228  -0.646 -0.056  -0.587 0.116  -0.528 0.287  -0.469 0.459  -0.410 0.631  -0.350 0.802  -0.291 0.974  -0.232 1.145  -0.152 0.986  -0.094 0.814  -0.034 0.642  0.025 0.471  0.086 0.299  0.148 0.129  0.209 -0.042  0.291 -0.204  0.386 -0.358  0.482 -0.513  0.597 -0.653  0.717 -0.789  0.842 -0.920  0.975 -1.044  1.120 -1.148  1.291 -1.210
3#apb#apb05#app0585/G  0.264 0.163  0.390 0.322  0.532 0.468  0.673 0.614  0.796 0.776  0.899 0.951  1.020 1.114  1.002 1.300  0.808 1.329  0.618 1.270  0.434 1.184  0.254 1.090  0.084 0.978  -0.086 0.866  -0.253 0.749  -0.409 0.619  -0.566 0.489  -0.722 0.358  -0.854 0.204  -0.983 0.046  -1.111 -0.112  -1.209 -0.290  -1.303 -0.471  -1.349 -0.666  -1.338 -0.857  -1.194 -1.001  -0.997 -1.047  -0.797 -1.074  -0.598 -1.034  -0.398 -0.994  -0.203 -0.939  -0.011 -0.871  0.181 -0.804  0.366 -0.719  0.548 -0.628  0.727 -0.531  0.880 -0.410  0.849 -0.221  0.694 -0.098  0.507 -0.023  0.309 0.008  0.110 -0.036  -0.088 -0.084  -0.227 -0.223  -0.185 -0.393  0.011 -0.413  0.209 -0.367  0.399 -0.295  0.575 -0.193  0.738 -0.104
3#apb#apb05#app0585/a  0.743 0.799  0.772 0.986  0.786 1.173  0.624 1.249  0.449 1.185  0.275 1.113  0.128 0.998  -0.014 0.874  -0.156 0.750  -0.294 0.623  -0.425 0.487  -0.555 0.351  -0.686 0.215  -0.812 0.076  -0.924 -0.076  -1.036 -0.227  -1.148 -0.378  -1.230 -0.548  -1.310 -0.718  -1.304 -0.901  -1.233 -1.055  -1.058 -1.072  -0.880 -1.010  -0.702 -0.947  -0.552 -0.835  -0.401 -0.722  -0.250 -0.609  -0.106 -0.488  0.034 -0.361  0.173 -0.235  0.311 -0.106  0.441 0.030  0.570 0.167  0.700 0.303  0.820 0.449  0.939 0.594  1.047 0.748  1.014 0.747  0.881 0.614  0.780 0.455  0.681 0.295  0.582 0.135  0.488 -0.028  0.393 -0.191  0.330 -0.366  0.289 -0.550  0.247 -0.734  0.194 -0.914  0.140 -1.095  0.247 -1.249
3#apb#apb05#app0585/r  -0.484 0.805  -0.357 0.842  -0.236 0.826  -0.171 0.723  -0.135 0.596  -0.099 0.469  -0.107 0.340  -0.129 0.211  -0.152 0.081  -0.174 -0.049  -0.198 -0.178  -0.231 -0.305  -0.265 -0.433  -0.298 -0.560  -0.333 -0.687  -0.373 -0.813  -0.412 -0.938  -0.452 -1.064  -0.498 -1.186  -0.571 -1.296  -0.645 -1.405  -0.714 -1.396  -0.688 -1.270  -0.649 -1.144  -0.608 -1.020  -0.547 -0.903  -0.485 -0.787  -0.424 -0.670  -0.363 -0.554  -0.294 -0.441  -0.224 -0.330  -0.155 -0.218  -0.085 -0.106  -0.015 0.005  0.056 0.116  0.131 0.224  0.206 0.332  0.281 0.441  0.356 0.549  0.432 0.657  0.523 0.749  0.626 0.832  0.729 0.914  0.832 0.996  0.934 1.078  1.047 1.144  1.170 1.191  1.293 1.238  1.416 1.219  1.539 1.173
3#apb#apb05#app0585/c  0.870 0.880  0.813 0.746  0.750 0.616  0.685 0.486  0.614 0.360  0.539 0.235  0.476 0.105  0.418 -0.028  0.409 -0.104  0.515 -0.007  0.609 0.103  0.666 0.236  0.722 0.370  0.760 0.510  0.795 0.651  0.775 0.793  0.730 0.926  0.627 1.029  0.508 1.085  0.364 1.072  0.232 1.020  0.109 0.944  -0.015 0.867  -0.138 0.791  -0.250 0.700  -0.355 0.601  -0.461 0.501  -0.566 0.401  -0.654 0.287  -0.730 0.163  -0.806 0.040  -0.883 -0.083  -0.948 -0.213  -1.007 -0.345  -1.066 -0.478  -1.084 -0.615  -1.055 -0.757  -1.027 -0.899  -0.912 -0.987  -0.795 -1.074  -0.664 -1.123  -0.520 -1.143  -0.376 -1.164  -0.233 -1.176  -0.093 -1.141  0.048 -1.105  0.189 -1.070  0.330 -1.037  0.471 -1.003  0.612 -0.970
3#apb#apb05#app0585/i  0.088 0.475  0.082 0.360  0.037 0.253  -0.008 0.146  -0.054 0.040  -0.108 -0.063  -0.162 -0.166  -0.215 -0.269  -0.271 -0.371  -0.329 -0.472  -0.387 -0.572  -0.442 -0.674  -0.487 -0.781  -0.532 -0.888  -0.576 -0.996  -0.617 -1.105  -0.658 -1.213  -0.657 -1.327  -0.632 -1.368  -0.580 -1.264  -0.529 -1.160  -0.477 -1.055  -0.426 -0.951  -0.374 -0.847  -0.323 -0.743  -0.271 -0.639  -0.220 -0.535  -0.169 -0.431  -0.117 -0.327  -0.066 -0.223  -0.014 -0.119  0.037 -0.015  0.089 0.090  0.140 0.194  0.192 0.298  0.243 0.402  0.295 0.506  0.346 0.610  0.398 0.714  0.449 0.818  0.501 0.922  0.552 1.026  0.604 1.131  0.655 1.235  0.707 1.339  0.758 1.443  0.810 1.547  0.861 1.651  0.912 1.744  0.944 1.632
