1b#tos#t2#t2025064/B  0.161 1.580  0.101 1.744  0.161 1.609  0.161 1.384  0.048 1.200  -0.082 1.020  -0.119 0.799  -0.186 0.588  -0.257 0.380  -0.276 0.160  -0.359 -0.049  -0.376 -0.269  -0.434 -0.476  -0.496 -0.682  -0.496 -0.906  -0.496 -1.130  -0.485 -1.344  -0.401 -1.173  -0.356 -0.953  -0.311 -0.733  -0.266 -0.514  -0.221 -0.294  -0.176 -0.074  -0.131 0.145  -0.086 0.365  -0.041 0.585  0.005 0.804  0.041 1.025  0.188 1.102  0.412 1.102  0.636 1.102  0.757 0.954  0.757 0.729  0.672 0.540  0.513 0.383  0.318 0.273  0.220 0.101  0.312 -0.031  0.513 -0.107  0.597 -0.289  0.638 -0.496  0.615 -0.711  0.455 -0.868  0.273 -0.993  0.098 -1.126  -0.103 -1.221  -0.308 -1.284  -0.527 -1.322  -0.749 -1.344  -0.913 -1.284
1b#tos#t2#t2025064/C  0.648 0.621  0.648 0.729  0.648 0.837  0.648 0.945  0.648 1.053  0.605 1.151  0.570 1.234  0.462 1.234  0.354 1.234  0.246 1.234  0.148 1.199  0.058 1.139  -0.032 1.079  -0.122 1.019  -0.168 0.923  -0.208 0.823  -0.252 0.725  -0.328 0.649  -0.405 0.572  -0.474 0.491  -0.515 0.391  -0.555 0.291  -0.589 0.189  -0.615 0.084  -0.634 -0.022  -0.634 -0.130  -0.634 -0.238  -0.634 -0.346  -0.634 -0.454  -0.634 -0.562  -0.634 -0.670  -0.634 -0.778  -0.576 -0.828  -0.468 -0.828  -0.391 -0.904  -0.330 -0.991  -0.259 -1.051  -0.151 -1.051  -0.043 -1.051  0.065 -1.051  0.174 -1.051  0.282 -1.051  0.390 -1.051  0.490 -1.018  0.587 -0.970  0.665 -0.904  0.714 -0.807  0.766 -0.717  0.871 -0.713  0.871 -0.605
1b#tos#t2#t2025064/I  0.442 1.529  0.384 1.515  0.355 1.472  0.283 1.472  0.269 1.413  0.269 1.341  0.269 1.269  0.269 1.197  0.269 1.125  0.269 1.052  0.259 0.982  0.236 0.913  0.213 0.845  0.175 0.784  0.135 0.724  0.097 0.664  0.097 0.591  0.097 0.519  0.097 0.447  0.062 0.385  0.022 0.325  -0.018 0.265  -0.018 0.193  -0.018 0.121  -0.018 0.049  -0.018 -0.023  -0.027 -0.093  -0.067 -0.153  -0.107 -0.213  -0.133 -0.277  -0.133 -0.349  -0.133 -0.422  -0.133 -0.494  -0.133 -0.566  -0.133 -0.638  -0.133 -0.710  -0.137 -0.782  -0.160 -0.850  -0.183 -0.919  -0.191 -0.990  -0.191 -1.062  -0.198 -1.132  -0.225 -1.199  -0.252 -1.266  -0.278 -1.333  -0.305 -1.400  -0.306 -1.473  -0.306 -1.545  -0.306 -1.617  -0.306 -1.689
1b#tos#t2#t2025064/J  -0.678 0.918  -0.678 0.800  -0.781 0.764  -0.893 0.727  -0.833 0.690  -0.715 0.690  -0.598 0.697  -0.488 0.740  -0.373 0.755  -0.255 0.755  -0.136 0.755  -0.020 0.774  0.092 0.810  0.202 0.853  0.320 0.853  0.435 0.861  0.530 0.918  0.648 0.918  0.609 0.905  0.495 0.872  0.381 0.840  0.268 0.807  0.167 0.773  0.167 0.655  0.167 0.537  0.188 0.421  0.234 0.314  0.264 0.205  0.264 0.087  0.268 -0.031  0.329 -0.130  0.329 -0.249  0.329 -0.367  0.329 -0.485  0.329 -0.603  0.308 -0.717  0.259 -0.824  0.232 -0.939  0.232 -1.057  0.207 -1.171  0.157 -1.278  0.115 -1.386  0.038 -1.470  -0.068 -1.523  -0.180 -1.552  -0.291 -1.529  -0.393 -1.480  -0.477 -1.396  -0.516 -1.313  -0.516 -1.195
1b#tos#t2#t2025064/L  -0.318 1.471  -0.318 1.564  -0.320 1.656  -0.365 1.607  -0.365 1.514  -0.365 1.420  -0.365 1.327  -0.348 1.236  -0.319 1.147  -0.318 1.054  -0.318 0.960  -0.318 0.867  -0.318 0.773  -0.318 0.680  -0.308 0.587  -0.290 0.496  -0.272 0.404  -0.272 0.310  -0.272 0.217  -0.272 0.123  -0.272 0.030  -0.272 -0.064  -0.272 -0.157  -0.272 -0.251  -0.272 -0.344  -0.272 -0.438  -0.272 -0.531  -0.272 -0.625  -0.283 -0.707  -0.318 -0.765  -0.331 -0.846  -0.305 -0.846  -0.211 -0.846  -0.118 -0.846  -0.024 -0.846  0.069 -0.846  0.163 -0.846  0.256 -0.846  0.350 -0.846  0.434 -0.830  0.486 -0.752  0.556 -0.707  0.649 -0.707  0.743 -0.707  0.836 -0.707  0.930 -0.707  1.023 -0.707  1.117 -0.707  1.210 -0.707  1.304 -0.707
1b#tos#t2#t2025064/N  -0.504 1.107  -0.602 1.180  -0.602 0.962  -0.602 0.743  -0.602 0.524  -0.602 0.305  -0.602 0.086  -0.553 -0.126  -0.553 -0.345  -0.553 -0.564  -0.553 -0.783  -0.553 -1.002  -0.509 -1.215  -0.506 -1.131  -0.512 -0.912  -0.519 -0.693  -0.525 -0.474  -0.532 -0.256  -0.538 -0.037  -0.545 0.182  -0.551 0.400  -0.582 0.616  -0.718 0.717  -0.797 0.857  -0.691 0.750  -0.542 0.604  -0.411 0.429  -0.242 0.320  -0.113 0.155  0.014 -0.010  0.167 -0.154  0.270 -0.345  0.340 -0.548  0.471 -0.702  0.471 -0.920  0.617 -1.022  0.722 -1.136  0.931 -1.114  0.958 -0.906  0.958 -0.687  0.958 -0.469  0.958 -0.250  0.958 -0.031  0.958 0.188  0.958 0.407  0.975 0.624  1.007 0.840  1.007 1.059  1.007 1.278  1.007 1.497
1b#tos#t2#t2025064/O  0.279 0.814  0.133 0.814  -0.013 0.814  -0.079 0.894  -0.186 0.933  -0.332 0.933  -0.471 0.910  -0.593 0.829  -0.668 0.707  -0.707 0.566  -0.752 0.429  -0.833 0.308  -0.902 0.179  -0.913 0.036  -0.913 -0.110  -0.913 -0.256  -0.913 -0.402  -0.900 -0.547  -0.865 -0.688  -0.853 -0.833  -0.798 -0.966  -0.657 -0.974  -0.541 -1.048  -0.414 -1.093  -0.268 -1.093  -0.122 -1.093  0.024 -1.093  0.158 -1.054  0.280 -0.974  0.426 -0.974  0.539 -0.893  0.659 -0.814  0.717 -0.692  0.745 -0.549  0.815 -0.429  0.835 -0.289  0.916 -0.167  0.934 -0.027  0.934 0.119  0.934 0.265  0.934 0.411  0.934 0.557  0.844 0.666  0.768 0.789  0.637 0.814  0.505 0.873  0.359 0.873  0.213 0.873  0.100 0.840  -0.019 0.814
1b#tos#t2#t2025064/P  -0.157 1.292  -0.370 1.292  -0.371 1.188  -0.371 0.975  -0.371 0.762  -0.371 0.549  -0.331 0.340  -0.318 0.128  -0.318 -0.085  -0.318 -0.298  -0.318 -0.511  -0.318 -0.725  -0.233 -0.918  -0.210 -1.125  -0.210 -1.339  -0.210 -1.552  -0.210 -1.765  -0.103 -1.871  -0.049 -1.826  -0.053 -1.613  -0.057 -1.400  -0.061 -1.186  -0.065 -0.973  -0.069 -0.760  -0.073 -0.547  -0.077 -0.334  -0.081 -0.121  -0.085 0.092  -0.089 0.305  -0.094 0.518  -0.098 0.731  -0.102 0.944  -0.236 1.024  -0.293 1.024  -0.080 1.024  0.133 1.024  0.346 1.024  0.556 1.001  0.764 0.970  0.950 0.883  1.024 0.691  0.970 0.532  0.876 0.353  0.695 0.242  0.531 0.112  0.326 0.069  0.126 0.004  -0.087 0.004  -0.278 -0.049  -0.157 -0.103
1b#tos#t2#t2025064/T  -0.503 0.624  -0.627 0.624  -0.752 0.624  -0.877 0.624  -1.002 0.624  -1.096 0.624  -0.971 0.624  -0.846 0.624  -0.722 0.624  -0.597 0.624  -0.472 0.624  -0.347 0.624  -0.223 0.624  -0.098 0.624  0.027 0.624  0.151 0.625  0.272 0.655  0.396 0.665  0.521 0.665  0.646 0.665  0.769 0.671  0.885 0.705  0.830 0.676  0.711 0.636  0.593 0.597  0.475 0.558  0.356 0.518  0.238 0.479  0.116 0.462  0.066 0.387  0.066 0.263  0.066 0.138  0.066 0.013  0.066 -0.112  0.081 -0.234  0.106 -0.355  0.106 -0.479  0.106 -0.604  0.106 -0.729  0.106 -0.854  0.106 -0.978  0.106 -1.103  0.106 -1.228  0.106 -1.353  0.106 -1.477  0.106 -1.602  0.131 -1.723  0.147 -1.845  0.147 -1.970  0.147 -2.094
1b#tos#t2#t2025064/X  0.715 1.221  0.766 1.391  0.669 1.425  0.562 1.269  0.427 1.135  0.382 0.958  0.301 0.786  0.241 0.605  0.154 0.439  0.039 0.287  -0.075 0.134  -0.164 -0.033  -0.223 -0.213  -0.304 -0.382  -0.409 -0.541  -0.545 -0.620  -0.545 -0.810  -0.595 -0.988  -0.595 -1.179  -0.595 -1.128  -0.548 -0.989  -0.554 -0.798  -0.560 -0.608  -0.566 -0.418  -0.572 -0.228  -0.578 -0.038  -0.584 0.153  -0.590 0.343  -0.595 0.533  -0.629 0.712  -0.743 0.864  -0.780 1.020  -0.653 0.926  -0.498 0.820  -0.449 0.637  -0.304 0.523  -0.195 0.368  -0.081 0.216  0.047 0.075  0.177 -0.063  0.288 -0.217  0.423 -0.351  0.557 -0.486  0.705 -0.605  0.850 -0.728  0.967 -0.878  1.121 -0.950  1.232 -1.102  1.390 -1.187  1.522 -1.299
1b#tos#t2#t2025064/Y  -0.755 0.949  -0.919 0.949  -1.083 0.949  -1.193 0.899  -1.072 0.800  -0.942 0.718  -0.787 0.666  -0.755 0.525  -0.650 0.404  -0.521 0.304  -0.396 0.199  -0.269 0.102  -0.127 0.027  -0.050 -0.117  0.029 -0.225  0.145 -0.133  0.241 -0.001  0.338 0.132  0.434 0.265  0.531 0.398  0.628 0.530  0.724 0.663  0.821 0.796  0.904 0.937  0.858 1.047  0.763 0.978  0.634 0.906  0.570 0.763  0.498 0.615  0.425 0.469  0.311 0.351  0.224 0.214  0.126 0.092  -0.020 0.018  -0.057 -0.140  -0.164 -0.220  -0.057 -0.128  -0.020 -0.256  -0.020 -0.420  -0.020 -0.584  -0.020 -0.748  -0.020 -0.912  0.077 -1.036  0.077 -1.200  0.077 -1.364  0.077 -1.528  0.077 -1.692  0.077 -1.856  0.126 -1.971  0.126 -2.136
