2#tos#t2#t2017063/\"  -0.547 0.651  -0.547 0.470  -0.547 0.290  -0.547 0.109  -0.547 -0.071  -0.547 -0.252  -0.547 -0.433  -0.559 -0.608  -0.687 -0.736  -0.832 -0.822  -0.943 -0.935  -1.000 -1.102  -1.000 -1.282  -1.000 -1.463  -0.924 -1.383  -0.826 -1.231  -0.729 -1.079  -0.632 -0.927  -0.534 -0.775  -0.437 -0.623  -0.340 -0.470  -0.242 -0.318  -0.145 -0.166  -0.048 -0.014  0.050 0.138  0.147 0.290  0.245 0.442  0.342 0.594  0.439 0.747  0.537 0.899  0.634 1.051  0.731 1.203  0.797 1.307  0.697 1.157  0.597 1.007  0.734 1.025  0.882 1.104  0.927 0.968  0.927 0.788  0.927 0.607  0.927 0.426  0.927 0.246  0.794 0.198  0.614 0.198  0.587 0.044  0.587 -0.137  0.421 -0.198  0.249 -0.255  0.078 -0.312  -0.093 -0.369
2#tos#t2#t2017063/#  -0.756 0.138  -0.598 0.120  -0.252 0.296  -0.000 0.545  0.224 0.771  0.632 0.814  0.843 1.082  0.902 1.034  0.621 0.713  0.339 0.393  0.057 0.072  -0.225 -0.248  -0.507 -0.569  -0.788 -0.889  -1.015 -1.206  -0.707 -1.088  -0.380 -0.940  0.007 -0.826  0.230 -0.558  0.574 -0.404  0.852 -0.205  0.706 0.111  0.413 0.421  0.120 0.731  -0.173 1.042  -0.478 1.324  -0.519 0.908  -0.519 0.481  -0.519 0.055  -0.519 -0.372  -0.519 -0.799  -0.598 -1.193  -0.598 -1.620  -0.489 -1.332  -0.363 -0.924  -0.236 -0.517  -0.110 -0.109  0.017 0.299  0.143 0.706  0.270 1.114  0.396 1.521  0.470 1.581  0.391 1.178  0.391 0.752  0.391 0.325  0.391 -0.102  0.391 -0.529  0.391 -0.955  0.391 -1.382  0.312 -1.760
2#tos#t2#t2017063/%  0.842 1.680  0.713 1.507  0.565 1.288  0.469 1.075  0.369 0.840  0.279 0.621  0.187 0.408  0.105 0.155  0.034 -0.099  -0.104 -0.319  -0.168 -0.577  -0.263 -0.825  -0.352 -1.074  -0.420 -1.324  -0.461 -1.549  -0.583 -1.625  -0.583 -1.359  -0.583 -1.093  -0.583 -0.827  -0.583 -0.561  -0.583 -0.296  -0.583 -0.030  -0.583 0.236  -0.583 0.502  -0.583 0.768  -0.746 0.697  -0.854 0.540  -0.949 0.369  -0.936 0.106  -0.710 0.092  -0.542 0.228  -0.461 0.432  -0.619 0.540  -0.771 0.616  -0.519 0.530  -0.268 0.444  -0.016 0.359  0.235 0.273  0.487 0.187  0.739 0.101  0.990 0.015  0.840 -0.092  0.714 -0.251  0.679 -0.511  0.815 -0.641  0.959 -0.519  1.225 -0.519  1.328 -0.356  1.330 -0.092  1.086 -0.071
2#tos#t2#t2017063/'  0.881 1.399  0.881 1.314  0.881 1.230  0.881 1.145  0.881 1.061  0.839 1.009  0.757 0.989  0.675 0.968  0.593 0.948  0.511 0.927  0.429 0.907  0.347 0.886  0.265 0.866  0.183 0.845  0.123 0.808  0.123 0.723  0.123 0.639  0.123 0.554  0.123 0.470  0.123 0.385  0.123 0.301  0.123 0.216  0.123 0.132  0.123 0.047  0.123 -0.037  0.123 -0.122  0.123 -0.206  0.123 -0.291  0.123 -0.375  0.123 -0.460  0.076 -0.508  -0.006 -0.528  -0.088 -0.549  -0.170 -0.569  -0.252 -0.590  -0.334 -0.610  -0.416 -0.631  -0.498 -0.651  -0.580 -0.672  -0.635 -0.713  -0.635 -0.798  -0.639 -0.881  -0.686 -0.951  -0.733 -1.022  -0.779 -1.092  -0.826 -1.162  -0.873 -1.233  -0.920 -1.303  -0.967 -1.373  -1.014 -1.443
2#tos#t2#t2017063/(  0.571 1.514  0.535 1.466  0.459 1.434  0.379 1.417  0.332 1.353  0.284 1.317  0.242 1.274  0.214 1.205  0.155 1.146  0.083 1.102  0.044 1.043  0.044 0.959  0.015 0.881  -0.033 0.814  -0.093 0.754  -0.148 0.693  -0.148 0.609  -0.170 0.533  -0.217 0.465  -0.251 0.389  -0.278 0.309  -0.292 0.227  -0.317 0.159  -0.388 0.118  -0.388 0.034  -0.388 -0.050  -0.388 -0.135  -0.388 -0.219  -0.388 -0.303  -0.388 -0.387  -0.374 -0.466  -0.315 -0.525  -0.292 -0.600  -0.264 -0.672  -0.219 -0.742  -0.173 -0.811  -0.107 -0.863  -0.037 -0.910  -0.004 -0.977  0.068 -1.016  0.092 -1.086  0.138 -1.124  0.222 -1.124  0.284 -1.146  0.284 -1.230  0.284 -1.315  0.319 -1.363  0.403 -1.363  0.475 -1.375  0.523 -1.411
2#tos#t2#t2017063/)  -0.010 1.651  -0.052 1.612  -0.052 1.530  -0.052 1.448  -0.025 1.394  0.033 1.371  0.061 1.295  0.103 1.225  0.148 1.157  0.162 1.080  0.162 0.998  0.167 0.919  0.235 0.874  0.290 0.822  0.290 0.740  0.290 0.658  0.290 0.577  0.290 0.495  0.290 0.413  0.290 0.332  0.290 0.250  0.290 0.168  0.290 0.086  0.290 0.005  0.276 -0.062  0.247 -0.116  0.242 -0.194  0.174 -0.240  0.112 -0.290  0.076 -0.364  0.076 -0.445  0.076 -0.527  0.042 -0.601  0.033 -0.680  0.020 -0.754  -0.053 -0.791  -0.098 -0.859  -0.148 -0.919  -0.229 -0.919  -0.309 -0.920  -0.309 -1.002  -0.309 -1.084  -0.385 -1.090  -0.412 -1.160  -0.432 -1.239  -0.496 -1.261  -0.523 -1.316  -0.566 -1.355  -0.566 -1.436  -0.609 -1.475
2#tos#t2#t2017063/*  -0.033 1.841  0.018 1.765  0.018 1.472  0.018 1.179  0.018 0.885  0.018 0.592  0.018 0.299  0.018 0.006  0.018 -0.287  0.018 -0.580  0.018 -0.873  0.018 -1.166  0.018 -1.459  -0.124 -1.397  -0.247 -1.131  -0.370 -0.866  -0.493 -0.600  -0.617 -0.334  -0.740 -0.068  -0.863 0.198  -0.986 0.464  -0.927 0.614  -0.661 0.526  -0.484 0.298  -0.231 0.200  -0.029 0.015  0.229 -0.121  0.469 -0.277  0.692 -0.460  0.926 -0.587  1.000 -0.674  0.952 -0.388  0.911 -0.098  0.871 0.193  0.831 0.483  0.790 0.773  0.750 1.064  0.786 1.150  0.628 1.011  0.544 0.749  0.313 0.580  0.194 0.329  -0.013 0.122  -0.135 -0.121  -0.319 -0.338  -0.471 -0.582  -0.595 -0.809  -0.799 -0.971  -0.910 -1.189  -1.056 -1.432
2#tos#t2#t2017063/,  0.349 1.593  0.291 1.536  0.234 1.479  0.177 1.422  0.120 1.364  0.063 1.307  0.005 1.250  -0.026 1.182  -0.026 1.101  -0.026 1.020  0.003 0.969  0.084 0.969  0.146 0.922  0.203 0.865  0.224 0.792  0.224 0.712  0.224 0.631  0.224 0.550  0.224 0.469  0.224 0.388  0.224 0.307  0.224 0.226  0.224 0.145  0.224 0.064  0.224 -0.016  0.224 -0.097  0.224 -0.178  0.224 -0.259  0.224 -0.340  0.224 -0.421  0.224 -0.502  0.180 -0.559  0.113 -0.604  0.045 -0.649  -0.022 -0.694  -0.089 -0.739  -0.151 -0.787  -0.151 -0.868  -0.151 -0.948  -0.151 -1.029  -0.223 -1.066  -0.295 -1.102  -0.368 -1.138  -0.440 -1.174  -0.512 -1.211  -0.585 -1.247  -0.651 -1.287  -0.651 -1.368  -0.651 -1.449  -0.651 -1.530
2#tos#t2#t2017063/  0.773 1.479  0.773 1.403  0.713 1.365  0.689 1.304  0.652 1.251  0.606 1.205  0.606 1.129  0.579 1.062  0.537 0.999  0.522 0.928  0.522 0.853  0.491 0.800  0.419 0.776  0.360 0.732  0.311 0.676  0.287 0.605  0.272 0.532  0.272 0.456  0.229 0.402  0.168 0.357  0.108 0.312  0.105 0.238  0.089 0.169  0.036 0.116  -0.011 0.057  -0.057 -0.003  -0.102 -0.063  -0.104 -0.138  -0.149 -0.195  -0.187 -0.255  -0.187 -0.330  -0.187 -0.405  -0.220 -0.464  -0.283 -0.505  -0.322 -0.564  -0.340 -0.637  -0.362 -0.709  -0.396 -0.776  -0.396 -0.851  -0.434 -0.916  -0.475 -0.978  -0.501 -1.041  -0.564 -1.083  -0.617 -1.134  -0.650 -1.201  -0.684 -1.268  -0.688 -1.343  -0.688 -1.418  -0.738 -1.444  -0.772 -1.486
2#tos#t2#t2017063/<  0.704 1.627  0.667 1.544  0.593 1.487  0.517 1.438  0.517 1.340  0.506 1.250  0.413 1.219  0.368 1.151  0.298 1.082  0.250 0.998  0.174 0.943  0.136 0.865  0.087 0.783  0.003 0.736  -0.028 0.643  -0.066 0.553  -0.135 0.498  -0.230 0.474  -0.284 0.411  -0.304 0.315  -0.331 0.230  -0.414 0.215  -0.428 0.123  -0.497 0.054  -0.507 -0.040  -0.586 -0.089  -0.636 -0.142  -0.582 -0.179  -0.553 -0.270  -0.514 -0.329  -0.417 -0.329  -0.412 -0.423  -0.343 -0.492  -0.274 -0.534  -0.257 -0.625  -0.188 -0.694  -0.093 -0.701  -0.041 -0.747  -0.037 -0.843  0.050 -0.887  0.082 -0.978  0.145 -1.027  0.191 -1.078  0.191 -1.176  0.249 -1.233  0.331 -1.271  0.359 -1.362  0.385 -1.453  0.424 -1.534  0.517 -1.539
2#tos#t2#t2017063/?  -0.638 0.643  -0.679 0.705  -0.660 0.802  -0.584 0.846  -0.523 0.886  -0.436 0.902  -0.436 1.004  -0.337 1.008  -0.235 1.008  -0.133 1.008  -0.030 1.008  0.072 1.008  0.174 1.008  0.277 1.008  0.379 1.008  0.474 0.990  0.567 0.967  0.578 0.876  0.578 0.774  0.570 0.675  0.498 0.603  0.470 0.507  0.407 0.428  0.345 0.346  0.277 0.278  0.213 0.239  0.194 0.156  0.173 0.075  0.124 -0.014  0.080 -0.099  0.037 -0.183  0.011 -0.274  -0.036 -0.331  -0.071 -0.398  -0.071 -0.500  -0.071 -0.603  -0.071 -0.705  -0.071 -0.807  -0.076 -0.909  -0.083 -1.011  -0.089 -1.114  -0.096 -1.216  -0.102 -1.318  -0.108 -1.420  -0.111 -1.522  -0.111 -1.625  -0.129 -1.709  -0.190 -1.750  -0.173 -1.669  -0.152 -1.588
